disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Private vehicles,col2_Buses,col3_Municipal fleet (government owned vehicles excluding buses),col4_Freight vehicles,col5_Taxis/Transport Network Companies/Carshares,col6_Comment
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,565352,1550,815,55007,2361,"Data derived from the National Statistical Authority for the Prefecture of Attica and extrapolated to the Municipality of Athens, extrapolated from the prefecture to the municipality, in relation to the population. [https://www.statistics.gr/el/statistics/-/publication/SME18/2023], for private vehicles and freight vehicles for 2023 data. \nThe number of buses , municipal fleet, and taxis are from the bus company, internal calls, and the taxi company for 2023 data."
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,1100,210,0,0.0,0,"The number of electric buses (trolleys) derives from the company's annual report. All data refer to 2023. For private electric vehicles, the new NECP has statistical data for EVs until 2022 and suggests that the total number in the country for Battery EV and Plug-in Hybrid EVs were 18210, thus around 1100 for the Municipality of Athens if assume proportionality with the population. Exact number for BEVs and PHEVs can be found in page 109 here: http://www.opengov.gr/minenv/wp-content/uploads/2024/08/Εθνικό-Σχέδιο-για-την-Ενέργεια-και-το-Κλίμα-ΕΣΕΚ_αναθεωρημένη-έκδοση.pdf"
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,386,0.0,0.0,0.0,0,"For private vehicles, there were 6379 new Battery Electric Vehicles in 2023 in Greece, thus around 386 for the Municipality of Athens if assume proportionality with the population. Source of data: https://www.evstats.gr/el/insights/2022-12 and the new NECP page 109 http://www.opengov.gr/minenv/wp-content/uploads/2024/08/%CE%95%CE%B8%CE%BD%CE%B9%CE%BA%CF%8C-%CE%A3%CF%87%CE%AD%CE%B4%CE%B9%CE%BF-%CE%B3%CE%B9%CE%B1-%CF%84%CE%B7%CE%BD-%CE%95%CE%BD%CE%AD%CF%81%CE%B3%CE%B5%CE%B9%CE%B1-%CE%BA%CE%B1%CE%B9-%CF%84%CE%BF-%CE%9A%CE%BB%CE%AF%CE%BC%CE%B1-%CE%95%CE%A3%CE%95%CE%9A_%CE%B1%CE%BD%CE%B1%CE%B8%CE%B5%CF%89%CF%81%CE%B7%CE%BC%CE%AD%CE%BD%CE%B7-%CE%AD%CE%BA%CE%B4%CE%BF%CF%83%CE%B7.pdf"
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,537,0.0,0.0,0.0,0,"For private vehicles, there were 8836 new PHEVs in 2023 in Greece, thus around 537 for the Municipality of Athens if assume proportionality with the population. Source of data: https://www.evstats.gr/el/insights/2022-12 and the new NECP page 109 http://www.opengov.gr/minenv/wp-content/uploads/2024/08/%CE%95%CE%B8%CE%BD%CE%B9%CE%BA%CF%8C-%CE%A3%CF%87%CE%AD%CE%B4%CE%B9%CE%BF-%CE%B3%CE%B9%CE%B1-%CF%84%CE%B7%CE%BD-%CE%95%CE%BD%CE%AD%CF%81%CE%B3%CE%B5%CE%B9%CE%B1-%CE%BA%CE%B1%CE%B9-%CF%84%CE%BF-%CE%9A%CE%BB%CE%AF%CE%BC%CE%B1-%CE%95%CE%A3%CE%95%CE%9A_%CE%B1%CE%BD%CE%B1%CE%B8%CE%B5%CF%89%CF%81%CE%B7%CE%BC%CE%AD%CE%BD%CE%B7-%CE%AD%CE%BA%CE%B4%CE%BF%CF%83%CE%B7.pdf. All data refer to 2022."
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0.0,0.0,0.0,0,All data refer to 2023.
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),,,,,,Not Estimated
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,11503997,32786,0,137700,385895,-Number of vehicle registered in Bangkok as of 31 December 2024 Municipal fleet (government owned vehicles excluding buses) are included in Taxis/Transport Network companies/Carshares\n\n-Data from Department of Land Transport (2024)\nhttps://web.dlt.go.th/statistics/
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,139698,2648,0.0,3,3074,
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,324986,2,0.0,0.0,569,
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,52746,0.0,0.0,0.0,57,
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0.0,0.0,0.0,0.0,
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),3882000,163168,,,,Data on private vehicles include alll emissions from road traffic
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,1078256,1688,5078,145508,23165,Data on Freight vehicles and taxis/transport network companies/carshares last updated in 2024 report
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,17649,227,209,2443,2809,
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,64158,108,22,106,7084,Data on private vehicles includes hybrid as well as plug in hybrid vehicles
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,,0,25,37,364,
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,1975,0.0,37,25,2,Taxis 
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),2989741,513177,0.0,487053,426915,"Los vehículos privados incluyen automóviles, camperos, camionetas y motocicletas. En la categoría Buses se incluye el : SITP y transporte especial (Autobuses urbanos). No hay información disponible sobre la flota municipal. Las emisiones de GEI corresponden al año 2023."
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,1933910,25719.0,20844.0,18812.0,48986.0,"Todos los datos vienen del Registro Distrital Automotor, en el caso de taxis también se usa como fuente el Registro de Tarjetas de Operación-Para vehículos privados se filtró solamente para servicio particular de las categorías: automóvil, camioneta, campero y cuadriciclo-Para buses se incluyeron todas las busetas, buses y microbuses registrados, para todos los tipos de servicio (particular, oficial, público). -Para flota municipal se incluyeron todas las tipologías de servicio oficial a excepción de buses, busetas, microbus y trolebus. Corresponde a toda la flota oficial registrada de diferentes entidades públicas de orden nacional y territorial, no solamente la que hace parte de entidades del Distrito.- Para vehículos de carga se incluyeron las siguientes tipologías vehiculares solamente para servicio particular y servicio público: camión, camión grua, camión maquinaria, dumper, grua, tractocamión y volqueta-Para taxis solamente se incluyeron taxis puesto que no se tiene registro oficial sobre plataformas de transporte"
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,2365.0,1494.0,137.0,0.0,39.0,
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,17921.0,335.0,16.0,7.0,0.0,
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0,0,0,0,0,"El Registro Distrital Automotor no diferencia los híbridos enchufables de los no enchufables, todos los híbridos están agrupados bajo una única categoría"
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,4.0,0.0,0.0,0.0,0.0,
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),1495647,209379,1860,1214397,30958,Se realiza una desagregación en función del Inventario de Gases de Efecto Invernadero de la Ciudad de Buenos Aires del año 2022 y la distribución modal de la participación de viajes en CABA
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,1648989,1682,2051,342000,34132,"En septiembre de 2024 se realiza la transferencia de las líneas DF de Nación a Ciudad, por lo que solo se contemplan los buses DF para el año 2024 (previamente se consideraba la flota nacional, con un valor de 8630 vehículos para 2023)."
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,264,0,0,40,0,
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0,0,0,0,103,
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,116,0,0,0,0,
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0,
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),919489,1025020,,,63763,Fonte: Companhia de Urbanização de Curitiba - URBS. 2023 e inventário de emissões de gases de efeito estufa (em publicação)
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,1015973.0,1427,,286995.0,18351,Fonte: Detran dez 2022 e URBS (Companhia de Urbanização de Curitiba). 
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,12477,7,,57,5,Fonte: Companhia de Urbanização de Curitiba - URBS. Considerado Elétrico fonte externa e interna e Elétrico. 2025
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,3575,30,,0,,Fonte: Companhia de Urbanização de Curitiba - URBS. Considerado Híbrido e Híbrido Plug-In. 2025
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,1929,30,,0,,Fonte: Companhia de Urbanização de Curitiba - URBS. Considerado Gasolina/Álcool/Elétrico e Gasolina/Elétrico. 2023
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0.0,Não foram estimados.
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),,,,,,Total transportation emission data is available for Istanbul but the breakdown of its is not available.
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,5840973,145749,16769,1028341,20311,"* These numbers have been taken from Turkish Statistical Institute, 2024 Motorized Vehicles Statistics by Cities [LINK: https://data.tuik.gov.tr/Bulten/Index?p=Motorlu-Kara-Tasitlari-Aralik-2024-53463]\n\n* IMM's total licenced fleet distribution is listed below (for 2024) [LINK: https://uploads.ibb.istanbul/uploads/2024_Faaliyet_Raporu_070c1cd7ad.pdf - page 153]\n\nType of \'licenced\' public transport vehicles in 2024:\n\n- Number of Buses: 3766 (Buses + Metrobuses)\n- Number of Minibuses: 3604\n- Number of Personnel Shuttle Buses: 55187\n- Number of School Shuttle Buses: 23158\n- Number of Tourism Shuttle Buses: 17567\n- Number of University Shuttle Buses: 611\n\n"
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,66000,,250,,,"According to Turkish Statistical Institute, the number of registered private electric vehicles are 183,776 in Türkiye. Considering the ratio of private vehicles in Istanbul to in Türkiye, approximately it can be assumed the number of electric vehicles in Istanbul are 66,000.\n\n(For 2024) Number of 250 includes all Municipal fleet vehicles such as Metrobus, Electrical Public Buses, Electrical Sightseeing Cars in our Islands district and electrical sea taxis."
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),191990,5769,0,80566,0,emissions data for the year 2022/ no specific emissions data available for municipal fleet and Taxis/Carshares
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,61216,61.0,318,0,481,Municipal fleet: Data as of June 2025 (except for fire brigade and work machinery)
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,2060,10.0,57,0,20,
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,4770,0.0,0.0,0,0,hybrid cars are counted as fossil fuel cars at the car sharing company
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,1507,0.0,3,0,0,no comment
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,30,27,4,0,0,"As far as the goal of zero-emission buses is concerned, the opening of the hydrogen filling station on Wieblinger Weg in April 2024 was a milestone in strengthening this alternative\ndrive system."
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),0,0,0,0,0,"Perhitungan emisi berdasarkan konsumsi bahan bakar, tidak membedakan jenis kendaraan"
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,0,0,0,0,0,
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,0,0,0,0,0,
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0,0,0,0,0,
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0,0,0,0,0,
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0,
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),,,,,,the data is not disaggregated by type of vehicle
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,,,,,,Data not available
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,,,,,,Nil
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,,,,,,Nil
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,,,,,,Nil
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,,,,,,Nil
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),6010000,,,,,Data Not available
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,,,,,,Data in % format. Remainder 11% data not available. Taken from Karachi's Strategic needs assessment
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,,,,,,Data Not available
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,,,,,,Data Not available
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,,,,,,Data Not available
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,,,,,,Data Not available
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,578001,13289,,109885,17773,
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,105609,111,,784,139,
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,,1,,,,
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),,,,,,No se dispone de información al detalle solicitado. 
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,,,596,8376,,-Dato de acuerdo a los boletines ambientales Nacionales del INEI. \n\n-No se dispone de información tan detallada de las casillas en blanco. 
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,,,1,,,No se dispone de información al detalle solicitado.
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,,,0,,,No se dispone de información al detalle solicitado.
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,,,2,,,No se dispone de información al detalle solicitado.
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,,,0,,,No se dispone de información al detalle solicitado. 
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),1272150,178846,0,332110,108258,Year 2022. Municipal fleet is included in private vehicles (passenger cars). Its emissions have been reported as \'0\' in order to complete the question and have it registered as \'Answered\'
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,1476287,2102,2556,214343,15501,Year 2023. Bus = municipal buses
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,22239,265,360,1371,607,Year 2023. Bus = municipal buses
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,152059,24,483,2994,9558,Year 2023. Bus = municipal buses
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,30238,7.0,0,19,50,Year 2023. Bus = municipal buses
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,28,0.0,0.0,6,0.0,Year 2023. Bus = municipal buses
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),9487629,2393217,246924,357298,3355626,
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,2013493,44944,22589,28624,122502,No se cuenta con información sobre vehículos compartidos en alquiler.
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,3068,677,24,172,390,Actualizado con datos 2022.\nTrolebuses y Metrobuses nuevos circulando con corte a junio 2024.
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,50999,0,166,20,1447,No se cuenta con información sobre vehículos compartidos en alquiler.
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,31556,,17,,147,"No se cuenta con información de vehículos híbridos de enchufe, para autobuses, vehículos de carga, ni vehículos compartidos en alquiler."
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,,,,,,No se cuenta con información sobre este tipo de vehículos.
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),594583,44478,0,,,reference year 2023 emissions from private vehicles includes freight transport and taxis 
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,701443,4323,99,70301,4785,reference year 2023
