disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide thermal consumption in MWh^,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%)^,col4_Percentage of total consumption from gas (%)^,col5_Percentage of total consumption from oil (%)^,col6_Percentage of total consumption from nuclear (%)^,col7_Percentage of total consumption from non-renewable electricity (%)^,col8_Percentage of total consumption from renewable electricity (%)^,col9_Percentage of total consumption from bioenergy (inc. biomass and biofuels) (%)^,col10_Percentage of total consumption from solar thermal (%)^,col11_Percentage of total consumption from geothermal (%)^,col12_Percentage of total consumption from waste to energy (solid waste excluding biomass) (%)^,col13_Percentage of total consumption from waste water heat recovery (WWHR) (%)^,col14_Percentage of total consumption from other renewable sources (%)^,col15_Percentage of total consumption from other non-renewable sources (%)^,col16_Year data applies to,col17_Comment
2025 Disclosure Cycle,779465,CDP,54395,Taoyuan City Government,City,China,East Asia,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,0,National-level data,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,"The central government only published the consumption status of different energy (including heat) in Taiwan, and there is no independent information on counties/cities."
2025 Disclosure Cycle,779465,CDP,54402,City of Lahti,City,Europe,Finland,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1403260,Jurisdiction-level data,6.3,4.7,4.7,4.2,4.2,4.9,48,0,0.8,3.9,11,0,7.3,2023,"The total consumption is from jurisdiction scale, but break-down to different sources used both jurisdiction data and estimates from national data."
2025 Disclosure Cycle,779465,CDP,54403,City of Tampere,City,Europe,Finland,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2666018,Jurisdiction-level data,0,13.36,5.4,0,5.61,6.02,42.78,0.0,5.55,6.13,0.0,11.42,3.8,2023,"Thermal final consumption mix (2 630 GWh) combines district heating (1 946 GWh) and cooling (36 GWh), oil boilers in buildings (101 GWh), natural gas boilers in buildings (2 GWh), wood heating in buildings (208 GWh), direct electric heating (224) and ground source heat pumps (49 GWh corresponds roughly to 148 GWh of heat). All heating electricity is grid-supplied, it is not possible to separate renewable and non-renewable electricity other than the national average: 51,8 % of electricity in Finland was produced from renewable sources in 2023. Also, 93,8 % of electricity generation was fossil free in 2023. Other renewable sources includes waste heat from industry (269 GWh) and district cooling (36 GWh). Other non-renewable sources includes peat."
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2880886,Jurisdiction-level data,0,83.6,14.5,0,0,0,,1.9,,,,,,2022,
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,807738,Jurisdiction-level data,0.0,9.8,1.35,0,0.22,16.89,11.36,0,0,59.11,0,1.28,0,2024,"Data sources: Norsk Fjernvarme: https://www.fjernkontrollen.no/trondheim/, Statkraft Varme AS Trondheim (local district heating company) and a small share from https://www.fjernkontrollen.no/klaebu/, Klæbu bioenergi AS (a small local district heating company, mainly based on bio-energy resources). Renewable electricity here refers to electricity for district heating (see regional/state/county-level data for electricity). Local heating is estimated by using oil, gas and wood burning for heating private homes. Other RWE refers to heat recover from industrial waste heat of Rockwool, ambient heat and free cooling obtained directly from a low-temperature (water) source."
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,951170.0,Utility-level data,0.0,0.0,1.0,0.0,0.0,,58.0,,4.0,38.0,0.0,0.0,,2021,
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1366728,"Other data source(s): From the producer of district heating and cooling, Vattenfall Heat and Solör Bioenergi",0.0,0.0,1.2,4.9,,3.2,16,0,0,54.2,4.9,8.4,5,2024,"This is the breakdown for the district heating and cooling in Uppsala, which covers a majority of the population.\n\nSource: Vattenfall"
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,852000,Jurisdiction-level data,0,0,0.03,0,0,0,22,0,0,38,38,3,0,2023,"The thermal heating consumption only includes district heating (852 GWh, 2023). The total heating consumption is not available. The district heating consumption is assumed to account for around 80 % av thermal heating in Helsingborg."
2025 Disclosure Cycle,779465,CDP,54519,Lund Municipality,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,704900.0,Jurisdiction-level data,0.0,0.0,0.0,0.0,0.0,6.0,81.0,0.0,10.0,0.0,3.0,0.0,0.0,2021,Our data aggregates geothermal and WWHR. The split is an educated guess.
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2514191,National-level data,0.4,89.0,0.4,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,4.9,3.4,2020,"Total heating and cooling consumption is taken from Sunderland's Scatter inventory, which accounts for domestic, industrial and commercial heating and cooling consumption within the city boundary. The source mix is based on the Scatter data and the ESO data portal. Further information can be found at https://data.nationalgrideso.com/carbon-intensity1/historic-generation-mix. "
2025 Disclosure Cycle,779465,CDP,55334,Municipality of Braga,City,Europe,Portugal,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,211776.0,Utility-level data,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,
2025 Disclosure Cycle,779465,CDP,56276,New Taipei City Government,City,China,East Asia,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,10457295.27,Jurisdiction-level data,24.531,44.261,21.231,2.635,0,3.186,0.05,3.311,0.006,0.789,0.0,0.0,0.0,2023,"Calculations are based on the \'2023 Emission Report for Residential Fuel and Electricity Use,\' as documented in the 2023 New Taipei City Greenhouse Gas Inventory."
2025 Disclosure Cycle,779465,CDP,58613,City of York Council,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,3040550.76,Jurisdiction-level data,0.3,86.7,1.9,0,4.5,3.4,3.2,0,0,0,0,3.4,4.5,2019,Heat cooling source breakdown.
2025 Disclosure Cycle,779465,CDP,59151,City of Akureyri,City,Europe,Iceland,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,473311.919,Regional/State-level data,0.0,0.0,0.18,0.0,0,0,0.0,0.0,99.82,0.0,0.0,0.0,0.0,2023,Data for 2024 yet not available.
2025 Disclosure Cycle,779465,CDP,59538,"City of Mississauga, ON",City,North America,Canada,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,25939955,Utility-level data,0,49,1,0,0,0,2,0,0,0,0,0,48,2022,https://www150.statcan.gc.ca/n1/pub/57-003-x/57-003-x2023002-eng.htm
2025 Disclosure Cycle,779465,CDP,59998,Narayanganj City Corporation,City,India,Bangladesh,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,,Utility-level data,,,,,,,,,,,,,,,Not applicable
2025 Disclosure Cycle,779465,CDP,60078,City of Lappeenranta,City,Europe,Finland,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,845197,Jurisdiction-level data,0,8.15,3.3,,4.6,5.6,64.6,0,1.3,0,0,0,4,2023,"\'total consumption from oil\' includes some natural gas used in households and services\n\'the natural gas\' includes only the gas used in district heating production\n\nEnergy use data is from the year 2022, however the fuel distribution data for the district heating is for the year 2021."
2025 Disclosure Cycle,779465,CDP,60105,Kirklees Council,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,4071667.2,Jurisdiction-level data,0.76,82.75,9.12,0,0,0,5.81,0,0,0,0,0,0.8,2022,"Ktoe data taken from 'Subnational total final energy consumption, UK, 2005 to 2023' for 2022 Data and percentage breakdown calculated. Total MWh is also calculated. Thermal Energy breakdown only includes Coal, Gas, Oil, Manufactured Fuels and Bioenergy. Manufactured Fuels is included in other non-renewable sources. URL link is https://www.gov.uk/government/statistics/total-final-energy-consumption-at-regional-and-local-authority-level-2005-to-2023."
2025 Disclosure Cycle,779465,CDP,60178,Linköping Municipality,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1256641,Jurisdiction-level data,0,,1,0,0,0,19,0,0,80,0,0,0,,
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1053132,"Other data source(s): Almost all data are from within the jurisdiction. However, we estimate that 15% of all electricity (when transport is removed) is used for heating/cooling purposes. There we treat the energy mix as we reported in 3.1a",0.0,0.0,0.1,0.6,0.0,5.8,79.1,0.1,14.3,0.0,0.0,0,0.0,2024,No comment
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,837887,Jurisdiction-level data,0,100,0,0,0,0,0,0,0,0,0,0,0,2023,837 887 is the total\n\n836 009 - heating\n1 878 - cooling\n
2025 Disclosure Cycle,779465,CDP,60410,Municipalidad de Peñalolén,City,Latin America,Chile,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,323116,"Other data source(s): Si bien los datos están a nivel de la jurisdicción, estos fueron obtenidos de una fuente regional percapita, y se extrapolaron a la comuna de Peñalolén.",0.0,99.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,"La energía térmica de la comuna se obtuvo a partir de los consumos de combustibles (gas licuado, gas natural y kerosene doméstico) regionales percapita, y se extrapolaron a la comuna de Peñalolén. Estos combustibles son los que habitualmente se usas para calefacción"
2025 Disclosure Cycle,779465,CDP,60433,Hvidovre Municipality,City,Europe,Denmark,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,430910,Regional/State-level data,0,4.9,1,0.0,0.0,0.5,67.3,0.0,0.0,26.3,0.0,0.0,0.0,2024,https://www.veks.dk/-/media/veks/files/publications/miljoedeklaration.pdf
2025 Disclosure Cycle,779465,CDP,60625,Dire Dawa,City,UKWW,Ethiopia,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,4773960.68,Jurisdiction-level data,21.28,0.15,70.55,0,0,0,8.02,0.01,0,0,0,0,0,2024,
2025 Disclosure Cycle,779465,CDP,60892,Municipalidad de Punta Arenas,City,Latin America,Chile,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,6226000,Jurisdiction-level data,1,98,0,0,0,0,0,1,0,0,0,0,0,2024,"Los datos presentados provienen de la Estrategia Energética Local (EEL) de Punta Arenas, el primer instrumento de planificación energética a nivel comunal. Esta estrategia constituye la base para la definición de acciones locales en materia de energía, incluyendo diagnóstico de consumo, identificación de oportunidades de eficiencia y energías renovables, así como la participación ciudadana en la planificación. La EEL permite orientar de manera integrada las políticas y proyectos energéticos de la comuna, alineándolos con objetivos de sostenibilidad, eficiencia y adaptación al cambio climático, y establece un marco de referencia para la implementación y seguimiento de iniciativas hasta 2033."
2025 Disclosure Cycle,779465,CDP,60905,Municipalidad de Maipú,City,Latin America,Chile,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2673850,Jurisdiction-level data,0.1,9.3,90.6,0,0,0,0,0,0,0,0,0,0,2024,Se consideraron los datos del capitulo Diagnostico energético de la estrategia Energética Local
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,0,Jurisdiction-level data,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Il n'existe pas de source thermale sur le territoire de Cocody.
2025 Disclosure Cycle,779465,CDP,73879,Roskilde Municipality,City,Europe,Denmark,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,653055,Utility-level data,0,4,1,0,1,,80,0,0,13,0,1,,2023,The disclosed energy fuel mix is solely for the production of district heating for the total municipal district heating consumption. \n\nThe disclosed total annual juristiction-wide thermal energy consumption in MWh is solely for heating (excluding indistrial processes). The energy mix for heating is this:\n- District heating: 53 %\n- Gas (natural gas and biogas): 19\n- Biomass: 5 %\n- Oil: 2 %\n- Electricity: 8 %\n- Other renewable energy: 12 %
2025 Disclosure Cycle,779465,CDP,863000,Lo Barnechea,City,Latin America,Chile,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2779315,Jurisdiction-level data,0,100,0,0,0,0,0,0,0,0,0,0,0,2023,"El cálculo del consumo total de energía térmica se hace a partir de estimaciones hechas en la EEL de Lo Barnechea, la cual estima que para el año 2022, el consumo térmico residencial fue de 11719 mWh y estima que el consumo residencial significó cerca del 50% del consumo de la comuna. A pesar de lo anterior, los datos obtenidos en esta categorías son insuficientes, ya que no existen estudios a nivel comunal de las fuentes de energía térmica. Por un lado, no existen datos del % del consumo eléctrico destinado a calefacción en la comuna. Por otro lado, las fuentes principales de energía para calefacción son gas natural licuado vendido a granel o en red. Si bien existen 4 empresas en la comuna que abastecen de gas natural licuado, sólo se obtuvieron datos de una de estas empresas. Se está trabajando en obtener datos de las otras 3 empresas para tener un cálculo más preciso, sin embargo, hasta el momento no existe información precisa sobre el % de consumo de energía para calefacción de fuentes eléctricas."
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,146596.9,Jurisdiction-level data,0,12.2,47.2,0,0,0,16.9,0,0,0,0,0,23.7,2020,"Al considerar los datos del 2020, la demanda térmica contribuye considerablemente al consumo\nenergético total de la comuna, de dicho consumo la gran mayoría se atribuye al transporte, donde\ncabe recordar que dicho valor es un cálculo aproximado por lo que puede verse modificado. Los\nconsumos energéticos por sector y porcentaje\nTransporte 57.3%\nTérmico 24%\nelectrico 18.7%\nFinalmente, se representa lo anterior separando el consumo energético asociado a cada combustible, calculando su porcentaje con respecto al total, de lo cual se desprende que la mayor concentración se encuentra en petróleos Diesel (A1 y B1), GLP, Leña y Gasolina 93."
2025 Disclosure Cycle,779465,CDP,58485,"Abington Township, PA",City,North America,United States of America,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,415816.62,Utility-level data,,,0,36.4,0,0,0.9,1,0,0,,,,,
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,50,Utility-level data,0,0,0,0,0,0,0,0,0,0,0,15,12,2017,sem
