disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Project area,col2_Project title,col3_Stage of project development,col4_Status of financing,col5_Identified financing model,"col6_Project description and URL link, if applicable","col7_Attach project proposal, if applicable",col8_Total cost of project (in currency specified in 1.2),"col9_Total investment cost needed, if relevant (in currency specified in 1.2)","col10_If this project is related to a previously reported adaptation or mitigation action, select the ID of the action"
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Energy efficiency (including public lighting),Microloans to energy communities,Scoping,Project not funded and seeking full funding,Grants,Microloans to energy communities to implement projects in the private sector for efficiency and reduction of greenhouse gas emissions. ,,2000000,1000000,Adaptation Action 8
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Other: Innovation and Technologies, Innovation,Implementation,Project not funded and seeking partial funding,Grants|No financing model identified,Integrating innovation and technological solutions for implementation throughout the city,,1000000,120000,Mitigation Action 10
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Other: Sustainable tourism,Sustainable tourism.,Pre-feasibility/impact assessment,Project not funded and seeking partial funding,No financing model identified,"The project involves the construction of a network of EU Ecolabel certified city accommodation facilities.The goal is to enhance the characteristics of sustainability, involving all types of accommodation, from the B&B to the 5-star hotel \'a contribution to its affirmation will be given by the interaction with the certified Sustainable Event Management System.",,0,0,No linked action
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Other: Organization of sustainable events,Organization of sustainable events,Implementation,Other: Project funded,No financing model identified,The project provides for the organization of events with ISO 20121:2013 sustainability certification,,0,0,No linked action
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Other: Green infrastructure,Urban forestry development,Project feasibility,Project partially funded and seeking additional funding,No financing model identified,The project involves the implementation of areas destined for urban forests with the aim of maximizing ecosystem services.,,0,0,No linked action
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Buildings,Ecological transition program for municipal buildings,Implementation,Project not funded and seeking partial funding,Public finance- own budget|Grants,"This project is two-fold. 1) Improve the energy efficiency of buildings and decarbonize them. 2) Improving the resilience of municipal buildings to present and future climatic hazards. 1) The energy performance and decarbonization project for Montreal buildings, of the City of Montreal, aims to implement the Roadmap towards zero-emission buildings in Montreal as well as the implementation of exemplary practices in buildings owned by the city. The exemplary practices that the city wishes to put in place will serve to demonstrate that achieving carbon neutrality and energy sobriety are possible and that it's even possible to go beyond the requirements of the national codes. As part of the implementation of the Roadmap, regulations will be adopted by the City Council to require that all new construction, public or private, be zero emissions and sober in energy and existing buildings will have to gradually reduce their GHG emissions.To achieve this, the City of Montreal will put in place efforts to: - Accelerate capacity to adopt codes and regulations- set up a community of practice on the Codes with the boroughs - set up a working table with stakeholders (including energy suppliers such as Hydro-Québec and Énergir) - identify and eliminate existing regulatory barriers- provide resources and tools (guides, working methods, software, etc.) at the Permits and Inspection level,- adopt regulations in line with the Codes (construction, energy efficiency and decarbonization strategy) - carry out preliminary work to prepare the regulations that allow the improvement of the codes (regulation on the new zero emission building)- allow the imposition of GHG performance thresholds for the existing building, mandatory declaration of equipment foremissive heating)- strengthen communication capacity (awareness and mobilization)- set up a tool for monitoring and analyzing real data- develop training modules on the new construction code for City staff - set up a one-stop information window (targeting citizens) concerning financial assistance programs for GHG reduction and energy efficiency - carrying out studies on the development of municipal programs oriented towards decarbonization and promoting greater social equity. - set up a citizen assistance office - plan and implement improvements to municipal buildings - etc. The building stock—residential, commercial and institutional—produces approximately 28% of Montreal's GHG emissions. The renovation of the latter and the construction of new low-carbon and less energy-consuming buildings are a necessity and an unprecedented opportunity to reduce GHG emissions and improve the quality of life of citizens. A grant application to the federal Codes Acceleration Fund program (https://natural-resources.canada.ca/energy-efficiency/buildings/codes-acceleration-fund/24794) has been submitted by the City. The request was revised and a conditional financial assistance of $2 million was granted to the City of Montreal to carry out some of these activities. Other grant other subsidy opportunities are being studied by the City of Montreal, including the Quebec's program Accélérer la Transition Climatique Locale (ATCL - https://www.quebec.ca/gouvernement/politiques-orientations/plan-economie-verte/actions-lutter-contre-changements-climatiques/agir-localement/aide-financiere-organismes-municipaux/accelerer-transition-climatique-locale). 2) This component of the project helps analyze the climate risks of municipal building assets to then plan and carry out the interventions necessary to improve their resilience and more generally, the resilience of the City's territory. These projects are difficult to finance. In the past, applications have been submitted to some programs (e.g. Green and Inclusive Community Buildings - https://www.infrastructure.gc.ca/gicb-bcvi/index-eng.html), but without favorable results . The City is also evaluating the possibility of submitting to the OASIS program (https://www.environnement.gouv.qc.ca/programmes/oasis/index.htm) of the Government of Quebec or to certain financial assistance from the Green Municipal Fund - https ://greenmunicipalfund.ca/funding)",,2000000000,1900000000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Renewable energy,District Energy Sharing Network (sector of the Faubourgs),Pre-feasibility/impact assessment,Project partially funded and seeking additional funding,Grants|Public-private partnership|Public finance- own budget,"The construction of a District Energy Sharing Network in the Faubourgs sector (Borough of Ville-Marie) is a project that includes the construction of : - a thermal power plant on land or in the facilities of one of the buildings in the sector;- a pipeline for the recovery of thermal waste (VRT) from one or more promising industrial sources - a main network of pipes that transport hot and cold water to meet the heating and cooling needs of the connected buildings; - Energy Transfer Station in connected buildings;- new pipes (or the rehabilitation of existing pipes) between the sector and the St. Lawrence River to include the use of this thermal deposit for hydrothermal purposes;- infrastructure necessary for the recovery of waste water thermal discharges from the sector;- one or more thermal storage systems in order to reduce the power demand of the thermal power plant during peak periods. A pre-feasibility study has confirmed the interest and the high potential for reducing GHGs associated with this project: https://www.ecohabitation.com/media/uploads/2021/11/24/rapport_reseauthermique_faubourgs_2019vf.pdf (FRENCH) The preferred governance model was studied and the recommendation concluded that a semi-public company whose main shareholder is the City of Montreal would be the most suitable. A grant application was filed with the provincial and federal levels of government. A conditional funding promise was granted to the project. Hydro-Québec, the main energy distributor, has also conditionally committed to financially supporting the project.",,132000000.0,36000000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Water management,Replacement of sludge treatment and recovery unit,Project structuring,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"The JR Marcotte waste water plant is the highest municipal GHG emitter on Montreal island. The projet is meant to replace all incinerators within the next ten years by technologies including biomethanization. The project aims to replace the 4 existing multiple hearth incinerators which are a major source of GHG emissions. The alternative to incinerators is to implement 3 technologies: fluidized bed incineration, anaerobic digestion and thermal drying. The sludge from the treatment plant will be treated at 60% by incineration and 40% by anaerobic digestion followed by thermal drying.Anaerobic digestion is a natural biological process of decomposition of sewage sludge by microorganisms which activate under anaerobic conditions, i.e. without oxygen. This process takes place in a closed bioreactor which converts part of the solids in biogas and the remaining solids in digestate. Methane or biogas from this process will be recovered and used to heating the sludge while the surplus will be injected into the natural gas distribution network of a private distributor.Fluidized bed incineration is a proven technology for the high temperature combustion of municipal sludge. The sludge is mixed with a bed of sand which is constantly in motion. This technology is newer than hearth incinerators multiple and operates at higher temperatures. This higher temperature produces less N2O, a powerful GHG that is nearly 300 times greater than the GWP (Global Warming Potential) of CO2. This type of incinerator also makes it possible to reduce the air emissions from existing incinerators. It will also be possible to recover the heat from the hot gases which will be used as an energy source for the production of steam (heating of buildings) and for thermal drying. Thermal drying or thermal stabilization consists in evaporating the water contained in the sludge or in the dehydrated digestates. This process will be powered by heat from fluidized bed incineration and no other external energy input will be required.Phase 1 of the project, the installation and commissioning of an anaerobic digester, will extend from 2024 to 2026. Phase 2, four fluidized bed incinerators and four thermal dryers, will be carried out from 2029 to 2031. And phase 3, four anaerobic digesters, will run from 2031 to 2033. From the point of view of environmental benefits, it is estimated that a reduction of 2,399,970 tonnes of CO2 equivalent over a period of 40 years would be attributable to the project. A grant application to the federal Investing in Canada Infrastructure Program (https://www.infrastructure.gc.ca/plan/icp-pic-INFC-eng.html) has been submitted by the City. This request as been reviewed. Both federal and provincial have conditionally committed to financing a significant portion of the project.",,1000000000,500000000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,4,Row 4,Public and green spaces,Les coulisses des festivals - Les Jardins du Gesu,Project structuring,Project not funded and seeking full funding,Public finance- own budget|Grants,"Creation of an urban park with high shrub density (Jardins du Gesù) on the surface of an underground multifunctional space (Behind the scenes of the festivals) in downtown Montreal to reduce extreme temperatures and heat islands in a highly mineralized and densely populated. The project has already been the subject of an application to the federal Disaster Mitigation and Adaptation Fund program (https://www.infrastructure.gc.ca/dmaf-faac/details-eng.html), but unfortunately has not been was retained despite its great relevance.",,19000000,4238636,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,5,Row 5,Landscape and Jurisdictional Approaches,Inclusive and Resilient Neighborhoods (QIR) Program,Implementation,Project not funded and seeking partial funding,Grants|Public finance- own budget,"The Inclusive and Resilient Neighborhoods approach uses data science and the expertise of local communities to identify needs in more vulnerable neighborhoods. It is based on the principles of an integrated territorial approach and territorial equity. Concretely, this will materialize through the implementation of infrastructure, development and reinforcement projects to improve the living conditions of residents in these sectors. The implementation of these projects will be done through governance advocating a bottom-up approach and which will bring together neighborhood tables and local community stakeholders, central services and the district concerned.",,2900000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,6,Row 6,Waste management (including waste recycling),"Upgrading, protection and renovation of ecocenters Program",Implementation,Project partially funded and seeking additional funding,Public finance- own budget|Grants,"Some ecocenters are obsolete and must be improved to ensure a level of service that meets the City's objectives in terms of residual materials recovery. This project makes it possible to divert more residual materials (construction waste, wood, rock, concrete, metal, earth, etc.) from landfills thanks to the maintenance of functional ecocenters (voluntary drop-off points for citizens and small entrepreneurs) in order to achieve the recycling objectives of residual materials.",,,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,7,Row 7,Waste management (including waste recycling),Design and construction of ecocenters,Project structuring,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"Certain boroughs of the City of Montreal are currently not served by ecocenters. The construction of ecocenters is an integral part of the implementation of the Residual Materials Management Master Plan for the Montreal agglomeration. The City wishes to carry out the design and construction of two new ecocenters: - Dickson Ecocenter (design and execution of work from 2025-2028) - Ecocentre Sud-Ouest (design and execution of works from 2024-2027. This project makes it possible to divert more residual materials (construction waste, wood, rock, concrete, metal, earth, etc.) from landfills thanks to the maintenance of functional ecocenters (voluntary drop-off points for citizens and small entrepreneurs) in order to achieve the recycling objectives of residual materials.",,24791000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,8,Row 8,Waste management (including waste recycling),Construction of the LaSalle biomethanization center,Implementation,Project partially funded and seeking additional funding,Public finance- own budget|Grants,"This project aims to build a biomethanization center which should ultimately allow the reception of 60,000 tonnes/year of food waste. The construction of this center requires the environmental rehabilitation of a site in the LaSalle district. Rehabilitation work has started. This project diverts organic materials from landfills, reduces the distances traveled by trucks and contributes to achieving recovery objectives. It will therefore make it possible to reduce GHG emissions from the processing of residual materials, to develop a greener economy through the creation of new quality ecological jobs and to move towards a zero waste future through the reduction at source and the recovery of residual materials. This project has received a provincial grant for the rehabilitation of the site. ",,6973000,3513000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,9,Row 9,Waste management (including waste recycling),Construction of the Montréal-Est biomethanization center,Implementation,Project not funded and seeking partial funding,Public finance- own budget|Grants,"This project aims to build a biomethanization center which should ultimately allow the reception of 60,000 tonnes/year of food waste. This project diverts organic materials from landfills, reduces the distances traveled by trucks and contributes to achieving recovery objectives. It will therefore make it possible to reduce GHG emissions from the processing of residual materials, to develop a greener economy through the creation of new quality ecological jobs and to move towards a zero waste future through the reduction at source and the recovery of residual materials.",,4722400,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,10,Row 10,Other: Housing,Acquisition of land for the purpose of creating social and community housing,Implementation,Other: Recurring financing requirement,Public finance- own budget|Grants,This program contributes to the land reserve of land and buildings for the creation of social and community housing. This program makes it possible to achieve the objectives in terms of developing the City's social and community housing projects.,,156850000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,11,Row 11,Other: Housing,Acquisition of land for the purpose of creating affordable housing,Implementation,Other: Recurring financing requirement,Grants|Public finance- own budget,This program contributes to the land reserve for the creation of affordable housing. This program makes it possible to achieve the objectives in terms of developing the City's social and community housing projects.,,78428000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,12,Row 12,Other: Housing,Acquisition and conservation of land for the purpose of creating affordable housing,Implementation,Project partially funded and seeking additional funding,Public finance- own budget|Grants,This program contributes to the land reserve for the creation of affordable housing. This program makes it possible to achieve the objectives of the Affordable Metropolis Project. These buildings will be preserved by the City and reserved for the creation of long-term affordable housing projects.,,320000000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,13,Row 13,Sustainable food consumption/production,Development and renovation program for community and public collective gardens,Implementation,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"This program contributes to the urban agriculture strategy of the City of Montreal. This strategy makes it possible to respond to citizens' demand for local agriculture, which is deployed in particular in the form of community, collective gardens. Several gardens have deficient infrastructure. The program therefore serves to bring infrastructure up to standard for community and public gardens in order to ensure a safe environment and make the citizen experience more pleasant. The program will also be used to develop new gardening spaces in order to reduce long waiting lists in the boroughs and respond to the growing interest in this practice within the Montreal community. The program makes it possible to root nature in the city, by putting biodiversity, green spaces, as well as the management and development of natural heritage at the heart of decision-making, to develop a greener and more inclusive economy by supporting in particular the circular and social economy, local and eco-responsible purchasing and working towards the elimination of hunger and improving access to affordable and nutritious food throughout the country.",,10000000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,14,Row 14,Nature-Based Solutions,Natural environment acquisition program,Implementation,Other: Recurring financing requirement,Grants|Public finance- own budget,"This program aims to acquire natural environments that ensure the maintenance of biodiversity, increase the resilience of urban environments and help fight climate change, enriching the quality of life of citizens. and contribute to the city's power of attraction. The availability of undeveloped territory is becoming rarer throughout the Montreal metropolitan area. It is important to acquire and protect vacant sites (also coveted for urban development) in order to achieve the target of 10% protected environments on the territory of the agglomeration. Some funding is available under the Green Infrastructure stream from the Government of Canada, but generally the parameters of the programs are difficult to reconcile with the high cost of acquiring land in urban areas.",,270000000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,15,Row 15,Nature-Based Solutions,Ecological Corridors Program,Project structuring,Other: Recurring financing requirement,Public finance- own budget|Grants,"In a context where we must fight against the decline of biodiversity, the program to create ecological corridors constitutes a unique opportunity for development in the city. Five priority ecological corridors have been identified and two are in planning. The network will notably connect Montreal's parks and public spaces, promoting green routes throughout the City. The corridors will help transform the lifestyle of citizens in their daily travels, ensure the expansion of biodiversity and promote recreational mobility. This program contributes to many of the City's targets by increasing its resilience, reducing GHG emissions (consolidation of sequestered carbon environments and storage by planting trees and plants, creation of active mobility links, demineralization of soils , protection of ecosystems and biodiversity, etc.",,53510000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,16,Row 16,Nature-Based Solutions,Development of the nature park : Écoterritoire de la falaise Saint-Jacques,Implementation,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"To counter episodes of extreme temperature, Montreal is creating a new 60 hectare urban nature park. The development of the park will allow the demineralization of a vast vacant site and the creation of 30 hectares of natural environments with high ecological value, in the heart of Montreal. The proposed developments will increase biodiversity by creating diverse and connected environments, associated with the woods of the Saint-Jacques cliff -to manage rainwater by creating a body of water fed by runoff from the Turcot interchange site and the redevelopment of Notre-Dame Street West -create an island of freshness by greening a large area of a highly mineralized space and creating a blue space (pond) -improve air quality through greening; and consolidate the natural environments of the Saint-Jacques cliff. Due to the scale and complexity of the project, the creation of the nature park has the potential to become an exemplary project in terms of greening and adaptation to climate change in an urban context. The project, which was the subject of a request for funding from the Government of Canada's Disaster Mitigation and Adaptation Fund (DMAF) program, recently received a conditional funding promise.",,62710000,37710000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,17,Row 17,Nature-Based Solutions,Development and layout of Grand Parc de l'Ouest,Project structuring,Project partially funded and seeking additional funding,Public finance- own budget|Grants,"The development of the Grand Parc de l'Ouest allows the city to protect natural and cultural heritage, cultivate innovation through sustainable agriculture and offer inclusive and collective experiences. This large park project improves the places of contact with nature offered to the population, ensures the development of an agricultural center and promotes the establishment of a nature offer in the city accessible to all. This project will also improve the resilience of the environment, all in accordance with the provisions of the grant received for the natural infrastructure project (Disaster Mitigation and Adaptation Fund - DMAF).",,84374000,62974000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,18,Row 18,Nature-Based Solutions,Riverbank rehabilitation program,Project structuring,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"The bank rehabilitation program provides for the rehabilitation of 10 km of banks in several large parks located along the St. Lawrence River, the Rivière des Prairies and Lac des Deux Montagnes. The program aims to ensure public safety and the protection of riparian infrastructure, to preserve the natural heritage and improve the ecological functions, biodiversity and resilience of the banks and to improve and diversify access to watercourses. A federal grant was awarded by the Disaster Mitigation and Adaptation Fund (DMAF). By 2031, the program plans to carry out riverbank rehabilitation work in other sectors (René-Lévesque park, the new Lachine riverside park, the Promenade-Bellerive park, the Île nature park -de la-Visitation, the Bois-de-Liesse nature park, as well as the Cap-Saint-Jacques and Bois-de-L'Île-Bizard sectors of the Grand Parc de l'Ouest). Other sources of funding are being considered, including the Accélérer la transition climatique local (ATCL) program of the Government of Quebec.",,128349000,60340000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,19,Row 19,Nature-Based Solutions,Strengthening the canopy through the urban forest program,Implementation,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"The City of Montreal is committed to expanding its canopy, going from 20 to 26% by 2025. In accordance with the 2020-2030 Climate Plan, and in order to achieve this objective, the City intends to plant 500,000 trees by 2030, i.e. 320,000 trees on public property and 180,000 trees on private property. Achieving this ambitious objective results in an intensification of planting efforts. The master plantation plans and the demineralization program are essential means of increasing the rate of plantations. This important program already benefits from certain subsidies including an extraordinary program (PEV subsidy) from the Quebec government, the 2 billion trees program from the federal government. Other funding avenues are also being explored, including ATCL from the Quebec government and the Green Municipal Fund planting program from the Federation of Canadian Municipalities.",,281714000,220750000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,20,Row 20,Water management,Draining green infrastructure (parks and sponge streets),Implementation,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"To accelerate the ecological transition and improve the quality of urban living environments and to actively contribute to the climate change adaptation measures of the 2020-2030 Climate Plan, the Water Service is building surface facilities allowing the management of rainwater in infrastructure multifunctional. These multifunctional infrastructures, in addition to their primary leisure function (parks, public square, leisure space, dry stream, etc.) offer a rainwater management function. They make it possible to reduce the water supply to the underground sewer network during rains, to direct runoff water to a desired area, or to temporarily store rainwater with the least socio-economic impact. As a result, these infrastructures help to reduce wastewater overflows into waterways at lower cost and, during extreme episodes, to reduce flooding among citizens. This program allows the Water Service to develop, in the form of technical and financial support, the creation of multifunctional infrastructures, including in particular (non-exhaustive list): - resilient spaces (parks, sports spaces, public squares designed with flood-prone areas, etc.) - draining green infrastructure on the street - dry streams and other facilities to direct or receive rainwater in parks and natural environments This program benefits from special funding outside the program from the Government of Quebec, funding from the DMAF program from the Government of Canada. In order to consolidate its existence and the team of experts who pilot the program, the City must explore other funding avenues. The Accelerate the local climate transition program and the Climate Action program of the Green Municipal Fund are among the potential financing avenues.",,142103000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,21,Row 21,Buildings,Universal accessibility program for municipal buildings,Implementation,Other: Recurring financing requirement,Other: Philanthropic donation|Public finance- own budget|Grants,This program aims to continually improve the universal accessibility of municipal buildings. This program aims to support the City's commitments to diversity and social inclusion.,,30000000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,22,Row 22,Transport,Program for the conversion and renovation of public parking lots towards sustainable and resilient mobility hubs,Implementation,Project not funded and seeking partial funding,Public finance- own budget|Grants,"The parking lot conversion and repair program will allow the City to carry out several projects on the parking lots currently under its management, including: 1- The development of mobility hubs which involves the creation of attractive, safe and comfortable places and which concentrate a range of sustainable mobility services (car and bicycle parking, bike sharing, car sharing, drop-off points, electric charging stations, etc.), services related to mobility and information and orientation services, in a space that fits into the neighborhood and life daily life of its population. The deployment strategy developed in collaboration by the City and AMD provides for the establishment of several mobility hubs to serve the entire Montreal territory from 2024. 2- The eco-responsible conversion of parking lots involves the redevelopment of sites according to specific criteria aimed at greening, rainwater management, sustainable mobility, installation of charging stations for electric vehicles, user-friendliness and management sustainable (e.g.: pricing and pooling). The Montreal Regional Environmental Council has developed a certificate based on a point system and a series of measures which aim to integrate eco-responsibility criteria. This certificate will serve as a guide for the development of parking lots. Several lands have already been targeted for this type of redevelopment. The repair of parking lots involves major structural work of development, renovation, upgrading, improvement, replacement and repair required to ensure the sustainability of parking lots, in compliance with laws and regulations. applicable regulations. The work includes, without limitation, perimeter walls, concrete slab, mechanical and electrical systems, capitalizable work and others. For the conversion to eco-responsible parking spaces, a funding request was submitted in the summer of 2024 to the OASIS program of the Government of Quebec. The City is awaiting a response regarding this grant request.",,30000000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,23,Row 23,Transport,bike lane development project,Implementation,Other: recurring need for financing,Grants|Public finance- own budget,"In order to meet its safety, ecological transition and modal transfer objectives, the City of Montreal is continuing to deploy its cycling network.",,300000000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,24,Row 24,Transport,Acquisition and installation of charging stations for electric vehicles,Implementation,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"In accordance with its transportation electrification strategy, Montreal wishes to implement a large-scale network of level 2 public charging stations for electric vehicles with the objective of serving its entire territory by 2025. The deployment objective is to reach 2,000 terminals in 2025. To date, nearly 1,400 terminals have been deployed in Montreal. We are therefore continuing the deployment in order to implement 2000 charging stations for electric vehicles by 2025. Financial assistance was received from special funding outside the Quebec government program (PEV agreement), from the federal PIVEZ program. Other applications will possibly be submitted to the PIVEZ program, the Hydro-Québec bors program and the Accelerate local climate transition (ATCL) program of the Quebec government.",,65000000,52000000,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,25,Row 25,Transport,Development program and optimization of the BIXI self-service bike system,Implementation,Other: recurring need for financing,Public finance- own budget|Grants,BIXI is a self-service bicycle system. The City is constantly improving its service offering given its popularity and to be able to better serve the boroughs and the many users there. This program helps contribute to the targets for reducing the modal share of solo driving in Montreal.,,90600000,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,27,Row 27,Water management,Accelerate the development of eco-friendly parking lots and green stormwater management infrastructure across the territory of the City of Montreal to combat the impacts of heat waves and torrential rains,Implementation,Other: ,Public finance- national government|Public finance- own budget|Grants,"Project Objective\nThe goal of the project is to deploy a series of eco-friendly parking lots and green stormwater management infrastructures on sites identified as vulnerable to heat waves and torrential rains. Priority intervention sites were selected based on the methodology prescribed by the Government of Québec.\nWith this financial contribution, Montreal will transform eight public parking lots into eco-friendly parking areas and create green stormwater management infrastructures on six additional sites.\nPlanned Activities for Eco-Friendly Parking Lots\nThese include:\nRemoval of impermeable mineral surfaces and their replacement with permeable paving materials featuring a higher solar reflectance index;\nDevelopment of vegetated swales;\nTree and plant planting, along with the installation of furniture that supports local biodiversity;\nInstallation of fixed amenities for rest, leisure, and active transportation.\nThe City aims to achieve at least the first level of the Eco-Friendly Parking Lot Certification.\nPlanned Activities for Green Stormwater Management Infrastructure\nThese will be tailored to the specific context of each intervention site and include:\nDrainage swales and curb extensions;\nBioretention areas and rain gardens;\nBlue-green alleys;\nResilient parks.\nExpected Outcomes\nThe project is expected to:\nCreate or improve approximately 12,720 m² of green infrastructure;\nProtect between 8,739 and 13,410 vulnerable individuals through these developments.",,32235274,,
