disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Factors that affect ability to adapt,col2_Degree to which this factor challenges/supports the adaptive capacity of your jurisdiction,col3_Describe how the factor supports or challenges the adaptive capacity of your jurisdiction
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Inequality,Challenges: Significantly challenges,"By the time the civil rights movement of the 1950s -70s culminated, Charlotte was physically segregated by race and income. This led to concentrated poverty and a need to develop new strategies for affordability and investments. Some strategies have been successful in and around Uptown (e.g., First Ward Place, a mixed income, mixed tenure HOPE VI grant funded development), but the increased land and housing values in these areas has placed financial pressure on residents. Some communities have been able to use opportunities and their organizing power to become more stable, but only through their own effort. Today, neighborhood change, fear, and polarization inequitably impact historically African American areas. Charlotte currently has the second least amount of upward economic mobility of America's 50 largest cities. This impacts our future as a livable, vibrant, and sustainable place to live and do business. The City believes it must take responsibility for its role in creating, perpetuating, and otherwise turning a blind eye to this system of structural racism and that there are opportunities to be more accountable in its decisions around future growth and to better understand the consequences (intended and unintended) of those decisions. If we do not, we will exacerbate disparities, become more divided and risk losing the sense of community that is so uniquely Charlotte."
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Political stability,Supports: Significantly supports,Our governance structure is stable and results in good working relationship between the national and city governments in relation to climate change in both resourcing and knowledge sharing. City Council supports sustainability work. 
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,6,Row 6,Connectivity,Supports: Moderately supports,"Our roadway system is made up of the streets and highways that we rely on to get to work, services, and the activities of our daily lives. While this system has historically been focused on the vehicles, it is necessary to have a roadway system that can transport people and goods safely and reliably. A robust and connected system—made up of a hierarchy of streets ranging from highways to locals—provides advantages for all users of the network by shortening trips, expanding route choices and access to destinations, and distributing traffic across the system. Charlotte's regional highway system supports our economy, carrying more people and goods than any other transportation system in the region. Investment in our current highway system must focus improving safety and mobility and recognize that the way we built this system has inequitably created barriers and separated and displaced neighborhoods. We cannot solve congestion by building and widening more roads, but we can manage congestion through targeted capacity improvements, such as enhancing and expanding our street network to support mode choice and greater multimodal capacity overall."
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,7,Row 7,Community engagement,Supports: Significantly supports,"In order to create a Comprehensive Plan that is successful and meaningful, the values of the community must be central to the process and outcomes. This understanding is at the heart of the Charlotte Future 2040 Comprehensive Plan. Building on the efforts of previous engagement efforts, the Plan's equitable and inclusive process focused on hearing from a great number and variety of voices. What we learned from the community led to the development of guiding principles and vision elements that are true to Charlotte's character and the needs of all Charlotteans. As Charlotte continues to grow and welcome newcomers from around the country and the globe, it will be critical to foster a community ethic of diversity, equity, inclusion, and belonging. The values, vision, and goals for Charlotte embrace and celebrate differences, as well as the places and opportunities that unite us."
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,8,Row 8,Housing,Challenges: Moderately challenges,"Neighborhoods should include unique compositions of housing types, but they should also include some diversity of housing stock to help promote diversity, inclusion, and economic stability throughout the entire community. It can also be difficult for a family or household to stay within a neighborhood they desire as circumstances change if all the housing units that are available are of the same size and type. Different life circumstances can result in the need for owning or renting, a yard requiring lots of maintenance versus a relatively maintenance free attached unit, and one or two bedrooms as opposed to three or more. This variety helps support young families as well as seniors who want to age within their neighborhood. Access to housing opportunity in a neighborhood also results in access to the amenities, goods, services, and employment opportunities nearby. A variety of housing opportunities may reduce the barriers to entry into an area with the job of choice or right mix of opportunities nearby. Housing diversity is also an important aspect of creating an economically resilient community, with studies showing that neighborhoods with diverse housing choices have lower foreclosure and sales rates. https://www.cltfuture2040plan.com/docs/01-CF2040_Policy-Plan.pdf"
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,9,Row 9,Access to basic services,Challenges: Moderately challenges,"Charlotte has attracted growth and innovation for the last 130 years. Along with the innovation has come more wealth and jobs, bringing new people to the city. To new residents, Charlotte has offered a balanced quality of life with reasonably priced homes, diverse job opportunities, access to nature, and transportation choices. Yet, for those who were born in this city into a lower-income or Black household, the economic boom has been largely inaccessible. Charlotte's rapid growth comes with opportunities, new energy, and increased investment in the city, but it also brings with it additional pressures and strains on existing residents. Growth, among other factors, has led to home and rental prices outpacing median household income, leading to gentrification and the risk of displacement for many Charlotte residents."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Access to quality / relevant data,Challenges: Moderately challenges,"Monitoring climate change and adaptation is still relatively new for Sofia Municipality, creating data gaps that limit progress tracking and cost-benefit analysis of adaptation measures. Investments in digital tools and new methodologies are planned to address this challenge."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Housing,Challenges: Moderately challenges,"Much of Sofia's housing stock is old and energy-inefficient. Renovation and energy efficiency measures are progressing slowly, yet they are critical as they provide both mitigation benefits and adaptation co-benefits, such as improved indoor comfort during heatwaves."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Legal/Institutional constraints,Challenges: Moderately challenges,"Climate adaptation requires strong cross-departmental and multi-level governance. In Sofia, coordination across large administrative structures can be slow and complex, which moderately challenges effective adaptation planning and implementation."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Poverty,Challenges: Significantly challenges,"Low-income households are already disproportionately affected by climate hazards such as heat stress, flooding, and energy poverty. As climate impacts intensify, these inequalities will deepen, significantly constraining Sofia's adaptive capacity."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Public health,Challenges: Significantly challenges,"Sofia's aging and growing population places increasing pressure on health services, while climate change is expected to exacerbate risks through heat stress and the emergence of new vector-borne diseases. These combined pressures significantly challenge the city's adaptive capacity."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,6,Row 6,Rapid urbanization,Challenges: Significantly challenges,"Sofia's rapid population growth and new residential construction place significant pressure on infrastructure, public services, and the urban green system. Increased density also intensifies the urban heat island effect, significantly challenging the city's ability to adapt to climate impacts."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,7,Row 7,Budgetary capacity,Challenges: Moderately challenges,"Like many large cities, Sofia's budget is largely pre-allocated to essential services, which moderately constrains investment in adaptation. Additional resources depend on political prioritization of climate issues, but opportunities exist to attract funding through the EU Green Deal, the Recovery and Resilience Plan, and private capital."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,8,Row 8,Migration,Challenges: Moderately challenges,"Sofia already experiences significant internal migration driven by higher living standards and job opportunities, which increases pressure on housing and services. In the future, climate-induced migration could further amplify these challenges, moderately constraining adaptive capacity."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,9,Row 9,Environmental conditions,Supports: Somewhat supports,"The overall warming of the city may bring some benefits to do with:1) Decreased energy usage in winter months, though somewhat offset by increased usage in summer months2) Decreased impacts of particulate matter pollution (esp. pressing in winter) due to decreased heating needs in winter months. But also some challenges related to heat waves, negative effects of Urban heat island, and others."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,10,Row 10,Community engagement,Supports: Moderately supports,"In recent years, public awareness and engagement on climate change—especially among young people—has increased, supported by greater access to information and participation in municipal initiatives. This trend moderately supports Sofia's adaptive capacity by fostering citizen involvement in climate action."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,11,Row 11,Resource availability,Supports: Somewhat supports,Sofia is rich in tepid mineral water springs which gives it a great opportunity to develop geothermal local \'green\' energy.
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Budgetary capacity,Challenges: Significantly challenges,"The budgetary capacity of the City of Ljubljana represents a significant challenge to its ability to adapt to climate change. The city has limited budgetary autonomy and relies heavily on external sources of funding, particularly national and EU funds. The action plan includes several financially demanding measures whose implementation exceeds the municipality's own financial capacities. This dependence creates risks for the timely and comprehensive implementation of measures and limits the city's ability to respond flexibly to new and unforeseen climate challenges. Moreover, available funds are often competitive, administratively complex, and time-bound, which further complicates effective planning and implementation of adaptation actions."
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Infrastructure conditions / maintenance,Supports: Moderately supports,"Ljubljana's ongoing infrastructure modernisation, including energy-efficient buildings and sustainable mobility, strengthens adaptive capacity by reducing vulnerabilities and increasing resilience to climate impacts.\n\nAgeing infrastructure, especially in older parts of the city, presents a challenge, as the costs and complexity of retrofitting or upgrading can be substantial, hindering timely adaptation."
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Community engagement,Challenges: Moderately challenges," Strong public awareness campaigns and community involvement in projects, such as urban greening and waste management, help support adaptive capacity by promoting sustainable behaviours and community resilience.\n\nHowever, there is variability in engagement levels across different population groups, with some lacking the necessary understanding or motivation to adopt climate-friendly practices, which challenges the overall adaptive capacity."
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Legal/Institutional constraints,Supports: Moderately supports,"The regulatory alignment with national and EU climate frameworks - including Slovenia's Long-term Climate Strategy, the National Energy and Climate Plan (NEPN), and the Climate Neutrality Goal by 2030 - moderately supports Ljubljana's adaptive capacity. This alignment provides a clear policy framework, increases funding eligibility, and ensures coherence across planning levels. Institutional cooperation between the municipality, national ministries, and the Ljubljana Urban Region also contributes to coordinated action. Nevertheless, some regulatory and administrative procedures remain time-consuming and can occasionally delay implementation, especially in the area of infrastructure and spatial planning."
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,"Degradation, loss, and quality and quantity of green space and ecosystems",Supports: Moderately supports,"Ljubljana has a strong tradition of preserving green spaces and integrating nature into urban planning. This is supported by initiatives such as the Green Capital of Europe (2016) and a comprehensive green space management strategy. The city offers a relatively high share of green areas per capita and uses zoning regulations to prevent development in high-risk areas. These efforts enhance adaptive capacity by reducing exposure to climate risks such as heatwaves and flooding, while improving urban biodiversity and resilience. However, densification and space constraints limit the potential for expanding nature-based solutions in some areas."
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,6,Row 6,Land use planning,Challenges: Moderately challenges,"Land use planning in Ljubljana incorporates various measures to support climate adaptation; however, certain challenges remain. These include balancing competing interests such as urban expansion and the preservation of agricultural land and green spaces, especially in areas with limited available space. High population density in some city districts can limit opportunities to introduce additional nature-based solutions, such as new green corridors or water retention areas."
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,7,Row 7,Technical capacity,Challenges: Moderately challenges,"The presence of skilled professionals and established research institutions enhances Ljubljana's adaptive capacity by facilitating the design and implementation of advanced climate solutions. \n\nThe limited availability of highly specialized technical experts in certain areas, such as renewable energy integration or nature-based solutions, can hinder adaptive measures' effectiveness and timely implementation."
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,8,Row 8,Legal/Institutional constraints,Challenges: Significantly challenges,"Legal and institutional constraints significantly challenge Ljubljana's adaptive capacity. While national and EU frameworks provide strategic climate policy direction, in practice, complex regulatory procedures, fragmented institutional responsibilities, and protracted approval and compliance processes - especially in areas such as infrastructure implementation, spatial planning present substantial barriers. These legal and administrative burdens often lead to delays or prevent the full implementation of adaptation measures. The rigidity of the current institutional setup limits the city's ability to respond swiftly and effectively to emerging climate-related risks, undermining timely adaptation despite Ljubljana's strong political commitment to climate neutrality."
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Infrastructure conditions / maintenance,Challenges: Significantly challenges,There is no coordinated effort to increase the city's infrastructure resilience to climate hazards. Initial plans are laid out but significant efforts and\npulling of effort will be needed in the coming period to address all the relevant infrastructure issues.
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Legal/Institutional constraints,Challenges: Significantly challenges,Severely understaffed considering the amount of effort that the adaptation process needs. 
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Budgetary capacity,Challenges: Moderately challenges,Energy and climate topics (climate adaptation included) don't have the necessary budgetary representation in the overall scope of activities\nwithin the city.
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Access to quality / relevant data,Challenges: Moderately challenges,"Data on infrastructure is generally in good order, but severely fragmented across different databases and infrastructure owners/providers. City's\nefforts need to focus on polling various databases and creating a common climate adaptation approach to infrastructure data management.\nHowever, because of various organizational/ownership issues, that'll be a challenge."
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Land use planning,Challenges: Moderately challenges,Climate adaptation activates are not yet part of the overall land use planning activities.
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Budgetary capacity,Challenges: Significantly challenges,"Due to the difficult budget situation in municipalities, financial resources for climate adaptation cannot be provided to the extent that would be necessary in view of the rapidly advancing climate change. \nThis factor has intensified since the 2025/2026 budget was drawn up, as savings measures were imposed on the city by the regional council. Annual savings targets must now be met, which makes it more difficult to finance additional climate-related measures."
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Access to quality / relevant data,Supports: Significantly supports,"The Mannheim climate analysis (https://stadtklimaanalyse-mannheim.de/) is helpful for future planning processes . It helps to maintain urban green spaces and fresh air delivery into the dense inner city.Numerical data is publicly displayed on the city's geoportal. Furthermore, there is the smart city mannheim gmbh, which collects environmentally relevant data with measurement technology. "
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Infrastructure conditions / maintenance,Challenges: Moderately challenges,"Infrastuctures are affected by heavy rain events, for example inondated basements, falling trees on cars and houses etc. Heat can also damage infrastructues, for example, street blow ups can cause car accidents.\nThe last specific incidents of road damage caused by heat occurred in June/July 2025."
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Environmental conditions,Challenges: Moderately challenges,"The trees of the forest of Mannheim are not well adapted to long periods of droughts. A wider variety of trees needs to be planted in the following decades to become more climate resilient. Additionally, urban green spaces are under stress in drought and heat situations and die off. Forests and urban green are very important for rainwater infiltration and heat reduction at the same time. That is why they need to be well maintained and irrigated if necessary.In addition, further staff capacities are also needed."
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Public health,Challenges: Significantly challenges,"Increasing heat waves during summer months have an impact on human health, especially for elders, children and people who already suffer from sickness. However, people who work outside and the overall population is affected. Higher morbidity and mortality occur during heat waves which stresses health systems - higher use of capacity of hospitals, more ambulance calls etc. Health care workers have higher work load and are also affected by the heat. \nIt can be proven that there is an increase in medical interventions during hot periods."
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Access to quality / relevant data,Supports: Significantly supports,"The Hague conducts research with partners on the effects of climate change on the city and on its citizens, and what actions in the short, medium, and long-term are necessary to adapt to these changes."
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Land use planning,Challenges: Moderately challenges,Much of The Hague's territory is owned by private persons or corporations which make changes (such as replacing pavement for greener options which are better suited for hard rainfall) sometimes difficult. 
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Community engagement,Supports: Significantly supports,"Duurzaam Den Haag (DDH) is an independent foundation whose mission is to encourage initiatives from both residents and entrepreneurs to make The Hague more sustainable. By interconnecting these parties and linking them with the municipality, with employers and other parties, they expand the impact of new and existing initiatives that make The Hague more sustainable."
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Housing,Challenges: Somewhat challenges,There are still many older houses with vulnerable basements which need to be protected from flash floods.
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Infrastructure conditions / maintenance,Supports: Moderately supports,the ministry for transport maintains the seashore protection at a very reliable level. 
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,6,Row 6,Community engagement,Challenges: Somewhat challenges,"Still a few remaining isolated segments of people which need to be informed of new risks, such as elderly and homeless. "
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Political engagement / transparency,Supports: Significantly supports,"In 2022, the New Zealand National Adaptation Plan was unveiled, accompanied by Auckland's own climate plan known as the Auckland Climate Plan. These initiatives provide overarching guidance, prompting the Auckland Council to actively develop a comprehensive framework for adaptation work programs. The occurrence of recent extreme weather events in 2023, such as flooding and cyclone Gabrielle, has spurred increased political engagement in the field of climate change adaptation."
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Resource availability,Challenges: Significantly challenges,"Resourcing constraints (funding, capacity and capability)"
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Legal/Institutional constraints,Challenges: Significantly challenges,Lack of a national framework and clarity across sectors around risk and ability/responsibility to fund adaptation. Lack of direction from central governments
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Other: Local diversity of landscape and people and differences in vulnerability/adaptive capacity,Challenges: Significantly challenges,Local diversity of landscape and people and differences in vulnerability/adaptive capacity
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Housing,Challenges: Significantly challenges,"Due to building code standards that are significantly less than many other OECD countries, our housing stock is generally not very energy efficient and falls below WHO indoor temperature guidelines; and in many cases it can be damp and mouldy. The implications of this include unnecessary greenhouse gas emissions, unnecessarily high power bills and negative health outcomes. To illustrate challenges surrounding energy efficiency, not until the Residential Tenancy Act 2016 were rental properties in New Zealand required to retrofit underfloor and ceiling insulation. However, land and housing prices are extremely high in New Zealand, owing to the general lack of supply. These costs are thus prohibitory to upgrading existing housing stock to be more energy efficient and resilient, or to build new houses to a significantly higher standard. Councils do not have the ability to require higher standards than what is set nationally, so this increases challenges to support change. The Government has recognised these challenges and is putting measures in place for more affordable housing, along with notifications of improving the building code to focus on sustainability, including the Healthy Homes Standards for rental properties and increasing insulation and efficiency standards in new builds. "
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Access to quality / relevant data,Supports: Moderately supports,"New Zealand has a high natural hazard risk, which has provided significant opportunity for data observation, collection, and interpretation. Working with regional councils, Earth Sciences NZ, National and Regional Emergency Management agencies and local universities among others, allows Wellington access to a range of relevant data. This allows the modelling of potential future scenarios that could affect the city, particularly around sea level rise and flooding risk."
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Land use planning,Challenges: Significantly challenges,"Wellington City is a coastal peninsula with very hilly terrain. Most viable land has already been built on, leaving little room for horizontal expansion. The CBD, including many important public facilities, was built before we had a comprehensive understanding of Wellington's hazardscape. There is significant legacy investment that is part of the City's identity such the waterfront zone which houses art galleries, the national museum, the central library and our civic centre buildings. Wellingtonians are connected to and cherish these developments that are on reclaimed, liquifiable coastal soils. Having a compact CBD area would support higher density and vertical planning; however, much of the land in this area has been built on reclaimed land from previous earthquake events, and is highly susceptible to sea level rise, liquefaction and ground-shaking potential. Our District Plan was updated in 2024 including new hazard mapping and zones. A new spatial plan is being developed over the coming year which will use available hazard information to inform areas prioritised for growth."
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Budgetary capacity,Challenges: Significantly challenges,"Wellington City Council does not have the budgetary capacity to climate-proof Wellington city to cope with the impacts of climate change. Funding and guidance from Central Government is critical to ensuring Wellington will be able to adequately adapt to the coming impacts. A National Adaptation Framework and associated legislation is expected from Central Government in the coming year which should provide clarity on the roles and responsibilities between central and local government, insurers and property owners."
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Infrastructure capacity,Challenges: Significantly challenges,"Anticipating a larger volume of water in the form of sea-level rise, increased rainfall, storm surges, and flooding will pose immense challenges for the current capacity of water infrastructure, especially for our stormwater and wastewater management. Our current 3 waters network requires significant maintenance and upgrading throughout the city, where a significant amount of infrastructure already finds itself below the high tide mark. This makes the already aging network susceptible to saltwater inundation, coastal erosion and hydraulic locking during high rainfall events, increasing capacity pressure."
