disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,What language are you submitting your response in?
2025 Disclosure Cycle,779465,CDP,50371,Municipalidad de Córdoba,City,Latin America,Argentina,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50374,Alcaldia Distrital de Cartagena de Indias,City,Latin America,Colombia,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50375,Ayuntamiento de Chihuahua,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50381,Municipio de Torreón,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50382,Municipio de Mérida,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50383,Prefeitura de Sorocaba,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50384,Prefeitura de Florianópolis,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50385,Prefeitura de Campo Grande,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50394,Prefeitura Municipal de João Pessoa,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50396,Prefeitura Municipal de Santos,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50397,Presidencia Municipal de Saltillo,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50401,"City of Madison, WI",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50541,"City of Greensboro, NC",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50545,"City of Henderson, NV",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50550,"City of Buffalo, NY",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50551,"City of Long Beach, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50558,"City of London, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50559,"City of St Catharines, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50562,"City of Chula Vista, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50565,"City of Toledo, OH",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50566,"City of Anchorage, AK",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50568,"City of Saskatoon, SK",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50569,"City of Stockton, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50572,"City of Saint Paul, MN",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50577,"City of Wichita, KS",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50578,"City of Windsor, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50579,"City of Winnipeg, MB",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50650,City of Gibraltar,City,Europe,Gibraltar,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50664,Municipality of Almada,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50673,Municipality of Faro,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,51075,City of Shenzhen,City,China,China,Public,Q1.1,What language are you submitting your response in?,,,Chinese
2025 Disclosure Cycle,779465,CDP,51374,Prefeitura de Rio Branco,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,52638,Prefeitura de Aracaju,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,52896,"City of Fort Lauderdale, FL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,53931,"City of Alexandria, VA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,53937,"City of Naperville, IL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,53959,"City of Fayetteville, AR",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54026,"City of Tacoma, WA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54027,"City of St. John's, NL",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54030,"City of Little Rock, AR",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54034,"City of Grand Rapids, MI",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54040,"City of Regina, SK",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54060,"City of Greater Sudbury / Grand Sudbury, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54075,"City of Lakewood, CO",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54080,"City of Sunnyvale, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54084,"City of Guelph, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54088,"City of Peterborough, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54092,"City of Ann Arbor, MI",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54096,"City of Saint John, NB",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54098,"City of Thunder Bay, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54100,"City of Columbia, MO",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54102,"City of Albany, NY",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54104,"City of Boulder, CO",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54105,"City of Duluth, MN",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54109,"City of Bloomington, IN",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54110,"City of Santa Monica, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54111,"City of Iowa City, IA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54113,"City of Flagstaff, AZ",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54114,"City of Asheville, NC",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54116,"City of Dubuque, IA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54119,"City of Palo Alto, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54124,"City of Fremont, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54125,"City of Boise, ID",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54128,"City of Reno, NV",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54144,City of Yarra,City,South East Asia & Oceania,Australia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54253,Wollongong City Council,City,South East Asia & Oceania,Australia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54268,Dunedin City Council,City,South East Asia & Oceania,New Zealand,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54277,New Plymouth District Council,City,South East Asia & Oceania,New Zealand,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54290,Qingdao Municipal Government,City,China,China,Public,Q1.1,What language are you submitting your response in?,,,Chinese
2025 Disclosure Cycle,779465,CDP,54293,People's Government of Guangzhou Municipality,City,China,China,Public,Q1.1,What language are you submitting your response in?,,,Chinese
2025 Disclosure Cycle,779465,CDP,54298,Dalian Municipal People's Government,City,China,China,Public,Q1.1,What language are you submitting your response in?,,,Chinese
2025 Disclosure Cycle,779465,CDP,54305,Rajkot Municipal Corporation,City,India,India,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: Bahasa Indonesia
2025 Disclosure Cycle,779465,CDP,54308,Coimbatore City Municipal Corporation,City,India,India,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54310,Government of Palembang,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54318,Government of Tangerang City,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: indonesia
2025 Disclosure Cycle,779465,CDP,54327,Semarang City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: Indonesi
2025 Disclosure Cycle,779465,CDP,54328,City of Niigata,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,54329,Bogor City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: Bahasa Indonesia
2025 Disclosure Cycle,779465,CDP,54330,City of Kawasaki,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,54331,City of Sagamihara,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,54335,Government of the City of Yogyakarta,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: Indonesia
2025 Disclosure Cycle,779465,CDP,54337,Greater Amman Municipality,City,UKWW,Jordan,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54339,Denpasar City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: 
2025 Disclosure Cycle,779465,CDP,54341,Toyama City,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,54345,City Government of Davao,City,South East Asia & Oceania,Philippines,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54348,The Local Government of Quezon City,City,South East Asia & Oceania,Philippines,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54349,Balikpapan City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: 
2025 Disclosure Cycle,779465,CDP,54354,City Government of Makati,City,South East Asia & Oceania,Philippines,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54361,Petaling Jaya City Council,City,South East Asia & Oceania,Malaysia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54385,Pak Kret City Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54386,Tainan City Government,City,China,East Asia,Public,Q1.1,What language are you submitting your response in?,,,Chinese
2025 Disclosure Cycle,779465,CDP,54388,Iskandar Regional Development Authority,City,South East Asia & Oceania,Malaysia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54389,Taichung City Government,City,China,East Asia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.1,What language are you submitting your response in?,,,Other: ไทย
2025 Disclosure Cycle,779465,CDP,54395,Taoyuan City Government,City,China,East Asia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54402,City of Lahti,City,Europe,Finland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54403,City of Tampere,City,Europe,Finland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54408,Aarhus Municipality,City,Europe,Denmark,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,City,Europe,Finland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54448,City of Augsburg,City,Europe,Germany,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54459,City of Reykjavík,City,Europe,Iceland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54467,Municipality of Eindhoven,City,Europe,Netherlands,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54478,Municipality of Nijmegen,City,Europe,Netherlands,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54509,Jönköping Municipality,City,Europe,Sweden,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54516,Norrköping Municipality,City,Europe,Sweden,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54519,Lund Municipality,City,Europe,Sweden,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54529,City of Leicester,City,UKWW,United Kingdom,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54530,City of Brighton & Hove,City,UKWW,United Kingdom,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,City,Latin America,Colombia,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,54613,Alcaldia de Valdivia,City,Latin America,Chile,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,City,Latin America,Colombia,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,54637,Alcaldía de Cuenca,City,Latin America,Ecuador,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,54638,Prefeitura de Louveira,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54647,Prefeitura de Jundiaí,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54651,Prefeitura de Santo André,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54667,Prefeitura Municipal de Contagem,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54670,Prefeitura Municipal de Capivari,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54674,Prefeitura Municipal de Caxias do Sul,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54676,Prefeitura Municipal de Ponta Grossa,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54693,Prefeitura Municipal de Ribeirão Preto,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,54699,Prefeitura Municipal de Barueri,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,55161,City of Iida,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,55180,City of Shizuoka,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,55317,County Galway,City,Europe,Ireland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,55324,Municipality of Guimarães,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,55325,Municipality of Águeda,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,55334,Municipality of Braga,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,55468,"City of Thousand Oaks, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,55800,"City of Cambridge, MA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,55801,"City of West Palm Beach, FL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,56276,New Taipei City Government,City,China,East Asia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,57347,Pingtung County Government,City,China,East Asia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,57408,Çanakkale Municipality,City,UKWW,Türkiye,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,57509,Prefeitura de Niterói,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,58413,"City of Carmel, IN",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58489,Høje-Taastrup Municipality,City,Europe,Denmark,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58513,"City of Medford, MA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58590,"City of Easton, PA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58595,Municipalidad de Belén,City,Latin America,Costa Rica,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,58597,Municipalidad de La Unión,City,Latin America,Costa Rica,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,58613,City of York Council,City,UKWW,United Kingdom,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58668,"City of New Bedford, MA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58671,Helsingør Municipality,City,Europe,Denmark,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58866,Beşiktaş Municipality,City,UKWW,Türkiye,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,58871,"City of Salem, MA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59151,City of Akureyri,City,Europe,Iceland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59166,Municipalidad de Independencia,City,Latin America,Chile,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,59167,Municipalidad de Providencia,City,Latin America,Chile,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,59532,"City of Hoboken, NJ",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59536,"City of Kitchener, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59537,"City of Denton, TX",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59538,"City of Mississauga, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59545,"City of Charlottesville, VA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59562,"City of Urbana, IL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59563,"City of Takoma Park, MD",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59572,"District of Saanich, BC",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59588,"Town of Chapel Hill, NC",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59609,"City of Concord, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59633,"City of Santa Cruz, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59653,"City of Manhattan Beach, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59677,"City of Mountain View, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59678,"City of Evanston, IL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59696,"City of Longmont, CO",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59708,"City of Bethlehem, PA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59956,Banda Aceh City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,59957,Samarinda City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: 
2025 Disclosure Cycle,779465,CDP,59958,Tweed Shire Council,City,South East Asia & Oceania,Australia,Public,Q1.1,What language are you submitting your response in?,,,English
