disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Climate action plan type^,col2_Plan attachment^,"col3_Name of plan and URL link, if applicable^",col4_Confirm attachment/link provided to plan,col5_Boundary of plan relative to jurisdiction boundary,col6_Processes for monitoring evaluation and updates of plan^,col7_Plan status/progress towards plan,col8_Funding sources and financial instruments to finance plan,col9_Communities and organizations engaged,col10_Describe if and how climate-related scenarios have informed the plan,col11_Primary author(s) of plan^,"col12_Assessment of co-benefits, trade-offs, and synergies of actions included in plan",col13_Year of formal approval of plan^,col14_End year of plan,col15_Total cost of implementation of plan (in currency specified in 1.2),col16_Sectors covered by action plan,col17_Please explain
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,Integrated climate plan (addressing mitigation and energy),,"Climate and Environmental Plan 2018-2030, https://www.stavanger.kommune.no/siteassets/renovasjon-klima-og-miljo/miljo-og-klima/climate-and-environmental-plan-stavanger-2018-2030---final-version.pdf",The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Update: Updates to the plan are published every 3-5 years|Evaluation: Evaluation of plan takes place every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported every 1-3 years,Underway - significant progress made,International (including ODA)|National funds and programmes|Jurisdiction's own resources|Regional funds and programmes|Private,National government and/or agencies|State/regional government(s) and/or agencies|Citizens|Local government (s) and/or agencies|Academia|Business and private sector|Non-governmental organisations,"The plan was adopted in 2018, informed by the then understanding of the need for rapid reductions to reach the global target and support the national target.",Dedicated team within jurisdiction|Relevant department within jurisdiction,Other: Synergies and cobenefits are to some degree qualitatively described,2018,2030,,,According to guidelines the need for revisioning the plan is performed at least every four years.
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,Standalone mitigation plan,,"Climate budget 2025, https://pub.framsikt.net/2025/stavanger/bm-2025-h%C3%B8p_2025-2028#/generic/summary/540a31fe-9704-4fd1-8da7-881cc4ba018e-cn",The plan can be accessed (unrestricted) on the link provided,"Other: biogenic agricultural emissions excluded. waste,wastewater, landfill and aviation in neighbouring municiplaities included",Update: Updates to the plan are published annually or more frequently than annually|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Evaluation: Evaluation of plan takes place annually or more frequently than annually,Underway - moderate progress made,Jurisdiction's own resources,State/regional government(s) and/or agencies|Business and private sector|Local government (s) and/or agencies,"When Stavanger launched its first climate budget in 2019, the city began tracking its carbon emissions alongside its finances. It is an approach to mainstreaming climate into decision-making processes. This is an important tool for monitoring our efforts towards the climate goal. The climate budget presents recent emissions levels and expected future trends, and a detailed breakdown of the measures planned to get there. The effect of new climate measures are estimated based on a baseline scenario with existing measures. The baseline scenario is an integral part of estimating the potential impacts of climate measures that are decided in the climate budget process.",Relevant department within jurisdiction,Plan assesses trade-offs of actions,2023.0,2027,,"Other: Other, please specify",The climate budget describes the sectores covered by our emission inventory.
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,Integrated climate plan (addressing mitigation and energy),,Climate and Environment Action Plan 2022 - 2026: https://www.stavanger.kommune.no/renovasjon-og-miljo/miljo-og-klima/handlingsplan-2022-2026/,The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Update: Updates to the plan are published every 3-5 years|Evaluation: Evaluation of plan takes place every 3-5 years,Underway - moderate progress made,Jurisdiction's own resources|National funds and programmes|Regional funds and programmes,Business and private sector|Citizens|National government and/or agencies|Vulnerable population groups|Non-governmental organisations|State/regional government(s) and/or agencies|Trade unions|Local government (s) and/or agencies|Academia,The newest knowledgebase informed the work when developing the plan,Relevant department within jurisdiction,Plan assesses synergies of actions|Plan assesses co-benefits of actions,2022,2026,,"Administrative and support service activities|Transportation and storage|Waste management|Water supply|Information and communication|Sewerage, wastewater management and remediation activities|Conservation|Fishing|Agriculture|Electricity, gas, steam and air conditioning supply|Construction|Public administration and defence; compulsory social security",
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",4,Row 4,Standalone adaptation plan,Saksframlegg flomvernprosjekt 2021.PDF,"Flood Protection Project Stavanger City Center, https://einnsyn.no/api/v2/fil?iri=http://data.einnsyn.no/d1c9f76c-ede3-4371-9f69-b24647866fbb ",The plan has been attached and can be accessed (unrestricted) on the link provided,"Other: Covers the city center of the municipality, which is most vulnerable to sea level rise.",Monitoring: Information on progress of plan is monitored and publicly reported every 3-5 years|Update: Updates to the plan are published every 3-5 years|Evaluation: Evaluation of plan takes place every 3-5 years,Underway - moderate progress made,Jurisdiction's own resources,Business and private sector|Local government (s) and/or agencies|State/regional government(s) and/or agencies,"The municipality bases its plan on the latest publications on sea level rise and updates it as needed. A new report on sea level rise in Norway was released in 2024 by the Norwegian Climate Service Center, and the Directorate for Civil Protection and Emergency Planning also released a guide for 'Sea Level Rise and High Water Levels in Community Planning' in 2024. The municipality follows national recommendations on which scenario to base the plan on.",Dedicated team within jurisdiction,"Plan does not assess synergies, trade-offs and co-benefits of actions",2021,2026,,"Sewerage, wastewater management and remediation activities|Transportation and storage|Conservation","The project includes analysis, assessment, and recommended strategy for flood protection in the center of Stavanger. A new analysis of a new sub-area of the city center will be presented, along with an update on the flood protection work for the city center during 2025. Furthermore, a new plan must be developed for how to follow up on the analyses going forward."
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",5,Row 5,Standalone adaptation plan,SKybruddsplan handlingsplan 2024.PDF,https://einnsyn.no/api/v2/fil?iri=http://data.einnsyn.no/a2ee9489-81b4-4461-9939-c94518aa801a,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported every 1-3 years,Underway - moderate progress made,Jurisdiction's own resources,Local government (s) and/or agencies,The cloudburst action plan is based on two different scenarios/precipitation events: a 100-year rainfall and a 1000-year rainfall.,Dedicated team within jurisdiction,"Plan does not assess synergies, trade-offs and co-benefits of actions",2024,2026,,"Information and communication|Sewerage, wastewater management and remediation activities","The cloudburst action plan aims to follow up on vulnerable areas and objects identified in the cloudburst plan. Measures must be prioritized, and progress depends on financial allocations."
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",6,Row 6,Integrated climate plan (addressing mitigation and adaptation),vedtatt-gronn-plan-del-2-hoveddokument.pdf,https://www.stavanger.kommune.no/samfunnsutvikling/planer/temaplaner/gronn-plan-del-2--temaplan/#34746,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported every 5+ years|Update: Updates to the plan are published every 5+ years|Evaluation: Evaluation of plan takes place every 5+ years,New,Jurisdiction's own resources,Non-governmental organisations|Business and private sector|Local government (s) and/or agencies|State/regional government(s) and/or agencies|Trade unions|Academia|Vulnerable population groups|Citizens|National government and/or agencies,"The Green Plan builds on the knowledge base from Part 1 and aims to contribute to climate adaptation through strategies and concrete measures. Part 1 points out that changes in temperature and precipitation affect biodiversity and may lead to the loss of vulnerable species and ecosystems. Part 2 emphasizes, among other things, that the preservation of nature and green structures can help protect against extreme weather events such as floods and heatwaves. Nature-based solutions are to be prioritized, including the reopening of streams and the establishment of green corridors",Dedicated team within jurisdiction,Plan assesses co-benefits of actions|Plan assesses trade-offs of actions|Plan assesses synergies of actions,2023,2040,,Other: Parks and natural areas,"Preserving nature is a vital part of climate adaptation, and the Green Plan is the most central strategy and plan for Stavanger Municipality in this regard."
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",,Klimaløftene - Municipal sub-masterplan for energy and climate 2024-2030 (link: https://www.trondheim.kommune.no/globalassets/10-bilder-og-filer/17-barekraft/kommunedelplan-for-energi-og-klima-vedtatt.pdf),The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Update: Updates to the plan are published every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Evaluation: Evaluation of plan takes place every 3-5 years,Underway - moderate progress made,"Private partnerships (e.g., a combination of private investments)|Jurisdiction's own resources|Regional funds and programmes|Private|National funds and programmes|Public-private partnerships",Vulnerable population groups|National government and/or agencies|Citizens|Non-governmental organisations|Trade unions|Academia|Business and private sector|Local government (s) and/or agencies|State/regional government(s) and/or agencies,"Klimaløftene is the new plan that replaces the energy and climate plan approved in 2017. High emissions scenarios (RCP 8.5) are used as the basis for these scenarios. It outlines the strategic vision for tackling energy and climate-related challenges and serves as a foundation for various initiatives, including the annually revised climate budget and action plan, as well as Trondheim's Climate City Contract to the EU's Cities Mission. ",Dedicated team within jurisdiction|Relevant department within jurisdiction,Plan assesses synergies of actions|Plan assesses co-benefits of actions,2024,2030,,"Administrative and support service activities|Manufacturing|Construction|Agriculture|Real estate activities|Water supply|Public administration and defence; compulsory social security|Conservation|Sewerage, wastewater management and remediation activities|Waste management|Transportation and storage|Electricity, gas, steam and air conditioning supply|Information and communication|Forestry","The energy and climate plan has the legal status of a \'sub-masterplan\', which is an extension of the municipal master plan. The status of implementation is reported on in the municipal annual report. The annual Climate Budget provides a detailed list of actions.The climate adaptation chapter is supplemented by a dedicated Thematic Plan for Climate Adaptation, which includes an action plan.\nFour goals: climate-neutral, energy-smart, circular and climate-resilient.\nNine focus areas with specific actions: nature and land use / energy and power / mobility and transport / buildings and constructions / consumption and waste / carbon sequestration for climate neutrality / climate adaptation and civil preparedness / just transition and public health / business and workforce"
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,Standalone mitigation plan,,"Climate Budget 2025 (chapter 2 of this document, link: https://www.trondheim.kommune.no/contentassets/eeb1e076e212418cbb95cbae32aba401/byradets-forslag-til-handlings--og-okonomiplan-2025-2028--budsjett-2025.pdf)",The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place annually or more frequently than annually|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Update: Updates to the plan are published annually or more frequently than annually,Underway - moderate progress made,Regional funds and programmes|National funds and programmes|Private|Jurisdiction's own resources,State/regional government(s) and/or agencies|Local government (s) and/or agencies|Academia|National government and/or agencies|Business and private sector|Non-governmental organisations,"The climate budget is based on emissions scenarios for the four-year budgeting period in 2025-2028. A baseline scenario is used to estimate the effect of concrete measures that are in the implementation phase. Together these calculations enable us to calculate an \'action emissions pathway\', which is compared to a \'target emissions pathway\'. The yearly update of the climate budget enables a process of continuous evaluation, reporting and improvement where the goal is to close the \'emissions gap\' between the \'action emissions pathway\' and the \'target emissions pathway\'.",Dedicated team within jurisdiction,Plan assesses synergies of actions,2024,2028,612000000,"Real estate activities|Transportation and storage|Waste management|Electricity, gas, steam and air conditioning supply|Construction","From 2021 the climate change mitigation and energy measures have been integrated directly into the yearly four-year municipal budget (\'Climate Budget\'). The Climate Budget is a dedicated climate chapter in the yearly municipal budget and action plan. The climate budget is a cross-sectoral tool for the operationalisation of the Municipal Plan for Energy and Climate that allocates responsibility for implementation and/or coordination of measures, in addition to centralized mechanisms for the allocation of municipal funds and reporting. It comprises 1) an emissions framework detailing business as usual compared to a emissions reduction pathway for the next four years, 2) a list of measures, with allocation of responsibility for implementation and/or reporting to the relevant municipal department, 3) a description of funding for climate measures. \nThe implementation of the measures within the climate budget are reported together with the twice-yearly financial reports from the city administration to the city council. The measures contained within the plan are city-wide and include measures to be carried out by external stakeholders. The financial aspect of the climate budget is restricted to the municipalities own funding streams (in combination with national grants). The costs referred to above are the total investment and running costs allocated directly to the climate budget in the administrative budget. The city council also made some additional funding available when passing the budget."
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",4,Row 4,Standalone adaptation plan,,Thematic Plan for Climate Change Adaptation 2021-2025 (link: https://sites.google.com/trondheim.kommune.no/klimatilpasning/start),The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Update: Updates to the plan are published every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Evaluation: Evaluation of plan takes place every 5+ years,Underway - significant progress made,Jurisdiction's own resources|Regional funds and programmes|National funds and programmes,National government and/or agencies|Local government (s) and/or agencies|Academia|Business and private sector|State/regional government(s) and/or agencies|Citizens,The national authorities require local authorities to base their climate adaptation planning and risk analysis on the UNFCC scenarios for \'business as usual\'The Thematic Plan therefore is based on an RCP 8.5 scenario,Relevant department within jurisdiction|Dedicated team within jurisdiction,Plan assesses co-benefits of actions,2022,2025,,"Human health and social work activities|Sewerage, wastewater management and remediation activities|Agriculture|Waste management|Water supply|Conservation|Administrative and support service activities|Forestry|Transportation and storage","Trondheim municipality has adopted a thematic plan for climate change adaptation, based on the municipal sub-masterplan for energy and climate. The thematic plan contains a climate vulnerability assessment for Trondheim, and an action plan with adaptive actions that will be implemented during the periode 2021-2023, with the goal of making Trondheim a climate-robust city. The plan was adopted by the city council on 3rd February 2022. The thematic plan includes an action plan with 67 measures that are to be reported on to the city council annually. A revised action plan for 2026-2030 is underway and is planned adopted at the end of 2025."
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Green strategy summary.pdf,Green Strategy: Climate strategy for Bergen (the attached plan is a draft of the English version of the strategy),The plan has been attached,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,,Jurisdiction's own resources|Regional funds and programmes|International (including ODA)|National funds and programmes,Business and private sector|State/regional government(s) and/or agencies|Citizens|National government and/or agencies|Academia|Local government (s) and/or agencies,,Dedicated team within jurisdiction,Plan assesses trade-offs of actions|Plan assesses co-benefits of actions|Plan assesses synergies of actions,2023,2030,,Other: ,"The strategy aims for Bergen to be a low-emission society in 2030, and a 1.5-degree society in 2050. The strategy is made up of four sub-strategies to achieve the goals.1) Bergen must cut 85 per cent of direct greenhouse gas emissions by 2030, compared to 2009.2) Bergen takes care of the resources. In 2030, material consumption, indirect emissions and the amount of waste have been reduced. At least 65 percent of the waste becomes new resources.3) Bergen values and strengthens nature so that it can store carbonand deal with the effects of climate change. In 2030, we have solutions that benefit both nature and the climate.4) In 2030, Bergen is equipped to handle the effects of climate changeand exploits the opportunities in the transition to a low-emission society."
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,,,,The plan has been attached,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,Integrated climate plan (addressing mitigation and adaptation),Avfallsplan för Umeåregionen.pdf,https://www.umea.se/download/18.acd98cd176832469382864/1611227504554/Avfallsplan_Ume%C3%A5regionen.pdf,The plan has been attached,"Other: Larger - covers the whole jurisdiction and adjoining areas, please explain",Evaluation: Evaluation of plan takes place every 1-3 years,,Other: Waste tax,Local government (s) and/or agencies,,Relevant department within jurisdiction|Dedicated team within jurisdiction,Do not know,2020.0,2025.0,,,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Åtgärdsprogram för Umeå kommuns miljömål 2022-2025.pdf,https://www.umea.se/download/18.6c2cab7b185dc86832f1b02c/1674813785703/%C3%85tg%C3%A4rdsprogram%20slutversion%20antagen%202022-12-06.pdf,The plan has been attached,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,,Jurisdiction's own resources|National funds and programmes,Citizens|Non-governmental organisations|Business and private sector,,Dedicated team within jurisdiction|Relevant department within jurisdiction,"Plan does not assess synergies, trade-offs and co-benefits of actions",2022.0,2025.0,,"Sewerage, wastewater management and remediation activities|Construction|Transportation and storage|Water supply|Real estate activities|Forestry|Information and communication|Electricity, gas, steam and air conditioning supply|Agriculture",A new climate mitigation plan is under development are planned to be adopted in end of 2021 or beginning of 2022. . 
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",4,Row 4,Integrated climate plan (addressing mitigation and adaptation),Comprehensive Plan for Umeå Municipality.pdf,https://www.umea.se/download/18.250f9659174ae4b9794118a/1601372026948/Comprehensive%20Plan%20for%20Ume%C3%A5%20Municipality.pdf,The plan has been attached,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,,,,,,Dedicated team within jurisdiction|Relevant department within jurisdiction,Plan assesses co-benefits of actions|Plan assesses synergies of actions,2018.0,2035.0,,"Sewerage, wastewater management and remediation activities|Waste management|Information and communication|Administrative and support service activities|Human health and social work activities|Construction|Forestry|Public administration and defence; compulsory social security|Electricity, gas, steam and air conditioning supply|Transportation and storage|Water supply",City of Umeå comprehensive plan 
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",5,Row 5,Integrated climate plan (addressing mitigation and adaptation),Renare luft i Umeå - Åtgärdsprogram 2021.pdf,https://www.umea.se/download/18.463658d2177d4c931e07dd/1614693456592/Renare%20luft%20i%20Ume%C3%A5%20-%20%C3%85tg%C3%A4rdsprogram%202021.pdf,The plan has been attached,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,,National funds and programmes|Jurisdiction's own resources,,,Relevant department within jurisdiction|Dedicated team within jurisdiction,Do not know,2015.0,2021.0,,Transportation and storage,The plan is under review and a new will be published 
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",6,Row 6,Integrated climate plan (addressing mitigation and energy),Energiprogram Umeå kommun (3).pdf,,The plan has been attached,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported every 3-5 years,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,Standalone adaptation plan,riktlinje-for-naturhansyn-och-ekologisk-kompensation-vid-forandrad-markanvandning.pdf,Biodiversity and nature conservation plan: \nhttps://www.uppsala.se/kommun-och-politik/publikationer/styrdokument/riktlinje-for-naturhansyn-och-ekologisk-kompensation-vid-forandrad-markanvandning/,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place every 3-5 years|Other: Updates to the plan are published when and if there are new results from the evaluations.,New,Jurisdiction's own resources,Local government (s) and/or agencies,"No, climate scenarios has not been used. ",Dedicated team within jurisdiction|Relevant department within jurisdiction,Plan assesses trade-offs of actions|Plan assesses co-benefits of actions,2024,2050,,Agriculture|Conservation|Construction|Real estate activities|Forestry|Manufacturing,"The plan manages ecological compensation, nature conservation and biological diversity. It is part of our climate adaptation strategy because it covers green infrastructure and biodiversity.\n\nCan't give any estimate for cost of implementation at the moment."
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",op-2016-del-a-huvudhandling2.pdf,Översiktsplan: https://www.uppsala.se/kommun-och-politik/publikationer/styrdokument/oversiktsplan-for-2016/,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,"Other: Updates follow in accordance with legislation, and is monitored when needed.",Underway - significant progress made,Jurisdiction's own resources,State/regional government(s) and/or agencies|National government and/or agencies|Local government (s) and/or agencies|Citizens|Trade unions,The master plan takes into account the expected climate change until 2050+ and gives advice on climate adaptation of the urban infrastructure.,Dedicated team within jurisdiction,Plan assesses trade-offs of actions|Plan assesses synergies of actions|Plan assesses co-benefits of actions,2016.0,2050.0,,"Waste management|Agriculture|Sewerage, wastewater management and remediation activities|Real estate activities|Other: Planning for the municipality's land and water use.|Water supply|Arts, entertainment and recreation|Conservation|Information and communication|Construction|Electricity, gas, steam and air conditioning supply|Transportation and storage",Can't give any estimate for cost of implementation at the moment.
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,Integrated climate plan (addressing mitigation and adaptation),environment-and-climate-programme.pdf,Environment and climate programme: https://www.uppsala.se/kommun-och-politik/publikationer/styrdokument/miljo--och-klimatprogram/,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Update: Updates to the plan are published every 3-5 years|Evaluation: Evaluation of plan takes place every 1-3 years,Underway - significant progress made,Jurisdiction's own resources,Citizens|Local government (s) and/or agencies|State/regional government(s) and/or agencies|National government and/or agencies|Business and private sector|Academia,"Yes. Uppsala's Greenhouse gas emissions will decrease at the rate required to be in line with the Paris Agreement's commitment to reach the goal of no more than 1,5 degrees of warming. In Uppsala's case that means a decrease by 10-14 % each year. Uppsala's climate adaptation is planned for the effects of climate change that are assessed likely when the world meets the 2 degree target. ",Dedicated team within jurisdiction,Plan assesses co-benefits of actions|Plan assesses synergies of actions,2025,2050,,"Forestry|Electricity, gas, steam and air conditioning supply|Accommodation and food service activities|Agriculture",The plan also have a connected action plan: https://www.uppsala.se/contentassets/cfce7cd678fa477ab08d1af4b29513d0/handlingsplan-for-miljo--och-klimatprogram-2022-2025.pdf\n\nCan't give any estimate for cost of implementation at the moment.
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",4,Row 4,Standalone adaptation plan,op2016-underlagsrapport-planering-for-en-varmare-stad.pdf,Adapting to a warmer city climate: https://www.uppsala.se/contentassets/fb119146f47f47c4b0e5d151a63e7e81/op2016-underlagsrapport-planering-for-en-varmare-stad.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place every 3-5 years,Underway - moderate progress made,Jurisdiction's own resources,Local government (s) and/or agencies,Yes. The plan is developed upon the expected climate in Uppsala in the year 2100. ,Dedicated team within jurisdiction,Plan assesses co-benefits of actions|Plan assesses synergies of actions,2016.0,2050,,"Electricity, gas, steam and air conditioning supply|Human health and social work activities|Information and communication|Forestry|Transportation and storage|Arts, entertainment and recreation|Professional, scientific and technical activities|Agriculture",Can't give any estimate for cost of implementation at the moment.
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",6,Row 6,Standalone energy-related plan,energy-programme-2050-1.pdf,Energy Programme 2050: https://www.uppsala.se/contentassets/8c70693a41a74dd1a7ca4662f63fcd82/energy-programme-2050,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Update: Updates to the plan are published every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Evaluation: Evaluation of plan takes place every 1-3 years,Underway - moderate progress made,Jurisdiction's own resources,State/regional government(s) and/or agencies|Local government (s) and/or agencies|Academia|Citizens|Business and private sector|National government and/or agencies,"No, climate scenarios have not been used. However, the plan does take into account expected changes in climate, which for example leads to an increased need for energy for cooling in summer.",Dedicated team within jurisdiction,Plan assesses co-benefits of actions|Plan assesses synergies of actions,2018.0,2050.0,,"Waste management|Sewerage, wastewater management and remediation activities|Electricity, gas, steam and air conditioning supply|Professional, scientific and technical activities|Transportation and storage",Can't give any estimate for cost of implementation at the moment.\n
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",7,Row 7,Integrated climate plan (addressing mitigation and adaptation),riktlinje-for-uppsalas-trad-1.pdf,Tree growing plan: https://www.uppsala.se/contentassets/1f32a74664b7490598deb82e82f3d3fa/riktlinje-for-uppsalas-trad.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported every 1-3 years,New,Jurisdiction's own resources,Local government (s) and/or agencies,"Yes, heatmapping.",Relevant department within jurisdiction|Dedicated team within jurisdiction,Plan assesses synergies of actions,2024,2050,,"Conservation|Human health and social work activities|Real estate activities|Agriculture|Construction|Arts, entertainment and recreation|Forestry",Can't give any estimate for cost of implementation at the moment.
