disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Select a reference ID for the target,col2_Target type^,col3_Boundary of target relative to jurisdiction boundary^,col4_Gases covered by target,col5_Emissions sources covered by target^,col6_Is this target a net zero target?,col7_Are carbon credits currently used or planned to be used to achieve this target?^,col8_Percentage of target to be met using carbon credits generated from outside jurisdiction or target boundary^,"col9_Are residual emissions expected in the net zero target year? If residual emissions are expected, explain why these emissions cannot be reduced",col10_Percentage of net zero target that is expected to remain as residual emissions in the target year,col11_Year target was established,col12_Emissions covered by target in year target was established (metric tonnes CO2e),col13_Base year^,col14_Base year emissions covered by target (metric tonnes CO2e)^,col15_Emissions intensity figure in base year (metric tonnes CO2e per capita or GDP)^,col16_Target year^,col17_Estimated business as usual emissions in target year (metric tonnes CO2e)^,col18_Percentage of emissions reduction (including offsets and carbon dioxide removal)^,col19_Net emissions in target year (including offsets and carbon dioxide removal) (metric tonnes CO2e) [auto-calculated]^,col20_Net emissions in target year (including offsets and carbon dioxide removal) (metric tonnes CO2e)^,col21_Specify if target is considered a science-based target (SBT) and the SBT methodology it aligns to,col22_Emissions covered by target in most recent inventory (metric tonnes CO2e),col23_Alignment with Nationally Determined Contribution,col24_Select the conditional components of your emissions reduction target,col25_Target status and progress made towards target,col26_Please explain
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 1,Baseline scenario target,Same - covers entire jurisdiction and nothing else,N2O|CO2|CH4,All emissions sources which are included in the jurisdiction inventory,Yes,,,"No, residual emissions are not expected in the net zero target year",,2020,26443657,2015,26349728,,2025,34194060.0,20.0,,27355248.0,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",26349728.0,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on a reduction in emissions from air travel that is outside the direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - significant progress made,"Based on the 2015 baseline inventory, in combination with population and economic growth forecasts, the inventory team developed an emissions growth projection to 2050. This emissions pathway was termed the business-as-usual (BAU) scenario.Modelling was undertaken using the Pathways Scenario Planning Tool. The BAU scenario indicates that if no climate actions are undertaken, Lagos's emissions will triple by 2050."
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 2,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2|CH4|N2O,All emissions sources which are included in the jurisdiction inventory,Yes,,,"No, residual emissions are not expected in the net zero target year",,2021,26443657,2015,26349728,,2035,45300679,45.0,,29915376.0,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",26349728.0,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on a reduction in emissions from air travel that is outside the direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration",Underway - significant progress made,"Based on the 2015 baseline inventory, in combination with population and economic growth forecasts, the inventory team developed an emissions growth projection to 2050. This emissions pathway was termed the business-as-usual (BAU) scenario.Modelling was undertaken using the Pathways Scenario Planning Tool. The BAU scenario indicates that if no climate actions are undertaken, Lagos's emissions will triple by 2050."
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Baseline scenario target,Same - covers entire jurisdiction and nothing else,N2O|CH4|CO2,All emissions sources which are included in the jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2025,20160232,2022,41939356,,2030,60644241,33,,27493440,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",,This target is more ambitious than the Nationally Determined Contribution,,Underway - limited progress made,
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Baseline scenario target,Same - covers entire jurisdiction and nothing else,N2O|CO2|CH4,All emissions sources which are included in the jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2025,63954474,2022,41939356,,2040,91447914,70,,40484009,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",,This target is more ambitious than the Nationally Determined Contribution,,New,
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 3,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CH4|CO2|N2O,All emissions sources which are included in the jurisdiction inventory,Yes,,,"Other: Most residual emissions come from wastewater; residential; industrial and solid waste sectors. Since the remaining emissions of Karachi City are below the assigned Deadline 2020 trajectory, the city will do more research and investigate how to reduce",12.1,2025,114709327,2022,41939356,,2050,131577914,87,,16868587,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",,This target is more ambitious than the Nationally Determined Contribution,,New,
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year intensity target based on emissions per capita,Same - covers entire jurisdiction and nothing else,PFCs|HFCs|SF6|N2O|CH4|CO2,All emissions sources which are included in the jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2017,41600000,2005,42800000,6.28,2030,,65,,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",34500000,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government",Underway - significant progress made,"Per capita greenhouse gas emissions have also reached a new low since 1990, decreasing to about 4.58 tonnes, nearly a 30% reduction compared to 2005 \n\nSupplementary note to 6.1.1.20:\nAbout 26% to 36% reduction in absolute GHG emissions terms using 2005 as the base "
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2|PFCs|SF6|CH4|HFCs|N2O,All emissions sources which are included in the jurisdiction inventory,Yes,,,Other: nil,,2021,36400000,2005,42800000,,2035,,50,21400000.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",34500000,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - moderate progress made,"In 2023, total greenhouse gas emissions decreased by approximately 20% compared to 2005 levels, and by about a quarter compared to the peak in 2014.\n\nOur four major decarbonisation strategies are “net-zero electricity generation”, “energy saving”, “green transport” and “waste reduction”. \n\nNet-zero electricity generation” -By 2035 or earlier, cease the use of coal for daily power generation; the expected completion of the reinforcement project of the clean energy transmission system in 2026, and the reservation of land in Area 132 of Tseung Kwan O for the construction of new power facilities, the capacity for electricity transmission from the Mainland to Hong Kong will be further enhanced, the proportion of zero-carbon energy in the electricity generation fuel mix will be increased to about 60% to 70% by 2035 or earlier; increase the proportion of renewable energy in the fuel mix for electricity generation to 7.5% to 10% by 2035 or earlier. The Environmental Protection Department (“EPD”) has commissioned three large-scale waste-to-energy facilities, namely T·PARK (sludge treatment facility), O·PARK1 (Organic Resources Recovery Centre Phase 1), and O·PARK2 (Organic Resources Recovery Centre Phase 2), and approved approximately HK$2.2 billion to implement about 260 small-scale government renewable energy projects, such as developing solar power systems at water facilities and landfills. To encourage the private sector to develop renewable energy, the government has introduced a Feed-in Tariff Scheme and various support measures, including assisting the private sector in installing solar power systems in outdoor parking lots and formulating suitable non-combustible fire safety requirements and standards for building-integrated solar power systems. As of December 2024, the Feed-in Tariff Scheme has received approximately 26 000 applications. Through the\naforementioned renewable energy projects, we expect to generate more than 500 million kilowatt-hours of electricity annually, reducing carbon emissions by about\n540 000 tonnes.\n\n“Energy saving and green buildings” - Commercial buildings to reduce 30-40% by 2050; residential buildings to reduce 20-30% by 2050, and to achieve half of the above targets by 2035 or earlier. Through multipronged energy-saving measures, we estimate that a total of about 3.7 billion kilowatt-hours of electricity was saved in 2024 compared to 2015, equivalent to the annual electricity consumption of about 1 million three-person households. \n\n(Cont)\n"
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 2,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|CO2|PFCs|SF6|N2O|HFCs,All emissions sources which are included in the jurisdiction inventory,Yes,,,Other: Nil,,2021,36400000,2005,42800000,,2035,,50,21400000.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",34500000,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - moderate progress made," “Green transport” -The proportion of electric private cars among newly registered private cars has increased from over 20% in 2021 to nearly 70% now, ranking among the top in the world. Currently, the number of electric vehicles (“EVs”) in Hong Kong has exceeded 110 000, and increased eightfold in five years. The government aims to set a clear target to cease the registration of new fuel and hybrid private cars by 2035 or earlier and increase the total number of parking spaces with charging infrastructure in Hong Kong to about 200 000 by mid-2027. For the green transition of commercial vehicles, the government published the Green Transformation Roadmap of Public Buses and Taxis in December 2024, with key measures including earmarking about HK$470 million to subsidise franchised bus operators to purchase about 600 electric buses and HK$135 million to subsidise taxi trade to purchase 3 000 electric taxis. With the implementation of net-zero electricity generation in future, the two subsidy schemes can reduce about 210 000 tonnes of carbon emissions annually. For electric public light buses, the government has earmarked HK$80 million to implement a pilot scheme to subsidise operators to purchase electric public light buses for trial, so as to\nevaluate the feasibility of their application in Hong Kong. To promote hydrogen fuel cell (“HFC”) heavy vehicles, the first HFC double-deck bus commenced trial operation in November 2023 and started to provide passenger service in February 2024; the trial of the hydrogen fuelled light rail vehicle was completed at the end of 2024; and three HFC street washing vehicles of the Food and Environmental Hygiene Department commenced trial operation in June 2025. In the field of green aviation, the Airport Authority Hong Kong (“AAHK”) has committed to increasing the number of electric vehicles at Hong Kong International Airport to 3 000 and providing more than 1,320 charging points to support airport operations by the end of 2030, and plans to increase the number of electric ground services equipment (“GSE”) from the existing 500 units to about 1 000 units, with at least 95% being electric GSE, making Hong Kong International Airport the first international airport to adopt GSE Pooling on such a large-scale. In the maritime sector, the government has promulgated the “Action Plan for Green Maritime Fuel Bunkering”, setting a multi-fuel strategy, with an aim to develop Hong Kong into a green maritime fuel bunkering and trading centre. The Pilot Scheme for Electric Ferries is also actively being implemented, with the first electric ferry “Xin Ming Zhu XXXIX” commencing passenger service in March 2025. The second electric ferry “Hong Kong Water Taxi 28” also began trial in May 2025. In addition, three hybrid ferries under the Vessel Subsidy Scheme progressively commenced trial at the end of December 2024. The government is also studying the introduction of onshore power supply facilities at the Kai Tak Cruise Terminal to support the low-carbon transformation of the international cruise industry.\n\n ”Waste reduction” -The amount of municipal solid waste disposal in Hong Kong has shown a downward trend, with daily per capita disposal decreasing from 1.53 kg in 2021 to 1.40 kg in 2024, while the overall recycling rate increased from 31% in 2021 to 33% in 2023, indicating that citizens' environmental awareness and recycling habits are gradually improving. The government will continue developing waste-to-energy facilities and promoting waste reduction and recycling, which can help achieve “zero landfill” by 2035. \n"
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",4,Row 4,Target 3,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|HFCs|PFCs|SF6|N2O|CO2,All emissions sources which are included in the jurisdiction inventory,Yes,,,Other: Nil,,2021,36400000,2005,42800000,,2050,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",34500000,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - moderate progress made,"Our four major decarbonisation strategies are “net-zero electricity generation”, “energy saving”, “green transport” and “waste reduction”. \n\nNet-zero electricity generation” - Other than the targets and progress mentioned in Target 2 (i.e. 2035 mid-term target), we will increase the share of RE in the fuel mix of electricity generation to 15% gradually, and achieve net-zero carbon emissions in electricity generation before 2050. \n\n“Energy saving and green buildings” - As mentioned in Target 2 (i.e. 2035 mid-term target),Our goal is to reduce the electricity consumption of commercial buildings by 30% to 40% and that of residential buildings by 20% to 30% from the 2015 level by 2050; and to achieve half of the above targets by 2035. \n\n “Green transport” -Other than the targets and progress mentioned in Target 2 (i.e. 2035 mid-term target), we strive to achieve the long-term target of zero carbon emissions in the transport sector before 2050 by promoting new energy transport and improving traffic management measures.\n\n ”Waste reduction” - As mentioned in Target 2 (i.e. 2035 mid-term target), the government will continue developing waste-to-energy facilities and promoting waste reduction and recycling, which can help achieve “zero landfill” by 2035. \n\n\nSupplementary note to 6.1.1.18:\nNet zero of total GHG emissions comparing with 2005\n"
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 2,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,Only transport emissions sources included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,6518773,2015,15789438,,2030,7218910,81,,5477822.02,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",7030591,This target is as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - limited progress made,
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 8,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,15789438.0,2015.0,15789438.0,,2030.0,,30.0,,0,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",15789438.0,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government",Underway - limited progress made,"Principalmente la meta se dará por la implementación de un gran número de acciones con un gran porcentaje de reducción de GEI, "
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 7,Fixed-level target,Same - covers entire jurisdiction and nothing else,CH4|CO2|N2O,All direct emissions (scope 1 or 'territorial') included in jurisdiction inventory,Yes,,,,,2021,21577053.0,,,,2030.0,,,,21254425.0,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",23816536.0,This target is as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - significant progress made,"Programa de Arborización “Árboles para Lima”Es un conjunto de actividades forestales, sociales y educativas que tiene el propósito de contribuir a la mejora del ambiente mediante la plantación de dos millones de árboles de preferencia nativos y endémicos para el año 2022 y cuatro millones para el 2030. Incluye los sistemas del Programa Metropolitano y Programa Ciudadano.Captura de GEI acumulada (2019-2030): 322,627.96tCO2e aproximadamente"
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",4,Row 4,Target 4,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,Only waste emissions sources included in jurisdiction inventory,No,"No, this target will not use carbon credits",,,,2021,5085323.0,2015.0,7218910.0,,2030.0,7218910.0,,,4837394.33,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",5261590.0,This target is as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - limited progress made,
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",5,Row 5,Target 4,Baseline scenario target,Same - covers entire jurisdiction and nothing else,N2O|CH4|CO2,Only waste emissions sources included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,5085323.0,2015.0,,,2030.0,7218910.0,,,5074947.79,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",5261590.0,This target is as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - significant progress made,"Programa Recicla Lima. Este programa prevé acciones en 3 ejes: la valorización de los residuos orgánicos de los mercados de abasto y las viviendas; la valorización de los residuos inorgánicos y la formalización de recicladores. Reducción potencial de GEI acumuladas por eficiencia energética (2022-2030): 10,375.21 tCO2e"
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",6,Row 6,Target 11,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,All emissions sources which are included in the jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,15789438.0,2015.0,15789438.0,,2050.0,,67.0,,0,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",15789438.0,This target is more ambitious than the Nationally Determined Contribution,"Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - limited progress made,La meta dada se da en un escenario incondicional para el año 2050
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",7,Row 7,Target 10,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,All emissions sources which are included in the jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,15789438.0,2015.0,15789438.0,,2040.0,,59.0,,0,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",15789438.0,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)",Underway - limited progress made,La meta dada es para un escenario condicional para el año 2040
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",8,Row 8,Target 6,Fixed-level target,Same - covers entire jurisdiction and nothing else,CO2|CH4|SF6,Only energy emissions sources included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,1226097.0,,,,2030.0,,,,1225890.69,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",613442.0,This target is as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - moderate progress made,LED en alumbrado público\nSe proyecta cambiar las luminarias en los espacios públicos y vías de fluorescentes y luminarias convencionales (vapor de sodio de alta presión) a LED para reducir el consumo energético y mejorar la luminosidad en diferentes zonas de la ciudad. Reducción potencial de GEI acumuladas por eficiencia energética (2020-2021): 206.31tCO2e
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",9,Row 9,Target 5,Fixed-level target,Same - covers entire jurisdiction and nothing else,CO2,Only energy emissions sources included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,1226097.0,,,,2030.0,,,,1225965.93,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",613442.0,This target is as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - moderate progress made,"El Plan de Ecoeficiencia Institucional de la Municipalidad Metropolitana de Lima y futuras actualizaciones \nEste plan propone implementar medidas de ecoeficiencia institucional, basadas en buenas prácticas ecoeficientes y medidas técnico-operativas para el ahorro de energía, agua, papel, combustible, entre otros. La medida incluye el cambio de luminarias de baja eficiencia por tecnología LED en los edificios de la municipalidad, así como campañas de sensibilización a los trabajadores de la Municipalidad. \nReducción potencial de GEI acumuladas por eficiencia energética (2021-2030): 131.07 tCO2e"
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",10,Row 10,Target 3,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,Only transport emissions sources included in jurisdiction inventory,No,"No, this target will not use carbon credits",,,,2021,6518773.0,2015.0,693959.6,,2030.0,7218910.0,9.6,,5824813.4,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",7030591.0,This target is as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - limited progress made,
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",11,Row 11,Target 1,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,Other: AFOLU,"No, but it is a mid-term target towards our net zero target",,,,,2021.0,1228063.0,2015.0,15789438.0,,2030.0,7218910.0,30.0,,1228040.0,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",681989.0,This target is not as ambitious as the Nationally Determined Contribution,This target is not conditional on the success of an externality or component of policy outside of direct control of jurisdiction administration,Underway - limited progress made,
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",12,Row 12,Target 12,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,All emissions sources which are included in the jurisdiction inventory,"No, but it is a mid-term target towards our net zero target",,,,,2021.0,15789438.0,2015.0,15789438.0,,2050.0,,81.0,,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",15789438.0,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - limited progress made,La meta dada es para un escenario condicional del año 2050. Se anexa la información utilizada desde la meta 8 a la 12. 
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",13,Row 13,Target 9,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CO2,All emissions sources which are included in the jurisdiction inventory,"No, but it is a mid-term target towards our net zero target",,,,,2021.0,15789438.0,2015.0,15789438.0,,2040.0,,50.0,,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",15789438.0,This target is as ambitious as the Nationally Determined Contribution,"Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government",Underway - limited progress made,Esta meta es establecida para un escenario incondicional para el año 2040
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Baseline scenario target,Same - covers entire jurisdiction and nothing else,CH4|PFCs|NF3|CO2|HFCs|N2O|SF6,All emissions sources which are included in the jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2021,8224024,1990,12954000,,2030,4800000,65,,4500000,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: Global Covenant of Mayors for Climate and Energy",9776273,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration",Underway - moderate progress made,The \'Covered emissions in year target was established (metric tonnes CO2e)\' field has been filled in accordance to the 2021 GHG Emission Inventory of the City of Madrid. Business as usual emissions extracted from \'Roadmap towards climate neutrality in 2050\'. Net emissions in target year estimated using the sustainble scenario from \'Roadmap towards climate neutrality in 2050\'.
