disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Assessment attachment^,col2_Assessment direct link^,col3_Confirm attachment/link provided to assessment,col4_Boundary of assessment relative to jurisdiction boundary^,col5_Year of publication or approval,col6_Factors considered in assessment,col7_Please explain
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,2,Row 2,Estrategia_Santiago_Humano_y_Resiliente.pdf,https://www.santiagoresiliente.cl/,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2017,Assessment considers nature|Assessment considers water security|Assessment considers vulnerable populations," La Estrategia Santiago Humano y Resiliente fue desarrollada en el contexto de la iniciativa 100 Ciudades Resilientes como un marco deplanificación integral para abordar amenazas tanto climáticas como no climáticas. Impulsada desde el GORE, esta integra diversos pilares como movilidad, medio ambiente, seguridad, gestión del riesgo, desarrollo económico y equidad social. Se proponen planes proyectos y programas prioritarios. En el contexto del cambio climático se mencionan las olas de calor, aumento de los ciclos de sequía, reducción de la disponibilidad de agua por disminución de lluvias, caudales y nieve, eventos extremos, inundaciones y remociones en masa por variaciones en la isoterma 0. "
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,7,Row 7,,https://arclim.mma.gob.cl/,Unable to provide an attachment and/or direct link to the assessment,Other: Nacional,2020.0,Assessment considers transition risks|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|A process has been established for prioritizing identified hazards,"ARClim es una iniciativa del Ministerio del Medio Ambiente, desarrollada por el Centro de Ciencia del Clima y la Resiliencia (CR2) y el Centro de Cambio Global (CCG) de la Universidad Católica de Chile, con apoyo internacional del gobierno alemán (BMZ) y GIZ. Su objetivo principal es evaluar el riesgo climático en Chile mediante mapas que combinan:\nAmenaza climática (A): cambios proyectados en variables climáticas.\nExposición (E): presencia de sistemas vulnerables en zonas afectadas.\nSensibilidad (S): capacidad de esos sistemas para resistir o adaptarse.\n\nEstas variables se integran para calcular el riesgo climático en distintos sectores sociales, ambientales y productivos."
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,8,Row 8,ECLP-LIVIANO.pdf,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Other: Estrategia Climatica largo plazo chile - Nacional,2021,"A process has been established for prioritizing identified hazards|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment includes sectors and/or urban systems|Assessment considers nature|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers vulnerable populations|Assessment considers water security","La Estrategia Climática de Largo Plazo (ECLP) de Chile es el instrumento que define los lineamientos generales a 30 años para enfrentar el cambio climático, con el objetivo de alcanzar la carbono neutralidad y resiliencia climática al 2050. Esta estrategia es vinculante según la Ley Marco de Cambio Climático y se alinea con el Acuerdo de París. La ECLP se encuentra en proceso de actualización por parte del Ministerio de Medio Ambiente, como lo establece la ley marco de cambio climatico N° 21.455."
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,9,Row 9,Propuesta_Plan_CAS.pdf,https://www.gobiernosantiago.cl/wp-content/uploads/2014/doc/estudios/Propuesta_Plan_CAS.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2012.0,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers nature|Assessment considers transition risks|Assessment considers vulnerable populations|Assessment considers water security|Identified hazards have been incorporated into the jurisdiction's overall risk management framework",El Plan Regional de Adaptación tiene como objetivo proporcionar un conjunto de medidas concretas de adaptación para ser implementadas en la RMS. 
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,10,Row 10,NDC-2025-2035.pdf,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2025/09/NDC-2025-2035.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Other: Nacional,2025,Assessment considers water security|Assessment includes sectors and/or urban systems|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|A process has been established for prioritizing identified hazards|Assessment considers nature|Assessment considers vulnerable populations,"La Contribución Determinada a Nivel Nacional (NDC) 2025 de Chile es el instrumento clave que define los compromisos climáticos del país para el período 2025-2035, en el marco del Acuerdo de París y la Ley Marco de Cambio Climático. Esta actualización representa un esfuerzo integral para avanzar hacia la carbono neutralidad al 2050, con un enfoque en justicia social, resiliencia climática y acción territorial."
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,"OEM-Hazard-Mitigation-Plan-2022.pdf,OEM-Hazard-Mitigation-Plan-2022.pdf,OEM-Hazard-Mitigation-Plan-2022.pdf",https://www.phila.gov/documents/hazard-mitigation-plan/ - view final plan as well as amendments,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,"Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers nature|Assessment considers water security|Assessment includes consultation with partners|Assessment considers vulnerable populations|A process has been established for prioritizing identified hazards|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|A process has been established to update the assessment at least every five years","Philadelphia's All-Hazard Mitigation Plan is an aspirational plan to mitigate, or reduce risk to both natural and human-caused hazards with the goal of improving the safety and resiliency of our City. This guide aligns hazard mitigation plans across the Commonwealth allowing counties to share information and compare information about risk. In the 2022 update to Philadelphia's hazard mitigation plan, climate change was identified as one of three main priorities and since it is cross-cutting, it is addressed in many sections throughout the plan. Regarding climate related hazards, the plan developed risk profiles and strategies to mitigate risk for extreme temperature, flooding (precipitation increases, sea level rise, extreme storms), hurricanes, tornados, winter storms and drought. The plan specifically looks at the ways climate change will impact the intensity and frequency of future disasters. For flooding, the plan examined flood risk beyond identification of the floodplain by including maps and Hazus loss estimates for a 1% annual chance flood, 0.2% annual chance flood and for future scenarios using storm surge and sea level rise. The All-Hazard Mitigation Plan is in the process of being updated now. The update will be complete by 2027. "
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,2,Row 2,"Growing-Stronger-Toward-a-Climate-Ready-Philadelphia.pdf,Growing-Stronger-Toward-a-Climate-Ready-Philadelphia.pdf",https://www.phila.gov/media/20160504162056/Growing-Stronger-Toward-a-Climate-Ready-Philadelphia.pdf ,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2015,"A process has been established for prioritizing identified hazards|Assessment considers water security|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Identified hazards have been incorporated into the jurisdiction's overall risk management framework","The 2015 climate vulnerability assessment. Growing Stronger Toward a Climate Ready Philadelphia, included an exposure screening of assets against climate hazard scenarios If exposure existed further assessment was completed to assign each exposed asset a vulnerability score based on adaptive capacity and sensitivity The team used climate science data climate modeling past current and future projections and workshops and engagement with multiple City departments to identify Philadelphia's climate risks and vulnerabilities This work resulted in a comprehensive understanding of how climate will impact Philadelphia's assets and its citizens along multiple factors including heat flooding sea-level rise The report also included estimates on the costs of inaction on climate change that not only include costs to the City to respond reactively to climate events but also estimated social costs such as health effects social damages and changes in quality of life The report then used the vulnerability assessment to outline key strategies to address the identified vulnerabilities using a four-step approach for adaptation."
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,3,Row 3,,,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,Same - covers entire jurisdiction and nothing else,2024,"Assessment considers water security|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers vulnerable populations","As part of the update to the Resilience Plan, OOS also conducted two citywide vulnerability assessments—one focused on flooding and one focused on extreme heat. The flooding vulnerability assessment included two main components. The first was an exposure screening that screened over 25,000 assets (municipal and external) against 9 different flood scenarios. The second component is a flood vulnerability index that identifies Philadelphia's census tracts that are most vulnerable to flooding. To determine vulnerability, it looked at the intersection of flood exposure (which included pluvial flood exposure) and social sensitivity, which is determined by 20+ socioeconomic, housing, environmental and health indicators. A heat vulnerability assessment was conducted and in addition to discussing the public health impacts of extreme heat, it also included a cooling access survey to better understand who has air conditioning and whether people can afford it; a high-level assessment of electric grid vulnerability and a high-level assessment of temperature increases on air quality. \nThese vulnerability assessments are largely complete and should be published in early 2026. Both assessments were supported through extensive interagency coordination with the Environmental Justice and Climate Resilience Working Group and the Flood Risk Management Task Force. Their feedback was used to better understand vulnerability, determine the focus of the assessments and define the methodology."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,,https://sfplanning.org/project/environmental-justice-framework-and-general-plan-policies#about,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2023,A process has been established to update the assessment at least every five years|Assessment considers vulnerable populations|A process has been established for prioritizing identified hazards,"The Environmental Justice Communities Map (“EJ Communities Map”) describes areas of San Francisco that have higher pollution and are predominately low-income. This map is based on CalEnviroScreen, a tool created by CalEPA& OEHHA that maps California communities that are most affected by pollution and other health risks. The EJ Communities Map includes additional local data on pollution and demographics, and has been refined during the community engagement process based on public feedback. The map is updated on a yearly basis to reflect changes in the CalEnviroScreen data."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,2,Row 2,,https://default.sfplanning.org/Citywide/Islais/IslaisCreek_FinalReport_August2021.pdf,The assessment can be accessed (unrestricted) on the link provided,Other: Islais Creek only comprises a portion of our jurisdiction.,2021,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers nature","The Islais Creek Adaptation Strategy was a two-year community planning process in the Islais Creek area that will develop actionable strategies that address sea level rise and coastal flood risk through a robust public engagement process. Building on the Resilient by Design proposal and other city and regional efforts, the Islais Creek Adaptation Strategy developed a long-range vision for the Islais Creek shoreline, asset-specific solutions for public infrastructure, and a prioritized funding and implementation strategy that increases the resilience of the community and provides improved transportation networks and new open space."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,3,Row 3,,https://www.onesanfrancisco.org/hazards-and-climate-resilience-plan,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2025,"Assessment considers transition risks|Assessment considers water security|Assessment includes sectors and/or urban systems|Assessment includes consultation with partners|A process has been established for prioritizing identified hazards|Assessment considers nature|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|A process has been established to update the assessment at least every five years|Assessment considers vulnerable populations","The Hazards and Climate Resilience Plan includes 13 hazard profiles that include information on how climate change influences the frequency and severity of those hazards: earthquakes, tsunami, landslide, flooding, pandemics, hazardous materials, extreme heat, high wind, drought, and wildfires/large urban fires (including poor air quality from wildfire smoke). In-depth Vulnerability and Consequences profiles were developed for 29 asset classes, focused on vulnerability to earthquakes, flooding, and fire. Based on the findings from the Vulnerability and Consequences profiles, Key Planning Issues were identified, in consultation with the relevant departments with purview over these areas. Key Planning Issues highlight significant or near-term vulnerabilities that require coordination between numerous asset managers, issues that may cluster in a particular geography, and vulnerabilities that require regulatory changes to solve. Six Key Planning Issues were identified: The Waterfront and Adjacent Neighborhoods, New Development, Existing Buildings, Housing, Transportation, and Utilities. Community engagement for the 2025 update focused on getting input from community-based organizations in Environmental Justice communities. The 2025 Hazards and Climate Resilience Plan has been locally adopted and approved by the Federal Emergency Management Agency (FEMA) as San Francisco's Local Hazard Mitigation Plan. "
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,4,Row 4,,https://sfplanning.s3.amazonaws.com/default/files/plans-and-programs/planning-for-the-city/sea-level-rise/SLRVCA_Report_Full_Report.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,"Assessment considers water security|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment includes sectors and/or urban systems|Assessment includes consultation with partners|Assessment considers nature|Assessment considers vulnerable populations","This Sea Level Rise Vulnerability and Consequence Assessment (Assessment) describes the vulnerability of public buildings and infrastructure to SLR and coastal flooding and the consequences of SLR-related flooding on people, the economy, and the environment. The Assessment will be used to inform how the City develops, prioritizes, invests, and implements adaptation strategies to enhance San Francisco's resilience to SLR and coastal flooding"
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,5,Row 5,,https://www.sf.gov/sites/default/files/2023-05/SFDPH_ClimateHealthProfile_FinalDraft.cleaned.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2014,Assessment considers vulnerable populations,"This Climate and Health Profile identifies the scope of local climate impacts and associated potential health outcomes, and highlights populations and locations especially vulnerable to these health impacts. By systematically using climate projections to prioritize the health impacts and risk factors to pave the way for San Francisco public health adaptation efforts, the Climate and Health Profile reveals essential information needed to take future action."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,6,Row 6,,https://www.sfei.org/projects/shallow-groundwater-response-sea-level-rise,The assessment can be accessed (unrestricted) on the link provided,Other: Covers other Bay Area counties,2022,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers vulnerable populations|Assessment considers water security|Assessment includes consultation with partners|A process has been established to update the assessment at least every five years|Assessment includes sectors and/or urban systems|Assessment considers nature|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|A process has been established for prioritizing identified hazards","Selection of factors considered covers all reported vulnerability assessments in this section. Pathways Climate Institute LLC (Pathways) and the San Francisco Estuary Institute (SFEI) gathered and analyzed multiple data sets and collaborated with city and county partners to analyze and map the existing “highest annual” shallow groundwater table and its likely response to future sea-level rise. This effort covers four counties (Alameda, Marin, San Francisco, San Mateo)2 and was funded by the Bay Area Council's California Resilience Challenge. The study focused on the San Francisco Bay side of each county and does not include the Pacific coastline of Marin, San Francisco, nor San Mateo Counties. An advisory committee composed of city and county representatives provided essential support by gathering data and reviewing depth-to-groundwater maps. Additional academic and agency advisors participated in project team meetings and informed project direction. This effort produced the following publicly available data and online tools to support adaptation efforts:\n• Existing and future condition depth to groundwater GIS data available for download(geodatabase format).\n• A Story Map providing background information and graphical representations of the processes and impacts of groundwater rise.\n• Web maps showing: (1) existing depth to groundwater; and (2) a comparison of the extent of emergent groundwater to the extent of coastal flooding under various sea level rise scenarios."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,7,Row 7,,https://www.sf.gov/sites/default/files/2023-05/SFDPH_ClimateHealthAdaptFramework2017a.cleaned.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers vulnerable populations","The goals of the Climate and Health Adaptation Framework are to increase awareness of climate impacts, identify and assess how climate change will impact both public health in San Francisco and the Public Health Department's ability to protect and promote health, propose a draft framework of strategies and activities to reduce the health burden of climate change, improve health equity, and develop a culture of climate preparedness, propose draft indicators to measure the severity of the climate risks and associated health risks, collaborate with internal and external stakeholders on climate change challenges."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,8,Row 8,,https://www.sf.gov/sites/default/files/2023-05/FloodVulnerabilityReport_v5.pdf.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,"Assessment considers vulnerable populations|Assessment considers nature|Assessment includes a high-emissions scenario (i.e., RCP 8.5)",This assessment summarizes how flood inundation and extreme storms may impact public health and identify communities most vulnerable to these impacts.
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,9,Row 9,,https://sfgov.maps.arcgis.com/apps/MapJournal/index.html?appid=093e26ddb26a4e3180fa1e35158858bf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,Assessment considers vulnerable populations,This interactive story map illustrates a recent assessment conducted by the San Francisco Department of Public Health that examines how extreme heat impacts public health. This map uses a composite index to consider environmental and socioeconomic aspects of vulnerability. 
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,10,Row 10,,https://onesanfrancisco.org/heat-and-air-quality-resilience-2023,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2023,Assessment includes consultation with partners|Assessment considers vulnerable populations|Assessment considers nature,"The Heat and Air Quality Resilience Project (HAQR) is San Francisco's first comprehensive initiative to identify and address the public health impacts of extreme heat and wildfire smoke in San Francisco and the conditions that may exacerbate those impacts. The Heat and Air Quality Implementation Plan represents two years of the Heat and Air Quality Resilience Project working with community, public, private and academic partners. This plan establishes a framework to address current local extreme heat and wildfire smoke events while preparing for future ones."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,11,Row 11,,https://sfpuc.org/about-us/reports/long-term-vulnerability-assessment,The assessment can be accessed (unrestricted) on the link provided,Other: covers city owned assets across multiple counties,2021,"Assessment includes sectors and/or urban systems|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers nature|Assessment considers water security|Assessment includes consultation with partners","To help better understand the potential vulnerability of the SFPUC Regional Water System (RWS) to uncertain future conditions, SFPUC partnered with The Water Research Foundation to develop a long-term vulnerability assessment (LTVA) of the RWS. The study was conducted by University of Massachusetts Hydrosystems Research Group with input from National Center for Atmospheric Research, other climate scientists, and Deltares.\nThe goal of the LTVA is to help quantitatively and qualitatively assess to what extent climate change will be a threat to the RWS in comparison to, or in combination with, other external drivers of change over the next 50 years (2020-2070)."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,"PlanClimaSP_BaixaResolucao.pdf,PlanClimaSP_BaixaResolucao.pdf",https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/meio_ambiente/arquivos/PlanClimaSP_BaixaResolucao.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Other: Para a análise de risco climático de secas meteorológicas, foram consideradas as bacias hidrográficas que cobrem toda região metropolitana de São Paulo e não somente no limite da jurisdição.",2021,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|A process has been established to update the assessment at least every five years|Assessment considers water security|Assessment includes sectors and/or urban systems|Assessment considers vulnerable populations|Assessment considers nature|Assessment includes consultation with partners|A process has been established for prioritizing identified hazards|Identified hazards have been incorporated into the jurisdiction's overall risk management framework","O processo da elaboração da avaliação de risco e vulnerabilidade climática foi realizada através do planejamento do Plano de Ação Climática da cidade de São Paulo, realizado pela Prefeitura Municipal de São Paulo (PMSP) e a organização internacional C40. No processo de elaboração da análise de Risco Climático do PlanClima SP, a C40, no bojo da parceria com a PMSP, contratou estudo que avaliou as tendências de risco climático para 2030 e 2050 para duas das principais ameaças enfrentadas pela cidade: inundações e ondas de calor. Foi também realizada uma análise da ameaça de secas meteorológicas para as bacias hidrográficas envolvendo a jurisdição. "
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,"4_Adaptation Startegy_2030_EN.pdf,Strategia adaptacji 18.04.2019.pdf",https://bip.um.warszawa.pl/web/rada-warszawy/-/uchwala-nr-xv-339-2019-z-2019-07-04-1578635,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2019,"Assessment includes consultation with partners|Assessment considers vulnerable populations|A process has been established for prioritizing identified hazards|Assessment considers transition risks|A process has been established to update the assessment at least every five years|Assessment considers water security|Assessment considers nature|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment includes sectors and/or urban systems","First, the Exposure Analysis was performed, which constituted the Analysis of climate threats. Further analyses were conducted only with reference to the threats identified at this stage. Opportunities (that is, reduction of the scale of the threats), resulting from the exposure analysis, were taken into account only at the stage of developing the actions on the basis of the entire analysis. During the Vulnerability Analysis, based on the assessment of the potential occurrence of negative and positive impacts on the city (people, built-up areas including technical infrastructure and the natural environment, together with green and blue infrastructure) as a result of climate change threats (flood events, flooding, heat waves, droughts, violent storms, strong winds), the vulnerability of the city to climate change was estimated. This was followed by the Adaptability Analysis, which assessed the characteristics of the city and the actions that the urban community can take or is prepared to take in case of extreme weather events and other negative effects of climate change, which consequently help to withstand these adverse phenomena. The next step was the Susceptibility Analysis - analysis of interdependencies between elements of the TOWS analysis. In particular, this analysis sought answers to the questions of how adaptability affects the reduction of vulnerability (resilience assessment) and how the scale of climate threats affects the city's resilience level (susceptibility assessment). The extent to which the city is unable to cope with the negative impacts of climate change or seize the opportunities associated with climate change has been determined. Susceptibility is a function of the type, intensity, scale and speed of the changes to which a city is exposed, its vulnerability and adaptability. During the works, a set of climate maps of Warsaw was prepared, presenting both the diversity of the city's climate components as well as the elements related to its vulnerability. A number of city's features have impact on its vulnerability to climate change and its adaptation capability. Starting from the location, which is determined by the natural factors, from the landform features, the character of the natural vegetation, through the quality of soils or geological formations to be found in the ground, the quality of hydrographic (river) network, to man-made factors such as density, height and other properties of buildings, availability of municipal infrastructure, modifications to the terrain, plant cover, hydrographic network and others. The man himself, or rather the features of the population living in a given city, is also an element of the city's vulnerability. These may be people who are well informed, aware of the risks and acting responsibly in the face of a threat, or those who are unaware and unable to cope with crisis situations. In order to assess these two elements which constitute Warsaw's specific characteristics in the face of climate change, i.e. its vulnerability and adaptability, the most important facts about the city were reviewed and divided into strengths demonstrating the adaptability of Warsaw and weaknesses demonstrating its vulnerability. \nThroughout the document, the elderly, children, people with disabilities and various types of chronic conditions, people affected by the phenomenon of energy poverty have been identified as vulnerable groups. Currently, the “Climate Change Adaptation Strategy for the City of Warsaw until 2030 with a perspective until 2050” is undergoing a process of evaluation. The conclusions from the evaluation will be used to develop a new Municipal Adaptation Plan, work on which began this year. The new document will be drawn up in accordance with current legal requirements. It will include, among other things, a detailed diagnosis of the city, identifying climate risks and specific adaptation action plans. \n"
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,창원시 기후위기적응대책 2024년 이행점검 결과보고서(창원시).pdf,창원시 기후위기적응대책 2024년 이행점검 결과보고서(창원시) 첨부,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2025,A process has been established to update the assessment at least every five years,"1. 기후위험 및 취약성 평가 수행 여부\n창원시는 「기후위기대응을 위한 탄소중립·녹색성장 기본법」 제40조에 따라 기후위기적응대책 세부시행계획(2021~2025)을 수립·시행하고 있으며, 이에 근거하여 기후위험 및 취약성 평가를 실시하였다.\n특히 2024년에는 세부이행과제 전반에 대한 추진상황과 집행성과를 점검하여, 기후위기 대응의 효과성과 개선점을 확인하였다.\n\n2. 첨부파일 및 링크 제공\n- 첨부파일:「창원시 기후위기적응대책 세부시행계획 2021~2025」 및 2024년 추진실적 점검보고서\n- 접근 가능성: 창원시 탄소중립지원센터 및 기후변화 대응 포털을 통해 일부 자료 공개, 내부 행정망에 전체 자료 보관\n\n3. 평가 시 고려한 지방정부 면적\n- 전 지역 포함: 창원시 전체 행정구역을 대상으로 평가\n- 특화 분석 지역: 저지대 홍수취약 지역, 산업단지, 고령인구 밀집 지역에 대해 보완 분석 실시\n\n4. 평가 시 고려한 요소\n1)취약 인구: 노인, 아동, 저소득층, 에너지 빈곤층\n2)물 안보: 상수도 공급망 안정성, 폭염·가뭄 대응\n3)자연요소: 산림, 하천, 연안지역 포함\n4)전환 위험: 저탄소 전환과정에서의 산업·경제적 리스크 반영\n5)시나리오 적용: IPCC RCP 8.5 등 장기 시나리오 적용\n6)협력: 환경부, 경남도, 한국환경공단 등과 협력하여 분석\n\n5. 우선순위 및 업데이트 절차\n1)위험·취약도·적응역량 종합분석을 통한 우선순위 도출\n2)2024년 기준으로 39개 세부사업을 점검, 완료사업과 미진사업을 구분하여 차기 연도 보완 추진\n3)5년 주기 정기 업데이트(2021~2025), 필요 시 중간 보완 반영\n\n6. 발표 및 승인 연도\n- 최초 수립: 2021년\n- 중간점검: 2024년 (세부이행과제 추진실적 및 집행성과 확인)\n- 차기 갱신: 2025년\n\n7. 코멘트\n창원시는 2024년 추진상황 점검을 통해 폭염 대응 쉼터 확충, 하천 정비를 통한 침수저감, 친환경 교통수단 확산 등 주요 적응사업에서 성과를 도출하였다.\n다만 일부 농업·산림 분야 사업에서는 기후데이터 확보의 한계와 재원 부족으로 계획 대비 성과가 낮게 나타나 보완이 필요함을 확인하였다.\n이 점검결과는 2025년 최종 보고서에 반영되어 차기 기후적응계획 수립의 기초자료로 활용될 예정이다."
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,"서울 제3차 기후위기 적응대책_최종.pdf,서울특별시 기후변화대응 종합계획(2022-2026) 수립 연구_최종보고서 (최종)_압축_기후변화대응 종합계획(2022-2026) 수립 연구.pdf,원본_서울시 기후위기 적응 추진전략과 과제.pdf","https://opengov.seoul.go.kr/research/31867559,\nhttps://kaccc.kei.re.kr/portal/policy/wideplan/wideplan2nd_view.do?bseq=10090",The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,"Assessment considers vulnerable populations|A process has been established for prioritizing identified hazards|A process has been established to update the assessment at least every five years|Assessment considers nature|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers water security|Assessment includes sectors and/or urban systems","Seoul has established its 3rd Climate Change Adaptation Plan (2022-2026), under which the city conducts annual assessments of climate risks and vulnerabilities."
