disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Main community-wide emissions inventory attachment (spreadsheet)^,col2_URL link (with unrestricted access)^,col3_Status of main community-wide inventory attachment and/or direct link,col4_Year covered by main inventory^,col5_Boundary of main inventory relative to jurisdiction boundary^,col6_Population in year covered by main inventory,col7_Primary protocol/framework used to compile main inventory,col8_GCoM: Primary protocol/framework used to compile main inventory^,col9_Tool used to compile main inventory,col10_Gases included in main inventory^,col11_Primary source of emission factors^^,col12_Source of global warming potential values,col13_Has the main inventory been audited/verified?,col14_Overall level of data quality,col15_Have any of the calculation methodologies and/or boundary used for this inventory changed when compared to the previously reported inventory?,col16_Additional/historical inventories and other relevant attachments,"col17_Further documentation, links and comments"
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,City of Dallas 2019 GHG Summary Table.xlsx,https://www.dallasclimateaction.com/_files/ugd/349b65_34bc8827485f4a37a30dad2fb5d6c74b.pdf,The emissions inventory has been attached,2019,"Other: It covers the City and the region, the North Central Texas Council of Governments provided data and written description for the regional transportation modeling that was utilized in this report. Electricity and waterthat is produced out of region.",1304379.0,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),,Other: Clear Path,HFCs|SF6|CO2|N2O|CH4|PFCs,,IPCC Fifth Assessment Report (2013),,,,,
2025 Disclosure Cycle,779465,CDP,35862,"City of Detroit, MI",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,DCS_TR_2.1_CIRIS - Communitywide_As Submitted.xlsx,,The emissions inventory has been attached,2019,Same - covers entire jurisdiction and nothing else,672681,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,CO2|N2O|CH4,National/sub-national emission factors: EPA,IPCC Fifth Assessment Report (2013),"No, not audited/verified",Emissions factors - Medium data quality|Activity data - Medium data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,DCS_TR_2.1_Communitywide GHGI Methodology.pdf,N/A
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,eThekwini 2023 CIRIS.xlsx,eThekwini CIRIS 2023,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,4399650,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,N2O|CH4|CO2,Default IPCC emission factors,IPCC Fifth Assessment Report (2013),"Yes, internally audited/verified (self-verification)",Activity data - Medium data quality|Emissions factors - Medium data quality|Activity data - Low data quality|Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,eThekwini 2022 CIRIS.xlsx,CIRIS DBN 2021
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,Ekurhuleni GHG Emissions Inventory-2022 - 2023-no macros.xlsx,See attachment ,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,3926677,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,CH4|N2O|CO2,"Other: IPPC Default Emission factors, Eskom",IPCC Fifth Assessment Report (2013),"No, not audited/verified",Activity data - Low data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,Ekurhuleni GHG Emissions Inventory-2019-no macros.xlsx,There are no additional comments\n
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,"eCRF_Export_FORTALEZA_2020.xlsx,eCRF_Export_FORTALEZA_2021.xlsx","__ - Link Ciris para inventários 2018, 2020 e 2021 auditoria C40 https://drive.google.com/drive/folders/12YEXvs3HgPs3qyLnncXL8aeG0xRG39Cx",The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2020/2021,Same - covers entire jurisdiction and nothing else,2703391,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),CIRIS,CH4|CO2|N2O,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, externally audited/verified (third-party verification)",Emissions factors - High data quality|Activity data - Medium data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy but this has not triggered a recalculation of historic emissions data","1° Inventário de Emissões de GEE 2012.pdf,2° Inventário de Emissões de GEE 2014.pdf,3° Inventário de Emissões de GEE 2016.pdf,4° Inventário de Emissões de GEE 2018_R-C40.pdf","Os inventários de 2018, 2020 e 2021 passaram por auditoria técnica do C40 em 2025. No campo de link, foi disponibilizada uma pasta com os cálculos na CIRIS para cada ano; no campo de anexo, as tabelas exportadas eCRF do inventário mais recente, que compreende os anos de 2020 e 2021.\n\nNo campo de histórico e inventários adicionais, foram incluídos anexos referentes aos documentos anteriores, incluindo o relatório revisado de 2018 (4º inventário). Os relatórios de 2020 e 2021 (5º inventário) estão em fase de formatação e serão adicionados posteriormente, caso a plataforma CDP permita.\n\nEm 2020, Fortaleza registrou 3,64 milhões tCO₂e, com intensidade de 1,4 tCO₂e/hab. Em 2021, as emissões subiram para 4,13 milhões tCO₂e, correspondendo a 1,5 tCO₂e/hab, aumento relacionado principalmente às emissões dos setores de energia estacionária e transporte."
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,IMEPLAN 2022 CIRIS Light_15.08.2024.xlsx,"Se ha adjuntado el inventario de emisiones. \nEl Reporte de Resultados del Inventario de Gases de Efecto Invernadero del Área Metropolitana de\nGuadalajara. Año Base 2022, puede consultarse en el siguiente enlace: https://www.imeplan.mx/api/documents/467/Reporte_de_resultados_IGEI_a%C3%B1o_base_2022_versi%C3%B3n_p%C3%BAblica_docx_1.pdf",The emissions inventory has been attached,2022,Same - covers entire jurisdiction and nothing else,5448784,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,CH4|CO2|N2O,Other: Se utilizaron: Factores de Emisión Nacionales Factores de Emisión Locales (metropolitanos) Factores de Emisión del IPCC por defecto,IPCC Fifth Assessment Report (2013),"Yes, externally audited/verified (third-party verification)",Activity data - High data quality|Emissions factors - Medium data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data","C40_letter_IMEPLAN_GPC_2024.pdf,Reporte CIRIS +Escenarios _VF.pdf,Reporte_de_resultados_IGEI_año_base_2022_versión_pública_docx_1.pdf,Reporte_final_AMG_2018.pdf","El cálculo, síntesis y revisión de los resultados en la Herramienta CIRIS, se realizó con el apoyo técnico de C40, para llegar a la validación el 19 de agosto de 2024, mediante la carta de C40 Cities que aprueba la validez del Inventario GEI, cumpliendo con los Estándares de Reporte de GPC y el Estándar de Liderazgo climático de C40 1.b."
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,2023 CIRIS Standard v2.5-csv.csv,No public link currently.,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,455955,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),,ICLEI ClearPath,CO2|CH4|N2O,Other: Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC),IPCC Fifth Assessment Report (2013),"No, not audited/verified",Activity data - Medium data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data","CIRIS Standard v2.5 2019 (updated)- csv.csv,CIRIS Standard v2.5 2021 (updated)-csv.csv,CIRIS_Standard_v2 4__EN_Miami_2018 - csv.csv","2018, 2019, and 2021 CIRIS files attached."
2025 Disclosure Cycle,779465,CDP,35871,City of Monterrey,City,Latin America,Mexico,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,Inventario Municipal de Emisiones de Gases y Compuestos de Efecto Invernadero de Monterrey.pdf,https://mide.monterrey.gob.mx/catalogue/#/document/251\n,The emissions inventory has been attached,2020,Same - covers entire jurisdiction and nothing else,1142994,,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Other regionally/nationally developed tool/process: Se utilizó el Sistema de Gestión de Calidad del Inventario Nacional de Emisiones de Gases y Compuestos de Efecto Invernadero 1990-2019, diseñado por el Instituto Nacional de Ecología y Cambio Climático, para cumplir con las metodologías del IPCC.",HFCs|N2O|CO2|PFCs|CH4|SF6,Default IPCC emission factors,IPCC Fifth Assessment Report (2013),"Yes, internally and externally audited/verified",Emissions factors - High data quality|Activity data - High data quality,No changes to the methodology and/or boundary used as this is the jurisdictions first year reporting an emissions inventory,,"El Inventario de Emisiones de Gases y Compuestos de Efecto Invernadero de Monterrey, se elaboró para el año base 2010-2020. \n\nEl reporte incluye la cuantificación de las emisiones y absorciones de gases y compuestos de efecto invernadero por fuentes y sumideros para los cuatro sectores de emisión definidos por el IPCC: \n\n1. Energía\n2. Procesos industriales y uso de productos\n3. Agricultura, silvicultura y otros usos de la tierra\n4. Residuos "
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,City,Latin America,Brazil,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,"10-recife-inventarioogee-iclei.pdf,10-recife-inventarioogee-iclei.pdf",https://americadosul.iclei.org/documentos/inventario-de-emissoes-de-gases-de-efeito-estufa-do-recife-pe/,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2020,Same - covers entire jurisdiction and nothing else,1653461,,International Emissions Analysis Protocol (ICLEI),CLIMAS Inventory Tool,CH4|SF6|N2O|CO2,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, internally and externally audited/verified",Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,"1º-Inventário-de-Emissões-de-Gases-de-Efeito-Estufa-para-a-Cidade-do-Recife-2014.pdf,plano_de_baixo_co2_recife.pdf",https://www2.recife.pe.gov.br/sites/default/files/plano_de_baixo_co2_recife.pdf\n\nhttps://observatoriodabicicleta.org.br/acervo/1o-inventario-de-emissoes-de-gases-de-efeito-estufa-para-a-cidade-do-recife/
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,"Reporte 2022_20241120.pdf,eCRF_Export_Medellín_2022_20250902.xlsx",https://medellingovco-my.sharepoint.com/:x:/g/personal/1044100469_medellin_gov_co/EYGRn0rvcv5AjMVT75A7QvUBTFK_QQuKeMwAmjHQqsFXsw?e=UXZ85W,The emissions inventory has been attached,2022,Same - covers entire jurisdiction and nothing else,2612958,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,CO2|CH4|N2O,National/sub-national emission factors: Factores Unidad Nacional de Planeación Minero Energética. http://www.upme.gov.co/Calculadora_Emisiones/aplicacion/acercade.html https://www1.upme.gov.co/siame/Paginas/factores-de-emision.aspx,IPCC Fifth Assessment Report (2013),"No, not audited/verified",Emissions factors - High data quality|Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,"GPC BASICO_MED_2015_2020.pdf,Reporte 2021_INGEI_Vfinal.pdf,Reporte 2022_20241120.pdf","Se adjunta archivo exportado en formato eCRF del marco de divulgación del GCoM. El enlace proporciona descarga de archivo CIRIS. Como inventario adicional, se comparte inventario año 2021"
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,,https://www.phoenix.gov/content/dam/phoenix/oepsite/documents/ghg-inventories/final-2022-community-ghg-report-english-08132024.pdf \n\nhttp://phoenix.gov/content/dam/phoenix/oepsite/documents/climate/cdp/FINAL_2022_City_of_Phoenix_Community_CIRIS_ENGLISH_080132024.xlsm,The emissions inventory can be accessed (unrestricted) on the link provided,2022,Other: Includes disposal and treatment of waste and wastewater processes outside the boundary.,1654675.0,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),CIRIS,CH4|CO2|N2O,Default IPCC emission factors,IPCC Sixth Assessment Report (2021),"Yes, internally audited/verified (self-verification)",Activity data - High data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",,All historical GHG Inventory Reports cam be found online at: https://www.phoenix.gov/administration/departments/oep/climate-change/greenhouse-gas-emissions.html\n\nFor inventory spreaadsheet files for prior inventories pleaase contact the City of Phoenix.
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,pgh-2022-ghg-inventory.pdf,2022 GHG Inventory attached,The emissions inventory has been attached,2021/2022,Same - covers entire jurisdiction and nothing else,302898,,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI USA),ICLEI ClearPath,CO2|N2O|CH4,Default IPCC emission factors,IPCC Fifth Assessment Report (2013),"Yes, internally audited/verified (self-verification)",Activity data - High data quality|Emissions factors - Medium data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy but this has not triggered a recalculation of historic emissions data",,"No changes in boundary. For energy, utilized the same methodology as previous years. Since previous calculations/data files were not available, new calculations were conducted using the most recent data for zipcodes, building footprint, and parcel data. See attachment for the methodology followed. For transportation, previous ghg inventories utilized data provided by MPO. Due to data availability, the 2022 ghg update includes data from Google Environmnetnal Insights: https://insights.sustainability.google/places/ChIJA4UGSG_xNIgRNBuiWqEV-Y0/transportation?hl=en-US\nAll other sectors utilized the same methodology as previous updates."
2025 Disclosure Cycle,779465,CDP,35878,"City of Sacramento, CA",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,,https://www.cityofsacramento.gov/content/dam/portal/cdd/Planning/General-Plan/2040-General-Plan/Adopted%20CAAP.pdf,The emissions inventory can be accessed (unrestricted) on the link provided,2016,Same - covers entire jurisdiction and nothing else,472692,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI USA),,Do not know,N2O|CH4|CO2,National/sub-national emission factors: US Community Protocol,,,,,,Please refer to Chapter 2 and Appendix A of the Climate Action and Adaptation Plan for the most up-to-date community emissions inventory.
2025 Disclosure Cycle,779465,CDP,35880,Municipality of Porto Alegre,City,Latin America,Brazil,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,RELATORIO_INVENTARIO_POA_WEB (1).pdf,https://prefeitura.poa.br/sites/default/files/usu_doc/noticias/2021/08/12/RELATORIO_INVENTARIO_POA_WEB.pdf,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2019,Same - covers entire jurisdiction and nothing else,1483771,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CLIMAS Inventory Tool,N2O|CH4|CO2,"Other: Foram utilizados fatores de emissão padrão do IPCC, mas também fatores de emissões nacionais (EPE, FGV, MCTIC, WRI, UNICAMP, SINDUSCON)",IPCC Fourth Assessment Report (2007),,Emissions factors - High data quality|Activity data - High data quality,Other: Não houve alteração pois o inventário é o mesmo reportado anteriormente.,,"As emissões do Município de Porto Alegre em 2019 totalizaram 2,4 MtCO2, sendo que o setor de Transportes configurou-se como o mais representativo, sendo responsável por cerca de 67% das emissões, seguido do setor de Energia Estacionária (cerca de 23%), Resíduos (cerca de 9%) e AFOLU (cerca de 1%)."
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,,https://www.tampa.gov/document/city-tampa-green-house-gas-inventory-86621,The emissions inventory can be accessed (unrestricted) on the link provided,2019,Same - covers entire jurisdiction and nothing else,387196,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),US EPA Greenhouse Gas Inventory Tool (US),CO2|CH4|HFCs|N2O,"Other: Standard emission factors: ● The GHG Protocol (Standard emission factors) ● Custom Emission Factors (i.e., TECO based on actual fuel mix) (See Appendix B for emission factor calculations for electricity and natural gas from TECO) ● Direct Emissions",IPCC Fifth Assessment Report (2013),"Yes, externally audited/verified (third-party verification)",Emissions factors - Medium data quality|Activity data - Medium data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,,https://www.sanjoseca.gov/home/showpublisheddocument/122510,The emissions inventory can be accessed (unrestricted) on the link provided,2023,Same - covers entire jurisdiction and nothing else,970772,,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI USA),ICLEI ClearPath,PFCs|CO2|CH4|HFCs|N2O|NF3|SF6,Other: IPCC 6th Assessment Report (2021),IPCC Sixth Assessment Report (2021),"Yes, externally audited/verified (third-party verification)",Activity data - High data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",,Past inventory reports for San Jose can be viewed at this link: https://www.sanjoseca.gov/your-government/departments-offices/environmental-services/climate-smart-san-jos/climate-smart-data-dashboard (scroll down to Resources section for links to our past inventories.)
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,"2025 GHG Inventory Spreadsheet (CY23).xlsx,2025 GHG Inventory Spreadsheet (CY23).xlsx",https://www.sandiego.gov/sites/default/files/2025-08/2024_cap_annual_report_appendices_v2.pdf,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2022/2023,Same - covers entire jurisdiction and nothing else,1387001,,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI USA),Internal tool/process,CO2|CH4|N2O,Other: EPA eGRID2019 database specific plant level emission factors; CARB statewide mobile source emissions model EMFAC2021; CEC Power Source Disclosure Program; CARB GHG Current California Emission Inventory Data; EPA Waste Reduction Model,IPCC Fourth Assessment Report (2007),"No, not audited/verified",Emissions factors - High data quality|Activity data - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",,"The City's total GHG emissions breakdown can be found in Appendix B (section B3.1, Table 3) in the linked document (https://www.sandiego.gov/sites/default/files/2025-08/2024_cap_annual_report_appendices_v2.pdf). The City's emissions total differs from the spreadsheet uploaded here in Column 1. While the uploaded spreadsheet includes emissions from rail, waterborne navigation, and aviation, these sources are not included in the GHG inventories developed to prepare the Climate Action Plan and report on progress toward the City's GHG reduction goals. The GHG emissions categories and inventory methodology for the City of San Diego are based on the U.S. Communities Protocol, which requires five basic emissions-generating activities to be included in a Community GHG inventory. These categories are generally recognized as being under the collective control and management of the community whereas other emissions-generating activities such as air travel or shipping are not considered as such. Therefore, allocating emissions from these categories is better handled at a higher geographic level of aggregation. Aviation, rail, and waterborne navigation activities and emissions are not within the jurisdiction of the City of San Diego but are the responsibility of other public agencies, and therefore included in GHG inventories for those entities (including the San Diego Regional Association of Governments, San Diego Unified Port District, and others)."
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,עותק של CIRIS Standard v4.0.xlsx,,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,474560,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),,CIRIS,CH4|N2O|CO2,National/sub-national emission factors: Emission factor from the Israeli Environmental Protection Ministry,Do not know,"Yes, externally audited/verified (third-party verification)",Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,Tel Aviv - Yafo _CIRIS Report_1.pdf,
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,CO2_emissions_inventory_2019_Turin.pdf,http://www.comune.torino.it/ambiente/bm~doc/piano_azione_energia_sostenibile_clima_paesc.pdf,The emissions inventory has been attached,2019,Same - covers entire jurisdiction and nothing else,860793.0,,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Internal tool/process,CO2,Default IPCC emission factors,Do not know,"Yes, externally audited/verified (third-party verification)",Emissions factors - High data quality|Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,The emissions of methane CH4 and nitrous oxide N2O have been studied but are to be considered negligible with respect to CO2 emissions occuring within the city.\nThe contribution of agriculture and breeding to the emissions of CH4 is negligible due to the fact that very little part of the city is covered by farms.\n
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,Inventaire GES collectivité MTL 2023-V4.pdf,https://mtl.ged.montreal.ca/constellio/?collection=mtlca&portal=REPDOCVDM#!displayDocument/00000114010,The emissions inventory can be accessed (unrestricted) on the link provided,2023,Same - covers entire jurisdiction and nothing else,2109525,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,N2O|SF6|HFCs|CH4|NF3|PFCs|CO2,National/sub-national emission factors: Canadian National Inventory Report,IPCC Fourth Assessment Report (2007),"Yes, internally audited/verified (self-verification)",Emissions factors - High data quality|Activity data - Medium data quality|Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,ciraig_vdm_inventaire_ges_conso_2017.pdf,Consumption-based inventory for 2017 : https://portail-m4s.s3.montreal.ca/pdf/ciraig_vdm_inventaire_ges_conso_2017.pdf
2025 Disclosure Cycle,779465,CDP,35897,Municipality of Campinas,City,Latin America,Brazil,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,CIRIS_Campinas 2023_29072023.xlsx,https://campinas.sp.gov.br/sites/portaldoclima/inicio,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2022/2023,Same - covers entire jurisdiction and nothing else,1139047,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,CH4|CO2|N2O,Default IPCC emission factors,IPCC Fifth Assessment Report (2013),"Yes, internally audited/verified (self-verification)",Activity data - Medium data quality|Emissions factors - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,Inventário de Emissões de Gases de Efeito Estufa (GEE) - Produto 3.pdf,"Campinas já tem 6 Inventários de Emissões elaborados. O 1º Inventário foi elaborado pela metodologia GPC, por meio da ferramenta CLIMAS, ano base de 2016. Os 5 anos mais recentes (2023, 2022, 2021, 2020 e 2019), de Inventário de Emissões foram elaborado com a metodologia GPC, utilizando a CIRIS."
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,SCATTER_greater_manchester_CDP-report-inventory_2020.xlsx,Inventory attached,The emissions inventory has been attached,2020,Same - covers entire jurisdiction and nothing else,2835686,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),SCATTER,CO2|CH4|N2O,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, externally audited/verified (third-party verification)",Emissions factors - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,Final_Hyderabad CRF Community Inventory_GCOM CRF Report.xlsx,https://docs.google.com/spreadsheets/d/1QyH65qV0byqCm2K3FhfWObAC_g41kysz/edit?usp=sharing&ouid=102211542208476293707&rtpof=true&sd=true,The emissions inventory has been attached,2022/2023,Same - covers entire jurisdiction and nothing else,10602887,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),Other: Harmonized Emissions Analysis Tool (HEAT+) by ICLEI,CO2|CH4|N2O,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, internally audited/verified (self-verification)",Activity data - Medium data quality|Emissions factors - High data quality,No changes to the methodology and/or boundary used as this is the jurisdictions first year reporting an emissions inventory,,GHG emissions inventory for FY 2022-23 which is the baseline year for Hyderabad CRCAP was uploaded
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,nid-2024.pdf,https://www.nea.gov.sg/docs/default-source/cmd-documents/ghg-documents/nid-2024.pdf\n,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2022,Same - covers entire jurisdiction and nothing else,5637022,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,Internal tool/process,NF3|SF6|CH4|CO2|N2O|HFCs|PFCs,Default IPCC emission factors,IPCC Fifth Assessment Report (2013),"Other: For each Biennial Transparency Report (BTR) submitted to the UNFCCC, a Quality Assurance/Quality Control check is performed on the reporting inventory year by an independent QA team. The same process is implemented for past BURs submitted to UNFCCC.",Activity data - Medium data quality|Emissions factors - Medium data quality|Emissions factors - High data quality|Activity data - High data quality|Activity data - Low data quality|Emissions factors - Low data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",,"Navigate to Society > Environment > Air Quality and Climate > Greenhouse Gas Emissions by Gas Type, Annual\nhttps://tablebuilder.singstat.gov.sg/table/TS/M891321 (Emissions by Gas Type)\nhttps://www.tablebuilder.singstat.gov.sg/table/TS/M891491 (Emissions by Sector)"
