disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Risk assessment procedure,col2_Forests-related issue assessed,col3_Drivers assessed,col4_Frequency of assessment,col5_Tools and methods used to identify and assess risks,col6_Issues considered,col7_Communities and organizations considered,col8_Risk assessment web link,col9_Please explain
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of the management of commercially valuable forests and/or plantations,Deforestation|Conversion of natural habitats|Forest degradation,,Other: every five years,Region-specific tools and databases|National specific tools and databases,"Impacts on water security|Socio-economic impacts|Climate change impacts|Legal framework (e.g. policies, regulations)|Governance issues (e.g. political instability, corruption)",Indigenous peoples|Companies|Local communities|National governments,https://forestierenchef.gouv.qc.ca/possibilites-forestieres/,"The forest possibilities defined by the Chief Forester correspond, for a given management unit or local forest, to the maximum volume of annual wood harvests by species or group of species that can be harvested while ensuring renewal and the evolution of the forest based on the applicable sustainable forest management objectives, including those aimed at:\n\n- the sustainability of the forest environment;\n- the impact of climate change on forests;\n- the natural dynamics of forests, including their composition, age structure and spatial distribution;\n- maintaining and improving the productive capacity of forests;\n- diversified use of the forest environment."
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of the management of Protected Areas,Forest degradation|Conversion of natural habitats|Deforestation,Small-scale agriculture,Six monthly or more frequently,Remote sensing (e.g. satellite or aerial photographs)|Region-specific tools and databases|Desk-based research and studies,Climate change impacts,Local communities|Indigenous peoples,https://sema.ac.gov.br/departamentos-e-divisoes/divisao-de-areas-naturais-protegidas-e-biodiversidade/,
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of regional sustainability appraisals,Deforestation|Forest degradation,Small-scale agriculture,"Other: One-off assessment, explanation provided",Remote sensing (e.g. satellite or aerial photographs),"Other: Projeção de desenvolvimento populacional, econômico e infraestrutural",Local communities,,
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of the management of Protected Areas,Deforestation|Forest degradation|Conversion of natural habitats,,Other: Programa permanente,Remote sensing (e.g. satellite or aerial photographs)|Region-specific tools and databases|Field surveys|National specific tools and databases,"Legal framework (e.g. policies, regulations)|Climate change impacts|Impacts on water security",Local communities|NGOs|Indigenous peoples|Local authorities (city-level),https://fapesp.br/biota/,"Lançado em março de 1999, o objetivo do Programa FAPESP de Pesquisas em Caracterização, Conservação, Restauração e Uso Sustentável da Biodiversidade (BIOTA-FAPESP) é conhecer, mapear e analisar a biodiversidade do Estado de São Paulo, incluindo a fauna, a flora e os microrganismos, mas, também, avaliar as possibilidades de exploração sustentável de plantas ou de animais com potencial econômico e subsidiar a formulação de políticas de conservação dos remanescentes florestais."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of strategic environmental assessments,Conversion of natural habitats|Deforestation|Forest degradation,Infrastructure|Mining|Fires|Small-scale agriculture|Unsustainable logging|Charcoal and fuelwood production,Other: Diversos planos são executados com periodicidades de acordo com a legislação vigente.,Region-specific tools and databases|Remote sensing (e.g. satellite or aerial photographs)|National specific tools and databases|Field surveys,Impacts on water security|Climate change impacts|Socio-economic impacts,Local authorities (city-level)|Companies|NGOs|Local communities|Indigenous peoples,,"Há necessidade de elaborar estudos complementares para avaliação de riscos de desmatamento e degradação florestal, seja estadual ou por subdivisões regionais no Estado, como por exemplo por UGRHIs - Unidades de Gestão de Recursos Hídricos."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,3,Row 3,Assessed as part of the management of Protected Areas,Forest degradation|Deforestation|Conversion of natural habitats,,Other: 2022 - 2026,Field surveys|National specific tools and databases|Remote sensing (e.g. satellite or aerial photographs)|Desk-based research and studies|Region-specific tools and databases,"Legal framework (e.g. policies, regulations)|Climate change impacts|Impacts on water security",NGOs|Local authorities (city-level)|Local communities|Indigenous peoples,https://biotasintese.iea.usp.br/pt/,"O “Núcleo de Análise e Síntese de Soluções Baseadas na Natureza” (Biota Síntese) que tem como objetivo apoiar o estado de São Paulo no desenvolvimento de políticas públicas socioambientais relacionadas à sustentabilidade agrícola, restauração ecológica, controle de zoonoses e prevenção de doenças em áreas urbanas, considerando soluções essencialmente baseadas na natureza.\n\nO Núcleo reúne pesquisadores de 5 Universidades, 7 Institutos de Pesquisa do estado de São Paulo e 4 Organizações não Governamentais, além de técnicos e tomadores de decisão das Secretarias Estaduais do Meio Ambiente, Infraestrutura e Logística, Saúde Pública e Agricultura. O Núcleo fica sediado no Instituto de Estudos Avançados da Universidade de São Paulo, na cidade de São Paulo (SP), Brasil.\n\nEste Núcleo é financiado pela Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP, por 5 anos, de 2022 a 2026."
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Other: Avaliada como parte da construção da Repartição de Benefícios para o Programa Jurisdicional de REDD+ do Tocantins,Deforestation,Large-scale agriculture|Small-scale agriculture,Other: Especificamente para a Repartição de Benefícios,Region-specific tools and databases|Remote sensing (e.g. satellite or aerial photographs)|National specific tools and databases,Climate change impacts,Local communities|Indigenous peoples|Other regional governments,https://jredd.to.gov.br/,
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as a standalone issue,Deforestation,Small-scale agriculture|Large-scale agriculture,Other: Conforme demanda (ver explicação).,Remote sensing (e.g. satellite or aerial photographs)|Field surveys|Region-specific tools and databases|Consultations with partners,"Other: Presença de formigueiros, ocorrência visível de fogo, presença de gramíneas e herbáceas, erosão, condições edáficas (áreas úmidas, afloramentos rochosos, cascalho), presença de fauna (polinizadores/dispersores).|Impacts on water security",NGOs|Other: Instituto Estadual de Florestal|Local communities,Link: https://www.ief.mg.gov.br/web/ief/restauração-florestal-na-bacia-do-rio-doce-lições-aprendidas\n\nPara acessar diretamente a publicação pode-se acessar o link: https://www.ief.mg.gov.br/documents/51853/7605752/ANEXO_XII_-_LIVRETO/9adee713-f29b-44c9-baf5-30bbd5eb964c?version=1.0&t=1723743057328,"Não existe uma matriz formal de avaliação de risco em razão do desmatamento. Nas supressões de vegetação nativa, quando autorizadas pelos órgãos ambientais competentes, são avaliadas questões relacionadas à viabilidade, ao controle, à mitigação dos impactos, à compensação sobre a intervenção realizada e a vulnerabilidade local, esta última, inserida no contexto da viabilidade da autorização."
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as a standalone issue,Conversion of natural habitats|Deforestation,,Other: ,National specific tools and databases,,,,
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of land use planning,Conversion of natural habitats|Deforestation|Forest degradation,Unsustainable logging|Fires|Mining|Other: ,Other: cada 4 años,Remote sensing (e.g. satellite or aerial photographs),"Governance issues (e.g. political instability, corruption)|Prices and demand trends of forest commodities|Climate change impacts|Legal framework (e.g. policies, regulations)|Socio-economic impacts|Impacts on water security",Other regional governments|Local authorities (city-level)|Local communities,http://mapas.ecologia.guanajuato.gob.mx/libs/msfw/apps/multisearchcenter/,"La información geográfica tiene gran relevancia en la toma de decisiones sobre aspectos de planeación territorial y protección de los recursos naturales, así como en la prevención y control de la contaminación ambiental. Una de las vertientes que ha contribuido a ello es el avance actual en el uso de tecnologías de la información, mismas que han permitido grandes mejoras en la captación, procesamiento, uso y difusión de los datos geográficos.\n\nAnte esta dinámica, adquiere gran relevancia generar y mantener información geográfica estandarizada, homogénea, actualizada, que cumpla estándares de calidad, que pueda ser intercambiable y que sirva, entre otras cosas, para la definición de políticas públicas, Integrando la información de los Inventarios Habitacional, Suelo y Vivienda, Forestal y de Áreas Naturales Protegidas."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of strategic environmental assessments,Deforestation|Forest degradation,Large-scale agriculture|Small-scale agriculture,Other: every five years,Consultations with partners|Desk-based research and studies,"Legal framework (e.g. policies, regulations)|Socio-economic impacts",NGOs|Companies|Local authorities (city-level),link not available,This risk assessment is contained in the Provincial Forestry Strategic Plan which is made every 5 years. 
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of strategic environmental assessments,Deforestation|Forest degradation,Small-scale agriculture|Large-scale agriculture,Other: every five years,Consultations with partners|Desk-based research and studies,"Legal framework (e.g. policies, regulations)|Socio-economic impacts",NGOs|Local authorities (city-level)|Companies,link not available,This risk assessment is contained in the Provincial Forestry Strategic Plan which is made every 5 years. 
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,3,Row 3,Assessed as part of strategic environmental assessments,Deforestation|Forest degradation,Large-scale agriculture|Mining|Small-scale agriculture,Other: every five years,Desk-based research and studies|Consultations with partners,"Governance issues (e.g. political instability, corruption)|Climate change impacts|Legal framework (e.g. policies, regulations)|Socio-economic impacts",Local authorities (city-level)|Companies|NGOs,link not available,The Strategic Environmental Assessment (KLHS) document is made every five years. This document not only examines forestry issues but also examines environmental related issues in the jurisdictional area.
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,4,Row 4,Assessed as part of the management of Protected Areas,Forest degradation|Deforestation,Small-scale agriculture|Large-scale agriculture,Annually,Remote sensing (e.g. satellite or aerial photographs)|National specific tools and databases,"Legal framework (e.g. policies, regulations)|Climate change impacts",National governments,http://pustandpi.or.id/download/rencana-operasional-indonesias-folu-net-sink-2030/,"The preparation of the Biogeophysical Index (IBGF) map was developed based on the Regulation of the Minister of Environment and Forestry Number P.70/MENLHK/SETJEN/KUM.1/12/2017 concerning Procedures for Implementing Reducing Emissions from Deforestation and Forest Degradation, Role of Conservation, Sustainable Management of Forest and Enhancement of Forest Carbon Stocks. In this case, the IBGF is organized into 3 types of information, namely IBGF Emissions, IBGF Absorption, and IBGF Fires. This preparation is monitored annually by the national government through the MoEF. With this, national data will be monitored for changes in forest cover due to deforestation."
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of land use planning,Other: Land use change,,Annually,Remote sensing (e.g. satellite or aerial photographs),Other: Land use change,Local authorities (city-level)|National governments,Unable provide link/attachment.,"There is no specific measures on this assessment however forest management agency on behalf MoEF deep conduct an annual land use change analysis in Papua, from this analysis, we could get information on forest deforestation and degradation driver (land use change driver only) no specific social and economic driver is included in this assessment."
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of strategic environmental assessments,Forest degradation|Deforestation,Fires|Charcoal and fuelwood production,"Other: KLHS in Aceh is an ongoing process, conducted through various forums, discussions, and initiatives to ensure that natural resource management is carried out sustainably and effectively in reducing the risks of deforestation and forest degradation",Desk-based research and studies|National specific tools and databases|Consultations with partners|Remote sensing (e.g. satellite or aerial photographs),"Socio-economic impacts|Legal framework (e.g. policies, regulations)|Climate change impacts|Governance issues (e.g. political instability, corruption)",Local communities|Other regional governments|Local authorities (city-level)|NGOs|Other: Research and environmental organizations|National governments,Link unavailable,Deforestation and/or forest degradation risks assessed as part of strategic environmental assessment (KLHS)
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of the management of Protected Areas,Forest degradation|Deforestation,Large-scale agriculture|Mining|Charcoal and fuelwood production|Fires,Annually,National specific tools and databases|Desk-based research and studies|Remote sensing (e.g. satellite or aerial photographs),"Legal framework (e.g. policies, regulations)|Climate change impacts",National governments,http://pustandpi.or.id/download/rencana-operasional-indonesias-folu-net-sink-2030/,"The preparation of the Biogeophysical Index (IBGF) map was developed based on the Regulation of the Minister of Environment and Forestry Number P.70/MENLHK/SETJEN/KUM.1/12/2017 concerning Procedures for Implementing Reducing Emissions from Deforestation and Forest Degradation, Role of Conservation, Sustainable Management of Forest and Enhancement of Forest Carbon Stocks. In this case, the IBGF is organized into 3 types of information, namely IBGF Emissions, IBGF Absorption, and IBGF Fires. This preparation is monitored annually by the national government through the MoEF. With this, national data will be monitored for changes in forest cover due to deforestation."
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of strategic environmental assessments,Deforestation|Forest degradation,Mining|Large-scale agriculture|Fires,Other: Do not know,Field surveys|Desk-based research and studies,Climate change impacts|Socio-economic impacts,NGOs,http://182.253.224.163/assets/lampiran/Dokumen%20STRATEGI%20REDD_KALTENG-Fix.pdf,"The document of Central Kalimantan REDD+ Strategy 2021. This document provides an assessment of the drivers of deforestation and forest degradation. This research is not carried out continuously, because it is a form of study of support by other parties for regional development."
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,3,Row 3,Assessed as part of strategic environmental assessments,"Other: Forest conservation/protection, Forest rehabilitation, Sustainable forest management|Forest degradation|Deforestation",Charcoal and fuelwood production|Fires|Large-scale agriculture,Other: Assessment is made every five years,Consultations with partners|Desk-based research and studies|Remote sensing (e.g. satellite or aerial photographs)|Other: National laws,"Climate change impacts|Socio-economic impacts|Governance issues (e.g. political instability, corruption)|Legal framework (e.g. policies, regulations)",Other regional governments|Local communities|NGOs|Indigenous peoples|National governments|Companies|Local authorities (city-level),http://182.253.224.163/assets/lampiran/2__RE_KLHS_RPJMD_2021-2016.pdf,The document of strategic environmental assessments (KLHS) on Central Kalimantan's mid-term development plans (RPJMD) 2021 - 2026 is available.
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Other: Evaluado como parte del Programa de Acción ante el Cambio Climático del Estado de Tlaxcala (PACCET) 2023-2030,Deforestation,Large-scale agriculture,Other: Se incluyó este análisis en la creación del PACCET,Field surveys|Region-specific tools and databases|Desk-based research and studies,Climate change impacts,Local communities|NGOs|Local authorities (city-level),,"El Programa de Acción ante el Cambio Climático del Estado de Tlaxcala 2023-2030, que contiene la evaluación del sector forestal, se encuentra en proceso de publicación en el Periódico Oficial del Estado. Se ha adjuntado en otros apartados.\n"
2025 Disclosure Cycle,779465,CDP,2045832,Yasothon Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of land use planning,Deforestation,Small-scale agriculture,Annually,Field surveys|Remote sensing (e.g. satellite or aerial photographs),"Socio-economic impacts|Legal framework (e.g. policies, regulations)|Climate change impacts",Other regional governments|Local authorities (city-level),,
