disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Primary entity collaborated with,col2_Mechanisms used to collaborate,col3_Areas collaboration focused on,"col4_Description of collaboration and any progress, if applicable",col5_Other entities collaborated with
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: National government,Climate action plan implementation|Capacity development|Policy and regulation development/ implementation|Collaborative initiative,Inclusive climate action and/or equity|Emissions reduction|Finance|Energy,"CapaCITIES project - supports Polish cities participating in the EC Mission \'100 Climate Neutral and Smart Cities by 2030\' by building national and regional governance and cooperation structures, and aims to create the conditions and provide the means for cities to implement the Climate Neutral and Smart Cities Mission. The project has initiated a dialogue between cities and the regional (marshal offices) and national (ministries) levels on organizational, financial and legislative barriers, and discussed how to increase the influence of cities on climate policy. Currently, Warsaw's representatives, together with other cities submitting Municipal Climate Contracts as part of the EC Mission \'100 Climate Neutral and Smart Cities by 2030\', are meeting regularly with representatives of the Ministry of Climate and Environment. The aim of the cooperation is to discuss the main systemic barriers to the implementation of the contracts and possible solutions to support the cities. The Ministry is a signatory to the Climate Contracts. Warsaw actively participates in the work of the Energy, Climate, and Environment Team of the Joint Commission of the National Government and Local Governments, whose goal is to develop a common stance on climate and environmental policy, including proposing legislative initiatives, issuing opinions on legal acts, and developing solutions.",Climate initiatives/networks|Academia|Energy|NGO and associations|Real Estate|Transport|Public authority|Waste|Faith-based organizations|Financials|Residents/community groups|Regional government|Industrials
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: Regional government,Financing (investment)|Funding (grants)|Collaborative initiative|Policy and regulation development/ implementation|Knowledge or data sharing,Water|Inclusive climate action and/or equity|Transport (Mobility)|Industry|Resilience|Energy|Adaptation|Finance|Other: Air quality|Building and Infrastructure|Waste|Emissions reduction|Natural environment,"The Marshall of the Mazowieckie Voivodeship is a signatory to the Climate City Contract, prepared by Warsaw as part of the city's participation in the EC Mission \'100 Climate Neutral and Smart Cities by 2030\'. Warsaw is cooperating with the authorities of the Mazovia Voivodeship as part of the regional project “Mazovia without smog.” The project is co-financed by the European Regional Development Fund under Priority II: “European Funds for the green development of Mazovia.” Thanks to the project, residents receive comprehensive support in selecting the appropriate heat source, implementing thermal modernization measures, and implementing renewable energy sources. The project also provides easier access to funds and other forms of financing for this type of investment.",National government|Energy|Real Estate|Industrials|Climate initiatives/networks|Waste|Transport|Financials|Faith-based organizations|Academia|NGO and associations|Residents/community groups
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,"Business: Other: Cooperation within the Climate Partnership - platform involving business, NGOs, embassies, scientific institutions, academia.",Knowledge or data sharing|Project implementation and management|Climate action plan implementation|Collaborative initiative,Emissions reduction|Resilience|Ecosystem restoration|Building and Infrastructure|Natural environment|Energy|Adaptation|Inclusive climate action and/or equity|Education,"Climate partnership - it is the paltform for exchange of experience, knowledge. Partners meet to exchange information on their activities in the field of sustainable development and energy transition, participate in thematic workshops, take part in joint projects and actions (e.g. annual tree planting campaign). Warsaw has begun cooperating with energy companies on pilot projects to recover waste heat from the metro system. Warsaw also cooperates with business through internal Social Diversity Fund mechanism which enable business to be engaged in adaptation measures such as giving access to cooling spaces in private buildings for citizens during heat waves.",NGO and associations|Academia|Climate initiatives/networks|Transport|Construction|Faith-based organizations|Financials|Other: Diplomatic missions|Waste|Energy
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Business: Financials,City business partnership platform|Financing (investment),Building and Infrastructure|Energy|Adaptation|Transport (Mobility),The Greenery Management Board of the City of Warsaw runs the Green Fund for Warsaw. The aim of the Green Fund for Warsaw is to enable entrepreneurs and other entities to participate in the development and maintenance of green areas in the city by financing specific investments. Development of Public-Private Partnerships. The implementation of cooperation with business in this area will be handled by the Economic Development Department of the City of Warsaw. ,
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,Civil society: Academia,"Technical assistance|Collaborative initiative|Capacity development|Knowledge or data sharing|Reporting to the national Measurement, Reporting and Verification (MRV) system|Requirement to develop and implement emissions reduction target",Natural environment|Adaptation|Resilience|Energy|Social Services|Education|Waste|Transport (Mobility)|Emissions reduction|Building and Infrastructure|Finance|Ecosystem restoration|Inclusive climate action and/or equity,"Cooperation within the Climate Partnership - platform involving business, NGOs, embassies, scientific institutions, academia. It is the paltform for exchange of experience, knowledge. Partners meet to exchange information on their activities in the field of sustainable development and energy transition, participate in thematic workshops, take part in joint projects and actions (e.g. annual tree planting campaign). Common inovative projects, eg. Students at Warsaw University of Technology, with support from experts at the university, the Royal Danish Embassy in Poland, the City of Warsaw, the University of Southern Denmark and Danfoss, among others, calculated the energy consumption of the eyed buildings and developed recommendations for reducing energy consumption and adaptation measures that can be applied throughout the city for buildings with similar characteristics. Engaging academia in activities related to the Climate City Contract, implemented within the framework of EU Missions 100 Climate-neutral and Smart Cities. Engaging in public consultation on key documents, such as during the creation of the Warsaw Green City and Climate Action Plan. There are many joint research and implementation projects with the academic community.",Residents/community groups|NGO and associations|Climate initiatives/networks
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",6,Row 6,Civil society: Residents/community groups,"Collaborative initiative|Development of local/regional adaptation plans, National Adaptation Plans and/or National Adaptation Programmes of Action (NAPAs)|City business partnership platform|Knowledge or data sharing",Natural environment|Education|Adaptation|Energy|Social Services|Resilience|Building and Infrastructure|Transport (Mobility)|Waste|Emissions reduction|Inclusive climate action and/or equity,"Cooperation within the Climate Partnership - platform involving business, NGOs, embassies, scientific institutions, academia. It is the paltform for exchange of experience, knowledge. Partners meet to exchange information on their activities in the field of sustainable development and energy transition, participate in thematic workshops, take part in joint projects and actions (e.g. annual tree planting campaign).\nEngaging in activities related to the Climate City Contract, implemented within the framework of EU Missions 100 Climate-neutral and Smart Cities.\nEngaging in public consultation on key documents, such as: Warsaw Green City and Climate Action Plan, Spacial Development Conditions and Directions Study, Climate Change Adaptation Strategy, Municipal Revitalization Programs and others.\nIn cooperation within the framework of the Warsaw Climate Panel (2020 and 2022) - 90 panelists selected at random, from among Warsaw residents, developed recommendations for increasing Warsaw's energy efficiency and the share of renewable energy sources in the city's energy balance, with the support of experts. The panel resulted in the development of 49 recommendations for the city. The organization and running of the panel was entrusted to NGOs. NGO and associations and climate initiatives/networks are member of Monitoring Team, which is overseeing the implementation of the recommendations.\nWarsaw, like other Polish cities, has a Civic Budget. This is a separate part of the city's budget, the allocation of which is decided by the citizens, by submitting projects and voting for them . A very large proportion of the projects voted on are climate and environmental projects.",Residents/community groups|Climate initiatives/networks|Vulnerable population groups|Education sector|NGO and associations
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: National government,Collaborative initiative,Building and Infrastructure,"창원시는 정부·기업·시민사회와 다층적 협력 구조를 통해 기후변화 대응을 체계적으로 추진하고 있다.\n특히, 공공기관과의 정책 연계, 기업과의 기술·투자 파트너십, 시민사회와의 참여 기반 확산을 통해 배출 감축-적응-회복력 강화-시민 교육의 전 영역에서 성과를 도출하고 있으며, 이는 창원시 기후행동의 공평성과 포용성을 강화하는 핵심적 기반이 되고 있다.\n\n1. 정부와의 협력\n1)환경부 협력: 기후변화 대응 시범도시 선정\n창원시는 환경부와 협력하여 기후변화 대응 시범도시로 선정되었으며, 녹색교통 중심 도시 건설(대중교통·전기차·수소차 확대), 도시 침수 대응을 위한 하수도 정비 계획 강화 등을 공동 추진하고 있음.\n2)경상남도·공공기관과의 협력: 광역정부 및 공공기관(한국전력, 한국에너지공단 등)과 협력해 온실가스 인벤토리 작성, 재생에너지 보급사업, 공공건물 에너지 효율화를 진행.\n\n2. 기업과의 협력\n1)환경 보호 활동 및 기술 투자: 지역 기업(현대차, 두산에너빌리티, 산업단지 기업 등)과 협력하여 친환경 교통수단(전기버스, 수소충전소) 확대, 산업단지 내 스마트에너지 플랫폼 및 폐열 회수 시스템 도입, 임직원 환경 자원봉사 활동 전개를 실현하고 있음.\n2)환경의 날 행사 참여: 기업들은 창원시가 주최하는 환경의 날 행사에 적극 참여하여, 친환경 기술·제품 전시, 시민 참여 체험 프로그램 후원, 환경보호 캠페인 활동을 공동 추진.\n\n3. 시민 사회와의 협력\n1)환경 교육·참여 프로그램 운영: 시민 단체와 함께「우리에게 남은 탄소시간」캠페인, 자전거 출퇴근 챌린지, 공유텀블러 프로그램 등을 운영, 시민들의 인식을 높이고 공동체적 기후행동을 강화.\n2)환경의 날 행사 - 시민 주도 참여\nNGO·학계·주민 커뮤니티가 함께 참여하여, 기후행동 체험·교육 부스를 운영하고 환경보호 메시지를 확산.\n\n4. 대표 협력 사례 - 환경의 날 행사\n창원시가 주최하는 환경의 날 행사는 정부·기업·시민사회가 모두 참여하는 대표적 기후행동 협력 사례이다. \n정부 기관은 정책과 지원을 제공, 기업은 친환경 기술과 활동을 전개, 시민사회는 교육·참여 프로그램을 운영. 이 행사를 통해 창원시는 기후변화 대응의 중요성을 알리고, 지속 가능한 도시로 발전하기 위한 공동의 노력을 공유하며, 협력 기반의 성과를 가시화하고 있다.\n\n창원시는 환경의 날 행사를 포함한 다양한 협력 프로젝트를 통해 정부·기업·시민사회의 역량을 결집하고 있다. 이러한 협력은 ▲배출 감축 ▲적응력 강화 ▲시민 인식 제고라는 세 축을 아우르며, 창원시가 지속 가능한 도시로 나아가는 핵심 기반으로 작동하고 있다.",Residents/community groups
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: National government,"Funding (grants)|Knowledge or data sharing|Policy and regulation development/ implementation|Development of local/regional adaptation plans, National Adaptation Plans and/or National Adaptation Programmes of Action (NAPAs)|Technical assistance|Requirement to develop and implement emissions reduction target|Climate action plan implementation|Engineering and consulting procurement|Multi-jurisdictional regional collaboratives|Capacity development|Financing (investment)|Reporting of climate and/or environmental data",Transport (Mobility)|Finance|Building and Infrastructure|Education|Energy|Inclusive climate action and/or equity|Waste,"- The national government developed the National Framework Plan for Carbon Neutrality and Green Growth in April 2023 and circulated guidelines to local governments to help them develop their own plans for carbon neutrality and green growth in May 2023. \n-The national government has provided grants to local government to help them develop climate action plans and operate carbon neutrality support centres.\n- Seoul is actively supporting its 25 autonomous districts in developing their Framework Plans for Carbon Neutrality and Green Growth through the provision of information, capacity-building training, and quarterly climate action forum.\n- To achieve greenhouse gas emissions reduction targets, the national government, Seoul, and individual districts are implementing a wide range of projects in sectors including buildings, transportation, and energy generation. These initiatives are often accompanied by financial incentives for citizens. Furthermore, targeted support programs are in place to assist vulnerable communities.",Education sector|National government|Industrials|Transport|Faith-based organizations|Local government within country/area|Neighboring local government|Waste|Vulnerable population groups|Construction|Local government outside of country/area|Regional government|Residents/community groups|Academia|Energy|Public authority|NGO and associations
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: Regional government,Collaborative initiative,Building and Infrastructure,"Taipei City collaborates with 35 home appliance manufacturers and retailers to enhance sales staff expertise in promoting energy-efficient products. Promotional campaigns are organized to encourage the public to recognize, purchase, and use energy-saving appliances.\nThe City provides free technical consultations on energy efficiency for businesses. Companies incorporate energy-saving measures into their corporate social responsibility programs. In 2024, 380 businesses received guidance, resulting in 92.39 million kWh of electricity saved, while 3,118 businesses were audited, achieving an additional 3.32 million kWh in savings.",Regional government
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: Regional government,Collaborative initiative,Building and Infrastructure,"Tzu Chi × PaGamO Taipei City Environmental & Disaster Prevention Challenge: Organized jointly by the Tzu Chi Foundation, Pagamo Ltd. (BVI), and Taipei City Government, this initiative uses an “edutainment” e-sports platform to teach environmental protection and disaster preparedness, overcoming constraints of time and location.\nDaxue-li Low-Carbon Community Walking Tour: Proposed by Daan District Office residents and held on August 14-15, 2024, this activity engages parents and children in a hands-on exploration of local waterway ecology, low-carbon community measures, and carbon footprint awareness, fostering environmental literacy and sustainable, low-carbon lifestyle habits.",Regional government
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Civil society: Climate initiatives/networks,Knowledge or data sharing|Collaborative initiative|Convening industry groups|Technical assistance|Capacity development|Cleaner production industry support,Emissions reduction|Building and Infrastructure,"For FY2024/25 the City of Adelaide remained a member of the national Material and Embodied Carbon Leaders Alliance (MECLA), a consortium of organisations working together to drive reductions in embodied carbon in the building and construction industry. Membership includes the construction industry, material manufacturers, architects, industry bodies, local governments, state governments, NGOs, universities, etc. MECLA has a number of subgroups, including one for local governments to work together to improve embodied carbon measurement and management in civil infrastructure. Further information on MECLA can be found here: https://mecla.org.au. ",Local government within country/area|Industrials|Trade/labor unions|Regional government|Industry trade group|Academia|National government|Construction|Climate initiatives/networks|NGO and associations|Education sector|Materials|Public authority
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: Regional government,Collaborative initiative|Capacity development|Knowledge or data sharing|Reporting of climate and/or environmental data|Climate action plan implementation|Project implementation and management,Emissions reduction|Energy|Transport (Mobility),"The CoA formed a partnership with the Government of South Australia to work towards a shared aspiration of carbon neutrality, formalised through two mechanisms:\n\n- The joint signing of the Compact of Mayors by Council and the Compact of States and Regions by the Premier, the first such pairing in Australia of these two important international networks. \n\n- The undertaking to enter into a Sector Agreement from 2015 - 2020 under the Climate Change and Greenhouse Emissions Reduction Act 2007. The Sector Agreement underpinned the Carbon Neutral Adelaide initiative and the Carbon Neutral Adelaide Action Plan 2016 - 2021 that outlined priority strategies and actions. Through this initiative and action plan the CoA and State Government shared data and modelling, jointly delivered projects, built capacity, and tracked and reported on progress. This action plan was concluded in 2021 and new ways of working together are under development.",Local government within country/area|Regional government
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Civil society: Climate initiatives/networks,Capacity development|Knowledge or data sharing|City business partnership platform,Building and Infrastructure|Emissions reduction|Energy|Resilience|Transport (Mobility)|Waste,"The Carbon Neutral Adelaide Partner Program (Partner Program) was developed in recognition that achieving carbon neutral ambition requires collaboration between different levels of government businesses and the local community. The Partner Program was officially launched on 29 May 2017. In June 2024, there were over 220 partners in an active community that spans different sectors. In FY2024/25 the program evolved into the Sustainability Collective to continue sharing good news stories, profile sustainable organisations, and share local events.\n\nIn addition, the City of Adelaide introduced the Mind Your Business engagement sessions in 2024. These engagement sessions provide an opportunity for businesses and community members to talk one-on-one with Council staff about the support Council can provide for their own action towards a resilient, protected, sustainable city, including financial support through our Sustainability Incentives Scheme.",Education sector|Climate initiatives/networks|Residents/community groups|Regional government|NGO and associations
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Government/Public body: Neighboring local government,"Development of local/regional adaptation plans, National Adaptation Plans and/or National Adaptation Programmes of Action (NAPAs)|Collaborative initiative|Project implementation and management|Knowledge or data sharing|Capacity development|Reporting of climate and/or environmental data|Climate action plan implementation|Multi-jurisdictional regional collaboratives",Resilience|Adaptation,"For FY2024/25 the City of Adelaide maintained its membership of Resilient East (https://www.resilienteast.com) which aims to develop a coordinated and collaborative response to reduce the vulnerability of metropolitan Adelaide's Eastern Region to climate change. The Resilient East collaboration is being undertaken by the Cities of Adelaide, Tea Tree Gully, Campbelltown, Burnside, Unley, Norwood Payneham & St Peters, and Prospect, Town of Walkerville, and South Australian Government. This collaboration is underpinned by a 2020 Sector Agreement between the local and State governments Projects include collaborative submissions on town planning legislative change regional surface temperature measurement and analysis and water sensitive urban design communications for community. More details on Resilient East are reported in the Adaptation sections of this response.",Residents/community groups|Regional government
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,Government/Public body: Local government outside of country/area,Funding (grants)|Project implementation and management|Collaborative initiative|Capacity development|Requirement to develop and implement emissions reduction target|Knowledge or data sharing,Emissions reduction,"City of Adelaide remains an active participant in the Carbon Neutral Cities Alliance (CNCA) formed in 2015 and has attended the annual conferences and contributed to collective projects and reports. CNCA works with city officials to build capacity and collaboration. Funding is available for game changing projects. Member cities must fulfill the following membership criteria: city council has formally adopted community-wide carbon neutrality goal across all sectors (electricity, thermal, transportation, waste); city has developed or is currently developing community-wide carbon neutrality implementation plan; city has dedicated budget and staff allocated to implementing its carbon neutrality implementation plan; city is committed to active participation in the Alliance (interested in learning from other cities committed to sharing with other cities and committed to advancing urban carbon neutrality goals globally). In 2023 the City of Adelaide contributed to a report of the CNCA on best practice Scope 3 emissions calculations and reporting for city communities, following extensive collaboration. In 2024 the City of Adelaide joined a climate justice subgroup of the CNCA. Further information is available here https://carbonneutralcities.org. In FY2024/25 City of Adelaide senior staff attended two annual conferences.",Local government within country/area
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",6,Row 6,Government/Public body: Local government within country/area,Multi-jurisdictional regional collaboratives|Policy and regulation development/ implementation|Reporting of climate and/or environmental data|Other: Requirement to have declared a Climate Emergency|Knowledge or data sharing|Capacity development,Energy|Adaptation|Building and Infrastructure|Emissions reduction|Transport (Mobility)|Resilience,"In 2024 the City of Adelaide joined Climate Emergency Australia (CEA), a network of Australian councils that have declared a climate emergency. The network has forty one Australian councils across the country, and collaborates on advocacy to State and Federal governments, knowledge sharing, training programs, and conferences. Further information on CEA can be found here: https://www.climateemergencyaustralia.org.au. ",Local government within country/area|NGO and associations
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",7,Row 7,Government/Public body: Local government within country/area,Collaborative initiative|Knowledge or data sharing,Emissions reduction,The Council of Capital City Lord Mayors (CCCLM) has operated for over 50 years and represents the interests of the Lord Mayors of Australia's eight capital cities and ACT Chief Minister. In 2019 CCCLM made a commitment to work together over the long term on climate action. The CCCLM is now supported by a Climate Action Working Group of which the City of Adelaide is an active participant. The group undertakes advocacy on behalf of all councils and shares knowledge and experiences. Further information on CCCLM Climate Action can be found here https://www.lordmayors.org?p=1466,NGO and associations|Local government within country/area
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",8,Row 8,Government/Public body: Local government outside of country/area,Knowledge or data sharing|Reporting of climate and/or environmental data|Requirement to develop emissions inventory|Collaborative initiative|Requirement to develop and implement emissions reduction target,Adaptation|Emissions reduction|Waste|Building and Infrastructure|Transport (Mobility)|Resilience|Energy,"The Global Covenant of Mayors for Climate and Energy (GCoM) was founded in 2008 and is the largest global alliance for city climate leadership with over 13,800 cities and local governments, sharing a long-term vision of supporting voluntary action to combat climate change. GCoM has an international co-chair and board, and global secretariat. It runs initiatives such as Data4Cities, Invest4Cities, and Innovate4Cities. CoA signed up to the GCoM-run initiative Cities Race to Zero campaign in 2021.",Local government within country/area|Local government outside of country/area|Climate initiatives/networks
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",9,Row 9,"Business: Other: A local consortium of universities, businesses and local/state government",Collaborative initiative|Knowledge or data sharing|Capacity development,Industry|Waste|Resilience|Transport (Mobility)|Energy|Emissions reduction,"SA Zero is a local partnership run through Committee for Adelaide that brings together corporates, academia, state and local government to collaborate on a local drive for net zero and zero waste. It hosts monthly workshops, public forums and site visits, and CoA has spoken at a number of events run through SA Zero. In 2023 CoA was involved in a conference that resulted in an EV workplace charging guide being published by the EV Council, and is currently in discussion with Adelaide Uni about collaborations through the network.",Regional government|Utilities|Construction|Public authority|Food & Beverage|Industrials|Education sector|Energy
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: Regional government,Multi-jurisdictional regional collaboratives,Building and Infrastructure|Finance|Transport (Mobility),Denver and other regional governments along with the Denver Regional Council of Governments submitted and were awarded a EPA CPRG Implementation grant to provide building energy efficiency and electrification programs as well as active transportation support. ,Regional government|Neighboring local government
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: Regional government,Multi-jurisdictional regional collaboratives,Inclusive climate action and/or equity|Emissions reduction,"Denver, other local governments and the Denver Regional Council of Governments were awarded a US EPA Grant to develop a regional climate action plan that will address: Greenhouse gas emissions inventories; Emissions projections and reduction targets; Economic, health, and social benefits, including to low-income and disadvantaged communities; Plans to leverage other sources of federal funding including the Bipartisan Infrastructure Law and Inflation Reduction Act; Workforce needs to support decarbonization and a clean energy economy; and Future government staffing and budget needs. ",Neighboring local government
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Business: Utilities,Collaborative initiative,Transport (Mobility)|Energy|Emissions reduction,"On February 28, 2018, the City and County of Denver, Colorado (“Denver”) and Public Service Company of Colorado, a Colorado corporation and an Xcel Energy company (“Xcel Energy”), entered into an Energy Future Collaboration - Memorandum of Understanding (“MOU”). The MOU provides a strategy and framework for cooperation and achievement of a shared vision through broad collaboration, focusing on innovation, clean energy, economic development opportunities, customer choice programs and technology.Denver will seek to implement EFC Partnership projects at strategic locations and across Denver agencies and offices. These include, but are not limited to, Denver's municipal facilities, Denver International Airport, the National Western Center, and the Denver Arapahoe Disposal Site. Representatives across Denver's municipal agencies and offices will participate in the EFC Partnership to achieve its goals.Denver and Xcel Energy have outlined short-term and longer-term goals, organized by three technical working groups in their annual Work Plan. Additional information on the policy goals and programmatic objectives for each working group can be found in the 2022-2025 Work Plan. https://denvergov.org/files/assets/public/climate-action/documents/renewable-energy/2022-2025-efc-work-plan_final.pdf",Neighboring local government|Regional government
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Business: Consumer Discretionary,Knowledge or data sharing|City business partnership platform,Waste,"In 2023, Denver businesses that help people buy used, rent or repair items employed more than 3,000 people and contributed $540 million to the economy annually. In 2024, CASR launched a Reuse Business Directory online to help Denverites connect with those businesses so they can reduce waste through reuse. CASR has also piloted efforts to support event organizers, businesses and everyday Denverites to reduce single-use items and recycle more. For instance, more than 1,100 Denverites connected with CASR in the summer of 2024 to swap their plastic bags for reusable options.",NGO and associations|Neighboring local government
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: Neighboring local government,Collaborative initiative|Knowledge or data sharing|Capacity development|Reporting of climate and/or environmental data,Resilience|Emissions reduction|Natural environment|Building and Infrastructure|Transport (Mobility)|Adaptation|Waste|Energy,"The Metropolitan Mayors Coalition is a group of cities and towns in the urban core of Metro Boston whose leaders gather to exchange information and create solutions for common problems. The municipal officials in this group represent more than 1.4 million residents in the cities and towns of Arlington, Boston, Braintree, Brookline, Cambridge, Chelsea, Everett, Malden, Medford, Melrose, Newton, Quincy, Revere, Somerville, and Winthrop. In May 2015, the Metro Mayors Coalition convened to sign a historic Climate Preparedness Commitment. The mayors and managers pledged to work together to prepare the region for climate change and to reduce greenhouse gas emissions. As part of the summit, the Coalition also launched an ongoing task force to guide collaborative efforts that address vulnerabilities in the region's communities and shared infrastructure. In 2016, the Taskforce communities signed a second agreement, this time focused on Climate Mitigation. Inspired by the Paris Climate Accord, the mayors and managers agreed that by 2050, the region would be net zero, and outlined a menu of mitigation options each municipality could undertake in order to advance toward this goal. The Metro Mayors Climate Taskforce coordinates a regional and cross-governmental effort to protect critical infrastructure and other vital resources and systems. The Taskforce makes policy recommendations and sets regional priorities based on the goals outlined in the Climate Preparedness and Mitigation Commitments. As part of the City of Boston's Climate Ready Boston program, the City regularly engages with other cities, State government, and Federal government in support of the City's adaptation and resilience goals. For example, the City participates in the Metropolitan Area Planning Council's Metro Mayors Task Force, which is a group of cities in the Greater Boston region focused on coordination and knowledge sharing around climate resilience priorities. The City participates in the Resilient Mystic Collaborative, a group created by the Mystic River Watershed Association to coordinate among cities along the Mystic River around climate resilience priorities. The City participates in the Charles River Climate Compact, a group created by the Charles River Watershed Association to coordinate among cities along the Charles River around climate resilience priorities. And the City participates with the Neponset River Watershed Association on proposals for regional coordination among cities along the Neponset River around climate resilience priorities. Boston also serves on the steering committee of the Greater Boston Regional Advisory Group (GBRAG), which develops updated regional climate risk assessments for the Greater Boston region.",Regional government
