disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Description of data collected,col2_Geographic scope covered by the monitoring,col3_Frequency of data collection,col4_Do the results of forest monitoring inform your region's overall strategy to managing forests?,col5_Please explain
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"O Plano Regional de Ordenamento Florestal da Região Autónoma da Madeira (PROF-RAM) estabelece metas e indicadores que permitirão um acompanhamento e monitorização do sucesso do Plano, incluindo indicadores referentes à área florestal natural e do respetivo estado.",Entire natural forest area within the region,Other: 5 anos,Yes,"O conhecimento do espaço florestal e da monitorização dos indicadores do PROF RAM permite-nos aferir e definir as funções que melhor se adequam ao espaço florestal, permitindo tomar melhores decisões com a informação conhecida\n"
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,O 3º IFRAM está em execução.,Entire natural forest area within the region,Other: 10 anos,Yes,"Obter informação detalhada sobre as características quantitativas e qualitativas da floresta da RAM. Conhecer o estado da floresta, nomeadamente, a área florestal. composição, densidade e o estado fitossanitário. Fornecendo, assim, dados essenciais para uma gestão sustentável, e simultaneamente avaliar o papel da floresta na mitigação das alterações climáticas, e desenvolver estratégias para aumentar a resiliência destas face às alterações climáticas."
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"the monitoring system in place to identify changes in our natural forest area resulting from deforestation and/or forest degradation is periodic inventory, reporting and evaluation of inventory data. inventory of forest cover lost and multple benefit of forest lost",Entire natural forest area within the region,Other: 5-10 years,Yes,so from the data analyses we get to know where to concentrate on in forest restoration through enrichment planting in degraded forest reserves or reforestation in degraded and marginal lands to increase benefits derived from forest
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"El Estado de Campeche a través de la SEMABICCE cuenta con un área de monitoreo para identificar los cambios en la superficie de bosque natural de la región que surjan de la deforestación y/o degradación forestal, gracias a sus alianzas estratégicas se coordina con el Centro Regional de Manejo de fuego, así como también hace uso de herramientas digitales como el Global Forest Watch y Centinela para monitorear puntos de calor, así como también para tener acceso a imágenes satelitales, al realizar el cruce entre ambas herramientas digitales podemos identificar los cambios en la superficie.",Entire natural forest area within the region,Every two years,Yes,"En el marco de nuestra competencia y en coordinación con la Procuraduría de Protección al Ambiente del Estado y otros ordenes de gobierno al realizar el cruce entre ambas herramientas digitales (Global Forest Watch y Centinela) e identificar los cambios en la superficie nos permite promover políticas y la estrategia para gestionar el desarrollo sustentable de los bosques, sin embargo nos vemos limitados jurisdiccionalmente y por falta de recursos."
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1," En el Sistema de Monitoreo Reporte Verificación REDD+ de Quintana Roo, se construyó una Plataforma Web para el MRV cuya función será medir la reducción de emisiones mediante la recopilación de información de los sectores involucrados en el Inventario Estatal de Gases y Compuestos de Efecto Invernadero que permitirá generar los reportes para las actualizaciones del Inventario Estatal de Emisiones.",Entire natural forest area within the region,Six monthly or more frequently,Yes,El sistema MRV permitirá el fortalecimiento de la herramienta para estimar las emisiones y la reducción de los gases de efecto invernadero asociadas a las acciones de mitigación en el sector forestal y los demás sectores.
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Cartografía y Estadística de la cobertura forestal y cambios de cobertura.,Entire natural forest area within the region,Every two years,Yes,"Los productos de la información estadística y cartográfica del Sistema Satelital de Monitoreo Forestal (SAMOF) son parte del esquema de Monitoreo, Reporte y Verificación (MRV) a nivel nacional de la Estrategia Nacional REDD+."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Para el Monitoreo, Reporte y Verificación (MRV) se utiliza el Sistema Satelital de Monitoreo Forestal (SAMOF), desarrollado por la Comisión Nacional Forestal (CONAFOR). se define como una serie de procesos y herramientas utilizadas para producir mapas e información sobre la cobertura forestal y sus cambios a lo largo del tiempo. A través de SAMOF, es posible obtener información sobre las tasas de deforestación, degradación, recuperación, reforestación, forestación y otras transiciones del uso de la tierra, así como generar información para la formulación de reportes sobre la mitigación al cambio climático en el sector forestal, en cumplimiento de los compromisos de reporte a nivel nacional e internacional.",Entire natural forest area within the region,Every two years,Yes,Para Jalisco se Desarrolló un Nivel de Referencia (año 2016) con el que se plantearon las metas y alcances para 2030 y 2040. 
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"Se cuenta con un Mapa de Resiliencia Ante el Cambio Climático (MARACC), el cual tiene por objeto delimitar las acciones que podrán realizarse en la frontera forestal-agropecuaria, para la protección, conservación, uso sustentable y restauración de los ecosistemas, recursos forestales y sus servicios ambientales contribuyendo al desarrollo social y económico del estado.",Entire natural forest area within the region,Every two years,No,"Con este sistema de información se identifican puntualmente la ubicación y extensión de los proyectos agropecuarios que se están realizando en el Estado, los cuales han recibido algún tipo de apoyo gubernamental. Esto con el objetivo de delimitar estos proyectos productivos y evitar su expansión a terrenos forestales."
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Simontana collects satellite images to monitor forest cover, identifying areas affected by deforestation and forest degradation. It tracks illegal logging, land conversion, and forest fires.",Entire natural forest area within the region,"Other: Monthly to quarterly updates, depending on the satellite imaging schedule and data processing capabilities.",Yes,"Simontana helps local governments and national authorities track deforestation trends and illegal activities. The data informs the overall strategy by guiding law enforcement efforts, forest protection plans, and reforestation projects in the region."
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"MRV systems collect data on forest carbon stocks, emissions from deforestation, and the effectiveness of reforestation or conservation projects. It also monitors biodiversity impacts.",Areas of high carbon stock,Annually,Yes,"The MRV systems inform the region's carbon management strategies and guide sustainable forest management policies. By tracking emissions reductions, it supports East Kalimantan's participation in global climate initiatives like REDD+, influencing both economic incentives and conservation efforts."
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Land cover based on LANDSAT imagery.,Areas of high deforestation/forest degradation risk,Annually,Yes,Government of West Kalimantan has developed MRV system specifically designed to monitor REDD+ program. The monitoring system is published in https://reddplus.kalbarprov.go.id/
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"The data collected from the National Government c.q DG of PKTL, Directorate of IPSDH",Entire natural forest area within the region,Annually,Yes,The data of forest cover generated from the visual interpretation of satellite imagery of Landsat 8 following the SNI 8033:2013.
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Crown defoliation and mortality,Entire natural forest area within the region,Annually,Yes,"n Hessen, the average crown defoliation across all tree species is 28%, with only about 20% of trees showing no visible crown damage. The annual mortality rate has increased to 1.4%, which is nearly three times higher than the long-term average of 0.5%. The main causes are drought, heat stress, bark beetle infestations, and storm events.\nhttps://landesregierung.hessen.de/sites/hessen.hessen.de/files/2024-11/waldzustandsbericht_2024.pdf\n"
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,The state and growth of forests in Finland is being monitored by governmental agencies on an annual basis.,Entire natural forest area within the region,Annually,Yes,Forest monitoring results feed to Regional Forest Plans made by Regional Forest Centres. 
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Forest management is based on a unique system of highly effective forest inventories that is acknowledged throughout the world. An exhaustive forest inventory has been carried out south of the 52nd parallel since 1970. It has involved more than 300,000 sample plots, from which a host of dendrometric data is collected.The data are used to estimate the quality and volume of standing timber, and stand productivity. Approximately 12,000 sample plots are inventoried every ten years. An ecological inventory of Québec's northern area, based on 29,000 sample plots, is also in place. The inventory work allows forest growth and changes in the forest canopy to be monitored over time. In addition to the forest inventory that allows to follow the evolution of the forest over time, the forestry regime in Quebec requires the monitoring of regeneration after harvesting and natural disturbances. The monitoring of the establishment of regeneration is based on specific indicators. Reports must be produced by the regional forest managers between 5 to 15 years after the disturbance to follow the efficacity of the sylvicultural treatments prescribed to compensate the lack of forest regeneration where needed. Sylvicultural scenarios are based on a gradient of silviculture intensity according to a minimum threshold to be reached in regeneration of desired species. Every 5 years, Quebec reports the changes in area with forestry vocation and produces a five-year review of sustainable forest management. In its last report (2013-2018), the area covered with forest remained stable in Quebec, at around 44 million hectares.",Areas of high commercial value,Other: 10 years,Yes,"The application of sustainable forest management in Quebec is an important and innovative evolution in forest management because it aims to ensure the sustainability of the forest heritage by promoting an ecosystem-based management as well as an integrated and regionalized management of forest resources and territory. Therefore, Quebec's forestry regime supports the regional forest economy by creating sustainable jobs."
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Zoneamento Ecológico - Econômico do Estado/ZEE,Entire natural forest area within the region,Annually,Do not know,
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,Monitoramento do desmatamento pelo PRODES e implantação dos PPCDQ's (Plano Estadual de Prevenção e Controle do Desmatamento e Queimadas).,Areas of high deforestation/forest degradation risk,Annually,Do not know,
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"Desde 1992, a SEMA - MT quantifica o desmatamento no Estado de Mato Grosso para os três biomas do Estado: Amazônia, Cerrado e Pantanal. Os relatórios técnicos de Desmatamento, Exploração Florestal e Focos de Calor estão disponíveis na página eletrônica da SEMA-MT. Para o mapeamento do desmatamento e de exploração florestal nas diversas fisionomias florestais e savânicas que recobrem o Estado, a SEMA-MT utiliza imagens de sensores orbitais e Sistemas de Informação Geográfica - GIS. A metodologia adotada é a interpretação visual e posterior auditoria por diferentes técnicos. Até 2016 foram utilizadas imagens do satélite LANDSAT, de resolução espacial 30m. Atualmente, são utilizadas imagens do satélite SENTINEL 2, sensor MSI, resolução espacial de 10 metros, RGB 483, podendo ainda se utilizadas imagens do Satélite Sino-Brasileiro CBERS IV e da constelação Planetscope. Mapeamentos anteriores foram utilizados como máscara, para se contabilizar apenas novas conversões. Polígonos e alertas de desmatamento confeccionados por outros órgãos são utilizados como apoio na identificação das áreas mapeadas pela SEMA (ex. Prodes, Deter, Siad, SAD/Imazon, etc). Imagens fração (NDFI) ou de índices de vegetação (NDVI) são utilizadas para auxiliar na detecção dos desmatamentos a corte raso e das explorações florestais. Dados complementares como modelos numéricos dos terrenos, mapas de vegetação e imagens índices também podem ser utilizados para dirimir dúvidas em áreas críticas de monitoramento, como pantanais e cerrado. Após a conclusão do mapeamento, os polígonos são auditados por diferentes analistas para a produção do dado final. Em seguida, é realizado um cruzamento com as bases de dados da SEMA-MT, para se conhecer o perfil das áreas abertas e verificação da legalidade.A plataforma de imagens de alta resolução espacial e alertas de desmatamento adquirida pelo Programa REM, tem sido utilizada pelo Estado de Mato Grosso como uma ferramenta preventiva, com o objetivo principal de reduzir o desmatamento, que permite uma ação rápida por meio de alertas gerados a partir do monitoramento de imagens de satélite de alta resolução espacial e temporal, sendo um trabalho complementar em relação aos produtos realizados pelo INPE e demais instituições que realizam esse monitoramento.",Entire natural forest area within the region,Annually,Yes,"Através do monitoramento da cobertura vegetal nativa do Estado é possível inferir sobre a quantidade de área com remanescente de vegetação nativa, localização das áreas com planos de manejo florestal sustentável - PMF, verificação da legalidade de explorações florestais e desmatamento, situação das áreas protegidas, possibilitando subsidiar estratégias para conservação dos recursos florestais e ações no combate ao desmatamento ilegal."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,"A partir da implementação do Programa REM MT foi possível aprimorar o monitoramento do desmatamento com a utilização de imagens de satélite de altíssima resolução e também de um sistema de alerta de desmatamento.\nPara verificação do desmatamento, utiliza-se os dados de alertas de desmatamento à corte raso da SEMA, obtidos através de processamento das imagens da constelação Planetscope, bem como os alertas de desmatamento do Sistema de Detecção de Desmatamento em Tempo Real - DETER2. As imagens Planet, são adquiridas por meio de constelação de satélites em operação e calibrados, com 4 bandas multiespectrais, com resolução radiométrica de 12 bits, ortorretificadas com 3 metros de resolução espacial, o que permite obter imagens atuais de grandes áreas com alto padrão de qualidade e precisão planimétrica. A capacidade de recobrimento de toda a área do estado várias vezes ao longo da semana, com o mesmo tipo de sensor permite o monitoramento detalhado da dinâmica relacionada ao processo de alteração de vegetação nativa, além de garantir coberturas completas com baixos índices de cobertura de nuvem. O algoritmo utilizado especifica um identificador (ID) único para cada alerta gerado, associando ao alerta o código identificador e a data das imagens imediatamente antes e de depois do dano identificado, permitindo identificar a data da ocorrência da alteração da cobertura da vegetação nativa. Isso assegura que cada alerta disponibilizado pela Plataforma seja claro e plenamente auditável quanto à data de sua ocorrência, extensão e localização, comprovando de forma objetiva e precisa a credibilidade do processo, resguardando a integridade das informações e imagens que deram origem aos alertas. Os alertas são disponibilizados diariamente, através de processos automatizados utilizando imagens diárias selecionadas, de forma que se tenha a maior cobertura de área útil sem nuvens. Os alertas ainda são disponibilizados através de uma Plataforma WEB, permitindo que diferentes limites administrativos (municípios, biomas, unidades regionais) sejam monitorados com a tecnologia apresentada nesta proposta e possa ter os resultados consolidados em diferentes períodos (semanas, meses, semestre) diretamente por meio da Plataforma Web o que potencializam o suporte e otimização da fiscalização de campo. Importante frisar que os polígonos de alertas não devem ser entendidos como a taxa mensal de desmatamento, a qual é calculada e divulgada pelo INPE/PRODES.",Entire natural forest area within the region,Other: as imagens são fornecidas a cada 24h e os alertas semanalmente.,Yes,"O aprimoramento do monitoramento do desmatamento proporcionou maior eficiência no trabalho das equipes de fiscalização, melhorando a autuação de infratores. Outros investimentos do REM no fortalecimento institucional porporcionaram melhorias, também, na responsabilização dos infratores. Mais informações em <http://www.sema.mt.gov.br/site/index.php/sema/noticias/6670-estudo-mostra-que-programa-rem-mt-evitou-160-mil-hectares-de-desmatamento-no-estado>; https://rem.sema.mt.gov.br/; http://www.sema.mt.gov.br/site/."
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"O monitoramento das áreas florestais é realizado por instrumentos de nível nacional, como o SOS Mata Atlântica, MapBiomas e pelo Ministério da Agricultura através dos levantamentos do inventário florestal. E, como já foi citado anteriormente, o Governo do Estado de Pernambuco juntamente com os demais estados do Nordeste (Consórcio Nordeste) fecharam um acordo com o MapBiomas para utilizar esta ferramenta para aprimorar o monitoramento florestal do estado.\n\nMonitoramento dos alertas de desmatamento da rede Brasil Mais, desenvolvido pelo Ministério da Justiça e Segurança Pública e atuação de forma remota para desmatamentos ilegais. Está também sendo desenvolvido um módulo de distúrbios, dentro da Plataforma em desenvolvimento pela Agência Estadual de Meio Ambiente - CPRH, denominada Plataforma de Inteligência Ambiental e Econômica de Pernambuco, onde serão visualizados os alertas de desmatamento gerados pelo MapBiomas, aprimorados a partir da personalização para o Estado.\n",Entire natural forest area within the region,Annually,Yes,"Os resultados do monitoramento informam o aumento ou a diminuição da área florestal, as localidades e as emissões decorrentes."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Monitoramento de cobertura florestal nativa realizada a cada 10 anos - Inventário Florestal Monitoramento do desmatamento é realizado mensalmente por meio de imagens de satélite (Monitoramento Ambiental por Imagens de Satélite - MAIS, instituído pela Resolução SMA nº 92/2018). O Monitoramento da cobertura florestal anualmente por meio de imagens de satélite. (Monitoramento Ambiental por Imagens de Satélite - MAIS, instituído pela Resolução SMA nº 92/2018) https://www.infraestruturameioambiente.sp.gov.br/2020/08/novo-inventario-florestal-do-esp-aponta-crescimento-de-214-mil-hectares-de-vegetacao-nativa-no-territorio-paulista/https://smastr16.blob.core.windows.net/home/2020/07/inventarioflorestal2020.pdfhttps://smastr16.blob.core.windows.net/home/2020/07/apresentacao-lancamento-inventario-florestal-2020.pdfPeríodo: 2017/2019Data de divulgação: 2020Satélite (s): World View, Quickbird, GeoEyeResolução: 0,5 metroEscala: 1: 10.000 (compatível)Área mínima mapeada: 0,1 ha (1.000 m2)",Entire natural forest area within the region,Other: Inventários florestais coletados desde 1938.,Yes,"O MAIS é um projeto permanente que tem como objetivo identificar, por sensoriamento remoto, supressões e danos na vegetação natural ou em áreas especialmente protegidas que atentam contra a conservação da biodiversidade e a manutenção dos serviços ecossistêmicos."
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,As informações mais precisas que temos vêm da plataforma de alerta de desmatamento do MapBiomas (http://plataforma.alerta.mapbiomas.org/).,Entire natural forest area within the region,Six monthly or more frequently,No,
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,Dados e alertas de desmatamento em tempo real do DETER.,Entire natural forest area within the region,Six monthly or more frequently,No,
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,Dados de Desmatamento Consolidado publicados pelo PRODES. https://terrabrasilis.dpi.inpe.br/,Entire natural forest area within the region,Annually,No,
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,4,Row 4,Centro de Inteligência Geográfica em Gestão do Meio Ambiente - CIGMA/TO,Entire natural forest area within the region,Six monthly or more frequently,Yes,
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Os Alertas MapBiomas são publicados na Plataforma MapBiomas Alerta e, a partir deles, o Núcleo de Inteligência Geográfica e da Informação (NGI), do Instituto Água e Terra, analisa as imagens mais recentes, que tem um \'delay\' de cerca de um mês. Essa investigação resulta na elaboração de laudos técnicos com a delimitação da área do desmatamento, os possíveis autos de infração e áreas embargadas.",Entire natural forest area within the region,Other: Mensal,Yes,"Os Alertas MapBiomas são publicados na Plataforma MapBiomas Alerta e, a partir deles, o NGI analisa as imagens mais recentes, que tem um \'delay\' de cerca de um mês. Essa investigação resulta na elaboração de laudos técnicos com a delimitação da área do desmatamento, os possíveis autos de infração e áreas embargadas.Além disso, a tecnologia permite verificar o licenciamento dos imóveis e também sua sobreposição com Áreas de Preservação Permanente e Reserva Legal. Os laudos são enviados diretamente para as regionais do IAT para serem tomadas as devidas providências.Esse núcleo de inteligência iniciou recentemente a análise de alertas de desmatamento detectados nos últimos cinco dias, via Plataforma Global Forest Watch. Ela integra alertas de desmatamento GLAD, criados pelo laboratório Global Land Analysis and Discovery (GLAD) da Universidade de Maryland, dos Estados Unidos.Agora, está em andamento a contratação de um sistema próprio de detecção de mudança de uso e ocupação do solo. A plataforma busca identificar desmatamentos e movimentações de solo ilegais no Paraná utilizando imagens de alta resolução (3 metros), o que permite a detecção de áreas menores que 1 hectare, e praticamente em tempo real, o que pode levar policiais e fiscais a áreas sensíveis cada vez mais cedo.O Estado também está investindo na implementação do Sistema de Fiscalização e Controle Ambiental (FICA) e outras aplicações geoespaciais. O FICA deve começar a funcionar em 2024 e modernizará todo o processo de gestão dos autos de infração, incorporando controle de todas as fases processuais em um ambiente web, integrando todos os sistemas do IAT, como o licenciamento ambiental, a outorga do uso da água e o de monitoramento. Assim possibilitará a elaboração de estratégias de fiscalização mais preditivas, proativas e com melhor embasamento técnico.Um dos componentes do FICA é o APP Auto de Infração Ambiental Eletrônico - AIA-e, aplicativo para uso em dispositivos móveis, que permite o cadastro das autuações das infrações ambientais em campo. O AIA-e já está em fase de implantação e é baseado no uso da geotecnologia permitindo georreferenciar a ocorrência."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"O Estado do Paraná divulgou no ano de 2019 por meio do Instituto de Terras, Cartografia e Geologia - ITCG mapeamento de abrangência estadual do uso e cobertura da terra na escala 1:25.000. O ano de referência deste produto é 2012, por se tratar do período com maior abrangência de imagens da área do estado e foram classificadas em 13 classes: Floresta Nativa, Plantios Florestais, Agricultura Perene, Agricultura Anual, Pastagem/Campo, Corpos d'Água, Várzea, Mangue, Restinga, Linha de Praia, Solo Exposto / Mineração, Área Urbanizada e Área Construída. \n(site: https://www.iat.pr.gov.br/sites/agua-terra/arquivos_restritos/files/documento/2022-07/relatorio_mapeamento_vegetacao_nativa_2021.pdf )",Entire natural forest area within the region,Other: as atualizações dos dados não segue uma frequência pré-estabelecida,No,"Através da análise do mapeamento das classes Floresta Nativa, Mangue, Restinga e Várzea foi possível a atualização quantitativa da Vegetação Nativa do Estado do Paraná para o ano de 2021. "
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,"Plataforma oferece ao IAT acesso a imagens diárias para controle de crimes ambientais. As imagens são coletadas diariamente por mais de 180 satélites com resolução espacial de três metros, garantindo um detalhamento maior das regiões monitoradas.",Entire natural forest area within the region,Other: diária,Yes,"O Instituto Água e Terra (IAT) aderiu neste mês de setembro ao programa Brasil M.A.I.S (Meio Ambiente Integrado e Seguro), do governo federal, que vai permitir ao órgão ampliar a capacidade tecnológica de fiscalização ambiental no Paraná. O convênio com o Ministério da Justiça e Segurança Pública, por meio da Polícia Federal (PF), possibilitou o acesso à plataforma Rede MAIS, que oferece imagens diárias produzidas por mais de 180 satélites com resolução espacial de três metros, garantindo um detalhamento maior das regiões monitoradas.\n\n(link: https://www.parana.pr.gov.br/aen/Noticia/Nova-plataforma-dara-ao-IAT-acesso-imagens-diarias-para-controle-de-crimes-ambientais#:~:text=S%C3%A9ries%20Especiais-,Nova%20plataforma%20dar%C3%A1%20ao%20IAT%20acesso%20a%20imagens%20di%C3%A1rias%20para,detalhamento%20maior%20das%20regi%C3%B5es%20monitoradas.)"
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Mapa de mudanças no uso do solo através da detecção de desmatamento por imagens de satélite de alta resolução. \nPrograma Olho no Verde e Olho no Verde Queimadas,Areas of high conservation value,Six monthly or more frequently,No,-
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,O IEF apura o desmatamento no estado de Minas Gerais através do Monitoramento Contínuo. Este projeto acontece desde 2009 e coleta dados de desmatamento diariamente.,Entire natural forest area within the region,Six monthly or more frequently,Yes,"O IEF apura o desmatamento no estado de Minas Gerais através do Monitoramento Contínuo. Este projeto acontece desde 2009 e coleta dados de desmatamento diariamente. Em 2023 inserimos no fluxo da informação os dados gerados pela plataforma Brasil MAIS, uma iniciativa do Ministério da Justiça e da Polícia Federal, que disponibiliza alertas de desmatamento gerados automaticamente a partir de imagens de satélite de alta resolução."
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Australia's State of the Forests Report series,Entire natural forest area within the region,Other: 5-yearly,Yes,Australia's State of the Forests Report series uses international-level Montreal Process criteria for the conservation and sustainable management of temperate and boreal forests.
