disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Further information,col2_Further attachments
2025 Disclosure Cycle,779465,CDP,58413,"City of Carmel, IN",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"None at the moment; everything provided by our CRVA and CAP initiatives should outline everything that we are doing, how we plan to do it, potential roadblocks, and how we will overcome these.\n\n",
2025 Disclosure Cycle,779465,CDP,58595,Municipalidad de Belén,City,Latin America,Costa Rica,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Mucha de la planificación que se realizar en el cantón está basado en el Plan De desarrollo estratégico del cantón. Se cuenta con uno nuevo, recientemente aprobado. Además de que hay diferentes planes o proyectos que no se han adjuntado pues no se encuentran las versiones finales. ",PDEMB-2025-2029.pdf
2025 Disclosure Cycle,779465,CDP,58597,Municipalidad de La Unión,City,Latin America,Costa Rica,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"La Municipalidad de La Unión se encuentra participando en el Proyecto mUEVe, el cual es un proyecto que busca el mejoramiento urbano de los cantones que están en el área de influencia del tren metropolitano de acuerdo con la Agenda 2030 para el Desarrollo Sostenible. Los gobiernos locales que participan sonEl mismo es financiado por la Unión Europea (UE) por un monto total de 5,188,926 euros, esto tras ser una de las cuatro propuestas ganadoras de América Latina de la convocatoria global de la UE del 2019 “Local Authorities: Partnerships for sustainable cities”, que se difundió en todos los países del mundo donde la UE tiene presencia y a la cual decidió participar Costa Rica. La iniciativa fue seleccionada a través de un proceso competitivo, participaron más de 250 propuestas alrededor del mundo. Esta propuesta ganó el concurso en el que se inscribieron varios municipios del país bajo la institucionalidad de la Unión Nacional de Gobiernos Locales.Los detalles del proyecto se puede encontrar en el siguiente link: https://www.ungl.or.cr/index.php/proyectos-interinstitucionales/proyecto-mueve \n\nFOTOGRAFÍAS: https://www.ungl.or.cr/index.php/proyectos-interinstitucionales/proyecto-mueve/galeria-mueve\n\nVIDEO: https://www.youtube.com/watch?v=uoXrQiwq4ik\n\nAVANCE DEL PROYECTO https://youtu.be/PWruZRjE1LU\n\nhttps://www.facebook.com/municipalidadlaunion/posts/proyecto-muevehoy-tuvimos-una-actividad-llamada-lab-duot-siendo-la-15-realizada-/821572690005428/",
2025 Disclosure Cycle,779465,CDP,58613,City of York Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,York's Council Plan sets out Climate as one of the Council's four core commitments. It reflects a variety of conditions and key performance indicators to measure the way that York will respond to the Climate Emergency https://www.york.gov.uk/downloads/file/9262/council-plan-2023-to-2027,Council Plan.pdf
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Under the CITIIS 2.0 program and with directions from the state government, Andhra Pradesh cities including Vijayawada will establish dedicated climate change cells within municipal corporations to advance climate action planning and implementation. The CITIIS 2.0 initiative, anchored by the Ministry of Housing and Urban Affairs, mandates the setting up and strengthening of State Climate Centres for Cities (S-C3) at the state level with dedicated Chief Climate Action Officers, which cascades into city-level climate cells through municipal corporations. The Government of India has allocated INR 264 crore in financial assistance to support States and Union Territories in strengthening existing climate governance mechanisms. An amount of INR 23 crore\nhas been allocated to the State of Andhra Pradesh with Swachh Andhra Corporation providing strategic oversight and coordination for these institutional arrangements across the state.\n\nThese climate cells are tasked with developing and implementing climate-resilient strategies, policies, and initiatives that address urban vulnerabilities, enhance resilience, and promote sustainable development through a data-driven approach using the ClimateSmart Cities Assessment Framework (CSCAF) for monitoring and evaluation.",CITIIS-2.0-Component-2-Guidelines.pdf
2025 Disclosure Cycle,779465,CDP,58671,Helsingør Municipality,City,Europe,Denmark,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"EU Green Leaf city 2024\n\nRead the 1-year report (English version), which summarizes the various activities from Elsinore's Green Leaf year:\nhttps://environment.ec.europa.eu/topics/urban-environment/european-green-leaf-award/winning-cities/elsinore-2024_en\n\nLink to municipality webside on Green Leaf\nhttps://helsingor.dk/borger/klima-og-baeredygtighed/green-leaf-",
2025 Disclosure Cycle,779465,CDP,58866,Beşiktaş Municipality,City,UKWW,Türkiye,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Beşiktaş Municipality has been strengthening its climate action agenda through the Sustainable Energy and Climate Action Plan (SECAP) and related strategic initiatives. Building on the ambitious greenhouse gas (GHG) reduction targets set in 2024, the municipality has transitioned from a predominantly planning phase in previous years to a progressive implementation phase in 2024-2025.\n\nKey Developments and Achievements (2024-2025):\n\nRenewable Energy Integration: Preparatory feasibility studies and pilot projects for solar photovoltaic systems on public buildings have been completed. In addition, preliminary steps have been taken for renewable energy applications in residential and tertiary buildings, with technical assessments guiding the scaling up of solar capacity by 2030.\n\nElectrification of the Municipal Fleet: Initial procurement processes for electric vehicles (EVs) within the municipal fleet have been initiated, with associated EV charging infrastructure planning under development. These steps represent a shift from strategic commitment to concrete operationalization.\n\nWaste Management and Circular Economy: Implementation of the national Zero Waste Program continues at the municipal level, reinforced by the official Zero Waste Certificate. New awareness-raising campaigns accompany operational improvements in recycling and organic waste management, contributing to reduced methane emissions and increased alignment with circular economy principles.\n\nCommunity Education and Engagement: Beyond infrastructural projects, the municipality has focused on awareness programs for younger generations. In 2024-2025, workshops, trainings, and educational activities have been organized with middle school students and local communities, embedding environmental literacy and climate awareness at the grassroots level. These activities are designed to build long-term resilience by fostering behavioral change and civic participation.\n\nEnvironmental Standards and Recognition: Beşiktaş Municipality has achieved internationally recognized certifications, including the ISO 14001:2015 Environmental Management System Certificate, validating its structured approach to environmental governance. In addition, the municipality has maintained its Carbon Neutral Certificates (2019 and 2020), confirming ongoing commitments to offsetting carbon emissions, and continues to hold the Zero Waste Certificate, further underscoring its leadership in sustainable practices.\n\nStrategic and Financial Dimension:\nOne of the significant advancements since 2024 has been the integration of climate-related actions and costs into the official Strategic Plan of Beşiktaş Municipality. Each climate-relevant objective and activity is now linked with a financial estimate, providing a clear roadmap for implementation. This allows the municipality not only to demonstrate ambition but also to track and justify the required resources. While financial constraints persist, this institutionalization of cost planning strengthens Beşiktaş's capacity to apply for external funding. The municipality actively explores innovative financing models, including public-private partnerships, national programs, regional funds, and international climate finance mechanisms (e.g., ODA and green funds).\n\nGlobal Context and Alignment:\nBeşiktaş Municipality's climate action efforts remain aligned with both national climate strategies and international frameworks. In addition to the Paris Agreement, Beşiktaş explicitly links its actions with the European Green Deal and the Covenant of Mayors, demonstrating its role as a local authority integrated into global climate governance. These alignments are critical in ensuring that municipal-level achievements contribute to Turkey's overall commitments and global sustainability pathways.\n\nOverall Impact:\nBeşiktaş Municipality's dual focus on mitigation and adaptation ensures that while emissions are being reduced through renewable energy, electrification, and efficiency measures, the community is also being prepared for climate impacts through infrastructure upgrades, awareness campaigns, and resilience planning. The municipality's strategic location within Istanbul, as a cultural, economic, and demographic hub, magnifies the impact of its actions. Each successful initiative not only benefits Beşiktaş residents but also provides a replicable model for other urban areas across Turkey and internationally.\n\nConclusion:\nThe reporting year marks a shift for Beşiktaş from “commitment and planning” to “early implementation and institutional strengthening.” Through the combination of new certifications, pilot projects, awareness-raising programs, and the integration of costs into strategic planning, the municipality has established a stronger foundation for accelerating climate action in the coming years. Beşiktaş remains committed to advancing ambitious climate goals while contributing to global sustainability efforts.","2019 carbon.pdf,202409031450111.pdf,2025-2029-stratejik-plan.pdf,BEŞİKTAŞ BİRLEŞTİRİLMİŞ RAPOR_r9__2024.09.25.pdf,Sertifika.pdf,afet_ve_acil_durum_operasyon_plani.pdf,sıfır atık.pdf"
2025 Disclosure Cycle,779465,CDP,59167,Municipalidad de Providencia,City,Latin America,Chile,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"No tengo información adicional, se indicó lo necesario en las respuestas",
2025 Disclosure Cycle,779465,CDP,59532,"City of Hoboken, NJ",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The City is currently finalizing the 2022 Greenhouse Gas Inventory update, attached here and found in Section C.04. Additionally, the City is still finalizing current data on renewables energy mix within jurisdiction limits, which will be included before edits are due in November. ","2022 Hoboken - Community - Detailed Report.xlsx,2022 Hoboken - Municipal Operations - Detailed Report.xlsx"
2025 Disclosure Cycle,779465,CDP,59545,"City of Charlottesville, VA",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,The attached documents are our 2025 Climate Action Update Report that provides a progress update for our Climate Action Plane and our FY2026 Climate Action Workplan that details our projects currently underway. ,"2025 CPP Report_FINAL_070125.pdf,FY26 Climate Program Workplan_FINAL DRAFT_070125.pdf"
2025 Disclosure Cycle,779465,CDP,59563,"City of Takoma Park, MD",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,None,
2025 Disclosure Cycle,779465,CDP,59588,"Town of Chapel Hill, NC",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"We are in the process of updating our climate action plan. The update is not a rewrite of the existing plan. Instead, this work will evaluate our progress to date, assess current emissions levels relative to goals, and determine what (if any) priorities must be shifted to help us reach our goals. ",
2025 Disclosure Cycle,779465,CDP,59609,"City of Concord, CA",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The City has also engaged in sustainability initiatives that go beyond the Climate Action Plan in place.\n\nOne such initiative is the City's partnership with Marin Clean Energy (MCE) which is a Community Choice Energy Aggregator. Due to this partnership, 7,167 MT of GHG emissions have been reduced citywide since 2018, in 2023, all City facilities opted into Deep Green 100% renewable energy, and residents and business owners received over $1 million in rebates. \n\nAdditionally, the City partners with Sustainable Contra Costa, a local organization that provides educational resources and technical support to the City and the community. \n\nThis past summer, the City held a Climate Art Competition, resulting in youth art depicting recycling and waste diversion being placed on Big Belly Trashcans in the City's center plaza. \n\nThe City also holds sustainability events, such as our \'Bike to Wherever\' day this spring, and shares sustainability tips on social media each Sunday and as a part of the monthly newsletter.",
2025 Disclosure Cycle,779465,CDP,59677,"City of Mountain View, CA",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No further information at this time,11. No further information at this time.docx
2025 Disclosure Cycle,779465,CDP,59678,"City of Evanston, IL",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,none ,
2025 Disclosure Cycle,779465,CDP,59956,Banda Aceh City Government,City,South East Asia & Oceania,Indonesia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Banda Aceh Climate Change Adaptation Action Document,BAB I - 6 RAD API Kota Banda Aceh. Edit By Mar (1).docx
2025 Disclosure Cycle,779465,CDP,59957,Samarinda City Government,City,South East Asia & Oceania,Indonesia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Climate actions are aligned with key strategic documents, including the Samarinda RPJMD 2025-2029 and the Samarinda Climate Action Plan. The city faces multiple climate hazards, such as flooding, extreme rainfall, drought, water stress, extreme heat, and localized landslides. Driven by rapid urbanization and climatic variability. Samarinda continues to strengthen data systems, cross-agency coordination, and community engagement to enhance climate resilience.","CAP-report-samarinda-R3.pdf,CAP-report-samarinda-R3.pdf,KLHS RPJMD Samarinda 2026-2029.pdf,Penetapan RPJMD 2025-2029 Kota Samarinda.pdf,Penetapan RPJMD 2025-2029 Kota Samarinda.pdf"
2025 Disclosure Cycle,779465,CDP,59996,Batangas City,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Quick overview of the Batangas City Climate Change Initiatives.,"Climate Change Initiatives.pptx,Climate Change Initiatives.pptx"
2025 Disclosure Cycle,779465,CDP,59998,Narayanganj City Corporation,City,India,Bangladesh,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,For more information please visit https://ncc.gov.bd/,
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Baguio Net Zero Plans, CCA-DRR intiatives","CLUP 2023-2032.pdf,THE BAGUIO VISION.pdf"
2025 Disclosure Cycle,779465,CDP,60007,City of Santa Rosa,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Document that shows local context (what is in place already): outlining existing policies, regulations and in-house capacity of the local/regional government to address climate action planning and implementation",
2025 Disclosure Cycle,779465,CDP,60009,Bacolod City,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Status of GHG Emission Inventory - On-going Survey,
2025 Disclosure Cycle,779465,CDP,60019,Rajshahi City Corporation,City,India,Bangladesh,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Indicative Investment Requirements (towards 2026-27):\n\nIndustrial efficiency improvements: approx. BDT 90-92 million\n\nWastewater management interventions: approx. BDT 28-35 million\n\nBuilding efficiency programs: dependent on number of buildings covered\n\nTransport improvements: requires coordinated funding with national agencies\n\nFunding Sources Expected:\n\nMunicipal budget allocations\n\nDevelopment partners\n\nClimate finance (national and international)\n\nPublic-private partnerships for energy efficiency,
2025 Disclosure Cycle,779465,CDP,60029,City of Cagayan de Oro,City,South East Asia & Oceania,Philippines,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The City Government of Cagayan de Oro is currently updating its Comprehensive Land Use Plan (CLUP), which integrates the Climate and Disaster Risk Assessment (CDRA) as a key tool for evidence-based spatial planning and the promotion of a climate- and disaster-resilient urban development framework.",
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Under the CITIIS 2.0 programme, and as directed by the Government of Andhra Pradesh, Kakinada Municipal Corporation will set up a dedicated Climate Change Cell to lead and coordinate climate action in the city. CITIIS 2.0, led by the Ministry of Housing and Urban Affairs, requires States to establish State Climate Centres for Cities (S-C3), which will then guide the creation of climate cells in cities.\nThe Government of India has allocated INR 264 crore to strengthen climate governance across the country, of which INR 23 crore has been given to Andhra Pradesh. Swachh Andhra Corporation will oversee and support the formation and functioning of these climate cells. These Climate Change Cells will help cities to plan and implement climate-resilient projects, address local vulnerabilities, and monitor progress using the ClimateSmart Cities Assessment Framework (CSCAF). This will help the city take more effective, data-driven climate action.",
2025 Disclosure Cycle,779465,CDP,60078,City of Lappeenranta,City,Europe,Finland,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Emission inventory methodology,"ALasPre-mallin-tarkemmat-laskentaperiaatteet-sektoreittain-pdf.pdf,Alas_1.6_laskentaperusteet.pdf"
2025 Disclosure Cycle,779465,CDP,60097,City of Sarajevo,City,Europe,Bosnia and Herzegovina,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Most of City Sarajevo actions are defined through the Strategy of the city in the period 2021-2027\n\n,
2025 Disclosure Cycle,779465,CDP,60105,Kirklees Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,We have been proactive and completed the emissions data for 2019 with the CIRIS tool which is populated with the SCATTER 2019 data in preparation for next year which we have sent over to the CDP technical team for in depth analysis. We will be working closely with C40 to ensure best practise when completing the CIRIS tool and we will be improving on this in time for the CDP submission in 2026. We have attached a copy of the inventory for 2019 in the CIRIS tool format that has been developed (CIRIS_Standard_v2.5_EN_Kirklees_2019 v.1.xlsx attached). ,CIRIS_Standard_v2.5_EN_Kirklees_2019 v.1.xlsx
2025 Disclosure Cycle,779465,CDP,60108,Norwich City Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Norwich City Council's Environmental Strategy Team produces a quarterly report to the council's Climate and Environment Emergency Executive Panel (CEEEP) which provides summary updates on all relevant decarbonisation and nature recovery projects being led by the council. The latest published report from June 2025 has been attached for general information and to demonstrate the breadth of sustainability projects currently being pursued by the council.,CEEEP Report 10_06_25 V1.0.pdf
2025 Disclosure Cycle,779465,CDP,60112,City of Debrecen,City,Europe,Hungary,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Debrecen submitted its application for the title of European Green Capital 2027 and was selected as a finalist based on the European Commission's evaluation. \nMore info:\nhttps://environment.ec.europa.eu/news/finalists-2027-european-green-cities-awards-announced-2025-07-11_en,
2025 Disclosure Cycle,779465,CDP,60113,Dundee City Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No further information to provide.,
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,City,Europe,Greece,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"It is the second year that we have prepared the CDP report and it was completed inhouse by municipality's own resources. We consider this edition more precise from the previous one and hopefully next year we will perform even better, in reporting but most of all in environmental score.\nMany of the data were provided by our departments but unfortunately there are data that were not provided by other organizations.",
2025 Disclosure Cycle,779465,CDP,60140,City of Nakuru,City,UKWW,Kenya,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,,"Apen J - Nakuru SWM Draft Final RAP Report 3 Nov2017.pdf,Apen M Nakuru PPP model manual_LHGP(revised)_3Nov2017.pdf,Nakuru County CAP 2023-2027.pdf,Nakuru Final Report - Feasibility and PPP Plan updated.pdf"
2025 Disclosure Cycle,779465,CDP,60178,Linköping Municipality,City,Europe,Sweden,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,We have no further information.,
2025 Disclosure Cycle,779465,CDP,60186,Nacka Municipality,City,Europe,Sweden,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Nacka is also a part of Viable Cities, climate neutral cities by the year 2030. ",
2025 Disclosure Cycle,779465,CDP,60187,City of Solna,City,Europe,Sweden,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The public/municipal housing in Solna is part of a foundation called Signalisten. The work of Signalisten is not included in the reportinThe public housing/municipal housing in Solna is organized as a foundation called Signalisten. Signalisten's work is not included in the reporting.\nMore info on Signalisten's sustainability work: https://www.signalisten.se/om-oss/vart-hallbarhetsarbete/\n\nActivities and results from Norrenergi AB - the district heating facility that Solna owns large parts of is largely included, but certain work that is driven by the company itself has not been reported by the reporter and is therefore not included.\nMore information on Norrenergi's sustainabilty work: https://www.norrenergi.se/om-oss/vart-hallbarhetsansvar/\n\nNote that some social service (most of the elderly care, large part of children daycare and some shools) in Solna is out-\nsourced and hence a matter of requirements in procurement and contracts.\n",
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"It is difficult to find proper actions to report. The energy plan and transport plan of Växjö do not contain any specific actions, just strategies on how we for instance should work more towards renewable energy, efficient energy use and sustainable mobility. Also, the energy production is already renewable and a huge majority of the CO2 emissions come from the transport sector. Here we are very much aware of the fact that we are depnding a lot on the policies and regulations from national level.\nThis is why so few actions are reported.",
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,City,Europe,Sweden,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No comments. Added one blank (empty) text document as a PDF file.,
2025 Disclosure Cycle,779465,CDP,60236,Trelleborg Municipality,City,Europe,Sweden,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No further information,
2025 Disclosure Cycle,779465,CDP,60332,Prefeitura de São Carlos,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,1 - plantio junto as escolas e sociedade civil\n\n2 - doação de mudas de árvores\n\n3 - Incentivo a troca de lâmpadas \n\n4 - Ações de drenagem e manejo de águas pluviais,"DRENAGEM - SAAE.pdf,Plantio SMSP.pdf,RELATORIO FINAL DAS ACOES.pdf"
2025 Disclosure Cycle,779465,CDP,60351,Prefeitura de Sobral,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Destacam-se os avanços das parcerias e intercâmbios, realizados entre as redes e experiências mediante a participação em eventos, visitas técnicas, webinar entre outros. Sobral renovou o compromisso e adesão, junto ao Pacto Global de Prefeitos pelo Clima e Energia (GCoM). Mentorias de orientação para o preenchimento da plataforma CDP e a renovação da parceria com o ICLEI. \nAdesão ao Programa Cidades Verdes e Resilientes que objetiva aumentar a qualidade ambiental e a resiliência das cidades brasileiras diante dos impactos da mudança do clima, por meio da integração de políticas urbanas, ambientais e climáticas, estimulando as práticas sustentáveis e a valorização dos serviços ecossistêmicos do verde urbano. A iniciativa do Governo Federal através da os Ministérios do Meio Ambiente e Mudança do Clima; das Cidades; e da Ciência, Tecnologia e Inovação.",ADESÃO PARCERIAS_SOBRAL_2025.pdf
2025 Disclosure Cycle,779465,CDP,60361,Prefeitura de Tangará da Serra,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,,
2025 Disclosure Cycle,779465,CDP,60381,Alcaldía Distrital de Santa Marta,City,Latin America,Colombia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No Aplica,
2025 Disclosure Cycle,779465,CDP,60384,Alcaldía de Yopal,City,Latin America,Colombia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"el muniicpio de Yopal cuenta con Plan de accion climtico en el cual cuenta con medidas de mitigación y adaptación a la crisis climatica implementando avances en la medida Promoción de patrones sostenibles en el transporte público, Promoción de patrones sostenibles en el transporte privado y Promoción de patrones sostenibles en el transporte de Carga, ademas de mas de 9 kilometros de ciclorrutas implementados en la capitadl del departamento de Casanare.","PAACCY FINAL (1).pdf,PAACCY FINAL (1).pdf"
2025 Disclosure Cycle,779465,CDP,60385,Alcaldía de Villavicencio,City,Latin America,Colombia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,no aplica,
2025 Disclosure Cycle,779465,CDP,60388,Municipalidad Provincial de Chiclayo,City,Latin America,Peru,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Actualización del Plan de desarrollo Metropolitano de Chiclayo\nPlan de Acondicionamiento territorial\nActualización del plano básico de chiclayo\nActualización en proceso del catastro por parte de Cofopri.,OM-0018-2025-ACTULIZACION PDM.pdf
2025 Disclosure Cycle,779465,CDP,60407,Municipalidad de Colina,City,Latin America,Chile,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No incluida,
2025 Disclosure Cycle,779465,CDP,60410,Municipalidad de Peñalolén,City,Latin America,Chile,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"El municipio de Peñalolén ha asumido el compromiso de avanzar hacia una justicia climática con enfoque de género, asegurando que las políticas y medidas implementadas fortalezcan la equidad y la inclusión.\nDurante el 2024, se inició el proceso para obtener el Sello de Igualdad de Género para Instituciones Públicas del PNUD, un hito que refleja la voluntad de transversalizar la igualdad en todas nuestras áreas de gestión, incluida la ambiental. Además, participamos en espacios de colaboración y aprendizaje donde se promueve la integración de la perspectiva de género en la acción climática, reconociendo el rol fundamental de las mujeres en la construcción de resiliencia climática.\nNuestra visión es que cada medida de mitigación y adaptación que adoptemos no solo reduzca emisiones o aumente la capacidad de respuesta frente a emergencias, sino que también contribuya a cerrar brechas históricas y a potenciar el liderazgo de mujeres y diversidades en la transición hacia un futuro más justo, inclusivo y sostenible para Peñalolén.",Politica Igualdad de Genero_compressed.pdf
2025 Disclosure Cycle,779465,CDP,60433,Hvidovre Municipality,City,Europe,Denmark,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No further information,
2025 Disclosure Cycle,779465,CDP,60588,City of Alba Iulia,City,Europe,Romania,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,General political and budgetary stability and consistency in the reforms that the national government will enforce before 2030 will have a significant impact on the municipal capacity to finance and implement the planned mitigation and adaptation actions from the SECAP and PAASC.,
2025 Disclosure Cycle,779465,CDP,60599,"Town of Bridgewater, NS",City,North America,Canada,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,None,
