disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_requested_org_number,requested_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,questionnaire,eligible_pathway,selected_pathway,disclosure_status,public_status,previous_response_status
2025 Disclosure Cycle,779465,CDP,54105,"City of Duluth, MN",54105,"City of Duluth, MN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58590,"City of Easton, PA",58590,"City of Easton, PA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834083,"City of Eau Claire, WI",834083,"City of Eau Claire, WI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43912,"City of Edmonton, AB",43912,"City of Edmonton, AB",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74401,"City of Encinitas, CA",74401,"City of Encinitas, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59678,"City of Evanston, IL",59678,"City of Evanston, IL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,53959,"City of Fayetteville, AR",53959,"City of Fayetteville, AR",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54113,"City of Flagstaff, AZ",54113,"City of Flagstaff, AZ",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,36285,City of Florence,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",54066,"City of Fort Collins, CO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,52896,"City of Fort Lauderdale, FL",52896,"City of Fort Lauderdale, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,831234,"City of Fredericton, NB",831234,"City of Fredericton, NB",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54124,"City of Fremont, CA",54124,"City of Fremont, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36262,City of Genoa,36262,City of Genoa,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50650,City of Gibraltar,50650,City of Gibraltar,City,Europe,Gibraltar,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,42123,City of Goiânia,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,918366,City of Gradiška,918366,City of Gradiška,City,Europe,Bosnia and Herzegovina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54034,"City of Grand Rapids, MI",54034,"City of Grand Rapids, MI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54060,"City of Greater Sudbury / Grand Sudbury, ON",54060,"City of Greater Sudbury / Grand Sudbury, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50541,"City of Greensboro, NC",50541,"City of Greensboro, NC",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54084,"City of Guelph, ON",54084,"City of Guelph, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",50555,"City of Hamilton, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,31165,City of Heidelberg,City,Europe,Germany,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,54518,City of Helsingborg,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,50545,"City of Henderson, NV",50545,"City of Henderson, NV",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59532,"City of Hoboken, NJ",59532,"City of Hoboken, NJ",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74680,City of Iași,74680,City of Iași,City,Europe,Romania,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,36036,City of Ibadan,36036,City of Ibadan,City,UKWW,Nigeria,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55161,City of Iida,55161,City of Iida,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59997,City of Iloilo,59997,City of Iloilo,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,43907,"City of Indianapolis, IN",43907,"City of Indianapolis, IN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54111,"City of Iowa City, IA",54111,"City of Iowa City, IA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,31115,City of Johannesburg,City,UKWW,South Africa,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54330,City of Kawasaki,54330,City of Kawasaki,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",53829,"City of Kingston, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60142,City of Kisumu,60142,City of Kisumu,City,UKWW,Kenya,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,44080,City of Kitakyushu,44080,City of Kitakyushu,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59536,"City of Kitchener, ON",59536,"City of Kitchener, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",54048,"City of Knoxville, TN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50235,City of Kraków,50235,City of Kraków,City,Europe,Poland,2025 Questionnaire,Unknown,PATHWAY_2,Amended,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36469,City of L'Aquila,36469,City of L'Aquila,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73295,"City of La Crosse, WI",73295,"City of La Crosse, WI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2027854,"City of Lafayette, IN",2027854,"City of Lafayette, IN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,31167,City of Lagos,City,UKWW,Nigeria,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54402,City of Lahti,54402,City of Lahti,City,Europe,Finland,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54075,"City of Lakewood, CO",54075,"City of Lakewood, CO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,841965,"City of Lansing, MI",841965,"City of Lansing, MI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60078,City of Lappeenranta,60078,City of Lappeenranta,City,Europe,Finland,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",10495,"City of Las Vegas, NV",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,931104,City of Leh,931104,City of Leh,City,India,India,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54529,City of Leicester,54529,City of Leicester,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834094,City of Ligao,834094,City of Ligao,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,36159,City of Lisbon,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54030,"City of Little Rock, AR",54030,"City of Little Rock, AR",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,43920,City of Ljubljana,City,Europe,Slovenia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Amended
2025 Disclosure Cycle,779465,CDP,919095,City of London (City),919095,City of London (City),City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50558,"City of London, ON",50558,"City of London, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50551,"City of Long Beach, CA",50551,"City of Long Beach, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59696,"City of Longmont, CO",59696,"City of Longmont, CO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",10894,"City of Los Angeles, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",49333,"City of Louisville, KY",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50401,"City of Madison, WI",50401,"City of Madison, WI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,31171,City of Madrid,City,Europe,Spain,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,43940,City of Malmö,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840492,City of Malolos,840492,City of Malolos,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,11315,City of Manchester,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59653,"City of Manhattan Beach, CA",59653,"City of Manhattan Beach, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,43926,City of Mannheim,City,Europe,Germany,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58513,"City of Medford, MA",58513,"City of Medford, MA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,31109,City of Melbourne,City,South East Asia & Oceania,Australia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,63608,City of Melville,63608,City of Melville,City,South East Asia & Oceania,Australia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36410,"City of Memphis, TN",36410,"City of Memphis, TN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",35870,"City of Miami, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,31173,City of Milan,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Amended
2025 Disclosure Cycle,779465,CDP,43908,"City of Milwaukee, WI",43908,"City of Milwaukee, WI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59538,"City of Mississauga, ON",59538,"City of Mississauga, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74560,"City of Moab, UT",74560,"City of Moab, UT",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35871,City of Monterrey,35871,City of Monterrey,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59677,"City of Mountain View, CA",59677,"City of Mountain View, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,31178,City of Mumbai,City,India,India,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,54439,City of Münster,City,Europe,Germany,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73737,"City of Naga, Camarines Sur",73737,"City of Naga, Camarines Sur",City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,35913,City of Nairobi,35913,City of Nairobi,City,UKWW,Kenya,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60140,City of Nakuru,60140,City of Nakuru,City,UKWW,Kenya,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,854050,"City of Nanaimo, BC",854050,"City of Nanaimo, BC",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,53937,"City of Naperville, IL",53937,"City of Naperville, IL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58668,"City of New Bedford, MA",58668,"City of New Bedford, MA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",13067,"City of New Orleans, LA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54328,City of Niigata,54328,City of Niigata,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74539,"City of Oberlin, OH",74539,"City of Oberlin, OH",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49347,"City of Omaha, NE",49347,"City of Omaha, NE",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,930332,"City of Orillia, ON",930332,"City of Orillia, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",43909,"City of Orlando, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,848981,City of Ormoc,848981,City of Ormoc,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43911,"City of Ottawa, ON",43911,"City of Ottawa, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,54410,City of Oulu,City,Europe,Finland,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862760,"City of Oxford, OH",862760,"City of Oxford, OH",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36496,City of Palermo,36496,City of Palermo,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54119,"City of Palo Alto, CA",54119,"City of Palo Alto, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,31175,City of Paris,City,Europe,France,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54088,"City of Peterborough, ON",54088,"City of Peterborough, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",31181,"City of Philadelphia, PA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",35874,"City of Phoenix, AZ",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60656,"City of Piedmont, CA",60656,"City of Piedmont, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,37261,City of Pietermaritzburg,City,UKWW,South Africa,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",35877,"City of Pittsburgh, PA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,62793,City of Ploiești,62793,City of Ploiești,City,Europe,Romania,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,35274,"City of Portland, ME",35274,"City of Portland, ME",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",14874,"City of Portland, OR",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,46514,City of Porto,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,866890,"City of Prairie Village, KS",866890,"City of Prairie Village, KS",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,36501,City of Prato,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_1,Amended,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49327,"City of Providence, RI",49327,"City of Providence, RI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Amended,Public,Activated
2025 Disclosure Cycle,779465,CDP,59985,City of Puerto Princesa,59985,City of Puerto Princesa,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54040,"City of Regina, SK",54040,"City of Regina, SK",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54128,"City of Reno, NV",54128,"City of Reno, NV",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54459,City of Reykjavík,54459,City of Reykjavík,City,Europe,Iceland,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,918239,City of Reșița,918239,City of Reșița,City,Europe,Romania,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,49334,"City of Richmond, VA",49334,"City of Richmond, VA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49342,"City of Rochester, NY",49342,"City of Rochester, NY",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,31110,City of Rome,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,60183,City of Rzeszów,City,Europe,Poland,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35878,"City of Sacramento, CA",35878,"City of Sacramento, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,54331,City of Sagamihara,54331,City of Sagamihara,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54096,"City of Saint John, NB",54096,"City of Saint John, NB",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50572,"City of Saint Paul, MN",50572,"City of Saint Paul, MN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58871,"City of Salem, MA",58871,"City of Salem, MA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,42120,City of Salvador,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044740,City of Samal,2044740,City of Samal,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",43905,"City of San Antonio, TX",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",35884,"City of San Diego, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840158,"City of San Fernando, La Union",840158,"City of San Fernando, La Union",City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",31182,"City of San Francisco, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",35883,"City of San José, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59633,"City of Santa Cruz, CA",59633,"City of Santa Cruz, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54110,"City of Santa Monica, CA",54110,"City of Santa Monica, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60007,City of Santa Rosa,60007,City of Santa Rosa,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,36219,City of Sapporo,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60097,City of Sarajevo,60097,City of Sarajevo,City,Europe,Bosnia and Herzegovina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50568,"City of Saskatoon, SK",50568,"City of Saskatoon, SK",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",16581,"City of Seattle, WA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862673,"City of Selkirk, MB",862673,"City of Selkirk, MB",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,51075,City of Shenzhen,51075,City of Shenzhen,City,China,China,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55180,City of Shizuoka,55180,City of Shizuoka,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74568,"City of Shoreline, WA",74568,"City of Shoreline, WA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60187,City of Solna,60187,City of Solna,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,63562,"City of South Bend, IN",63562,"City of South Bend, IN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
