disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Name of the initiative,col2_Name of jurisdiction or/and landscape area,col3_Describe the aim of the initiative including any focus commodities and your state/region's role,col4_Implementation stage of initiative,col5_Current sources of finance for the initiative,col6_Types of partners engaged in the initiative design and implementation,col7_Describe governance structures and policies in place to support the initiative,col8_Five primary actions from private sector companies that would drive positive impact in the initiative,col9_Is a collective monitoring framework used to measure progress towards landscape goals and actions?,"col10_State the achievements of your engagement so far, and how progress is monitored"
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Paisajes Bioculturales\n,Estado de Jalisco,"Un Paisaje Biocultural es un territorio que comparte un paisaje e identidad propia, manejado bajo un régimen unificado de gestión territorial que permite promover el desarrollo económico sustentable por medio de la protección y valoración de la naturaleza y la cultura local. El régimen de manejo territorial del paisaje biocultural, es definido y adoptado voluntariamente por los gobiernos municipales, la entidad federativa y los órganos representativos de grupos sociales involucrados. (Art.3, fracción XI del Reglamento de la LEEEPA, febrero 2022).",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Local communities|Financial institution(s)|Government|NGO and/or civil society|Private sector|Indigenous peoples,"Desde el año 2013, con el apoyo de la Agencia Francesa de Desarrollo, se llevó a cabo el pilotaje de un “Paisaje Biocultural de la Sierra Occidental de Jalisco”. El proyecto detonó una modificación a la LEEEPA en el año 2020, donde se incorporó la categoría de Paisaje Biocultural dentro de los Instrumentos de Participación Voluntaria para la Conservación, posteriormente el febrero del año 2022 se publicó el reglamento de esta Ley.\n\nLa iniciativa del Paisaje Biocultural de la Sierra Occidental de Jalisco comprende 350,000 has, dentro de los municipios de Mascota, Talpa de Allende, San Sebastián del Oeste y Atenguillo, donde las montañas dominan el entorno y la diversidad de bosques, valles y pastizales, así como sus pueblos y rancherías son la representación de los paisajes que se fueron formando como resultado de la relación que sus habitantes han desarrollado a través de los años con la naturaleza para vivir en armonía en este territorio.\n\nLa demanda local y voluntad institucional para conformar el Paisaje Biocultural en la Sierra Occidental de Jalisco como un modelo innovador de gestión territorial ha permitido avances como:\n•\tLa integración de un diagnóstico territorial participativo y una visión común de desarrollo para el territorio que se plasma en una Carta Territorial.\n•\tLa conformación del Grupo Promotor Local (Consejo de Gestión Territorial) y mesas de trabajo temáticas para garantizar la concertación del Acuerdo de Gestión Territorial, los compromisos y acciones para lograr el desarrollo sostenible del territorio.\n•\tEl fortalecimiento de capacidades en los sistemas productivos más representativos del territorio (agricultura y ganadería, silvicultura, cafeticultura, artesanía y productos regionales, recursos forestales no maderables y turismo) a través de acompañamiento para la incorporación de prácticas sustentables, intercambios de experiencias y espacios de participación de productores.\n•\tLa promoción y desarrollo de pequeños proyectos productivos.\n•\tLa promoción y uso del distintivo Paisaje Biocultural de la Sierra Occidental de Jalisco (a través de un sello).\n","Implement REDD+ actions in the landscape/jurisdiction|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation|Collaborate on establishing and managing monitoring system(s) for biodiversity, habitat fragmentation and/or threats to IUCN Red List species in priority areas|Support indigenous peoples and local communities to clarify and secure land tenure rights|Engage partners on importance of conservation, restoration and/or rehabilitation","Yes, progress is monitored using an internally defined framework","De la secretaria de Medio Ambiente y Desarrollo Territorial de Jalisco (SEMADET) CERTIFICO como PAISAJE BIOCULTURAL SIERRA OCCIDENTAL un territorio que comprende 350,000 has, dentro de los municipios de Mascota, Talpa de Allende, San Sebastián del Oeste y Atenguillo "
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,La Estrategia Estatal REDD+ Tabasco considera el enfoque de paisajes.,"Tabasco, uso de suelo y cambio de uso de suelo.","El objetivo es detener la deforestación, p´romoviendo prácticas sustentables, plantaciones comerciales, fomento de agroecosistemas de cacao, entre otros.",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,,,,,,
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Programa de ordenamiento ecológico de la Región Sierra Madre de Chiapas,Región Sierra Madre y Costa de Chiapas,,,,,,,,
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Berau forest carbon program (PKHB),Berau district,"Accelerating social forestry in Berau, developing eco-friendly businesses based on village potential, education and environmental awareness campaigns, assisting people's economic communities and defending community rights on environmental, social and cultural issues.","Review, evaluation and adapt: Lessons learned from the initiative are being used to update original plans","Governmental fund/subsidies|REDD+ finance|International organizations|NGO|Private sector, companies",Indigenous peoples,Berau's forest carbon program strategic plan for the 2016-2025 is integrated into Berau's RPJMD for 2021-2026. SK Bupati number 114 of 2011 concerning the establishment of a PKHB steering committee.,"Collaborate on landscape sustainability assessments through participatory mapping|Collaborate on establishing and managing monitoring system(s) for biodiversity, habitat fragmentation and/or threats to IUCN Red List species in priority areas|Collaborate on management/ land use planning in the landscape/jurisdiction|Collaborate on establishing and managing monitoring system(s) for livelihoods and human well-being|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation","Yes, progress is monitored using an internally defined framework","The PKHB played a key role in enabling Indonesia to secure its first performance-based payment for emission reductions from the World Bank in 2022, signifying a significant achievement for both the initiative and the region. The program fosters collaboration between local communities, government bodies, and the private sector, with a particular focus on establishing sustainable partnerships with timber and palm oil industries.\n\nThe program is monitored by Integrates remote sensing technologies, on-the-ground data collection, and socioeconomic research to observe forest cover changes and evaluate community involvement. Its community engagement efforts, including initiatives like SIGAP REDD+, are designed to ensure local participation and support for sustainable forest management"
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,GCF Task Force,West Kalimantan,"As a forum for coordination at the governor level, West Papua participates in discussions on deforestation and forest degradation issues with 6 provinces that are members of Indonesia's GCF Task Force. This initiative discusses every latest issue regarding commodities, policies, community development in achieving the target of the Manaus Action Plan (MAP).",Implementation stage: Implementation plans are completed and currently underway/operational,International organizations,Local communities|Indigenous peoples|Government,This initiative involves every stakeholder in the province. The involvement of many parties is a form of support for this initiative,"Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on management/ land use planning in the landscape/jurisdiction|Collaborate on commodity traceability","Yes, progress is monitored using an internally defined framework",Meetings are held every year between 7 provinces and currently they are still developing the 4 pillars of the MAP target
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,Peat Impact ICRAF Indonesia di KHG,West Kalimantan\n,"The Peat Impact program by ICRAF Indonesia in the KHG (Kawasan Hidrologis Gambut) of West Kalimantan focuses on sustainable peatland management to mitigate climate change and protect vital ecosystems. The initiative aims to restore degraded peatlands, reduce carbon emissions, and prevent land subsidence through science-based interventions. This includes rewetting peatlands, promoting sustainable agricultural practices, and involving local communities in peatland conservation. By maintaining the hydrological balance of these areas, the program helps protect biodiversity, supports livelihoods, and contributes to Indonesia's broader climate and environmental goals.",Implementation stage: Implementation plans are completed and currently underway/operational,International organizations,Local communities,"The governance structures and policies supporting the Peat Impact ICRAF Indonesia initiative in KHG West Kalimantan are rooted in both national and regional frameworks. Nationally, Indonesia's Peatland Restoration Agency (BRG) and Ministry of Environment and Forestry set the policy direction for peatland conservation and restoration, mandating rewetting, revegetation, and community involvement. At the regional level, local governments in West Kalimantan implement regulations aligned with these national policies, facilitating collaboration with stakeholders like ICRAF. These efforts are bolstered by community-based land management practices, peatland protection laws, and cross-sector coordination to ensure sustainable outcomes in peat restoration and climate resilience.",Collaborate on management/ land use planning in the landscape/jurisdiction,"Yes, progress is monitored using an internally defined framework","This program successful rewetting of degraded peatlands, which helps restore the natural hydrological balance and reduces the risk of fires. The program has also promoted sustainable agricultural practices, empowering local communities to shift towards peat-friendly livelihoods. Through capacity-building and community engagement, the initiative has strengthened local governance and enhanced awareness about the importance of peatland ecosystems. Additionally, these efforts have contributed to significant reductions in carbon emissions, supporting Indonesia's broader climate goals."
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,3,Row 3,Green Growth Kubu Raya District,Kubu Raya District,"Green Growth in Kubu Raya District focuses on promoting sustainable development while preserving the district's rich natural resources. Key initiatives include protecting forests and peatlands, enhancing sustainable agricultural practices, and promoting renewable energy to reduce environmental impacts. The district aims to balance economic growth with environmental conservation by fostering low-carbon development, supporting eco-friendly industries, and engaging local communities in sustainable land use practices. This approach aligns with Indonesia's broader goals of reducing greenhouse gas emissions and achieving long-term environmental sustainability.",Implementation stage: Implementation plans are completed and currently underway/operational,NGO,Local communities,"The program focuses on balancing economic growth with environmental protection, particularly through sustainable land use, forest and peatland conservation, and promoting renewable energy. Key actions include implementing eco-friendly agricultural practices, reducing deforestation, and encouraging community participation in managing natural resources. The district also supports low-carbon development strategies and fosters green industries to ensure long-term environmental sustainability. These efforts align with national and international goals for reducing carbon emissions and promoting a green economy.","Support implementation of climate change vulnerability assessment|Engage partners on importance of conservation, restoration and/or rehabilitation|Promote and implement climate change adaptation and mitigation activities","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Ecomodel regions: Establishment of bioregional value chains,All Hessian rural districts and independent cities are organised in a total of 13 eco-model regions. Thus the network covers the entire state Hessen.,"•\tto strengthen the ecological awareness in agriculture and among consumers, \n•\tto connect producers and processors of organic food more closely, but also with consumers and with actors from the gastronomy and tourism sectors\n•\tto sensitize consumers for regional cycles and local food",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Government,no info,,"Yes, progress is monitored using an internally defined framework",Projects and initiatives are listed on the website: https://www.oekomodellregionen-hessen.de/
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Québec's 2030 Nature Plan and its 2024-2028 Action Plan \n\nhttps://cdn-contenu.quebec.ca/cdn-contenu/environnement/biodiversite/nature-plan-2030.pdf \n\nhttps://cdn-contenu.quebec.ca/cdn-contenu/environnement/biodiversite/plan-nature-2030-plan-action-en.pdf ,État québécois,"The 2030 Nature Plan is the framework policy for biodiversity conservation in Québec. It was developed by the Government of Québec following the adoption of the Kunming-Montreal Global Biodiversity Framework at the 15th Conference of the Parties to the UN Convention on Biological Diversity (COP15), held in Montréal in Dec.2022. It aims to encourage participation in meeting global targets, while taking into consideration Québec's territorial realities, competencies and priorities in this area.\n\nIt sets out a vision for 2030 supported by four key foundations for its deployment:\n› involve the First Nations and the Inuit;\n› mobilize society as a whole; \n› promote discussion and synergy among stakeholders concerned with biodiversity;\n› improve access to nature, in particular for its health benefits.\n\nThe 2030 Nature Plan is broken down into three areas of action (goals) and 14 targets that are aligned with the global targets of the Global Biodiversity Framework. Its implementation is supported by an Action Plan covering the period 2024-2028 that comprises 33 objectives. Structured monitoring of the action plan's progress will be carried out in partnership with the parties involved and made public in the financial year 2025-2026.",Implementation stage: Implementation plans are completed and currently underway/operational,"Private sector, companies|Governmental fund/subsidies",Local communities|Private sector|NGO and/or civil society|Government,"The Government of Québec is at the planning stage regarding landscape-scale approaches. Indeed this past year Quebec has been drafting its 2030 Nature Plan with a view to consider biodiversity conservation and resilience at the landscape scale, including with spatial planning regulations and approaches, with the identification of priorities for conservation of terrestrial and marine ecosystems throughout the territory, and with the early stages in drafting a research agreement to identify ecological corridors on a large scale south of the 49th parallel. Further information and details on these approaches should unfold in the coming year.","Collaborate on management/ land use planning in the landscape/jurisdiction|Promote and implement climate change adaptation and mitigation activities|Engage partners on importance of conservation, restoration and/or rehabilitation","Yes, progress is monitored using an internally defined framework",The Action Plan was published in October 2024. It is in the early implementation stage.
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,"PROGRAMA REM, ACRE\n",ACRE\n,"A finalidade do Programa REM é apoiar com “financiamento ponte” implementadores de programas jurisdicionais de REDD+ para fortalecer sua autonomia e sustentabilidade. Nomeado mundialmente como - REDD +, de acordo com as decisões sob o marco da Organização das Nações Unidas Mudança Climática (UNFCCC).","Review, evaluation and adapt: Lessons learned from the initiative are being used to update original plans",International development bank,Government|Indigenous peoples|Local communities|Financial institution(s)|NGO and/or civil society,"Lei nº 2.308 de 2010 que é o Sistema Estadual de Incentivos a Serviços Ambientais - SISA, o Programa de Incentivos por Serviços Ambientais - ISA Carbono e demais Programas de Serviços Ambientais e Produtos Ecossistêmicos do Estado do Acre.","Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Promote and implement climate change adaptation and mitigation activities|Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making|Implement REDD+ actions in the landscape/jurisdiction|Support communities and smallholders in gaining access to incentives (e.g. support achieving certification, group formation, getting land title, packaging access to loans, preferential sourcing etc.)","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,"Estratégia Produzir, Conservar e Incluir (PCI)",Mato Grosso," O estado do Mato Grosso, por meio da estratégia “Produzir, Conservar e Incluir” (PCI), constitui um dos exemplos de abordagem jurisdicional mais avançando do mundo. A PCI tem como objetivo captar recursos para o Estado de Mato Grosso para a expansão e aumento da eficiência da produção agropecuária e florestal, a conservação dos remanescentes de vegetação nativa, recomposição dos passivos ambientais e a inclusão socioeconômica da agricultura familiar e gerar a redução de emissões e sequestro de carbono até 2030 de 6 GTonCO2 , mediante o controle do desmatamento e o desenvolvimento de uma economia de baixo carbono. A estratégia PCI surgiu de uma construção coletiva e participativa envolvendo diferentes secretarias de estado, representantes de organizações não governamentais, empresas privadas e entidades representativas de setores da economia do estado. A PCI constitui um conjunto de metas para auxiliar no cumprimento de seus objetivos. Para a implementação da estratégia, foi criado o Comitê Estadual da Estratégia Produzir, Conservar e Incluir (CEEPCI) e sua estrutura organizacional, por meio do Decreto n° 468, de 31 de março de 2016. O Comitê tem como atribuição aprovar o planejamento das ações elaboradas pelas secretarias coordenadoras dos eixos temáticos, realizar o acompanhamento da implementação da estratégia e do cumprimento das metas, bem como a definição de sua estrutura de governança e mecanismos de captação de recursos. Mais informações em https://pcimt.org/index.php/pt/ e https://pcimt.org/wp-content/uploads/2024/06/CDPpolicybriefjurisdicionalapproachPT.pdf.",Implementation stage: Implementation plans are completed and currently underway/operational,"REDD+ finance|Private sector, companies",,"O Instituto PCI, criado em 2019, é uma associação de direito privado, sem fins econômicos e lucrativos. O Instituto possui um Conselho de Administração, Conselho Fiscal, Conselho Consultivo, Conselho de Doadores, Comitê de Monitoramento e Comitê de Investimento. O Conselho Geral Consultivo é uma unidade de aconselhamento que deve servir como instrumento de aconselhamento técnico e estratégico para o Conselho de Administração, sem que, contudo, tenha qualquer responsabilidade social em relação à associação.Os membros do Conselho Geral Consultivo serão indicados pelos membros e escolhidos pelo colegiado do Conselho de Administração, dentre pessoas com interesse e conhecimento nas áreas de atuação do PCI, portadoras de competências específicas e capazes de contribuir para que o PCI opere adequadamente, e que representem órgãos, poderes ou entidades públicas e privadas, nacionais e internacionais que possuam atividades correlatas aos fins do PCI. Com a criação do Instituto PCI, os membros do CEEPCI foram convidados a fazer parte do Conselho Consultivo do Instituto PCI. O Conselho de Administração é o órgão colegiado de deliberação superior do PCI, a quem compete a sua administração direta e deliberação quanto às atividades fins da Associação. Fazem parte desse Conselho instituições do governo estadual, entidades de classe, do setor privado e da sociedade civil. O Conselho de Doadores será composto pelos financiadores e doadores da PCI. Poderão fazer parte do Conselho potenciais doadores ou financiadores, na qualidade de observadores sem direito a voto, com o objetivo de acompanhamento e suporte na captação de recursos, além de análise de estratégias de investimento. O Comitê de Monitoramento deverá acompanhar os avanços em direção à visão estabelecidas pelas metas do PCI para Mato Grosso em 2030, subsidiando o aperfeiçoamento ou redirecionamento de ações e garantindo a credibilidade e transparência da estratégia. O Comitê de Investimentos é a instância responsável por analisar a viabilidade financeira dos programas, projetos e atividades do PCI face aos recursos financeiros captados, suas regras de aplicação e as diretivas publicadas e definidas pelo conselho de administração do PCI.","Engage partners on importance of conservation, restoration and/or rehabilitation|Implement REDD+ actions in the landscape/jurisdiction|Identify and map partners (including vulnerable and/or marginalized groups) and encourage their engagement in multi-partner processes|Collaborate on commodity traceability","Yes, progress is monitored using an internally defined framework",O monitoramento das metas da PCI pode ser encontrado acessando https://pcimt.org/index.php/pt/monitoramento-pt. Outros documentos relevantes podem ser encontrados em https://pcimt.org/index.php/pt/comunicacao-pt.
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Programa Plantar Juntos,Estado de Pernambuco,"O Programa Plantar Juntos, coordenado pelo Governo de Pernambuco (SEMAS-PE), tem como objetivo plantar 4 milhões de árvores até 2026, promovendo a recuperação da Mata Atlântica, da Caatinga e de ecossistemas costeiros como manguezais. A iniciativa busca regenerar cerca de 2,4 mil hectares do território pernambucano, ampliar Unidades de Conservação e fomentar a produção de mudas nativas por meio de viveiros municipais. O programa envolve municípios, empresas, escolas, assentamentos rurais, ONGs e cidadãos, com editais específicos para restauração florestal, reflorestamento comunitário, recuperação de APPs e Reservas Legais, além da criação de créditos de carbono. O Estado de Pernambuco, por meio da SEMAS, exerce papel central na implementação: 1) Definir metas de reflorestamento e restaurar áreas prioritárias; 2) Disponibilizar recursos públicos (aprox. R$ 150 milhões até 2026) e mobilizar parcerias privadas; 3) Lançar editais para seleção de projetos e monitoramento ambiental; 4) Articular universidades (ex.: UPE, com desenvolvimento de aplicativo de monitoramento), comunidades e escolas; 5) Promover educação ambiental e engajamento social, fortalecendo a resiliência climática e a geração de créditos de carbono. \nA transparência e o monitoramento serão garantidos pelo aplicativo Plantar Juntos, que georreferencia e acompanha as mudas, e pelos prazos de manutenção definidos nos editais. A governança inclui ainda ações de educação ambiental nas escolas e a priorização da participação de agricultores familiares, quilombolas, indígenas e comunidades tradicionais.",Implementation stage: Implementation plans are completed and currently underway/operational,"Private sector, companies|Governmental fund/subsidies",Private sector|NGO and/or civil society|Government|Local communities,"A iniciativa Plantar Juntos é coordenada pela Secretaria de Meio Ambiente e Sustentabilidade de Pernambuco (Semas-PE), com apoio da Agência Estadual de Meio Ambiente (CPRH), responsável pela gestão de recursos do Fundo de Compensação Ambiental. A governança conta ainda com editais públicos e termos de adesão para engajar organizações socioambientais, prefeituras, assentamentos rurais, empresas e cidadãos.\nAté dezembro de 2026, o programa de reflorestamento e proteção ambiental prevê o plantio de 1,514 milhão de árvores, além de assegurar mais 7,1 milhões de árvores para plantio por meio de editais. O programa também protegerá 24 milhões de árvores, regularizando uma Unidade de Conservação (UC) existente e criando sete novas UCs. Além disso, serão restauradas Áreas de Preservação Permanente (APPs) em bacias hidrográficas, totalizando 24,7 mil hectares de novas áreas protegidas. Para viabilizar essas ações, os investimentos previstos incluem R$ 95,4 milhões do Tesouro Nacional, R$ 34,3 milhões provenientes de compensação ambiental e um empréstimo internacional de USD 62 milhões.\nEntre os instrumentos de apoio estão a Política Florestal do Estado de Pernambuco (Lei nº 11.206/95), Sistema de Estadual de Unidades de Conservação da Natureza (Lei nº 13.787/2009), Política Estadual de Enfrentamento às Mudanças Climáticas (Lei nº 14090/2010), Política Estadual de Combate à Desertificação e Mitigação dos Efeitos da Seca (Lei nº 14091/2010), Política Estadual de Educação Ambiental (Lei nº 16.688/2019), Política Estadual de Pagamento por Serviços Ambientais (Lei nº 15.809/2016). \nAtualme\nA transparência e o monitoramento são garantidos pelo aplicativo Plantar Juntos, que georreferencia e acompanha as mudas, e pelos prazos de manutenção definidos nos editais. A governança inclui ainda ações de educação ambiental nas escolas e a priorização da participação de agricultores familiares, quilombolas, indígenas e comunidades tradicionais.\n","Identify and map partners (including vulnerable and/or marginalized groups) and encourage their engagement in multi-partner processes|Use preferential sourcing to support landscape/jurisdictional initiatives that are demonstrating progress|Engage partners on importance of conservation, restoration and/or rehabilitation|Collaborate to maintain representation from all relevant stakeholders within governance structure of initiative|Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)","Yes, progress is monitored using an internally defined framework","Até o presente momento, o programa alcançou o plantio de 248.748 mudas, considerando suas diferentes linhas de atuação (editais Caatinga, Manguezal, doações de mudas oriundas de municípios e empresas). Para dezembro de 2026, estão projetados os seguintes resultados: 1, 514 milhões de árvores plantadas; 7,1 milhões de árvores asseguradas para plantio via editais; 24 milhões de árvores protegidas, por meio de, 1 UC regularizada; 7 UCs criadas; APPs restauradas em bacias hidrográficas, totalizando 24,7 mil novos hectares de áreas protegidas.\nO monitoramento do progresso ocorre atualmente de forma interna pela equipe da SEMAS-PE. Contudo, está prevista a integração dessas informações à plataforma e ao aplicativo Plantar Juntos, desenvolvidos para disponibilizar os dados à sociedade civil, ampliando transparência e participação social."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Programa Estadual de Restauração e Conservação Ecológica,"Na indicação das áreas, poderão ser conjugadas áreas pertencentes a mais de uma unidade de conservação, inclusive de localidades distintas, de modo a viabilizar o desenvolvimento futuro do projeto. Além disso, todos poderão contribuir com as minutas de edital, contrato de PSA e termos de referência para a restauração e para a conservação.",Link: https://semil.sp.gov.br/2025/09/programa-estadual-de-restauracao-e-conservacao-ecologica/,Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,,,,,,
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Vocações Regionais Sustentáveis,Litoral do Paraná,"O Programa de Apoio às Vocações Regionais Sustentáveis (VRS), desenvolvido pela Invest Paraná, é voltado à bioeconomia, unindo a geração de renda à preservação da paisagem. Ele busca fomentar as cadeias de valor e abrir mercados a produtos típicos paranaenses, produzidos de forma sustentável e de maneira tradicional.O programa foi iniciado pelos municípios de Antonina, Morretes e Guaraqueçaba, no Litoral, onde se encontram as áreas mais preservadas da Mata Atlântica paranaense. Na região, as VRSs trabalham os conceitos de turismo de natureza e de base comunitária, além do aproveitamento de produtos regionais, como a banana, mandioca e açaí de juçara.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Financial institution(s)|Local communities,"A iniciativa visa a criação de governança regional por meio da criação de uma marca coletiva, estratégia de associativismo melhor identificada para localidade.","Engage partners on importance of conservation, restoration and/or rehabilitation|Improve sustainability of waste management practices|Support smallholders to clarify and secure land tenure rights|Collaborate on management/ land use planning in the landscape/jurisdiction|Communicate externally the business case for investing in landscapes/jurisdiction","Yes, progress is monitored using a shared external framework: O monitoramento da implementação está disponível no seguinte link: https://www.vrs.org.br/mata-atlantica","O processo de implementação está na estruturação da governança local e a relação dessa com os 25 parceiros definidos para implementação da ação. O progresso é medido tendo como base as etapas definidas pela metodologia Value links, que foi estruturada previamente à implementação."
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Planos Municipais da Mata Atlântica\n\n,"Todas as ações são realizadas com o recorte de regiões hidrográficas. Neste momento quatro regiões tem seus planos concluídos e em fase de implementação (Região dos lagos, Região Noroeste, Mosaico Central Fluminense e Guandu), outras três estão em fase de planejamento (Região Médio Paraíba, Região da Baía de Ilha Grande e Dois Rios) e por fim, uma região (Piabanha) está em execução. ","Instrumentos de planejamento territorial com foco na recuperação e conservação da mata atlântica.\nAtualmente 49 municípios já possuem, 13 têm recurso aprovado e 28 possuem Termo de Referência elaborados.","Other: quatro regiões tem seus planos concluídos e em fase de implementação, outras três estão em fase de planejamento e por fim, uma região está construção do plano.",Governmental fund/subsidies,NGO and/or civil society|Local communities|Private sector|Government,"A Superintendência de Gestão Ecossistêmica (SUPGECOS) e a Assessoria de Cidades Resilientes(ASSCID), vinculadas a Subsecretaria de Mudanças do Clima e Conservação da Biodiversidade (SUBCLIM), da Secretaria de Estado do Ambiente e Sustentabilidade, que coordenam a iniciativa\n","Collaborate on establishing and managing monitoring system(s) for livelihoods and human well-being|Collaborate on establishing and managing monitoring system(s) for biodiversity, habitat fragmentation and/or threats to IUCN Red List species in priority areas|Collaborate on landscape sustainability assessments through participatory mapping|Collaborate on management/ land use planning in the landscape/jurisdiction|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,Programa Olho no Verde,Todo o Estado é monitorado,"O Programa Olho no Verde monitora sistematicamente os principais remanescentes florestais do Estado do Rio de Janeiro para combater o desmatamento ilegal. Os alertas de desmatamento, gerados semanalmente, são posteriormente analisados e encaminhados a gestores e fiscais capazes de verificar o alerta e proceder aos devidos encaminhamentos.\n","Post implementation: Implementation is complete, measurement, monitoring and report of impacts is in progress",Governmental fund/subsidies,Government,Secretaria do Estado do Ambiente Sustentabilidade e Instituto Estadual do Ambiente,"Help establish effective mechanisms for undertaking human rights due diligence, risk management, monitoring, verification, and grievance resolution|Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation","No, but we are planning to monitor and report on progress in the next two years",
