disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Safeguards in place,col2_Web link with additional information about the safeguard,"col3_Explain how the safeguard is implemented, or if there is no safeguard why this is the case"
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Management of Protected Areas,Áreas Naturales Protegidas (ANP) \nhttp://www.sds.yucatan.gob.mx/areas-naturales/sanpy.php,"Actualmente para el estado de Yucatán, se han decretado nueve Áreas Naturales Protegidas Estatales, las cuales protegen un total de 535,245.25 hectáreas, que representan el 14 % del territorio del Estado (SDS, 2019), de las nueve ANPs tres se localizan en la costa y seis en la porción continental del Estado, sumando una superficie total de 171,747.47 ha y 363,497.78 ha respectivamente; debido a los diferentes tipos de ecosistemas que en ellas se albergan, hace necesario desarrollar e implementar estrategias de manejo particulares. La protección de las áreas naturales actualmente representa un instrumento universal de conservación y manejo de recursos renovables y no renovables."
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Land use planning,Programa de Ordenamiento Ecológico del Territorio de Yucatán (POETY)\nhttps://bitacoraordenamiento.yucatan.gob.mx/,"Se establece el “Modelo de Ocupación del Territorio” para el Estado de Yucatán, con base en criterios de racionalidad y de equilibrio entre la eficiencia ecológica y el desarrollo económico-social del sistema territorial. Este modelo es una proyección espacial de una estrategia de desarrollo económico y social que contribuye al diseño de la ocupación del territorio a futuro y al cómo conseguirlo, representando la forma de concretar espacialmente los objetivos ambientales propuestos en términos de sustentabilidad. El modelo incluye la propuesta de usos para el territorio, acorde con sus potencialidades y limitantes y el establecimiento de un sistema de políticas y criterios ambientales de aprovechamiento, protección, conservación y restauración que garanticen el uso racional y la conservación a mediano y largo plazo de los recursos naturales y humanos del Estado. Con base en lo anterior, se establece un Modelo del Programa de Ordenamiento Ecológico del Territorio del Estado de Yucatán que incluye la zonificación funcional o propuesta de usos para el territorio, acorde con sus potencialidades y limitantes, el esclarecimiento de la intensidad de dicha utilización y el sistema de políticas y criterios ambientales de aprovechamiento, protección, conservación y restauración que garanticen la explotación racional y la conservación a mediano y largo plazo de los recursos naturales y humanos en cada región del territorio. El establecimiento del modelo considera la gestión de protección de los recursos naturales, al asignarle a cada área un valor funcional determinado y un régimen de explotación y transformación que lleva implícito medidas de conservación de los diferentes recursos. Al mismo tiempo, su construcción refleja el deseo manifiesto de trabajar por la disminución de las desigualdades socio-espaciales y el incremento sostenido de la calidad de vida de la población residente en el Estado. \nLa elaboración del modelo de ordenamiento considera la propuesta de uso y aprovechamiento que se desea dar al territorio, y se expresa en los mapas de políticas y modelo de uso y aprovechamiento del mismo en donde se ubican\nlas unidades de gestión ambiental. "
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Monitoring systems to inform management of deforestation and/or forest degradation,Incorporación del Estado de Yucatán en el proceso de certificación bajo el estándar ART-TREES.\n\nART - Architecture for REDD+ Transactions. (s.f.). Concept Note - State of Yucatán (Mexico). Recuperado de https://art.apx.com/mymodule/reg/TabDocuments.asp?r=111&ad=Prpt&act=update&type=PRO&aProj=pub&tablename=doc&id1=127\n\n,"Se colabora con instancias de gobierno regional y federal, así como con ONGs y academia para certificar al estado bajo el estándar ART-TREES & LEAF. Actualmente, se ha publicado la nota conceptual para el estado de Yuccatán (https://art.apx.com/mymodule/reg/TabDocuments.asp?r=111&ad=Prpt&act=update&type=PRO&aProj=pub&tablename=doc&id1=127) y se trabaja en el desarrollo de una herramienta de MRV para la cuantificación seguimiento de la cobertura forestal y cambios de uso de suelo en el Estado, así como la estimación de emisiones y remociones de GEI derivados de dicha actividad.\n"
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on improved forest management,Estrategia Estatal de Reducción de Emisiones por Degradación y Deforestación Forestal EERDD+ Jalisco https://portalesmuli.s3.amazonaws.com/semadet/documents/eeredd_final.pdf ,"El Estado de Jalisco ha venido trabajando con las acciones REDD+ desde 2010, culminado la publicación de su estrategia estatal en 2021."
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Jurisdictional approaches or initiatives,https://tabasco.gob.mx/cambio-climatico-estrategia-estatal-de-reduccion-de-emisiones-por-deforestacion-y-degradacion,"Estrategia Estatal de Reducción de Emisiones por Deforestación y Degradación Forestal (EEREDD+ TABASCO)\nEl Gobierno de Tabasco considera que es fundamental consolidar alianzas estratégicas, con el propósito de emprender acciones comunes para revertir los efectos del cambio climático en la entidad. Por ello, continuamos siendo parte del Grupo de Trabajo de Gobernadores por el Clima y el Bosque (GCF Task Force, por sus siglas en inglés), mediante una sinergia que se enfoca en la protección y preservación de los bosques, reducir las emisiones por la deforestación y la degradación forestal, y promover alternativas para el desarrollo rural con bajas emisiones.\nComo resultado de esta alianza logramos acceder a recursos para elaborar la Estrategia Estatal para la Reducción de Emisiones por Deforestación y Degradación Forestal - Tabasco (EEREDD+ Tabasco), la cual nos permitirá lograr el cumplimiento de metas de reducción de emisiones del sector Uso de Suelo, Cambio de Uso de Suelo y Silvicultura (USCUSS), en el territorio estatal.\nObjetivo General\nContribuir a la reducción de las emisiones de gases y compuestos de efecto invernadero, con el fin de fortalecer los sistemas de soporte vital del planeta, necesarios para la vida humana, como el clima y la biodiversidad, con énfasis en la conservación de bosques y selvas, y el aprovechamiento sostenible del recurso suelo.\nObjetivos Específicos\nvi%C3%B1eta1.png Aumentar la capacidad de los sumideros de carbono, mediante acciones de restauración y conservación de los ecosistemas naturales y de su diversidad biológica.\n\nvi%C3%B1eta1.png Fomentar la producción rural sostenible, para mejorar los ingresos de los productores, mediante prácticas de responsabilidad ambiental.\n\nvi%C3%B1eta1.png Brindar incentivos para el mantenimiento de los servicios ecosistémicos.\n\nvi%C3%B1eta1.png Alinear las políticas públicas de bienestar rural, con esquemas de gobernanza, transparencia y respeto a los derechos de las comunidades locales.\n\nvi%C3%B1eta1.png Aplicar las obligaciones legales vigentes en materia ambiental, de los órdenes federal, estatal y municipal, observando la debida articulación con los Objetivos de Desarrollo Sostenible de la Agenda 2030."
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on improved forest management,https://www.semahn.chiapas.gob.mx/portal/desarrollo_forestal,Aplicación de la normatividad para la conservación de los recursos forestales
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional policies on improved forest management,https://www.semahn.chiapas.gob.mx/portal/desarrollo_forestal,"Planeación y programación para la protección, restauración de los recursos forestales"
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Monitoring systems to inform management of deforestation and/or forest degradation,https://maracc.chiapas.gob.mx/,Delimita la frontera forestal agropecuaria para el desarrollo sustentable en el estado de Chiapas
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Management of Protected Areas,https://www.semahn.chiapas.gob.mx/portal/danvs/anp,Garantiza la conservación y protección de los recursos naturales presentes dentro de la Areas Naturales Protegidas del estado de Chiapas
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Jurisdictional approaches or initiatives,https://mrv.kaltimprov.go.id/access-directory,"East Kalimantan Province has prepared several safeguard documents to protect forest areas, these documents include SESA, ESMF, FGRM, IPPF, RPFPF, ESMP, and Retroactive"
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Jurisdictional approaches or initiatives,Implementation Strategy of Emission Reduction (SIPE) Chapter 7,"There are seven safeguards put in place to reduce emissions. Those are (1) eligibility and consistency with national forestry regulation; (2) transparency and effectivity of national forest management; (3) indigenous and local community rights; (4) effectivity and participation of stakeholders; (5) consistency with natural forest conservation and biodiversity; (6) risk of reversal; and (7) emission displacement. According to SIS REDD+ (http://sisredd.menlhk.go.id/index), West Kalimantan has the largest number of REDD+ programmes. There are 25 activities that already implemented the safeguards. Some of safeguards implementations are FIP 1 project, Padang Tikar Village Forest Management Programme, carbon stock enhancement and restoration for Labian Leboyan Corridor."
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on avoided conversion,https://www.rv.hessenrecht.hessen.de/bshe/document/jlr-WaldGHEV5P13,Enforcement via forest offices
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Land use planning,,"Land use planning on multiple levels generally seeks to costrain the amount of natural areas taken for development. In growing regions such as Helsinki-Uusimaa, changes in land use are however noticeable. "
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Jurisdictional approaches or initiatives,https://pastaza.gob.ec/leytransparencia/2017/abril/s/ordenanza_area_ecologica_desarrollo_sostenible_pastaza.pdfhttps://pastaza.gob.ec/baselegal/ordenanzas/126.pdf,Se lo ha realizado en base al art. 322 del COOTAD (Aprobación de ordenanzas de ejecución jurisdiccional)
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on improved forest management,https://www.quebec.ca/gouvernement/ministere/ressources-naturelles-forets/lois-et-reglements/forets\n,"As a collective wealth, public and private forests in Quebec are subject to management based on sustainable development that takes into account wildlife species and their users. Forest management in Quebec is based on a set of legal and administrative provisions and is in constant evolution. Quebec's Sustainable Forest Management Act, in force since April 1st, 2013, marks an important and innovative evolution in forest management. The goal of sustainable forest management is to maintain or improve the long-term health of forest ecosystems in order to provide environmental, economic and social benefits to present and future generations. The main objectives of the forestry regime are as follows:-Ensure the sustainability of the forest heritage through sustainable forest management-Promote an ecosystem-based management as well as an integrated and regionalized management of forest resources and the forested territory-Support the regional forest economy-Promote management based on the formulation of clear and coherent objectives, on the achievement of measurable results and on the accountability of managers and users of the forest territory-Share responsibilities arising from the regime between the Government of Quebec, regional organizations, Indigenous communities and other users of the forest territory-Ensure a follow-up and a control of interventions carried out in the public forests-Sell wood on the open market at a price that reflects its market value-Supply wood processing plants-Develop private forests-Ensure the protection of forests."
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on improved forest management,https://www.legis.ac.gov.br/detalhar/3777,"Existe a Lei Estadual nº1.426/2001 que dispõe sobre a preservação e conservação das florestas do Estado, institui o Sistema Estadual de Áreas Naturais Protegidas, cria o Conselho Florestal Estadual e o Fundo Estadual de Florestas e dá outras providências."
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Targets to address deforestation/forest degradation are set,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/http://semapi.acre.gov.br/wp-content/uploads/sites/20/2021/08/Relatorio-Desmatamento-PRODES-2019_2020_202100811.pdf,"O Governo do Acre tem trabalhado com a gestão ambiental compartilhada, para o desenvolvimento das ações de monitoramento, controle e fiscalização do desmatamento, das queimadas e incêndios florestais, com vistas ao cumprimento das metas estabelecidas nos Planos Estadual e Municipais de Prevenção e Controle do Desmatamento e Queimadas, com o objetivo principal de reduzir o desmatamento ilegal. Para a redução do passivo florestal (Lei n° 12.651 de 2012), o Governo traçou estratégias a partir do Cadastro Ambiental Rural - CAR e da implementação do Plano de Regularização Ambiental - PRA. Para a promoção do desenvolvimento socioeconômico, respeitando a legislação, conservando as florestas, são apoiados os Projetos de Incremento Produtivo Comunitários - IPCs, os Planos de Gestão Territorial Indígena - PGTIs, as Concessões florestais, o Manejo florestal madeireiro e o Manejo não madeireiro nas florestas estaduais, tendo como referência o Zoneamento Ecológico-Econômico do Estado - ZEE. Através do Centro Integrado de Geoprocessamento e Monitoramento Ambiental - Cigma, que reúne a Unidade Central de Geoprocessamento e Sensoriamento Remoto do Estado do Acre - Ucegeo, a Unidade de Situação de Monitoramento Hidrometeorológico, Escritório Técnico de Gestão do CAR e PRA e a Divisão de Geoprocessamento (DIGEO) do Instituto de Meio Ambiente do Acre (IMAC), é realizado o monitoramento do uso e cobertura da terra com foco na degradação por desmatamento e queimadas, além do monitoramento das condições hidrometeorológicas das principais bacias hidrográficas do estado. A Ucegeo tem realizado desde a sua criação o monitoramento das alterações na cobertura do solo com ênfase em desmatamento e cicatrizes de queimadas para o território do estado do Acre, acompanha o incremento do desmatamento com Imagens Landsat em uma série histórica com base no ano de 1988, utilizando imagens Sentinel e Planet para o monitoramento de cicatrizes de queimadas, além dos dados de suporte do Instituto de Pesquisas Espaciais - Inpe (Prodes e Deter B), e mais recentemente do MAPBiomas. Este relatório tem como objetivo analisar a dinâmica do desmatamento no estado do Acre para ano florestal 2019/2020, utilizando os dados do Projeto de Monitoramento da Floresta Amazônica Brasileira por Satélite - Prodes (Inpe). "
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Monitoring systems to inform management of deforestation and/or forest degradation,http://terrabrasilis.dpi.inpe.br/app/dashboard/deforestation/biomes/legal_amazon/rates.,Acompanhamento anual do desmatamento pelo PRODES e implementação dos PPCDQ's (Plano Estadual de Prevenção e Controle do Desmatamento e das Queimadas) na área de jurisdição do Estado do Acre.
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on improved forest management,"Lei Complementar nº 233, de 21 de dezembro de 2005, que dispõe sobre a Política Florestal do Estado de Mato Grosso e dá outras providências.","A implementação da Lei Complementar nº 233/2005 em Mato Grosso é feita por meio de ações de fiscalização, monitoramento e fomento à exploração florestal sustentável realizadas pela Secretaria de Estado do Meio Ambiente (SEMA) e outros órgãos do governo, com foco no controle da origem dos produtos florestais através da Guia Florestal (GF/MT) e na fiscalização das atividades de desmatamento e exploração. A lei tem sido alterada, mais recentemente pela LC nº 698/2021, para se adaptar às necessidades da política florestal do estado, visando combater o desmatamento ilegal e a exploração florestal ilegal. "
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,National laws on improved forest management,"Lei n. 12.651/2012, Política Florestal Brasileira, http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm","A Lei 12.651, de 25 de maio de 2012, também conhecida como novo \'Código Florestal\', estabelece normas gerais sobre a Proteção da Vegetação Nativa, incluindo Áreas de Preservação Permanente, de Reserva Legal e de Uso Restrito; a exploração florestal, o suprimento de matéria-prima florestal, o controle da origem dos produtos florestais, o controle e prevenção dos incêndios florestais, e a previsão de instrumentos econômicos e financeiros para o alcance de seus objetivos. Uma das inovações da Lei é a criação do Cadastro Ambiental Rural (CAR) e a previsão de implantação do Programa de Regularização Ambiental (PRA) nos Estados e no Distrito Federal. Com o CAR, será possível ao Governo Federal e órgãos ambientais estaduais conhecerem não apenas a localização de cada imóvel rural, mas também a situação de sua adequação ambiental; o PRA, por sua vez, permitirá que os estados orientem e acompanhem os produtores rurais na elaboração e implementação das ações necessárias para a recomposição de áreas com passivos ambientais nas suas propriedades ou posses rurais, seja em Áreas de Preservação Permanente, de Reserva Legal ou de Uso Restrito."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Regional laws on avoided conversion,"Lei n. 9878/2013, que cria o Sistema Estadual de Redução de Emissões por Desmatamento e Degradação Florestal, Conservação, Manejo Florestal Sustentável e Aumento dos Estoques de Carbono Florestal - REDD+ no Estado de Mato Grosso e dá outras providências.","A Lei nº 9.878/2013 tem como objetivo criar instrumentos para incentivar a conservação da floresta e regulamentar a venda de créditos de carbono, visando recompensar quem mantém a mata nativa em pé. Os principais pontos da lei são: \nCriação de um sistema estadual para reduzir as emissões de gases de efeito estufa causadas pelo desmatamento e degradação florestal.\nIncentivo à conservação e ao aumento dos estoques de carbono florestal. Criação do Conselho Gestor do Sistema Estadual de REDD+, instância que delibera sobre os programas de REDD+ em execução no estado. A implementação da Lei nº 9.878/2013 em Mato Grosso gerou desdobramentos importantes, incluindo a criação de programas e políticas complementares:\nPrograma Carbono Neutro MT: Em 2021, o estado criou esse programa para fortalecer as ações de desenvolvimento sustentável e combate às mudanças climáticas.\nPolítica Estadual de Mudanças Climáticas: A Lei Complementar nº 582/2017 foi criada para complementar a política ambiental do estado.\nPrograma de Serviços Ambientais (PSA): Existem projetos em estudo para a implantação de programas de pagamento por serviços ambientais em municípios do estado, em linha com a legislação de REDD+.\nRedução do desmatamento: Entre 2006 e 2011, antes da sanção da lei, o estado já havia reduzido o desmatamento, e a lei fortaleceu o quadro regulatório para continuar essa tendência.\nReuniões e articulações: Entidades como o Crea-MT, Federação dos povos indígenas de MT e associações de classe discutem a implementação da Lei de REDD+, reforçando a defesa de leis e programas ambientais. \nA implementação da lei de REDD+ é um processo contínuo e em constante evolução no estado, que serve de base para outras ações e programas voltados à sustentabilidade e à mitigação das mudanças climáticas."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Management of Protected Areas,"Decreto n. 1795/1997, que dispõe sobre o sistema estadual de unidades de conservação e dá outras providências.","Criação de UCs: O decreto viabilizou a criação de um sistema de unidades de conservação dentro do estado, o que envolveu a definição de categorias de manejo, como as de proteção integral e de uso sustentável. \nConsolidação do Sistema: A implementação implicou na consolidação da gestão dessas áreas pelo governo estadual, garantindo que elas fossem efetivamente estabelecidas e que suas funções de proteção e desenvolvimento sustentável pudessem ser cumpridas. \nBenefícios e Objetivos: A implementação do sistema contribuiu para a proteção de espécies ameaçadas, a manutenção de ecossistemas e o respeito ao conhecimento de comunidades tradicionais. \nHarmonização com o SNUC: O sistema estadual, regido pelo Decreto n. 1.795/1997, opera em harmonia com o Sistema Nacional de Unidades de Conservação (SNUC), estabelecido pela Lei nº 9.985/2000, que define um padrão nacional para a gestão das UCs. "
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Targets to address deforestation/forest degradation are set,"Metas do PPCDIF, Estratégia PCI e Programa Carbono Neutro MT. Decreto n. 1160/2021","Principais pontos do decreto: Criação do Programa: Institui o Programa \'Carbono Neutro MT\' no âmbito do Estado de Mato Grosso. \nAdesão à \'Race to Zero\': Dispõe sobre a adesão de Mato Grosso à campanha \'Race to Zero\' da Convenção-Quadro das Nações Unidas sobre Mudança do Clima. \nMetas Voluntárias: Fixa metas voluntárias para a redução do desmatamento ilegal e a recuperação de áreas degradadas. \nPlano de Ação: Institui o Plano de Ação para Prevenção e Controle do Desmatamento e Incêndios Florestais (PPCDIF-MT). Os principais objetivos são: Objetivos principais:\nNeutralidade de Carbono: O principal objetivo é alcançar a neutralidade de carbono do estado até 2035. \nRedução do Desmatamento: Reduzir o desmatamento ilegal e incentivar a recuperação de áreas degradadas. \nDesenvolvimento Sustentável: Fortalecer ações que contribuem para um desenvolvimento sustentável em Mato Grosso. A implementação se dá por meio da execução do PPCDIF (Plano de controle e combate ao desmatamento e incêndios florestais), de programas de redd+ e outras políticas relacionadas."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,Jurisdictional approaches or initiatives,"Estratégia Produzir, Conservar e Incluir (PCI), Decreto n° 468, de 31 de março de 2016","A implementação da estratégia Produzir, Conservar e Incluir (PCI) em Mato Grosso envolve a criação de parcerias estratégicas entre governo, setor privado e sociedade civil, visando aumentar a produção agropecuária e florestal de forma sustentável, promover a conservação da vegetação nativa e recompor áreas degradadas, e incluir a agricultura familiar e as comunidades tradicionais no desenvolvimento econômico. A estratégia, lançada em 2015, utiliza a abordagem jurisdicional para coordenar ações em municípios e propriedades rurais, estabelecer metas claras e prioridades consensuais, e conectar-se com mercados e mecanismos de financiamento para alcançar um desenvolvimento socioeconômico de baixo carbono. Parcerias e Coalizões: Construção de coalizões fortes e resiliientes com participação inclusiva de diversos setores. \nDiagnóstico e Metas: Realização de diagnósticos de iniciativas e estabelecimento de metas claras e prioridades consensuais. \nAbordagem Jurisdicional: A estratégia atua em uma jurisdição territorial, englobando múltiplos municípios e promovendo a colaboração para alcançar objetivos comuns. \nFinanciamento e Mercados: Conexão com mercados e mecanismos de financiamento para viabilizar a sustentabilidade financeira dos projetos. \nAções em Municípios: A PCI tem projetos e ações implementadas em diversos municípios, que formalizam Pactos PCI para avançar nas metas no território. Mais informações em <https://pcimt.org/>."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,9,Row 9,Long-term forest management/protection/conservation plans,"Plano de Prevenção e Controle do desmatamento e incêndios florestais de Mato Grosso. PPCDIF, Decreto n. 1160/2021.","Em Mato Grosso, a implementação do Plano de Combate e Controle do Desmatamento Ilegal e Incêndios Florestais (PPCDIF/MT) ocorre por meio de ações anuais coordenadas pelo Comitê Estratégico (CEDIF). Para 2025, o plano foi reforçado com um aumento significativo de investimentos e medidas preventivas e repressivas. \nInvestimentos e estrutura para 2025\nO plano de 2025 recebeu um investimento de mais de R$ 125 milhões, um aumento de 68% em relação ao ano anterior. Esse montante é aplicado em diversas frentes: \nAquisição de novos equipamentos e tecnologias para fiscalização.\nCusteio e locação de aeronaves, veículos e outros maquinários.\nContratação de pessoal, como brigadistas e equipes especializadas. \nEixos de atuação do plano\nA implementação do plano se baseia em ações preventivas, repressivas e de responsabilização. \nAções preventivas: Incluem a realização de aceiros (limpeza de faixas de terreno) em unidades de conservação e em áreas de alto risco, além de campanhas educativas.\nMonitoramento e fiscalização: Utilização de imagens de satélite e sistemas digitais para identificar focos de calor e desmatamento, otimizando as ações de fiscalização e combate.\nCombate a incêndios: Reforço das equipes do Corpo de Bombeiros, que recebeu novas viaturas em 2025. A frota é complementada por aeronaves e máquinas da Secretaria de Infraestrutura (SINFRA).\nCombate ao desmatamento ilegal: Fiscalização e apreensão de cargas de madeira ilegal. No primeiro semestre de 2025, houve um aumento de 2.104% no volume de madeira apreendida em comparação com 2024, evidenciando a intensificação da repressão aos crimes ambientais.\nResponsabilização de infratores: Endurecimento das leis para punir o desmatamento ilegal, incluindo a suspensão do Cadastro Ambiental Rural (CAR), inscrição em cadastro de infratores e proibição de benefícios fiscais. \nResultados e parcerias\nA implementação do PPCDIF/MT tem demonstrado resultados, especialmente na redução de incêndios florestais. O plano é desenvolvido em parceria com instituições federais e, em 2025, a Secretaria de Infraestrutura (CINFRA) passou a integrar o comitê, ampliando o apoio logístico. \nAções específicas em 2025 incluem: \nParceria com produtores rurais, que podem auxiliar no combate a incêndios com sua estrutura.\nDeclaração de emergência ambiental e período proibitivo de queimadas, com aplicação de multas mais severas. "
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,10,Row 10,Regional policies on avoided conversion,"PPCDIF e Carbono Neutro MT, Decreto n. 1.160/2021",
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,11,Row 11,Regional laws on avoided conversion,"Lei complementar n. 582/2017, que institui a Política Estadual de Mudanças Climáticas e dá outras providências.",
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,12,Row 12,Regional laws on avoided conversion,"Lei nº 12.829, de 27 de março de 2025, que Institui a Política Estadual dos Serviços Ambientais.",
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on avoided conversion,Política Florestal do Estado de Pernambuco - https://legis.alepe.pe.gov.br/texto.aspx?id=1943&tipo=TEXTOATUALIZADO\n\nSistema Estadual de Unidades de Conservação da Natureza - SEUC - https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=1&numero=13787&complemento=0&ano=2009&tipo=&url=,"Política Florestal de Pernambuco (Lei nº 11.206/95) é responsável pelo gerenciamento da proteção e uso das florestas e demais formas de vegetação visando melhorar e recuperar a qualidade ambiental propícia à vida e assegurar condições ao desenvolvimento sustentável.\n\nO Sistema Estadual de Unidades de Conservação da Natureza - SEUC (Lei nº 13.787/2009) estabelece critérios e normas para a criação, implantação e gestão das Unidades de Conservação. São 90 Unidades de Conservação estaduais (UCs), sendo 43 de proteção integral e 47 de uso sustentável. De 2015 a 2020, o Governo de Pernambuco ampliou as áreas de preservação ambiental em 297 mil hectares."
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,National laws on avoided conversion,Proteção da vegetação nativa - \nhttp://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm\n\nLei da Mata Atlântica - \nhttp://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11428.htm,"O código florestal brasileiro (Lei 12.651/2012) trata da preservação de áreas com a função ambiental de preservar os recursos hídricos, a paisagem, a estabilidade geológica e a biodiversidade.\n\nA Lei da Mata Atlântica, nº 11.428/2006, regulamenta a proteção e uso da biodiversidade e recursos dessa floresta."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional policies on improved forest management,Link 1: https://semil.sp.gov.br/sma/conciliacao-ambiental/\n\nLink 2: https://semil.sp.gov.br/sma/sp-sem-fogo/\n\nLink 3: https://semil.sp.gov.br/sma/mananciais/\n\nLink 4: https://semil.sp.gov.br/sma/mais/,
