disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Government operations emissions inventory attachment,col2_Government operations emissions inventory link,col3_Year covered by inventory,col4_Boundary,col5_Gases included in the inventory,col6_Primary protocol,col7_Emissions sources included,col8_Has the inventory been audited/verified?,col9_Comment
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://sfenvironment.org/carbonfootprint; https://www.sfenvironment.org/san-franciscos-climate-storyboard,2022,"Departments, entities or companies over which operational control is exercised",N2O|CO2|CH4,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Subway / underground|Municipal vehicle fleet|Maritime port|Thermal energy|Buses|Buildings|Street lighting and traffic signals|Airport(s)|Wastewater treatment,"Yes, internally audited / verified (self-verification)","San Francisco began reporting department level GHG emissions in Fiscal Year 2008-2009. We track emissions generated from stationary and mobile combustion, electricity, and steam purchases. Beginning in FY 2011-2012, SF also reported estimated wastewater emissions. The city reports on a limited set of scope 3 emissions: fugitive emissions related to natural gas distribution (upstream and downstream), and electricity transmission and distribution loss emissions. Electricity for municipal buildings and operations is provided primarily by the Public Utilities Commission (SFPUC) and comes from our municipally-owned and operated hydro-electric dam at Hetch Hetchy. Natural gas is provided by Pacific Gas & Electric (PG&E) but billed through SFPUC. Data is obtained primarily from SFPUC Power and Water, GSA Fleet Management - Central Shops, the Real Estate Division, the Municipal Transportation Agency and PG&E. Additional data is collected from departments that obtain vehicle fuel or building energy outside of these sources. These departments include Recreation and Parks, the Port, the airport (SFO), and others. Data from all sources are consolidated into a database. Each year, the Environment Department (SFE) presents energy, vehicle fuel and water use data, along with associated GHG emissions, for each department via a dashboard. Energy data is broken out by electricity, natural gas and steam. Fuel data is broken out into diesel, biodiesel, gasoline, LPG, and CNG. Department climate liaisons review and verify the data, and notify SFE and relevant departments, if corrections need to be made. There are over 70 climate liaisons who work with fleet managers, facility engineers and managers, etc., to supply and verify data. Emissions are calculated per LGOP guidelines and emission factors for each dept. The GHG emissions for each dept are added together to obtain the total for the City and County of San Francisco (CCSF). Starting inventory year 2015, the emissions from this municipal operations inventory is a subset of and is thus aggregated into community-wide emissions. This allowed CCSF to align communications of municipal and community-wide emissions. Public Transportation from city owned/operated buses and light-rail run by the SFMTA (aka MUNI) is also included in this municipal inventory. Emissions from MUNI's bus and light rail are reflected and broken out when aggregated into community-wide emissions under the Public Transportation subsector."
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"2024년도 배출량 인증 통보서(1장).pdf,붙임. 2023년도 배출량 인증 통보서.pdf",http://www.gir.go.kr/home/index.do?menuId=37 ,2024,"Other: incinerators. landfills, sewage centers and others that are subject to the national GHG emission trading schmeme",CH4|N2O|HFCs|SF6|PFCs|CO2,Other: National guidelines on reporting and verification for GHG emission trading scheme,Water supply|Wastewater treatment|Incineration of waste|Landfills,"Yes, externally audited / verified (third-party verification)",none
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Government operations emissions inventory.xlsx,https://docs.google.com/spreadsheets/d/1Rn63657Al6iaqdo9UDdjZ86tcG5h1z5rUbVhQDlPqP4/edit?usp=sharing,2022/2023,"Departments, entities or companies over which operational control is exercised",N2O|CO2|CH4,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Street lighting and traffic signals|Buildings|Municipal vehicle fleet|Buses,"No, not audited / verified","Link to most recent inventory and methodology from FY23. Data included in question 3.3.2 corresponds to this data. \n\nComplete FY23 energy data for Public Health Commissions was not available by the submission deadline. Specifically, FY23 gasoline and diesel. FY22 energy usage data for these fields were applied to FY23 to complete the inventory. We will update the final FY23 totals when the data are made available."
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Local Government GHG inventory.xlsx,"The Local Government GHG emissions are included within the city-wide GHG inventory - as institutional. We have attached an Excel sheet, which has the breakdown of calculations for Local Government sectors. This level of detail is not included within the city-wide inventory and is presented as a time series 2012-2023.",2023,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Water supply|Wastewater treatment|Buses|Municipal vehicle fleet|Buildings|Street lighting and traffic signals,"Yes, internally audited / verified (self-verification)",The City of Cape Town has electricity AMI meters in 61% of facilities metering 90% of consumption. Non-metered facilities are estimated using a robust benchmark methodology for facility types and known gross floor areas for non-metered facilities. Fuel volumes are also accessible on City data systems.
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,2022 Cleveland Government Operations GHG Inventory.xlsx,,2022,"Departments, entities or companies over which operational control is exercised",CH4|CO2|HFCs|SF6|N2O,,Municipal vehicle fleet|Employee commuting (scope 3)|Employee business travel (scope 3)|Wastewater treatment|Thermal energy|Electricity transmission and distribution|Water supply|Airport(s)|Street lighting and traffic signals|Employee commuting|Buildings|Waste collection,"Yes, internally audited / verified (self-verification)",
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,City of Dallas 2019 GHG Summary Table.xlsx,,,,,,,,
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,eThekwini 2023 CIRIS.xlsx,eThekwini 2023 CIRIS attached,2023,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Employee commuting|Landfills|Electricity transmission and distribution|Buildings|Buses,"Yes, internally audited / verified (self-verification)",None
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,National Atmospheric Emission Inventory is done on annual basis ,2021/2022,"Departments, entities or companies over which operational control is exercised",N2O|CO2,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Thermal energy|Incineration of waste|Electricity generation,"Yes, internally and externally audited / verified",This is audited by National Department
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"eCRF_Export_FORTALEZA_2020.xlsx,eCRF_Export_FORTALEZA_2021.xlsx",https://drive.google.com/drive/folders/12YEXvs3HgPs3qyLnncXL8aeG0xRG39Cx,2021,"Departments, entities or companies over which operational control is exercised",N2O|CH4|CO2,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Electricity transmission and distribution|Waste collection|Municipal vehicle fleet|Electricity generation|Buses|Incineration of waste|Local trains|Landfills,"Yes, externally audited / verified (third-party verification)","Os inventários de emissões de GEE de Fortaleza de 2020 e 2021, elaborados segundo a metodologia do GPC (ICLEI, WRI e C40), incluem as emissões das operações do governo municipal. Foram contabilizadas atividades como consumo de energia elétrica em prédios e equipamentos públicos (dados ENEL), uso de gás natural (CEGÁS) e combustíveis adquiridos (ANP), além da gestão de resíduos sólidos e efluentes (SCSP, ACFOR, CAGECE e Ecofor Ambiental). Esses inventários passaram por auditoria técnica do C40 em 2025. No campo de anexo foram disponibilizadas as tabelas eCRF referentes ao inventário mais recente (2020/2021)."
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,2023 LGO - City of Miami - Scope and Sector.csv,No public link at this time.,2023,"Departments, entities or companies over which operational control is exercised",N2O|CO2|CH4,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Municipal vehicle fleet|Street lighting and traffic signals|Buildings|Employee commuting|Local trains,"No, not audited / verified",2023 ICLEI Clearpath report attached by scope and sector. 
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Informe GEI 2024.pdf,NA,2024,"Departments, entities or companies over which operational control is exercised",HFCs|CH4|N2O|CO2|PFCs,ISO 14064,Buildings|Municipal vehicle fleet|Thermal energy|Waste collection,"Yes, externally audited / verified (third-party verification)",Inventario desarrollado y verificado según estándares ISO 14064. Actualización 2024 en proceso de verificación.
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://www.phoenix.gov/content/dam/phoenix/oepsite/documents/ghg-inventories/final-2022-government-ops-ghg-report-english-08132024.pdf \n\nhttp://phoenix.gov/content/dam/phoenix/oepsite/documents/climate/cdp/FINAL_2022_City_Of_Phoenix_GovOps_ENGLISH_08132024.xlsx,2022,"Departments, entities or companies over which operational control is exercised",N2O|CH4|CO2,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Buildings|Waste collection|Water supply|Electricity transmission and distribution|Wastewater treatment|Street lighting and traffic signals|Landfills|Buses|Municipal vehicle fleet|Employee commuting|Employee commuting (scope 3)|Airport(s)|Electricity generation|Waste related emission sources (scope 3),"Yes, internally audited / verified (self-verification)",An updated 2022 greenhouse gas emissions inventory was completed for City of Phoenix government operations in 2024. 
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,City Carbon Footprint 2023 - Municipality.docx,Data for government operations Includes in the 2023 CIRIS ,2023,"Departments, entities or companies over which financial control is exercised",N2O|CO2|CH4,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Municipal vehicle fleet|Street lighting and traffic signals|Buildings,"Yes, externally audited / verified (third-party verification)","A GHG emissions inventory survey was conducted in 2023. As required, the next survey will be conducted in 2026, utilizing data from 2025."
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Inventaire GES activités municipales MTL 2023-V3 (1).pdf,https://mtl.ged.montreal.ca/constellio/?collection=mtlca&portal=REPDOCVDM#!displayDocument/00000114014,2023,"Departments, entities or companies over which operational control is exercised",N2O|CO2|NF3|SF6|PFCs|CH4|HFCs,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Waste collection|Water supply|Buildings|Municipal vehicle fleet|Landfills|Street lighting and traffic signals|Wastewater treatment,"No, not audited / verified",-
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Hyderabad_Local Government Inventory_CDP_GHG Inventory_2022_23.xlsx,https://docs.google.com/spreadsheets/d/1deVlWBxDVcJUjLNRWN2K8rKtZu_naolK/edit?usp=sharing&ouid=102211542208476293707&rtpof=true&sd=true,2022/2023,"Departments, entities or companies over which operational control is exercised",N2O|CH4|CO2,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Buildings|Street lighting and traffic signals|Wastewater treatment|Water supply|Municipal vehicle fleet,"Yes, internally audited / verified (self-verification)",
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,greengovsg-report-fy2023.pdf,Government operations emissions can be found in the GreenGov.SG report at this link https://www.greenplan.gov.sg/key-focus-areas/green-government/,2023/2024,"Departments, entities or companies over which operational control is exercised",CH4|CO2|N2O,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Incineration of waste|Wastewater treatment|Buses|Water supply|Airport(s)|Maritime port|Buildings|Electricity generation|Municipal vehicle fleet|Local trains|Street lighting and traffic signals|Subway / underground|Regional trains,"No, not audited / verified","Scope of coverage includes public sector buildings and premises, and transport and utilities infrastructure operated by government. Emissions is further broken down into Ministry-level data in the GreenGov.SG report."
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Rapport d'enquete sur l'accés à l'énergie_Ménage_Ville de Dakar.pdf,n/a,2020,"Departments, entities or companies over which operational control is exercised",CO2|CH4|N2O,"Other: Méthodologie d'audit énergétique qui a permis d'estimer la puissance installée, la puissance requise, consommation d'énergie et les émissions de GES correspondantes ainsi que l'estimation des économies d'énergie et des coûts.",Buildings,"Yes, internally audited / verified (self-verification)","NB: Cette étude d'audit énergétique a été réalisé sur un échantillon représentatif de 6 bâtiments gérés par la ville. Ces bâtiments comprennent un lot de bâtiments administratifs, infrastructures sportives et culturelles, etc. "
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,LIS GHG GovOper 20_20230719.xlsx,https://lisboaenova-my.sharepoint.com/:x:/g/personal/admin_lisboaenova_org/EbyLxEqfW9dHpUkjM_MizqwBDEY3zA5BMhdgbU0n5z4WaA?e=QrHwQ4,2020,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,Other: GHG Protocol Corporate Standard + Scope 3 Value Chain Standard,Electricity transmission and distribution|Municipal vehicle fleet|Street lighting and traffic signals|Buildings,"No, not audited / verified",Last inventory available for government operations is still the 2020 inventory
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,MDMQ-InformeHuellas.pdf,MDMQ-Informe huellas,2012,"Departments, entities or companies over which operational control is exercised",CH4|CO2|N2O,ISO 14064,Municipal vehicle fleet|Buildings,"No, not audited / verified",No se ha actualizado este informe.
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"2024-08-29 Auckland Council Greenhouse Gas Inventory Report 2024.pdf,Assessment_Report_2324_Auckland Council_Verification Only_Org.pdf",Auckland Council Operations,2023/2024,"Departments, entities or companies over which operational control is exercised",CH4|NF3|PFCs|N2O|CO2|HFCs|SF6,ISO 14064,Employee commuting (scope 3)|Waste related emission sources (scope 3)|Electricity transmission and distribution|Wastewater treatment|Employee business travel (scope 3)|Employee commuting|Buildings|Water supply|Waste collection|Thermal energy|Emissions from contracted services (scope 3)|Municipal vehicle fleet|Landfills|Electricity generation,"Yes, externally audited / verified (third-party verification)","Auckland Council obtained verification that our inventory was measured in accordance with ISO 14064-1:2018, with respect to the operational activities of its organisation including the Auckland Council and excluding contractor activities and Council Controlled Organisations."
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,2023 Emissions - Summary City Wide Emissions.pdf,,2023,"Departments, entities or companies over which operational control is exercised",CO2|CH4|N2O,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Electricity generation|Water supply|Waste collection|Electricity transmission and distribution|Landfills|Wastewater treatment,"Yes, externally audited / verified (third-party verification)",
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,국가 온실가스 인벤토리(1990-2022) 요약.pdf,https://www.gir.go.kr/home/index.do?menuId=36,2024,"Departments, entities or companies over which operational control is exercised",N2O|HFCs|CH4|PFCs|CO2|SF6,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Buildings|Buses|Regional trains|Thermal energy|Landfills|Waste collection|Wastewater treatment|Subway / underground|Local trains|Street lighting and traffic signals|Incineration of waste|Water supply|Roads / highways,"Yes, externally audited / verified (third-party verification)","1. Basis\n - In accordance with the Basic Act on Carbon Neutrality and Green Growth for Climate Crisis Response (Articles 11-12) and its Enforcement Decree (Articles 6-7), Daegu Metropolitan City is required to establish a regional carbon neutrality and green growth plan.\n\n2. Objectives\n - Support Korea's 2030 national greenhouse gas reduction target by creating a city-specific roadmap aligned with the 2050 Carbon Neutral Scenario and the 2030 NDC.\n - Establish a comprehensive plan and management system across eight key areas—climate environment, citizen life, circular economy, forestry/agriculture, economy/industry, energy transition, green transportation, and urban planning.\n - Set reduction targets and policy measures tailored to Daegu's regional characteristics through systematic evaluation and citizen participation."
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Ahmedabad_Government Inventory_CDP Reporting Summary_2021-22.xlsx,Ahmedabad_Government Inventory_CDP Reporting Summary_2021-22,2021/2022,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,"Other: Other, please specify",Buildings|Municipal vehicle fleet|Street lighting and traffic signals|Water supply|Wastewater treatment,"Yes, internally audited / verified (self-verification)",
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Tshwane 2022-23 GHGEI.xlsx,Inventory is attached,2022/2023,"Departments, entities or companies over which operational control is exercised",N2O|CO2|CH4,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Buildings|Electricity generation|Landfills|Buses,"Yes, externally audited / verified (third-party verification)","Our GHGEI is all encompassing but has not dissected government operations emissions, thus we do not have specific carbon footprint figure emitted by government / government organisations. "
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,20221122_TERESINA_PROD2_INVENTARIO_DE_EMISSOES_VF.pdf,https://drive.google.com/file/d/1wFsOnUR8DVPYz5kqrUpX44JkVAcDtYAN/view,2019/2020,Other: O consumo de energia pelo setor público é composto por duas subcategorias: institucional e iluminação pública.,CH4|PFCs|N2O|CO2|HFCs|SF6|NF3,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Electricity transmission and distribution,"Yes, externally audited / verified (third-party verification)","O consumo de energia pelo setor público é composto por duas subcategorias:\ninstitucional e iluminação pública. Em 2018, o consumo de energia elétrica\ninstitucional foi responsável 80 ktCO2e e a iluminação pública por 23 ktCO2e,\nrepresentando respectivamente 13% e 4% das emissões relacionadas ao\nconsumo de energia elétrica. No ano seguinte (2019), as emissões pelo consumo\nde energia elétrica pelo poder público foram de 82 ktCO2e (institucional) e 23\nktCO2e (iluminação pública), 13% e 4% respectivamente.\nEm 2020, as emissões da subcategoria institucional foram de 53 ktCO2e (10%)\ne da iluminação pública equivaleram a 20 ktCO2e (4%)."
2025 Disclosure Cycle,779465,CDP,54298,Dalian Municipal People's Government,City,China,China,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,大连市生态环境局碳排放核算报告（2023年度）24.8.29-定稿（盖章）.pdf,无,2023,"Departments, entities or companies over which operational control is exercised",CO2,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Electricity transmission and distribution|Municipal vehicle fleet,"No, not audited / verified",无
2025 Disclosure Cycle,779465,CDP,54305,Rajkot Municipal Corporation,City,India,India,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Rajkot_Local Government Inventory_CDP_GHG Inventory_2021_22.xlsx,https://docs.google.com/spreadsheets/d/1boAVkQQzqCOm0MIah6jDrnBN786MzU0U8WaFsmrlc2Y/edit?usp=sharing,2021/2022,Other: RMC's Jurisdiction Boundary,CH4|N2O|CO2,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Water supply|Municipal vehicle fleet|Wastewater treatment|Buildings|Street lighting and traffic signals,"Yes, internally audited / verified (self-verification)",
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"(4.6) 24.08.2024 Laporan Akhir GRK Kota Medan_2024.pdf,Pemantauan Emisi Tdk Bergerak.pdf,Pemantauan Udara Roadside.pdf","Pemantauan udara roadside dilakukan untuk memantau kualitas udara ambien di sekitar daerah tepi jalan raya di Kota Medan\n\nPemantauan emisi tidak bergerak adalah kegiatan pemantauan sumber emisi tidak bergerak yang bersumber dari pelaku industri/usaha yang ada di Kota Medan, yaitu mesin boiler ataupun mesin genset\n\nhttps://drive.google.com/file/d/1OOxBFuUms-NugqVg2SImQB_CvDN_Pa9W/view?usp=drive_link",2024,"Departments, entities or companies over which operational control is exercised",CH4|N2O|PFCs|CO2|HFCs|SF6,Greenhouse Gas Protocol: Public Sector Standard,Municipal vehicle fleet|Landfills|Incineration of waste,"No, not audited / verified","Inventarisasi Emisi GRK Kota Medan Tahun 2019-2023 merupakan upaya Pemerintah Kota Medan untuk menghitung sumber-sumber GRK di Kota Medan.\n\nEmisi Gas Rumah Kaca Kota Medan tahun 2023 mencapai 5.604,6 Gg CO2eq dengan proporsi sumber emisi terbesar dari sector Pengadaan dan Penggunaan Energi mencapai 4.732,18 Gg CO2eq (84,43%), sektor Limbah sebesar 531,99 Gg CO2eq (9,49%). Sementara itu untuk sektor AFOLU 280,08 Gg CO2eq (5%), dan sektor IPPU\n(1%).\n\nBesaran emisi Gas Rumah Kaca Kota Medan dalam kurun waktu 5 (lima) tahun 2019-2023 mengalami tren naik sebesar 0,04%. Tren kenaikan tersebut dipengaruhi oleh sektor AFOLU yang mengalami kenaikan sebesar 213,47 Gg CO2eq dan sektor limbah mengalami kenaikan emisi sebesar 14%. Sementara itu, untuk sektor IPPU dan AFOLU mengalami tren turun tetapi tidak signifikan.\n\nDalam kurun waktu 2019-2023, emisi tertinggi dihasilkan pada tahun 2022 sebesar \n6.824,7 CO2eq, kemudian di tahun 2020 karena adanya pandemi COVID-19 dan pembatasan kegiatan masyarakat maka terjadi penurunan emisi menjadi 6.824,7 CO2eq. Penurunan tersebut terjadi di sektor pengadaan dan penggunaan energi.\n\nSumber emisi Gas Rumah Kaca dengan kontribusi tertinggi berdasarkan urutan kegiatan di Kota Medan tahun 2023 meliputi: \n(1) kegiatan Transportasi 43,62%,\n(2) kegiatan Kelistrikan dan Hasil Pembakaran Bahan Bakar 29,67%, \n(3) Industri Manufaktur 12,46%, \n(4) Residensial 12,44%, dan\n(5) Industri Kimia 0,80%."
2025 Disclosure Cycle,779465,CDP,54310,Government of Palembang,City,South East Asia & Oceania,Indonesia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Draft Laporan IGRK 2024 utk DLHP Provinsi 07 (1).docx,https://drive.google.com/file/d/1pO-mIvE9dYU0h_fLuyWGBK0VS7OFjGHC/view?usp=sharing,2023,"Departments, entities or companies over which operational control is exercised",CH4|N2O|CO2,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Electricity generation|Roads / highways|Buildings|Landfills,"No, not audited / verified","Laporan inventarisasi gas rumah kaca dikota Palembang telah dilakukan setiap tahun sejak tahun 2022, dan laporan tersebut disampaikan kepada pemerintah propinsi sumatera selatan, selajutkan untuk dilaporkan ke pemerintah pusat, sebagai bagian dari aksi nyata kontribusi kota palembang dalam turut serta menurunkan emisi di kota palembang"
2025 Disclosure Cycle,779465,CDP,54337,Greater Amman Municipality,City,UKWW,Jordan,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://www.undp.org/jordan/publications/jordans-fourth-national-communication-climate-change,2023,"Departments, entities or companies over which operational control is exercised",PFCs|HFCs|CO2|CH4|N2O|SF6|NF3,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Landfills|Airport(s)|Water supply|Employee commuting (scope 3)|Buses|Waste related emission sources (scope 3)|Upstream and downstream transportation of materials and fuels (scope 3)|Employee commuting|Emissions from contracted services (scope 3)|Electricity transmission and distribution|Upstream production of materials and fuels (scope 3)|Waste collection|Street lighting and traffic signals|Municipal vehicle fleet|Buildings|Incineration of waste|Roads / highways|Employee business travel (scope 3)|Electricity generation,"Yes, externally audited / verified (third-party verification)","Jordan's Fourth National Communication Report investigates a set of key drivers exacerbating the effects of climate change in Jordan, namely the influx of refugees from the wider region and the continued stress on the country's natural resources. The report uses an evidence-based framework to effectively mitigate the causes of climate change. This framework is underpinned by the following measures: Mainstreaming climate change into Jordan's development as well as youth and gender policies Increasing public awareness, education and capacity building Facilitating scientific research, innovation and investment"
2025 Disclosure Cycle,779465,CDP,59545,"City of Charlottesville, VA",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,CY2023 Charlottesville GHG Inventory_2025.xlsx,,2023,"Departments, entities or companies over which operational control is exercised",N2O|CO2|CH4,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Buses|Buildings|Municipal vehicle fleet|Electricity generation|Street lighting and traffic signals,"Yes, internally audited / verified (self-verification)",
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Local Governmeny GHG Inventory_GCOM CRF Format.xlsx,,2021/2022,"Departments, entities or companies over which operational control is exercised",CH4|N2O|CO2,Other: Harmonized Emissions Analysis Tool (HEAT+) by ICLEI,Buildings|Municipal vehicle fleet|Water supply|Street lighting and traffic signals|Wastewater treatment,"Yes, internally audited / verified (self-verification)",
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,BASE DE DONNEE - COCODY 2023.xlsx,BASE DE DONNEES ENQUETES COCODY,2023,"Departments, entities or companies over which operational control is exercised",SF6|NF3|HFCs|CO2|N2O|CH4|PFCs,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Buildings|Electricity generation|Incineration of waste|Landfills|Employee commuting,"No, not audited / verified",La collectivité essaie de s'inscrire dans une gouvernance verte.
