disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Health area affected by climate change,col2_Identify the climate hazard(s) that most significantly impact the selected health area,col3_Identify the health issues driven by the selected climate hazard(s),col4_Timeframe of impact,col5_Identify which vulnerable populations are affected by the selected health issue(s),col6_What factors affect your jurisdiction's ability to address the selected health issues,col7_Comment
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,5,Row 5,Health outcomes,Storm,"Food & nutrition security|Disruption to health service provision and service accessibility|Damage/destruction to health infrastructure and technology, including access modes|Disruption to water, sanitation, and wastewater service provision and service accessibility|Disruption of health-related services|Direct physical injuries and deaths due to extreme weather events",Short-term (by 2025),Children and youth|Frontline workers|Elderly|Marginalized / minority communities,Lack of financial capacity and expertise/technical capacity,"IDP 22/27: Rapidly expanding development, and an increase in densities, is resulting in increased storm water run-off. This, coupled with the destruction, degradation, and reduction of wetlands and inappropriate use of flood plains, has significantly increased the risk of flooding, damage to infrastructure, and potential loss of life. Preliminary results on the potential effect of Climate Change predict that annual rainfall within this region is likely to remain fairly constant, with fewer storm events of a significantly higher intensity and severity. Higher flood peaks (flash floods) can therefore be anticipated, increasing the risk for communities living in flood-prone areas such as Sobantu, Imbali, Allandale, Rosedale, Oakpark, Townbush Valley, and Prestbury. Measures to protect and rehabilitate wetlands, streams, and flood plains, as well as measures to manage and reduce storm water run-off, are necessary to limit potential impacts.The Integrated Development Plan (IDP) for 2018/2019 financial Year (page 97) states preliminary results on the potential effect of Climate Change predict that annual rainfall within this region is likely to remain fairly constant, with fewer storm events of a significantly higher intensity and severity. Higher flood peaks (flash floods) can therefore be anticipated, increasing the risk for communities living in flood prone areas such as Sobantu, Imbali, Allandale, Rosedale, Oakpark, Townbush Valley, and Prestbury. Measures to protect and rehabilitate wetlands, streams, and flood plains, as well as measures to manage and reduce storm water run-off, are necessary to limit potential impacts."
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,6,Row 6,Areas outside the health sector,Increased water demand|River flooding|Water stress|Infectious disease|Urban flooding,"Disruption to water, sanitation, and wastewater service provision and service accessibility|Water-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Food & nutrition security|Exacerbation of non-communicable disease symptoms - respiratory disease|Damage/destruction to health infrastructure and technology, including access modes|Vector-borne infections and illnesses",Short-term (by 2025),Children and youth|Low-income households|Marginalized / minority communities|Outdoor workers|Elderly,Lack of financial capacity and expertise/technical capacity,"IDP 22/27 pg 121: Water quality monitoring in streams and rivers within the municipal area is largely undertaken by Umgeni Water. Monitoring results confirm poor to very poor levels of water quality, with this important resource classified as unsuitable of human consumption without treatment, and largely unsuitable for recreational use. Residents who depend upon or make use of water harvested from these highly polluted riparian areas for drinking, cooking, and irrigation purposes may be exposed to severe health risks. Pollution and degradation of water causes a significant negative impact on indigenous biodiversity, including aquatic organisms, riverine vegetation, animals, birds, and insects."
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,7,Row 7,Health outcomes,Infectious disease,Food-borne infections and illnesses|Water-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease|Exacerbation of non-communicable disease symptoms - other|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Vector-borne infections and illnesses,Medium-term (2026-2050),Marginalized / minority communities|Vulnerable health groups,Lack of financial capacity and expertise/technical capacity,"IDP 22/27 pg 139: MSUNDUZI COVID-19 - RESPONSE PLAN The Msunduzi Municipality, its Executive and Employees believe that the prevention of illness from and exposure to COVID-19 is of paramount importance. Furthermore, management acknowledges its responsibility and moral obligation to provide a safe and healthy workplace for all employees. According to the COVID-19 Direction on Health and Safety in the Workplace, issued by the Minister in terms of Regulation 10(8) of the National Disaster Regulations and the regulations issued in terms of Section 27(2) of the Disaster Management Act, a COVID-19 ready workplace plan must be developed as follows:Step 1: Risk and Hazard Assessment 1. Organizational Risk and Hazard Assessment by Designated Health and Safety Representative per Business Unit; Shop Stewards and all management, facilitated by Compliance Officer. 2. Written record of Risk and Hazard Assessment Analysis kept by Compliance Officer. 3. COVID 19 Safety Plan informed by Risk and Hazard Assessment analysis kept by Compliance Officer. Step 2: Risk and Hazard Remediation, Implementation & Monitoring 1. Designated Health and Safety Representative per Business Unit to ensure daily risk and hazard assessment and remediation including: a. Compulsory appropriate risk analysis at the premises daily before any work resumes. b. Implementation of necessary measures to eliminate or control risks identified. 2. By utilizing the Risk and Hazard Assessment Tool/ Questionnaire per Business Unit(s) and Sub-Unit(s), Designated Health and Safety Representative as per Occupational Health and Safety Act shall provide implementation and remediation progress to the Compliance Officer. Step 3: Workplace Plan 1. The Risk and Hazard Assessment Tool/ Questionnaire will be used to develop the Workplace Plan and different responsibilities will be assigned to the Designated Health and Safety Representative delegated in terms of the Occupational Health and Safety Act, by the Accounting Officer (Municipal Manager). 2. The Workplace Plan will be dispatched to the Department of Employment and Labour once approved by the Executive Authority (Council). The Msunduzi Municipality Covid-19 Response Policy has enabled the municipality to better address Covid related matters in the workplace. The policy stipulates procedures to be followed when dealing with things such as suspected Covid-19 cases, actually diagnosed Covid-19 cases, hazardous waste and the constant supply of PPEs in the workplace. The existence of this policy also introduced the widely utilized virtual means of holding meetings to limit physical contact, curbing the spread of the pandemic. Thus, assisting the municipality in realising its potential of being a smart city."
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Extreme heat|Urban flooding|Drought|Infectious disease|Mass movement,"Exacerbation of non-communicable disease symptoms - other|Damage/destruction to health infrastructure and technology, including access modes|Overwhelming of health service provision due to increased demand|Heat-related illnesses|Disruption to water, sanitation, and wastewater service provision and service accessibility|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Water-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease|Vector-borne infections and illnesses",Medium-term (2026-2050),Low-income households|Frontline workers|Vulnerable health groups|Children and youth|Women and girls|Elderly|Marginalized / minority communities,Lack of financial capacity and expertise/technical capacity,"Um dos principais efeitos observados é o aumento súbito da demanda por atendimentos durante períodos de ondas de calor, enchentes e deslizamentos. Esses eventos geram sobrecarga em prontos-atendimentos, unidades de pronto atendimento (UPAs) e unidades básicas de saúde, elevando o número de internações por doenças respiratórias, cardiovasculares e infecciosas. Essa sobrecarga também compromete estoques de medicamentos e insumos hospitalares, dificultando o atendimento adequado à população.\nOutro impacto importante ocorre na infraestrutura física das unidades de saúde. Inundações e alagamentos podem impedir o acesso de ambulâncias, dificultar o deslocamento de pacientes e danificar equipamentos sensíveis, como refrigeradores de vacinas e sistemas de suporte à vida. Além disso, quedas de energia e o rompimento de vias podem levar à interrupção dos serviços de saúde em momentos críticos. Em resposta, Salvador implementou, em 2024, o Plano Multirriscos de Saúde Pública, com protocolos de preparação e resposta em saúde para situações de emergência climática.\nAs mudanças climáticas também intensificam a ocorrência de surtos de doenças, exigindo maior esforço da vigilância epidemiológica. Chuvas intensas e elevação da temperatura favorecem a disseminação de doenças de veiculação hídrica, como leptospirose e hepatite A, além de arboviroses como dengue e chikungunya. O aumento desses surtos demanda mais capacidade laboratorial, atuação de equipes em campo e ações preventivas.\nA sobrecarga dos profissionais de saúde também é um problema relevante. Situações de emergência climática exigem jornadas prolongadas, maior exposição ocupacional e atuação sob condições adversas, o que contribui para o estresse físico e emocional das equipes e compromete a continuidade da assistência. O PMAMC propõe a capacitação de profissionais para atuação em cenários de risco climático, com foco na mitigação dos impactos humanos e operacionais."
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Infectious disease|Drought|Urban flooding|Mass movement|Heavy precipitation|Extreme heat,Heat-related illnesses|Vector-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Emotional and/or spiritual health impacts|Water-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - other|Food-borne infections and illnesses|Overwhelming of health service provision due to increased demand|Disruption of health-related services,Medium-term (2026-2050),Elderly|Women and girls|Vulnerable health groups|Marginalized / minority communities|Frontline workers|Low-income households|Children and youth,Lack of financial capacity and expertise/technical capacity,"A sobrecarga das unidades de saúde durante eventos extremos (como ondas de calor, enchentes e deslizamentos) dificulta o atendimento rápido e eficaz, o que contribui para o agravamento de quadros clínicos. Isso se traduz em aumento nas taxas de morbidade e mortalidade evitáveis, especialmente entre crianças, idosos, pessoas com doenças crônicas e populações que vivem em áreas de risco.\nAs interrupções nos serviços de saúde, por danos estruturais ou falhas no fornecimento de energia elétrica, reduzem a capacidade de oferta de cuidados contínuos, como vacinação, tratamentos de doenças crônicas (diabetes, hipertensão, doenças respiratórias) e atendimento pré-natal. A ausência desses cuidados pode resultar em piores desfechos clínicos e hospitalares, com maior número de internações e complicações evitáveis.\nO aumento da frequência e intensidade de doenças relacionadas ao clima, como arboviroses (dengue, zika, chikungunya), doenças hídricas (diarreias, hepatite A, leptospirose) e respiratórias (asma, bronquite, DPOC), afeta diretamente os indicadores de saúde pública. Esses agravos impactam especialmente regiões com menor infraestrutura urbana e saneamento. \nAlém disso, o estresse contínuo dos profissionais de saúde e a precarização das condições de trabalho durante emergências climáticas comprometem a qualidade do atendimento e a segurança dos pacientes, afetando negativamente os indicadores de satisfação, eficiência do sistema e resolutividade clínica.\nEstudos recentes da Fiocruz Bahia mostram, por exemplo, que a poluição atmosférica urbana, agravada por altas temperaturas e baixa arborização, está associada ao aumento de internações e mortes por doenças respiratórias em Salvador. A substituição da frota de ônibus por veículos menos poluentes poderia evitar dezenas de mortes por ano, indicando a relação direta entre políticas climáticas e melhora nos indicadores de mortalidade e expectativa de vida.\nPor fim, o acúmulo de eventos extremos e doenças associadas ao clima também tem impactos na saúde mental da população, incluindo quadros de ansiedade, depressão e transtornos pós-traumáticos, especialmente entre pessoas que vivem em áreas atingidas por alagamentos e desastres. Isso amplia a demanda por serviços de saúde mental, que muitas vezes são insuficientes para atender à crescente complexidade dos casos."
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Do not know,Increased water demand|Heat stress|Extreme heat|Water stress|Fire weather (risk of wildfires)|Drought,Exacerbation of non-communicable disease symptoms - respiratory disease|Heat-related illnesses,,,,"Até o presente momento, o município de Goiânia não dispõe de estudos ou dados sistematizados que permitam identificar de forma detalhada como as mudanças climáticas impactam os resultados sanitários e os serviços de saúde. Reconhecemos, contudo, a relevância dessa avaliação, especialmente diante de riscos já apontados em nível nacional e regional (como aumento da incidência de doenças transmitidas por vetores, ondas de calor e agravamento de doenças respiratórias). A administração municipal pretende, em parceria com órgãos de saúde e meio ambiente, avançar na coleta e análise de informações para estabelecer indicadores locais de vulnerabilidade e resiliência do sistema de saúde frente às mudanças climáticas."
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat|Mass movement|Fire weather (risk of wildfires),Vector-borne infections and illnesses|Disruption of health-related services|Heat-related illnesses,Medium-term (2026-2050),Marginalized / minority communities|Outdoor workers|Women and girls|Elderly|Vulnerable health groups,Lack of financial capacity|Lack of expertise/technical capacity,"Las amenazas tienen un impacto directo y bienestar ciudadano. En relación a la salud se identifica un posible impacto a la salud de la población por limitaciones en el abastecimiento de agua.Posible incremento de la morbilidad por reducción de la calidad del agua. el efecto más destacado atribuible a las olas de calor corresponde principalmente a la salud de la población. Entre los principales efectos documentados se encuentran el estrés cardiovascular (O'Neill y Ebi, 2009), las afecciones al sistema nervioso y los problemas respiratorias (Deschenes, 2014), los cuales se traducen en un incremento de las tasas de morbilidad y mortalidad. También se han identificado posibles en la edificación y posible interrupción de la atención médica por eventos de inundación y movimientos en masa. Rows per page: 100"
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Infectious disease|Drought|Extreme heat|Fire weather (risk of wildfires)|Mass movement,Vector-borne infections and illnesses|Heat-related illnesses|Disruption of health-related services,Medium-term (2026-2050),Elderly|Outdoor workers|Marginalized / minority communities|Children and youth,Lack of financial capacity and expertise/technical capacity,"Las amenazas tienen un impacto directo y bienestar ciudadano. En relación a la salud se identifica un posible impacto a la salud de la población por limitaciones en el abastecimiento de agua.Posible incremento de la morbilidad por reducción de la calidad del agua. el efecto más destacado atribuible a las olas de calor corresponde principalmente a la salud de la población. Entre los principales efectos documentados se encuentran el estrés cardiovascular (O'Neill y Ebi, 2009), las afecciones al sistema nervioso y los problemas respiratorias (Deschenes, 2014), los cuales se traducen en un incremento de las tasas de morbilidad y mortalidad. También se han identificado posibles en la edificación y posible interrupción de la atención médica por eventos de inundación y movimientos en masa. "
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,City,Latin America,Uruguay,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",,,,,,
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Drought|Extreme heat,Exacerbation of non-communicable disease symptoms - respiratory disease|Heat-related illnesses|Exacerbation of non-communicable disease symptoms - cardiovascular disease,Medium-term (2026-2050),Elderly|Low-income households|Vulnerable health groups|Marginalized / minority communities|Children and youth|Indigenous peoples|Outdoor workers,Lack of financial capacity and expertise/technical capacity|Lack of political priority,"By 2040, San Antonio is expected to see 24 additional days of weather where it's over 100 degrees, and summer maximum temperatures will increase by 4 degrees. This impacts work outside, when children can play outside, and how long people can walk (as a method of transportation). In addition, households that cannot afford the energy costs will be exposed to extreme heat for extended periods with limited options to keep cool during the day. Certain areas of San Antonio experience significantly higher temperatures than others, resulting in varying degrees of vulnerability among residents. These disparities are influenced not only by socioeconomic factors, but also by the Urban Heat Island effect. Furthermore, poverty exacerbates susceptibility to elevated temperatures for individuals who cannot afford air conditioning or may lack access to such cooling systems."
2025 Disclosure Cycle,779465,CDP,43907,"City of Indianapolis, IN",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat,Heat-related illnesses,Medium-term (2026-2050),Vulnerable health groups|Low-income households|Marginalized / minority communities,Lack of expertise/technical capacity,"As Indianapolis expects hotter summer weather, it has several health risks. Hot weather causes ground-level ozone to increase, which can cause heart and lung issues. Additionally, Indianapolis has many homes and apartments without air conditioning, putting residents at risk of heat stroke, dehydration, and other heat-related problems. From the Social Vulnerability Assessment, there is data noting areas of the city that may be at higher risk of these issues due to socioeconomic level, tree coverage, and poverty rate, all of which hinder resilience towards climate change-related events."
2025 Disclosure Cycle,779465,CDP,43908,"City of Milwaukee, WI",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Heat stress|Urban flooding,"Exacerbation of non-communicable disease symptoms - respiratory disease|Mental health impacts|Damage/destruction to health infrastructure and technology, including access modes|Heat-related illnesses|Exacerbation of non-communicable disease symptoms - cardiovascular disease",Short-term (by 2025),Elderly|Marginalized / minority communities|Low-income households|Vulnerable health groups,Lack of financial capacity,
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Urban flooding|River flooding|Heavy precipitation,"Disruption to health service provision and service accessibility|Disruption of health-related services|Direct physical injuries and deaths due to extreme weather events|Mental health impacts|Water-borne infections and illnesses|Disruption to water, sanitation, and wastewater service provision and service accessibility",Not known (not possible to define),Marginalized / minority communities|Low-income households|Elderly|Frontline workers|Outdoor workers,"Lack of financial capacity|Other: At a state-level, resources directed by Florida Division of Emergency Management to assist in local response and recovery efforts, which can cause a re-prioritization of the short- and medium-term government agenda, which can cause delays&limitations|Lack of political priority","Based on past events in Florida, injuries and death could result from these flooding events, particularly involving automobile accidents during dangerous conditions. Illness may also result from water contamination. Responders would also be at risk when responding to calls for assistance or rescue. There may be environmental impacts as well, as the local land ecosystem is flooded, environmental pollutants and hazardous substances wash into areas with the flood waters (Florida Division of Emergency Management, 2013), and wildlife, including snakes and alligators, may be displaced (Hall, 2017). As many structures lie in the 100-year and 500-year floodplains, extensive property damage, as well as increased injuries, death, illness, and emotional distress among local residents and responders. It's likely that business operations and economic activity may be disrupted during the event and an often-lengthy repair period, as well as limitations for employees if the roadways are compromised or their automobile (or public vehicles) have been damaged. There will be a significant impact on the insurance industry. There can be significant damage to transportation and utility infrastructure, government facilities, and other public structures. At the state level, resources will be directed by the Florida Division of Emergency Management to assist in local response and recovery efforts, which can cause a re-prioritization of the short- and medium-term government agenda, which can cause delays and limitations in government operations and delivery of services (Florida Division of Emergency Management, 2013)."
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Extreme heat,"Mental health impacts|Exacerbation of non-communicable disease symptoms - respiratory disease|Heat-related illnesses|Vector-borne infections and illnesses|Damage/destruction to health infrastructure and technology, including access modes|Water-borne infections and illnesses|Disruption to health service provision and service accessibility|Direct physical injuries and deaths due to extreme weather events|Food & nutrition security",Long-term (after 2050),Children and youth|Women and girls|Vulnerable health groups|Outdoor workers|Marginalized / minority communities|Indigenous peoples|Elderly|Low-income households,"Other: We are reliant on grants to support energy equity work in these low-income communities that face the highest levels of energy burden. Funding can support energy upgrades, such as free efficient window AC units.|Lack of financial capacity","With the already-dangerous heat conditions in Florida, these significant increases in temperatures, in terms of individual days, averages, and seasonal changes, present serious implications for the health of local residents. The risk for heat-related health impacts is highest amongst infants, young children, the elderly over 65, those already ill, athletes, those spending time outside, including outdoor workers, those engaging in physical activity, and those who don't have access to air conditioning (Climate Central, “U.S. faces dramatic rise in extreme heat, humidity”, 2016), as well as those in more urban areas within the city, due an increase in the Urban Heat Island effect (Environmental Protection Agency & Center for Disease Control, 2016). Since 9.4% of Orlando's residents are over the age of 65, 7.1% are under five years old, and one-in-five of all residents (20.2%) live at or below the poverty line, which is above average among the lower 48 states (U.S. Census Bureau, 2017), we have a large representation of groups are considered to be especially vulnerable to extreme heat. Furthermore, during dangerously hot days, the risk for these heat-related effects sharply increases and can reach even healthy young adults to middle-aged individuals. According to current predictions, annual heat-related deaths will increase to tens-of-thousands by the end of the century (Climate Central, “U.S. faces dramatic rise in extreme heat, humidity”, 2016), and, with the projections for our region, many of these deaths will occur in Central Florida. For individuals and families with pets that spend some or all of their time outside or do not have air conditioning, this also presents a serious risk (Florida Division of Emergency Management, 2013). These heat impacts may also provide a strain on the healthcare system when faced with increased hospitalizations and doctors' visits, need for home care, and insurance claims. (Climate Central, “U.S. faces dramatic rise in extreme heat, humidity”, 2016). There is also an increasing frequency of dangerous heat days: “Florida currently has an average of 25 dangerous heat days each year. By 2050, it is projected to see 130 such days each year, more than any other state. The impacts from high heat also interact with other climate hazards that can result in amplified risks. This elevated heat can contribute to stagnant air, which has been increasing in Central Florida, and allows dangerous levels of both air pollutants and ground-level ozone to build up in the local area (Climate Central, “Stagnant air on the rise, upping ozone risk”, 2016). The consequences include respiratory issues and increased risk of air-borne disease. Extreme heat can also compound drought conditions, elevated sink hole risks, and increased algae blooms and bacteria present in water (Climate Central, “U.S. faces dramatic rise in extreme heat, humidity”, 2016). Increases in extreme heat can lead to elevated hospitalizations, illness and death with a large segment of the population at risk. This danger is further elevated as an occupational hazard for that work outside, such as construction workers, crossing guards, athletes, landscaping professionals, groundskeepers, etc. Today, 1 in 3 American households struggle to afford their energy bills, and 1 in 5 are forced to decide between energy and other necessities (EIA RECS 2015). In Orange County Florida, energy affordability threatens the 175,470 households living below 200% of the federal poverty level. Cumulatively, these homes experienced a HEAG of $263.5 million in 2017 alone (Home Energy Affordability Report, 2018). This equates to $1,501 per household in energy costs above the affordability threshold, roughly equal to the state average ($1,507). HEAG trends are severe in Florida, with a HEAG Index of 195.2 compared to the national average of 123.4. This reflects a doubling of the FL HEAG since the 2011 baseline. As extreme heat patterns intensify, these trends can be anticipated to increase and threaten low-income populations capacity to afford energy and other critical needs. Residents who do not have easy access to air-conditioning, cannot afford to cool their homes regularly, who have homes without proper weatherization, or those who need to walk, bike, or take public transportation are all at higher risk to extreme heat, even before health and age are factored in. Thus, low-income residents are at a disproportionately high risk for elevated heat events. We are reliant on grants to support energy equity work in these low-income communities that face the highest levels of energy burden. Funding can support energy upgrades, such as free efficient window AC units or portable batteries. We want to both reduce energy costs while improving quality of life for residents, with respect to heat. "
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Storm,"Direct physical injuries and deaths due to extreme weather events|Mental health impacts|Damage/destruction to health infrastructure and technology, including access modes",Long-term (after 2050),Low-income households|Other: Visitors|Outdoor workers,"Other: Storms will cause damage to infrastructure and natural resources, and we have not been able to devote the resources needed to storm proof every area.","Increased cloud-to-ground lightning strikes can result in more deaths and injuries, putting at risk local residents spending time outside, whether on-the-job, for leisure, or simply engaging in day-to-day activities, such as mowing the lawn (Jensenius, 2017). Additionally, this risk may be even higher for the large number of visitors to Orlando who may be less familiar with the frequency and danger of lightning and the need to take shelter, even when storms are not directly overhead. These strikes can also result in damages and disruptions to services including electricity, phone lines, and internet connection based on local infrastructure, which may already be strained due to other storm elements, such as heavy winds, as well as commercial and residential property damage, and add to the risk of wildfires (as discussed in the corresponding section of this document).Increased lightning could result in injuries and fatalities, having an impact on victims' and family members' mental and physical health. Protective actions are also required for responders from hazards; personal protective equipment is required for emergency worker safety from downed utility lines, hazardous materials, and debris. Unfortunately, persistent myths and misconceptions, such as \'Lightning never strikes twice in the same place\', “Most people are struck by lightning on the golf course”, and \'Lightning rods prevent lightning strikes” contribute to accidents and injuries. With the current and rising threat of lightning, it is important to provide lightning safety information to residents and visitors to minimize harm to both humans and property."
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,4,Row 4,Health outcomes,"Hurricanes, cyclones, and/or typhoons","Exacerbation of non-communicable disease symptoms - respiratory disease|Mental health impacts|Overwhelming of health service provision due to increased demand|Disruption of health-related services|Direct physical injuries and deaths due to extreme weather events|Damage/destruction to health infrastructure and technology, including access modes|Food & nutrition security",Not known (not possible to define),Elderly|Outdoor workers,"Other: Storms will cause damage to infrastructure and natural resources, and we have not been able to devote the resources needed to storm proof every area.","An increase in severe hurricane activity will result in increased injuries and fatalities caused by flooding and storm debris and power outages, during, before and after the storm. Carbon monoxide poisoning can occur during or after the storm has passed if gas-powered generators are placed in an area without proper ventilation, as occurred during the series of Florida hurricanes in 2005. Additionally, populations sensitive to heat, such as the elderly, may be left without power for air conditioning for extended periods of time resulting in injury and fatalities, as tragically occurred in South Florida after Hurricane Irma (Fritz, 2017; Ochoa, 2017). Finally, foodborne illness can result due to lack of power for refrigeration, and water-borne illness from drinking or preparing food with water that has been contaminated from the strains on water reclamation facilities and other sources of water pollution (Florida Department of Health, 2015).Structural damages are also likely, including buildings (particularly roofing), signs, and other local infrastructure, such as roads, and the most powerful hurricanes can completely destroy many of these structures. Many individuals must evacuate or may require emergency shelter and assistance. Additionally, downed trees, limbs, and other debris can cause damage to electric and communication lines, and block access to roads. In addition to the cost for home repairs and needs pertinent to storm recovery, these impacts can have a detrimental effect on the local economy and may prevent businesses from operating for many months. There is a high possibility of injuries or casualties caused by somewhat preventable circumstances, such as, in the case of lost power: heeding warnings regarding food safety, monitoring water boil alerts, and following proper operating instructions for generators. experiencing these difficult conditions may undergo fatigue and distress. Responders are also at high risk of physical injuries or fatalities, as well and stress from hazardous conditions and conditions of their own family's safety. "
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat|Heat stress,Exacerbation of non-communicable disease symptoms - respiratory disease|Heat-related illnesses,Medium-term (2026-2050),Marginalized / minority communities|Elderly|Children and youth|Outdoor workers,Lack of financial capacity,"Hotter summers impact residents of low-income areas more acutely as residents in these hard-working areas are more likely to not have the resources to afford air conditioning. This can severely impact elderly residents or the very young and particularly those with respiratory conditions.\n\nLack of financial capacity to provide overnight cooling center locations near affected residents, especially during extreme heat events that, when combined with power outages, create additional health stresses to well-being. Lack of research on the effects of the combination of high heat and poor air quality, both exacerbated by climate change, on the most at-risk populations. This little understood area of climate limits Public Health interventions in addressing this risk. \n\nColumbus Public Health is undertaking an evaluation of which most at-risk communities may be susceptible to this risk using place-based analysis of populations with a combined heart-health and respiratory illness risk living in those areas of the City experiencing the worst urban heat island effect. The analysis involves tracking the incidence of illness within this community during high-heat events that occur concurrently with poor air quality days and whether ambulance runs and emergency department admissions from residents of the affected areas are rising.\n"
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Heavy precipitation,"Damage/destruction to health infrastructure and technology, including access modes|Disruption to water, sanitation, and wastewater service provision and service accessibility|Disruption to health service provision and service accessibility",Short-term (by 2025),Children and youth|Marginalized / minority communities|Low-income households|Elderly|Vulnerable health groups,Lack of financial capacity,"Hotter and wetter summers have meant more instances of flooding, stress on existing infrastructure, and private property damage for Columbus residents that many residents cannot afford to remedy leading to the potential for unhealthy long-term living conditions for these residents."
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Other forms of climate-induced landscape shift/degradation,Vector-borne infections and illnesses,Medium-term (2026-2050),Marginalized / minority communities|Outdoor workers|Vulnerable health groups|Children and youth,Other: Long-term continued education requirements,"The climate and weather changes affecting Ohio are affecting patterns of Vector reproduction, survival, geographic distribution and, consequently, ability to transmit pathogens. This is leading to a higher incidence of Tick-borne illnesses which are not historically common to Ohio and will require long-term continued community education to raise awareness and hazards of this “new” health threat."
2025 Disclosure Cycle,779465,CDP,43911,"City of Ottawa, ON",City,North America,Canada,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Storm|River flooding|Fire weather (risk of wildfires)|Snow and ice|Extreme heat,Direct physical injuries and deaths due to extreme weather events|Heat-related illnesses,Medium-term (2026-2050),Vulnerable health groups|Women and girls|Frontline workers|Indigenous peoples|Low-income households|Elderly|Outdoor workers,Lack of financial capacity,
