disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),20,3.0,2024,www.arpalombardia.it,Source: AMAT elaboration on Arpa Lombardia data
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),34,5.0,2024,www.arpalombardia.it,Source: AMAT elaboration on Arpa Lombardia data
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),9,6,2024,https://www.airparif.asso.fr/surveiller-la-pollution/les-emissions,"Annual average concentration - Urban background of particles matter (PM2.5) in µg/m3\n\nAverage concentrations have reduced by 45% compared to 2014\n\nIn july 2023, the City released its historical air datas on opensource portal: https://parisdata.opendatasoft.com/explore/dataset/qualite-de-l-air-concentration-moyenne-no2-pm2-5-pm10/dataviz/\n\nYou can also check at the monitoring stations map here: https://www.airparif.fr/carte-des-stations"
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),7,,2024,https://www.airparif.asso.fr/surveiller-la-pollution/les-emissions,"Change of the index as of January 1, 2021\n\nSince 1994, the Approved Associations for Air Quality Monitoring (AASQA), including Airparif for the Île-de-France region, have been publishing a daily air quality indicator, the ATMO index, calculated for urban areas with a population of over 100,000, based on the concentrations in the air of four regulated pollutants: sulfur dioxide (SO2), nitrogen dioxide (NO2), ozone (O3), and particles with a diameter of less than 10 µm (PM10).Since 2011, they have also been publishing the index of European cities, Citeair (developed through a European project coordinated by Airparif).The ATMO index has not undergone major changes since its creation. However, considering the public health issue represented by air quality and the need for more comprehensive information expressed by the population, a revision of the index has become necessary. Thanks to the improvement of monitoring tools, it has become possible to provide personalized and geolocated information.The evolution of the index, adopted by the Ministry of Ecological Transition, is based on several innovations:It incorporates a new regulated pollutant: fine particles PM2.5, with proven health effects. Its thresholds are aligned with those chosen by the European Environment Agency;•The scale also evolves: the \'Very Good\' level disappears, and the \'Extremely Bad\' level is introduced. The new index therefore classifies air quality into 6 categories: Good / Moderate / Poor / Bad / Very Bad / Extremely Bad;•The color range now extends from blue (good) to magenta (extremely bad);•It provides a forecast calculated at the level of each inter-municipal public institution (EPCI), across the entire national territory, including overseas. It thus provides a finer indication of the population's exposure to air pollution, with information at different territorial scales, from the EPCI to geolocation; these new features in the calculation of the ATMO index make it more representative of the state of air quality, while being more in line with the expectations of citizens. It can be applied at a finer spatial scale.\n(https://www.paris.fr/pages/etat-des-lieux-de-la-qualite-de-l-air-a-paris-7101)\n\nAccording to AirParif, in 2024, the center of Paris had 7 days rated \'bad\' regarding the Atmo Index.\n(https://www.airparif.fr/surveiller-la-pollution/historique-des-indices)"
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,NO2 concentration (annual average) level (ug/m3),20,15,2024,https://www.airparif.asso.fr/surveiller-la-pollution/les-emissions,"Annual average concentration - Urban background of NO2 concentration in µg/m3 \n\nAverage concentrations have reduced by 45% compared to 2014. \n\nIn July 2023, the City released its historical air datas on opensource portal: https://parisdata.opendatasoft.com/explore/dataset/qualite-de-l-air-concentration-moyenne-no2-pm2-5-pm10/dataviz/"
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: Annual average concentration particles matter PM10,15,8,2024,https://www.airparif.asso.fr/surveiller-la-pollution/les-emissions,"Annual average concentration - Urban background of particles matter (PM10) in µg/m3\n\nAverage concentrations have reduced by 40% compared to 2014\n\nThe main sources are wood heating and road traffic.Regarding PM10, the daily and annual limit values are still exceeded near road traffic, despite an improving trend in recent years."
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),28.78,4,2024,https://datariov2-pcrj.hub.arcgis.com/documents/ec23bee2816c484989f273637c1355ab\n,Valor médio entre as médias anuais de 4 estações de monitoramento que medem esse parâmetro.\n
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: Níve de concentração de material particulado PM10 (média anual) (ug/m3),36.34,8,2024,https://datariov2-pcrj.hub.arcgis.com/documents/ec23bee2816c484989f273637c1355ab\n,"Valor médio entre as médias anuais de 5 estações de monitoramento que medem esse parâmetro, pois as outras 3 estações tiveram suas médias anuais invalidadas devido ao alto percentual de dados invalidados."
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),13.18,1,2024,https://datariov2-pcrj.hub.arcgis.com/documents/ec23bee2816c484989f273637c1355ab,Esse valor corresponde à média anual entre os dados válidos da única estação que media esse poluente.
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),4,,2024,https://www.mpcb.gov.in/sites/default/files/Establishment%20of%20MPCB/Seniority%20list/2014/12_._Air_Quality_Status_Report_of_Maharashtra_2022_2023.pdf,NA
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),49,28,2024,https://www.mpcb.gov.in/sites/default/files/Establishment%20of%20MPCB/Seniority%20list/2014/12_._Air_Quality_Status_Report_of_Maharashtra_2022_2023.pdf,NA
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),56,28,2024,https://www.mpcb.gov.in/sites/default/files/Establishment%20of%20MPCB/Seniority%20list/2014/12_._Air_Quality_Status_Report_of_Maharashtra_2022_2023.pdf,NA
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: PM10,90,28,2024,https://www.mpcb.gov.in/sites/default/files/Establishment%20of%20MPCB/Seniority%20list/2014/12_._Air_Quality_Status_Report_of_Maharashtra_2022_2023.pdf,NA
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),9.5,5,2022,Links: www.luchtmeetnet.nl ; https://www.dcmr.nl/sites/default/files/2023-12/Lucht%20in%20Cijfers%202022.pdf,average urban background concentration in 2022
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),20.4,5,2023,Links: https://www.dcmr.nl/sites/default/files/2024-03/Lucht%20in%20cijfers%202023.pdf ,average urban background concentration in 2023
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: PM10,16.5,5,2023,Links: https://www.dcmr.nl/sites/default/files/2024-03/Lucht%20in%20cijfers%202023.pdf ,average urban background concentration in 2023
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),0,,2023,Links: https://www.dcmr.nl/sites/default/files/2024-03/Lucht%20in%20cijfers%202023.pdf ,"The WHO 2021 air quality guidelines state that annual average concentrations of PM2.5 should not exceed 5µg/m3, PM10 should not exceed 15 µg/m3, For Nitrogen dioxide (NO2) annual average concentrations should not exceed 10 µg/m3. New (2021) WHO standards for NO2, PM10 and PM2.5 are exceeded for all monitoring stations. "
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),79.0,10.0,2023.0,https://airechile.mma.gob.cl/comunas/santiago ,https://sinca.mma.gob.cl/
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),42.0,,2022.0,https://airerm.mma.gob.cl/,"La Gestión de Episodios Críticos (GEC) 2023 de la Región Metropolitana, instancia que incluye medidas como la Restricción Vehicular y la paralización de industrias cuando se declara un episodio por mala calidad del aire en Santiago. Este rige entre el 1 de mayo y el 31 de agosto de cada año."
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),10.23,10,2023,https://www.phila.gov/services/mental-physical-health/environmental-health-hazards/air-quality/#philadelphia-air-monitoring-network\nhttps://www.phila.gov/documents/air-management-reports-and-documents/,measured in PPM - annual air quality standard is an average at or below 53 ppm. 75 new sensors coming for PM2.5 and NO2
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),14,,2023,https://www.epa.gov/outdoor-air-quality-data/air-quality-index-report,Days at or above 101 on AQI
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),6.6,1.0,2024,https://www.baaqmd.gov/about-air-quality/current-air-quality/air-monitoring-data/#/airp?date=2024-01-01&id=316&view=monthly&style=chart&zone=2a5e64eb-ca0b-4aaf-b619-2e18f48e2a28,"The Bay Area Air Quality Management District (BAAQMD) was created by the California Legislature in 1955 as the first regional air pollution control agency in the US. BAAQMD regulates stationary air pollution sources across the nine counties that make up the San Francisco Bay Area. There is one air monitoring station for San Francisco located on Arkansas St, which is on the east side of the city in a dense commercial/industrial and multifamily residential zone. This station is also located within a half-mile of two major freeways (Interstate 80 and Interstate 280). The federal health standard for PM 2.5 is 35 micrograms averaged over a 24-hour period."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,"Other air pollution metric: Carbon Monoxide, pptm (parts per ten million)",10,1.0,2024,https://www.baaqmd.gov/about-air-quality/current-air-quality/air-monitoring-data/#/airp?date=2024-01-01&id=13&view=monthly&style=chart&zone=2a5e64eb-ca0b-4aaf-b619-2e18f48e2a28,"The Bay Area Air Quality Management District (BAAQMD) was created by the California Legislature in 1955 as the first regional air pollution control agency in the US. BAAQMD regulates stationary air pollution sources across the nine counties that make up the San Francisco Bay Area. There is one air monitoring station for San Francisco located on Arkansas St, which is on the east side of the city in a dense commercial/industrial and multifamily residential zone. This station is also located within a half-mile of two major freeways (Interstate 80 and Interstate 280). The federal health standard for carbon monoxide is 90 parts per ten million averaged over an eight-hour period."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: Ozone ppb,51,1.0,2024,https://www.baaqmd.gov/about-air-quality/current-air-quality/air-monitoring-data/#/airp?date=2024-01-01&id=59&view=monthly&style=chart&zone=2a5e64eb-ca0b-4aaf-b619-2e18f48e2a28,The federal health standard for ozone is 70 parts per billion (ppb) averaged over an eight-hour period. 
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,NO2 concentration (annual average) level (ug/m3),7,1,2024,https://www.baaqmd.gov/about-air-quality/current-air-quality/air-monitoring-data/#/airp?date=2024-01-01&id=126&view=monthly&style=chart,The federal health standard for NO2 is 100 parts per billion averaged over one hour.
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),17.4,18,2024,https://cetesb.sp.gov.br/ar/qualar/ ,"Para acessar o documento, é necessário realizar um cadastro, uma vez que não é possível inserir anexos dos relatórios nessa resposta."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),39.5,9,2024,https://cetesb.sp.gov.br/ar/qualar/ ,"Para acessar o documento, é necessário realizar um cadastro, uma vez que não é possível inserir anexos dos relatórios nessa resposta."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: Dióxido de Enxofre - SO2 (média anual) (µg/m3),1.75,4,2024,https://cetesb.sp.gov.br/ar/qualar/ ,"Para acessar o documento, é necessário realizar um cadastro, uma vez que não é possível inserir anexos dos relatórios nessa resposta."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,"Other air pollution metric: Número de dias que excedem as diretrizes/normas de qualidade do ar (vezes/ano) PM2,5",176,18,2024,https://cetesb.sp.gov.br/ar/qualar/ ,"Para acessar o documento, é necessário realizar um cadastro, uma vez que não é possível inserir anexos dos relatórios nessa resposta."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,"Other air pollution metric: Número de dias que excedem as diretrizes/normas de qualidade do ar (vezes/ano) PM2,5 manual",2,2,2024,https://cetesb.sp.gov.br/ar/qualar/ ,"Para acessar o documento, é necessário realizar um cadastro, uma vez que não é possível inserir anexos dos relatórios nessa resposta."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: Número de dias que excedem as diretrizes/normas de qualidade do ar (vezes/ano) NO2,4,9,2024,https://cetesb.sp.gov.br/ar/qualar/ ,"Para acessar o documento, é necessário realizar um cadastro, uma vez que não é possível inserir anexos dos relatórios nessa resposta."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,7,Row 7,Other air pollution metric: Número de dias que excedem as diretrizes/normas de qualidade do ar (vezes/ano) SO2 manual,0,4,2024,https://cetesb.sp.gov.br/ar/qualar/ ,"Para acessar o documento, é necessário realizar um cadastro, uma vez que não é possível inserir anexos dos relatórios nessa resposta."
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: pm10,23.2,9,2024,https://iot.warszawa.pl/mapa?filter=air,Official City of Warsaw service with air pollution data
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),26.5,6,2024,https://iot.warszawa.pl/mapa?filter=air,Official City of Warsaw service with air pollution data
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),14.9,7,2024,https://iot.warszawa.pl/mapa?filter=air,Official City of Warsaw service with air pollution data
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: C2OH12,1,3,2024,https://iot.warszawa.pl/mapa?filter=air,Official City of Warsaw service with air pollution data
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Number of days exceeding air quality guidelines/standards (times/year),24,,2024,https://iot.warszawa.pl/mapa?filter=air,The data concerns the average daily exceedance of the permissible particulate matter PM 10 concetration
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),19,13,2023,https://www.airkorea.or.kr/web/,"1. 미세먼지(PM2.5) 연평균 농도 - 19 ㎍/㎥\n\n창원시의 PM2.5 연평균 농도는 19 ㎍/㎥로, 국내 대도시 평균과 유사하며 안정적인 수준을 유지하고 있습니다.\n\n국가 환경기준(연평균 15 ㎍/㎥) 대비 다소 높은 수치이나, 지속적인 관리정책을 통해 개선 가능성이 큰 지표입니다.\n\n특히 미세먼지 계절관리제, 산업단지 배출 저감사업, 친환경차 확대 등 시 차원의 대응이 강화되고 있어 향후 점진적 개선이 기대됩니다."
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),16.2,13,2023,https://www.airkorea.or.kr/web/,"2. NO₂(이산화질소) 연평균 농도 - 16.2 ㎍/㎥\n\nNO₂ 농도는 16.2 ㎍/㎥로, 전국 평균 수준과 유사하며 안정적으로 관리되고 있습니다.\n\n교통 및 산업단지 요인이 영향을 미치고 있으나, 창원시의 전기버스 도입, 수소경제 실현 전략, 친환경차 인프라 확충은 중장기적으로 NO₂ 저감에 크게 기여할 전망입니다.\n\n국제 기준 대비 여전히 개선 여지가 있으나, 시의 정책적 노력으로 긍정적인 추세 전환이 가능하다고 평가됩니다."
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),20,,2023,https://www.airkorea.or.kr/web/,"3. 대기질 지침/기준 초과 일수 - 연 20일\n\n연간 20일의 기준 초과일수는 국내 대도시와 유사한 수준으로, 관리 가능한 범위 내에 있습니다.\n\n이는 겨울철 난방, 봄철 황사 등 계절적 요인에 기인하는 부분이 크며, 시 차원의 계절별 대응정책(예: 고농도 계절관리제, 난방효율 개선, 생활부문 저감대책)을 통해 점진적으로 줄여나가고 있습니다.\n\n이미 초과일수 감소를 위한 기반정책이 추진 중이므로, 향후 지표 개선 효과가 더욱 뚜렷해질 것으로 예상됩니다."
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),18,25,2024,https://cleanair.seoul.go.kr/,㎍/㎥
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),0.019,25.0,2024,https://cleanair.seoul.go.kr/,ppm 
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),4,,2024,https://cleanair.seoul.go.kr/,PM10: 4 days / year (daily average)\nPM2.5: 28 days/ year (daily average)\nO3: 101 days/ year (8-hour average)
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: PM10,31,25,2024,https://cleanair.seoul.go.kr/,㎍/㎥
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: O3,33,25,2024,https://cleanair.seoul.go.kr/,ppb
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: SO2,0.0027,25,2024,https://cleanair.seoul.go.kr/,ppm
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.9,Report the following air pollution data for the jurisdiction.,7,Row 7,Other air pollution metric: CO,0.41,25,2024,https://cleanair.seoul.go.kr/,ppm
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),11.1,3,2024,https://airtw.moenv.gov.tw/CHT/EnvMonitoring/Central/spm.aspx,"In 2024, Taipei City's annual average PM2.5 concentration was calculated based on data from the Wanhua and Shilin monitoring stations, using the arithmetic mean of the daily average PM2.5 values across the year."
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,"A network of microclimate sensors was installed in August 2024 to obtain air temperature, humidity and air pressure data. A later phase of this project will include obtaining air pollution data."
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),3752,,2024,https://docs.google.com/spreadsheets/d/1BHUei0iDaE2EvSIrD4KAN9xy9mQQWhLDAgZtA1iFSl4/edit#gid=0,Represents the number of Ozone Action Alert Days for the Colorado Front Range which includes Denver.
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),20.7,4,2023,https://www.epa.gov/outdoor-air-quality-data/air-quality-statistics-report ,From 2023 EPA Air Quality Statistics Report for the Boston metro area (assuming 15 degrees Celsius as default measuring temperature). Original value: 11 ppb.
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),7.9,4,2023,https://www.epa.gov/outdoor-air-quality-data/air-quality-statistics-report,From 2023 EPA Air Quality Statistics Report for the Boston metro area
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),8,,2024,https://calgary.weatherstats.ca/charts/count_health_index_4-yearly.html \n\nhttps://climate-and-environment-dashboard-thecityofcalgary.hub.arcgis.com/pages/metrics ,"The number of days where the Air Quality index was greater than 4 is closely correlated to the amount of smoke from wildfires in the Calgary region, which saw 200 smoke hours in 2024. "
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: smoke hours,200,1,2024,Environment and Climate Change Canada historical data download for the Calgary International Airport ,Further data analysis was performed on conditions to determine the number of hours reported as smoky by the observer at the airport \n
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),28,12,2024,https://aqicn.org/city/ankara/,"The annual average PM2.5 level in Ankara is significantly above the WHO guideline of 5 µg/m³. Data represent the average of 12 continuous monitoring stations operated by MoEUCC. Major sources include road transport, domestic heating (especially coal and biomass use in low-income districts), construction activities, and secondary aerosol formation. Concentrations are generally higher during winter due to increased heating demand and stagnant atmospheric conditions. AMM collaborates with MoEUCC and universities to integrate satellite data and ground measurements to refine PM2.5 estimates."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),32,10,2024,https://aqicn.org/city/ankara/,"NO2 levels in Ankara remain above the WHO annual guideline of 10 µg/m³. Traffic emissions are the main contributor, particularly from diesel vehicles and congested road corridors. Local peaks are recorded near highways and central districts with dense traffic. Although natural gas has replaced coal in most urban areas, the increase in private vehicle ownership continues to offset gains in emission reduction. Data are reported by MoEUCC using reference-grade monitors."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),180,,2024,https://aqicn.org/city/ankara/,"The WHO guideline states that 24-hour PM2.5 levels should not exceed 15 µg/m³ more than 3-4 times per year. In Ankara, daily exceedances occurred on ~180 days in 2024, indicating persistent exposure risks for residents. Exceedances are most frequent in winter months due to heating, but also occur in summer during dust transport episodes from surrounding arid regions. These events intensify respiratory health risks, particularly for children, elderly, and vulnerable health groups."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),70,,2024,https://aqicn.org/city/ankara/,"Ozone concentrations in Ankara are influenced by photochemical reactions during summer, particularly under stagnant meteorological conditions. The WHO guideline for O₃ (60 µg/m³, maximum daily 8-hour mean) is exceeded on several occasions, with average annual values around 70 µg/m³. Exposure to high ozone episodes contributes to increased hospital admissions for asthma and COPD. Data collected by MoEUCC and cross-validated with European Air Quality reference methods."
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),7,,2023,https://gispub.epa.gov/airnow/?contours=none&monitors=ozonepm&xmin=-8626377.26415189&xmax=-8431921.464194328&ymin=4717364.133231094&ymax=4787991.947366623 ,"Baltimore City 2023 reported 242 Good Days, 116 Moderate, 4 for Unhealthy for Sensitive Groups and 3 ranked as Unhealthy."
