disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Net zero target and emissions removals usage,col2_Emissions removals (in unit selected in column 1),col3_Removal activities the government is undertaking/plans to undertake,col4_Comment
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,36520000,Bioenergy with carbon capture and sequestration (BECCS)|Other: Acciones de: *gestión de RSU *gestión del campo *reuso del agua *eficiencia energética|Agricultural soil carbon management|Afforestation,https://sistec.nl.gob.mx/Transparencia_2015/Archivos/AC_0001_0007_00172686_000002.pdf
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,"Currently, Our jurisdiction has designed the FOLU Net Sink local region's until 2030 (Short-term) which only applies to the forestry sector and other land use."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,"Until now, the Provincial Government of Papua does not yet have this data"
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Do not know,,,No information
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,0,Agricultural soil carbon management|Reforestation|Bioenergy with carbon capture and sequestration (BECCS)|Afforestation,"Temos a Meta, mas ainda não temos a quantificação de remoção"
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,"Our jurisdiction has not set a net zero target in various sectors and has not applied the SBTi criteria, but currently has designed the FOLU Net Sink Central Kalimantan until 2030 (Short-term) which only applies to the forestry sector and other land use."
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,"Our jurisdiction has not set a net zero target in various sectors and has not applied the SBTi criteria, but currently has designed the FOLU Net Sink Central Kalimantan until 2030 (Short-term) which only applies to the forestry sector and other land use."
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Biochar|Afforestation,"La Ciudad de México tiene el escenario ambicioso de cero emisiones, que si bien está alineado con una trayectoria de reducción de emisiones acorde a la meta global de 1.5ºC, se encuentra condicionado a la cooperación técnica internacional, el acceso a recursos financieros adicionales y a la transferencia tecnológica."
2025 Disclosure Cycle,779465,CDP,2045619,Nonthaburi Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,
2025 Disclosure Cycle,779465,CDP,2045832,Yasothon Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,
