disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicate your state/region's involvement with jurisdictional REDD+,col2_Mechanisms in place to implement the jurisdictional REDD+,"col3_Financial sources, both secured or at application stage, for the jurisdictional REDD+",col4_Provide more details on the jurisdictional REDD+,,,
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Baseline year Subnational Forest Reference Emission Levels (FREL)|Financial architecture: Regional fund to manage jurisdictional REDD+,None,"The establishment of working groups for the Reduction of Emissions from Deforestation and Forest Degradation Plus (REDD+) in North Kalimantan Province is based on Governor of North Kalimantan Decree Number 188.44/K.118/2023, designating them as the implementing bodies responsible for outreach and coordination in the management of the REDD+ program within the province. This initiative is directly linked to Indonesia's access to international climate finance through the Green Climate Fund (GCF) Result-Based Payment (RBP) for the 2014-2016 period, in which Indonesia received a total of USD 103.8 million, with USD 93.4 million allocated to Output 2 to strengthen sustainable forest management at the subnational level. A portion of these funds has been designated for provincial allocations, including North Kalimantan, as stipulated in Minister of Environment and Forestry Decree No. 1398/2023 on the distribution of RBP funds to provinces. However, the disbursement process through the Environmental Fund Management Agency (BPDLH) has only been partially realized, and not all provinces have yet received their full allocation.",,,
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Financial architecture: Regional fund to manage jurisdictional REDD+|Multi-partner governance structure,None,"Papua have been involved with REDD+ Papua since 2012 until now and currently receiving REDD+ RBP funding. In Papua Province, the establishment of working groups for the Reduction of Emissions from Deforestation and Forest Degradation Plus (REDD+) was formalized through Governor of Papua Decree Number 188.4-80/2021. These groups serve as the key institutions tasked with coordinating, promoting, and supporting REDD+ implementation across the province. Their role is directly tied to Indonesia's participation in international climate finance, particularly the Green Climate Fund (GCF) Result-Based Payment (RBP) for the 2014-2016 performance period. Through this scheme, Indonesia secured USD 103.8 million, of which USD 93.4 million was allocated to Output 2 to strengthen subnational forest governance and emission reduction measures. Papua, as one of the priority provinces, has been identified as a recipient of these funds in accordance with Minister of Environment and Forestry Decree No. 1398/2023. Yet, similar to other regions, the actual distribution of funds through the Environmental Fund Management Agency (BPDLH) remains incomplete, and the province is still in the process of receiving its full entitlement.",,,
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Financial architecture: Regional fund to manage jurisdictional REDD+|Social and environmental safeguards|Baseline year Subnational Forest Reference Emission Levels (FREL),Green Climate Fund (GCF)|Bilateral agreements (ex. between governments)|Carbon market mechanisms,"West Papua's jurisdictional REDD+ (Reducing Emissions from Deforestation and Forest Degradation) policy is characterized by several key elements, including mechanisms for implementation and financial sources. \n\nMechanisms for Implementation\n1. Pilot Projects: REDD+ initiatives in West Papua include pilot projects in various districts such as Kaimana, focusing on protected forest areas threatened by urban expansion and mining activities. These projects aim to rehabilitate degraded forests and manage them sustainably. https://www.downtoearth-indonesia.org/story/will-redd-benefit-papua-s-indigenous-peoples\n2. Governance Structure: The implementation of REDD+ is framed within a national policy context but executed at the provincial level. This involves collaboration between local governments, communities, and international partners. The provincial government has established task forces to oversee low-carbon development initiatives and ensure community rights are recognized. https://www.forestpeoples.org/sites/fpp/files/publication/2011/10/papua-briefing-6.pdf\n3. Mapping and Planning: The Forest Area Mapping Agency is currently developing maps of forest management units to facilitate carbon trading and support emissions calculations. This mapping is essential for identifying potential REDD+ project sites. https://www.downtoearth-indonesia.org/story/will-redd-benefit-papua-s-indigenous-peoples\n\nFinancial Sources\n1. Carbon Trading Agreements: West Papua has engaged in carbon trading initiatives, including a partnership with Asia Pacific Carbon Ltd., which aims to assess carbon trade opportunities in the region. Previous agreements have involved shares of carbon credits, with the provincial government retaining a significant portion of the revenue. https://www.downtoearth-indonesia.org/story/will-redd-benefit-papua-s-indigenous-peoples\n2. International Funding: Funding for REDD+ activities in West Papua has historically relied on international support, including commitments from Norway under a Letter of Intent aimed at reducing emissions through forest conservation efforts. This funding is crucial given the limited local financial resources. https://www.un-redd.org/sites/default/files/2021-10/UNORCID%20REPORT%20-%20FUNDING%20INSTRUMENT-%20AUG%202015.pdf\n3. Diverse Financial Mechanisms: The financing structure under REDD+ includes grants, results-based payments (RBP), and potential revenue from carbon credits. The management of these funds is overseen by designated agencies to ensure compliance with national regulations. https://redd.unfccc.int/media/summary_safeguard_redd_indonesia_signed.pdf; https://www.forclime.org/documents/Briefing%20Note/English/policy-brief-basic-income.pdf\n4. RBP REDD+ for result period 2014 - 2016 Green Climate Fund output 2 for verified emission reduction. the total payment USD 2663149 https://drive.google.com/file/d/10Ec1QrURPlOjW7i7L-QBZDO1CyxOK1e6/view",,,
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Financial architecture: Regional fund to manage jurisdictional REDD+,Carbon market mechanisms,Processo de elegibilidade\n,,,
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Social and environmental safeguards|Financial architecture: Regional fund to manage jurisdictional REDD+|Monitoring, reporting and verification system|Benefit sharing strategy|Baseline year Subnational Forest Reference Emission Levels (FREL)",Green Climate Fund (GCF)|Other: BPDLH (IEF),"SK Pokja in 2022;1. Planning & Budgeting2. MRV 3. Safeguards4. Benefit Sharing\n\nRBP REDD+ for result period 2014 - 2016 green climate funds output 2 for verified emission reduction. the total fund Aceh province get is USD 1,750,396. https://drive.google.com/file/d/10Ec1QrURPlOjW7i7L-QBZDO1CyxOK1e6/view",,,
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Financial architecture: Regional fund to manage jurisdictional REDD+|Baseline year Subnational Forest Reference Emission Levels (FREL),Green Climate Fund (GCF),"Indonesia was the first country in the Asia-Pacific region to receive funding from the Green Climate Fund (GCF) for its Funding Proposal (FP) entitled \'Indonesia Results-Based Payment (RBP) REDD+ for the 2014-2016 Period,\' prepared jointly by the Ministry of Environment and Forestry (KLHK) and the UNDP, as the GCF's AE. As a result, the GCF provided a total RBP REDD+ payment of USD 103.8 million to the Indonesian government for its emission reduction (ER) performance of 20.25 million tCO2eq in 2014-2016, along with a 2.5% additional payment for non-carbon benefits. The funds were allocated for three Outputs, of which the Indonesia RBP REDD+ project for the 2014-2016 GCF Output 2 received an allocation of USD 93.4 million.\n\nBased on the Regulation of the Minister of Environment and Forestry No.70/MENLHK/SETJEN/KUM.1/12/2017 concerning Procedures for Implementing Reducing Emissions from Deforestation and Forest Degradation, Role of Conservation, Sustainable Management of Forest and Enhancement of Forest Carbon Stocks, the environmental fund management organizational unit is an organizational unit that carries out the function of managing funds for environmental protection and management efforts using the financial governance of the Public Service Agency (BLU), which in Indonesia context, BPDLH. \n\nThe focus of this project is on all provinces in the Republic of Indonesia, at the National and Sub-National levels (38 Provinces). Based on this, Central Kalimantan has provided support to achieve this project, aligning jurisdictional REDD+ actions with three outputs. Within the national financial allocation by the Central Government, Central Kalimantan has received financial support of approximately USD 5,137,209 in Phase II. Additionally, Central Kalimantan has an institution for the REDD+ Implementation.",,,
2025 Disclosure Cycle,779465,CDP,848527,Sinaloa,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to a lack of resources",,,,,,
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Social and environmental safeguards,,,,,
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to a reason not listed above: While Lithuania is not directly involved in REDD+ as it's primarily targeted at tropical forests, the Klaipėda region contributes to global climate goals by preserving its coastal forests, promoting biodiversity, and reducing emissions through SDGs.",,,,,,
2025 Disclosure Cycle,779465,CDP,2045832,Yasothon Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Benefit sharing strategy|Policy strategy,Carbon market mechanisms,Promote community forests to participate in 21 carbon credit projects,,,
