disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Deforestation/forest degradation is an issue for the region,col2_Current drivers of deforestation and/or forest degradation,col3_Total current annual deforestation rate (%),col4_Comments
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure|Fires|Unsustainable logging|Mining|Small-scale agriculture,2.0,Porcentaje anual de degradación de vegetación natural primaria. (2002-2011)
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Small-scale agriculture|Mining|Infrastructure|Fires|Charcoal and fuelwood production|Unsustainable logging,89.0,"Fuente: CONAFOR, 2015 a partir de la Cartografía de uso de suelo y vegetación de INEGI, Serie IV-2007 y Serie V-2011 y el Marco Geoestadístico, (INEGI ,2010). ( superficie 3,829.85 ha/año, 2010-2015) Tasas de deforestación del estado de Querétaro Las hectáreas deforestadas para México se reportan a partir de la estimación de la tasa deforestación que realiza la CONAFOR, se basa en las Cartas de Uso de Suelo y Vegetación publicada por el Instituto Nacional de Estadística y Geografía (INEGI) escala 1:250 000, bajo la metodología y directrices de la “Evaluación de los recursos forestales mundiales (FRA por sus siglas en inglés)”, publicada cada cinco años, de acuerdo a la categoría de bosque establecida por la FAO, que concentra únicamente aquellas formaciones forestales con superficie arbolada.La tasa de deforestación por entidad federativa con la que se cuenta a la fecha es la estimada para el FRA 2015, la cual considera las tendencias de cambio anual para periodos de tiempo determinados, siendo la cifra más actualizada la estimada para el período 2010-2015.La estimación se realizó, través de una comparación de superficies totales con base en la cartografía antes mencionada, adecuada para el reporte nacional y que al llevarse al plano estatal, implica que el nivel de incertidumbre se incremente y que en ocasiones la información no coincida con la realidad, esto debido a que en la cartografía utilizada no se representa el detalle necesario, ya que la unidad mínima cartografiable para bosques es de 50 hectáreas, bajo esta consideración se proporcionan la tasas de deforestación estimada para el estado de Querétaro.Definiciones:Bosque: Tierras que se extienden por más de 0.5 hectáreas dotadas de árboles de una altura superior a 5 metros y una cubierta de dosel superior al 10 por ciento, o de árboles capaces de alcanzar esta altura in situ. No incluye la tierra sometida a un uso predominantemente agrícola o urbano.Tasa de deforestación: Es la magnitud proporcional para un período de tiempo dado, que mide la transformación del bosque a otro uso de la tierra, como puede ser agropecuario, zonas urbanas, cuerpos de agua, entre otros, y/o que pasa a un tipo de vegetación herbácea. Este dato puede estar dado en porcentaje (%) o en superficie (hectáreas/año) y el valor puede ser positivo o negativo, que representa la recuperación o pérdida bruta del bosque respectivamente. Los valores netos que definen la tasa de deforestación, son el resultado de la resta del valor de la superficie con recuperación y el de la pérdida bruta de la vegetación."
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Large-scale agriculture|Infrastructure|Charcoal and fuelwood production|Unsustainable logging,0.07,"A taxa total de desmatamento do Estado de Sergipe é proveniente do MapBiomas Alerta. Para o ano de 2024 foram calculados 1605,81 hectares de área desmatada.\n"
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Mining|Unsustainable logging|Large-scale agriculture|Charcoal and fuelwood production|Fires,7.24,Disponível em: https://terrabrasilis.dpi.inpe.br/app/dashboard/deforestation/biomes/caatinga/increments
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Other: Urbanización|Unsustainable logging|Fires|Small-scale agriculture|Mining,0.04,Tasa de deforestación 2020 - 2022: - 0.04\n%
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires|Other: expansión del area urbana,0.06,Incendios y deforestacion para la construccion de fraccionamientos o viviendas es un problema de conservación.
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure|Mining|Small-scale agriculture|Large-scale agriculture,0.06,"Based on the Buku Pemantauan Deforestasi Indonesia Tahun 2024 published by KLHK, the net deforestation in Kalimantan Utara for the 2023-2024 monitoring period was recorded at 3.39 thousand hectares (≈ 3,390 ha). When compared with the province's current natural forest area of 5.511 million hectares (≈ 55,110 km²), as reported in the Statistik Penutupan Lahan Indonesia Tahun 2024, this figure represents an annual deforestation rate of approximately 0.06%. This relatively low percentage indicates that Kalimantan Utara maintains one of the highest levels of forest cover integrity among Indonesian provinces, with the majority of its forest area (≈ 67%) still classified as primary forest."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Large-scale agriculture|Infrastructure|Small-scale agriculture|Mining,0.05,"According to the Buku Pemantauan Deforestasi Indonesia Tahun 2024, Papua Province experienced a net deforestation of 502,7 hectares. While relatively low compared to earlier peak years, the data shows that Papua continues to face measurable forest loss, with most clearing still occurring within designated forest areas."
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,"Do not know, but we are intending to assess this in the next year",,,"Total current annual deforestation rate is available on west papua folu net sink document, however, it needs further validation "
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure|Mining|Large-scale agriculture|Fires|Hydroelectric power,1,Desmatamento não autorizado\n
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires|Charcoal and fuelwood production|Small-scale agriculture|Large-scale agriculture,0.21,Deforestation in Province Aceh is 175.950 hectares and percentage of deforestation to the area of jurisdiction is 2.89% during 2009 - 2023. the data of current annual deforestation rate obtain from precentage of deforestation divided by 14 year.\n\nsource:\naceh.bps.go.id/id/publication/2025/03/03/168c31658307b26b15c00312/dua-dekade-deforestasi-di-aceh-dari-hilangnya-hutan-hingga-menurunnya-kesejahteraan.html
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires|Charcoal and fuelwood production|Large-scale agriculture|Mining,9.2,The average net degradation data from the province of Central Kalimantan is 9.2% of the total forest area in 2024.
2025 Disclosure Cycle,779465,CDP,848527,Sinaloa,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Hydroelectric power|Large-scale agriculture|Fires|Charcoal and fuelwood production,0,"En el año 2023 se se han reportado 36 incendios forestales en todo el estado de Sinaloa, afectando más de 30,000 has. Las causas de estos incendios son desconocidas. El estado cuenta con 5 hidroeléctricas y mas de 1 millones de hectáreas cultivables\n"
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Unsustainable logging|Fires|Large-scale agriculture|Infrastructure,,"8,565 ha/año"
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Large-scale agriculture,14,"Actualmente en el estado de Tlaxcala la deforestación es una problemática que va en aumento, debido principalmente a factores antropogénicos, donde se ven afectados principalmente los bosques, creando problemáticas aun mayores, como la degradación de los ecosistemas, la contaminación y la afectación a los diversos servicios ecosistémicos."
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Unsustainable logging|Charcoal and fuelwood production|Fires|Infrastructure,0.8,"Los principales riesgos registrados son: \nUn nivel alto de riesgo químico-tecnológico provocado por incendios forestales.\nExiste poco control del saqueo ilegal de especies del bosque.\n\nDe acuerdo a la FIscalía General de la Ciudad de México, cada día se pierde 1 hectárea de suelo de conservación por deforestación, asentamientos irregulares y tala ilegal.\n\nhttps://fgjcdmx.gob.mx/nuestros-servicios/fiscalias-desconcentradas-y-coordinaciones-territoriales/fedapur/datos-relevantes"
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,"The average age of stands up to 10 years not only did not decrease, but even slightly increased.Lithuania is in such a climate zone, where, without doing anything, the land will become forested by itself. As a result, this abandoned land is gradually covered with forest. Considering this, it can be said that forests in Lithuania will not decrease, but will only increase.Lithuanian forest indicators:https://amvmt.lrv.lt/lt/atviri-duomenys-1/lietuvos-misku-rodikliai"
2025 Disclosure Cycle,779465,CDP,2045619,Nonthaburi Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,Because Nonthaburi has no forests
2025 Disclosure Cycle,779465,CDP,2045832,Yasothon Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Small-scale agriculture,1.44,
