disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Impacts,col2_Forests-related issue causing the impact,col3_Driver causing the impact,col4_Anticipated timescale,col5_Impact seriousness,col6_Impact description,col7_Primary action taken,col8_Status of action,col9_Action description
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Increased wildfires,"Other: Los incendios naturales y forestales en Misiones se originan principalmente por la sequía, altas temperaturas, descargas eléctricas y actividades humanas negligentes como quemas agrícolas o eliminación de residuos sin control, favorecidas por el camb",Unsustainable logging|Small-scale agriculture,Current,Extremely serious,"Los incendios naturales y forestales en Misiones se originan principalmente por la sequía, altas temperaturas, descargas eléctricas y actividades humanas negligentes como quemas agrícolas o eliminación de residuos sin control, favorecidas por el cambio climático.",,,
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Disruptions in the water cycle,Deforestation|Conversion of natural habitats,Small-scale agriculture|Charcoal and fuelwood production|Fires,Long-term,Serious,Affecting the rainfall patterns,Encouraging integrated land-use planning and management,Implementation,The enhancement of Climate Smart Agriculture and improved land use and land use systems
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Loss of carbon sinks,Conversion of natural habitats|Forest degradation|Deforestation,Small-scale agriculture|Charcoal and fuelwood production|Fires|Unsustainable logging,Long-term,Less serious,There has been increased awareness on this,Forest landscape restoration,Operation,Forest landscape restoration is a masterpiece both in resource mobilization and in actual implementation
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased greenhouse gas emissions,Forest degradation|Deforestation|Conversion of natural habitats,Small-scale agriculture|Large-scale agriculture,Short-term,Less serious,"Aumento da emissão de gases de efeito estufa, perda de biodiversidade",Setting up incentives (e.g. payments for ecosystem services),Pre-feasibility study,"Atuação de várias Secretarias do governo estadual para a elaboração do Programa Mais Verde, que tem o objetivo de estruturar medidas para o plano de governo tendo como premissa promover a preservação ambiental e os serviços ecossistêmicos através de projetos que contemplem, dentre outros instrumentos, o pagamento por serviços ambientais."
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Biodiversity loss,Conversion of natural habitats|Forest degradation|Deforestation,Mining|Infrastructure|Small-scale agriculture|Other: expansão urbana|Large-scale agriculture,Medium-term,Less serious,Perda de biodiversidade e conectividade entre os fragmentos florestais de Mata Atlântica,Implementing jurisdictional or integrated landscape approaches,Scoping,"Tratado da Mata Atlântica: Protocolo de intenções entre os Estados da Região Sul e Sudeste através do COSUD (Consórcio de Integração Sul e Sudeste). Em 2023, o COSUD formalizou um protocolo de intenções chamado de “Tratado da Mata Atlântica”, visando a união de esforços para a preservação, conservação e a utilização racional dos recursos naturais do bioma, mediante a adoção de ações conjuntas e coordenadas para promover o desenvolvimento harmônico e o alcance de resultados mutuamente proveitosos. Entre os objetivos do protocolo estão o planejamento integrado de corredores ecológicos regionais, com foco na gestão territorial, por meio do compartilhamento de experiências entre os estados e da adoção integrada de instrumentos e estratégias de monitoramento, de fomento à restauração e conservação de ecossistemas e paisagens e da bioeconomia.\nfonte: https://www.parana.pr.gov.br/aen/Noticia/Conferencia-da-Mata-Atlantica-debatera-enfrentamento-mudancas-climaticas#:~:text=Em%202023%2C%20o%20Cosud%20formalizou,harm%C3%B4nico%20e%20o%20alcance%20de"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Other: Todos.,Forest degradation|Conversion of natural habitats|Deforestation,Mining|Large-scale agriculture|Infrastructure|Other: |Small-scale agriculture,Current,Serious,Perda de biodiversidade e conectividade entre os fragmentos florestais de Mata Atlântica.,Enforcing forest policies and regulations,Operation,"Implementação do SIMAD (Sistema Integrado de Monitoramento e Alertas de Desmatamento), ferramenta que detecta, registra e gera alertas precisos de desmatamento após cruzamento de diversos bancos de dados pelo IMA (Instituto de Meio Ambiente de SC).\nO sistema realiza o cruzamento com outros sistemas do IMA como de licenciamento, autos de infração, Cadastro Ambiental Rural (CAR) e espaços territoriais especialmente protegidos (APP, Reserva Legal, unidades de conservação), entre outras camadas."
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Decline in water quality,Conversion of natural habitats|Forest degradation|Deforestation,Small-scale agriculture|Large-scale agriculture|Infrastructure,Current,Less serious,"Degradação de mata ciliar, ocupação indevida de locais de APP",Forest landscape restoration,Implementation,"Programa Pacto da Mata Ciliar, com objetico de fortalecer a proteção ambiental, prevenir enchentes e combater a erosão em áreas rurais de Santa Catarina. Essa medida integra o Programa de Fortalecimento de Comitês de Bacias Hidrográficas, coordenado pela SEMAE, e conta com a execução do Instituto Água Conecta, em parceria com o Comitê Tijucas e Biguaçu. O Pacto promove integração de esforços para a preservação e recuperação das matas ciliares em sua área de atuação. (fonte: https://www.semae.sc.gov.br/programa-pacto-da-mata-ciliar-recupera-seis-hectares-de-areas-degradadas-em-angelina/#:~:text=Reconhecida%20internacionalmente%20como%20uma%20boa,e%20Economia%20Verde%2C%20Emerson%20Stein.)\n"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,5,Row 5,Habitat fragmentation,Forest degradation|Deforestation|Conversion of natural habitats,Infrastructure|Small-scale agriculture|Large-scale agriculture|Mining,Medium-term,Serious,"A fragmentação de habitat causa perda de biodiversidade, defaunação, escassez de recursos, impacto na qualidade da água, dentre outros.",Encouraging integrated land-use planning and management,Implementation,"A implementação de corredores ecológicos nas bacias dos Rios Chapecó (Decreto Estadual nº 2.957/2010) e Timbó (Decreto Estadual nº 2.956/2010) tem como objetivos de unir conservação da natureza ao desenvolvimento local e regional. Além disso, o corredor ecológico Caminho das Nascentes (Decreto Estadual nº 2.367/2022) busca implementar ações de apoio e promoção da conservação e recuperação de nascentes e da vegetação nativa; qualificar e agregar valor à produção, ampliando a renda dos proprietários."
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,6,Row 6,Biodiversity loss,Conversion of natural habitats|Deforestation|Forest degradation,Small-scale agriculture|Infrastructure|Large-scale agriculture|Mining,Current,Less serious,"Fragmentação de habitat causa perda de biodiversidade, defaunação, escassez de recursos, impacto na qualidade da água, dentre outros.",Other: Ações de fiscalização.,Operation,"Para combater o desmatamento e incentivar a recuperação de áreas degradadas, o Ministério Público do Paraná lançou em agosto de 2016 a Operação Mata Atlântica em Pé. Após duas edições estaduais, a iniciativa se tornou nacional, sendo encampada por MPs de outros estados em que a Mata Atlântica está presente. As fiscalizações do projeto acontecem em forma de força tarefa em que os Ministérios Públicos estaduais coordenaram as ações e os órgãos ambientais vão a campo realizar as fiscalizações, com base em alertas emitidos pelo MapBiomas, uma ferramenta tecnológica que capta imagens de alta resolução de possíveis desmatamentos via satélite. \n\n\nNo estado de Santa Catarina o projeto é fruto de uma  parceria entre o Ministério Público e a Polícia Militar. A edição de 2024 aconteceu no período de 9 a 30 de setembro. Os dados levantados até o dia 27/09 dão conta de 159 alertas que foram atendidos em uma área de 286,56 hectares. As fiscalizações resultaram em multas que somam R$ 2.228.730,00 (dois milhões, duzentos e vinte e oito mil, setecentos e trinta reais). Os dados são do Centro de Apoio Operacional do Meio Ambiente, órgão interno do MPSC. Fonte: https://www.mpsc.mp.br/noticias/balanco-final-operacao-mata-atlantica-em-pe-identifica-mais-de-17-mil-hectares-de-desmatamento-ilegal-"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,7,Row 7,Other: Todos os impactos acima.,Forest degradation|Deforestation|Conversion of natural habitats,Infrastructure|Mining|Large-scale agriculture|Small-scale agriculture,Medium-term,Serious,"Fragmentação de habitat causa perda de biodiversidade, defaunação, escassez de recursos, impacto na qualidade da água, dentre outros.",Forest landscape restoration,Scoping,Formação de Grupo de Trabalho e articulação interinstitucional para a construção participativa de uma proposta preliminar de Resolução Estadual sobre Restauração Ecológica.
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,8,Row 8,Decline in water quality,Forest degradation|Deforestation|Conversion of natural habitats,Small-scale agriculture|Large-scale agriculture,Current,Less serious,"Degradação de mata ciliar, APP antropizada.",Increase awareness/engage all partners on sustainable forest management,Pre-implementation,"Programa ambiental com o objetivo de recuperar Áreas de Preservação Permanente (APPs) em propriedades rurais localizadas na Bacia Hidrográfica do Rio Uruguai. A iniciativa é fruto de uma parceria entre a Epagri, a Foz do Chapecó Energia, o Sicoob (sistema de cooperativas financeiras) e os próprios produtores rurais. O foco é restaurar a vegetação nativa, proteger os recursos hídricos e a fauna, além de promover a valorização ambiental das propriedades participantes. Estão incluídos na iniciativa, que faz parte do Programa Desenvolvimento e Sustentabilidade Ambiental da Epagri, 148 municípios catarinenses. \n\nSerão contemplados produtores rurais que possuam APPs antropizadas (sem sobreposição de obrigações legais anteriores ou benefícios já recebidos para a mesma área). Entre as ações previstas nas propriedades estão o cercamento da área com arame, o plantio de espécies nativas de viveiros certificados como angico, cedro, paineira, pitanga, guabiroba e jabuticaba,\n\nÉ necessário se comprometer com a preservação e manutenção da vegetação plantada.\n\n(fonte: https://www.epagri.sc.gov.br/oeste-de-sc-ganha-programa-de-restauracao-de-areas-em-propriedades-rurais-com-beneficios-financeiros-aos-agricultores)"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,9,Row 9,Change in forest structure and composition,Forest degradation|Conversion of natural habitats|Deforestation,Small-scale agriculture|Large-scale agriculture,Current,Less serious,Áreas de APP ocupadas com uso agropecuário.,Forest landscape restoration,Operation,"Santa Catarina estabeleceu o Programa Estadual de Regularização Ambiental (PRA-SC) que prevê ações de diagnóstico e recuperação de áreas com conflito legal de uso. O Projeto de Pesquisa Base-PRA (Epagri/Fapesc 2021 TR001397), foi elaborado e desenvolvido com o objetivo de dar suporte técnico ao planejamento e à execução de ações voltadas à adequação ambiental de propriedades rurais de SC. (fonte: https://ciram.epagri.sc.gov.br/index.php/base-pra/)"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,10,Row 10,Decline in water quality,Forest degradation|Deforestation|Conversion of natural habitats,Small-scale agriculture|Large-scale agriculture,Current,Less serious,Degradação de áreas naturais pela agricultura.,Forest landscape restoration,Implementation,"Programa Água no Campo SC da Secretaria da Agricultura e Pecuária. Investimentos com foco na captação, armazenamento, tratamento e distribuição de água, proteção de nascentes, e práticas de recuperação, conservação e manejo do solo e da água nas propriedades rurais.\n\nFonte: https://www.agricultura.sc.gov.br/agua-no-campo-sc/\n"
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Loss of carbon sinks,Conversion of natural habitats|Deforestation,Infrastructure,Current,Serious,See technical study: https://agnr.umd.edu/sites/agnr.umd.edu/files/files/documents/Hughes%20Center/Maryland%20Forest%20Technical%20Study_Use_Final_Web.pdf,Implementing jurisdictional or integrated landscape approaches,Implementation,"See Maryland Strategic Forest Land Assessment, https://dnr.maryland.gov/forests/Documents/sfla_report.pdf\n\nMaryland has implemented several statewide policies to promote reforestation and urban greening. Examples include the Forest Conservation Act, Maryland Reforestation Law, and Tree Solutions Now Act.\n"
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Habitat fragmentation,Deforestation|Conversion of natural habitats,Infrastructure,Current,Serious,See technical study: https://agnr.umd.edu/sites/agnr.umd.edu/files/files/documents/Hughes%20Center/Maryland%20Forest%20Technical%20Study_Use_Final_Web.pdf,Adoption of reforestation strategies,Implementation,"See Maryland Strategic Forest Land Assessment, https://dnr.maryland.gov/forests/Documents/sfla_report.pdf\n\nMaryland has implemented several statewide policies to promote reforestation and urban greening. Examples include the Forest Conservation Act, Maryland Reforestation Law, and Tree Solutions Now Act."
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Change in soil quality,Conversion of natural habitats|Deforestation,Infrastructure,Current,Serious,See technical study: https://agnr.umd.edu/sites/agnr.umd.edu/files/files/documents/Hughes%20Center/Maryland%20Forest%20Technical%20Study_Use_Final_Web.pdf,Enforcing forest policies and regulations,Implementation,"See Maryland Strategic Forest Land Assessment, https://dnr.maryland.gov/forests/Documents/sfla_report.pdf\n\nMaryland has implemented several statewide policies to promote reforestation and urban greening. Examples include the Forest Conservation Act, Maryland Reforestation Law, and Tree Solutions Now Act."
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased greenhouse gas emissions,Deforestation|Conversion of natural habitats|Forest degradation,,,,,,,
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Loss of carbon sinks,Conversion of natural habitats|Deforestation,,,,,,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Loss of carbon sinks,Conversion of natural habitats|Forest degradation|Deforestation,Fires,Long-term,Serious,"Ambitious policy and regional coordination has slowed some of these processes, but wildfire impacts and population growth maintain high pressure",,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Disruption of sources of livelihoods,Forest degradation|Conversion of natural habitats,Fires,Current,Less serious,More intense disruption in past decades has dramatically shifted most livelihoods away from forestland-based jobs,,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Biodiversity loss,Deforestation|Forest degradation|Conversion of natural habitats,Fires,Short-term,Less serious,"Ambitious policy and regional coordination has slowed some of these processes, but wildfire impacts and population growth maintain high pressure",,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Introduction of invasive species,Forest degradation,,Current,Serious,"Forest work, development and other pressures cause ongoing challenges with invasive species",,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,5,Row 5,Change in forest structure and composition,Deforestation|Conversion of natural habitats|Forest degradation,Fires,Long-term,Serious,"Loss of old forests continues due to continued impact of fire, harvest, and land use change",,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,6,Row 6,Habitat loss and wildlife displacement,Deforestation|Conversion of natural habitats|Forest degradation,Fires,Medium-term,Less serious,"Large swaths of forestland are protected in composition and configuration thanks to the Northwest Forest Plan, and other coordinated action",,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,7,Row 7,Increased soil erosion,Conversion of natural habitats|Forest degradation|Deforestation,Fires,Current,Less serious,Decades of research and environmental regulation has dramatically improved practices that are overseen based on Forest Practices Act and other policy,,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,8,Row 8,Change in soil quality,Forest degradation|Deforestation|Conversion of natural habitats,Fires,Current,Less serious,Decades of research and environmental regulation has dramatically improved practices that are overseen based on Forest Practices Act and other policy,,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,9,Row 9,Increased wildfires,Forest degradation|Conversion of natural habitats,Fires,Current,Extremely serious,"Wildfires release huge amounts of carbon into the atmosphere from Washington State's rich biogenic stock. Governments at all levels (federal, state, community, tribes) are working to mitigate this major threat to Washington's forests",,,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Disruptions in the water cycle,Forest degradation,Fires,Current,Extremely serious,,,,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Biodiversity loss,Conversion of natural habitats|Forest degradation,"Other: Invasive species invasion, Feral ungulate damage, pests & disease|Fires",Current,Serious,"The Hawaiian Archipelago possesses a wide range of habitats, from wet forests to extremely dry coastal grasslands and subalpine areas. With the arrival of humans and consequent clearing of native habitats for agriculture, the introduction of invasive species, and, more recently, development, many of these habitats have declined. Maps 6.1, 6.2, and 6.3 depict the extent of major vegetation types before human arrival and currently (maps prepared in 2005). An estimated 90% of Hawaii's tropical dryland habitats, 61% of the mesic habitats, and 42% of wetland habitats have been lost. Today, native vegetation occurs on less than 40% of the islands' land area. Similarly, much of the habitat for freshwater species has declined, with 58% of the perennial streams in the state having been altered in some way.The current, most pervasive threats to native biodiversity in Hawaii are plants, animals, and diseases that are non-native, invasive, and habitat-modifying, as well as the conversion of land to other uses. For many endangered species, small populations make recovery difficult. Other threats include some that are pervasive across all conservation areas in the archipelago and some that are specific to particular habitats or individual species or groups of species. For example, fire, residential development, and military training are important threats at specific locations.",Other: Forest protection through fencing and invasive species and ungulate control.,Implementation,"Conservation of Hawaii's unique habitats and species requires cooperation across land ownerships and organizations. Some examples of successful collaborative partnerships protecting and conserving habitats and species are as follows:• The Hawaii Association of Watershed Partnerships (HAWP) comprises 11 island-based Watershed Partnerships that work collaboratively with more than 71 public and private partners on five islands to protect over 2.2 million acres of vital forested watershed lands.• The Hawaii Conservation Alliance (HCA) is a collaboration of conservation leaders representing governmental, cultural, educational, and non-profit organizations from across the state. Collectively their mission is safeguarding the biodiversity of Hawaii's ocean, land, and streams.• Island-based Invasive Species Committees (ISCs) represent voluntary partnerships of government, the private sector, non-profit organizations, and concerned citizens working on five islands to prevent, control, or eradicate the most threatening invasive species in the islands and protect our watersheds, ecological resources, and economy.• The Coordinating Group on Alien Pest Species (CGAPS) is a voluntary partnership of federal, state, and nongovernmental organizations that works to close the gaps in Hawaii's terrestrial and aquatic invasive species prevention and response systems through greater coordination, planning, and management.• The Hawaii Rare Plant Recovery Group (HRPRG) is a working group composed of many public and private agencies to prevent the extinction of native Hawaiian plants and provide for their recovery through a combination of on-site and off-site management strategies. The Plant Extinction Prevention Program, an implementation arm of HRPRG, is focused on the conservation of rare plants with fewer than 50 individuals in the wild."
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Introduction of invasive species,Forest degradation,Fires,Current,Extremely serious,,,,
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased greenhouse gas emissions,Forest degradation|Conversion of natural habitats,Small-scale agriculture,Medium-term,Serious,"Illegal cannabis/marijuana plantations in California's forests cause damage to land and watersheds, including soil erosion and diverting water from streams & rivers, harming water supplies and ecosystems. These grow sites often have harmful pesticides, herbicides, and rodenticides that pollute soil, waterways and poison wildlife. Illegal growers are often armed and dangerous, posing a threat to persons who may stumble upon a grow site. Once identified and eradicated, sites can be difficult to clean up and expensive to restore the forest ecology.",Enforcing forest policies and regulations,Implementation,"California is committed to curbing illegal cannabis operations and promoting a regulated market. Governor Gavin Newsom established the multi-agency Unified Cannabis Enforcement Task Force to coordinate efforts in addressing illegal cannabis operations. Led by the Department of Cannabis Control and the California Department of Fish and Wildlife, this task force targets unlicensed outdoor cultivation operations. The goal is to protect California's forests, communities, and consumers from unregulated and potentially harmful cannabis products. The U.S. Forest Service collaborates with state agencies to address illegal marijuana grows on California's national forests. The California Department of Justice conducts an annual Campaign Against Marijuana Planting program to eradicate illegal cannabis cultivation. Operating across 26 counties, CAMP teams target both public and private lands, including national forests. In 2016, California voters passed Proposition 64, the “Control, Regulate and Tax Adult Use of Marijuana Act.” This Act taxes sales of cannabis products, with revenues going to the California Cannabis Tax Fund. Revenues in the Fund are first allocated to costs of administering and enforcing the Act, drug research and treatment, and enforcement. Of remaining revenue, a portion goes to State Parks and the Department of Fish and Wildlife, to prevent and alleviate environmental damage from cannabis cultivation."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Loss of carbon sinks,Deforestation|Conversion of natural habitats|Forest degradation,Small-scale agriculture|Fires,Long-term,Serious,"Over 150 million trees have died across the Sierra Nevada region in the past decade as a result of drought, insects, and disease, with subsequent fire risk elevated as a result. Impacts to natural resources and vulnerable communities are of paramount concern. These impacts are primarily being addressed through extensive statewide grant programs to reduce the amount of dead woody material, conduct reforestation efforts, and research land management decisions. Impacts also include:* Increased greenhouse gases* Disruptions in water cycle* Decline in water quality* Loss of forest products and services* Disruption of sources of livelihoods* Displacement of indigenous populations* Biodiversity loss* Decline in species populations* Introduction of invasive species* Changing in forest structure and composition* Habitat loss and wildlife displacement * Habitat fragmentation* Increase soil erosion* Change in soil quality",Encouraging integrated land-use planning and management,Implementation,"All primary actions and descriptions:* Encouraging integrated land-use planning and management: Occurs through inter-agency coordination and processes including the Integrated Regional Water Management Program and Natural and Working Lands Implementation Plan* Enforcing forest policies and regulations: Ongoing enforcement and implementation of the California Forest Practice Act and California Environmental Quality Act* Forest landscape restoration: Incentivized through the California Department of Forestry and Fire Protection (CAL FIRE)'s Forest Health Grant Program and California Forest Improvement Program; future efforts are being scoped through the Governor's Forest Management Task Force - Forest Management & Restoration Working Group; Regional Forest and Fire Capacity Program, implementation of Assembly Bill 2551, and Watershed Coordinator Grant Program* Implementing jurisdictional or integrated landscape approaches: Being scoped through the Regional Forest and Fire Capacity Program and Watershed Coordinator Program, in coordination with the Governor's Forest Management Task Force Regional Groups * Increasing awareness/ engage all stakeholders in sustainable forest management: Implemented in the past through stakeholder outreach through the Tree Mortality Task Force; being scoped and implemented through the Landowner Education and Outreach Working Group of the Governor's Forest Management Task Force; important component of the Regional Forest and Fire Capacity Program * Institutional strengthening and capacity building on forest management: Being scoped through the Governor's Forest Management Task Force and Regional Forest and Fire Capacity Program* Promoting and sharing best practices: facilitated within the state through multi-agency efforts such as the Governor's Forest Management Task Force; coordinated across jurisdictions through participation in the US Climate Alliance - Natural and Working Lands Working Group and other efforts * Setting up disincentives: Implemented through the Forest Practice Act* Setting up incentives: Provided through state grant and cost-share programs including the CAL FIRE's Forest Health Grant Program, CAL FIRE's Fire Prevention Grant Program, California Forest Improvement Program, and Wildlife Conservation Program Forest Conservation Program"
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Change in forest structure and composition,Forest degradation|Other: Pérdida de biodiversidad|Conversion of natural habitats,Fires,Current,Serious,Superación de la superficie de eucalipto contemplada en la planificación forestal,Enforcing forest policies and regulations,Implementation,"La disposición transitoria 9º de la Ley 11/2021 de recuperación de la tierra agraria de Galicia, incluye una moratoria para las repoblaciones con especies del género Eucalyptus hasta el 31 de diciembre de 2025"
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Increased wildfires,Forest degradation|Deforestation|Conversion of natural habitats,Fires,Current,Serious,Incendios forestales que afectan al territorio de Galicia,Enforcing forest policies and regulations,Operation,"La actualización del Plan de Prevención y Defensa contra los Incendios Forestales de Galicia tiene por objeto el establecimiento de la organización y el procedimiento de actuación de los recursos y servicios para hacer frente a los incendios forestales dentro del territorio gallego, y permitir, en su caso, una coordinación y actuación conjunta de los diversos servicios y administraciones implicadas en la lucha contra el fuego. Las funciones básicas de este plan son las siguientes: *Prever la estructura organizativa y los procedimientos para la prevención, detección, extinción e investigación de incendios forestales según las épocas de peligro. *Establecer con carácter general las épocas de peligro, relacionadas con el riesgo de incendios forestales, en función de las previsiones generales y de los diferentes parámetros locales que definen el riesgo.*Reducir al máximo posible, teniendo en consideración los recursos disponibles, las consecuencias ecológicas, económicas y sociales producidas por los incendios forestales.*Establecer los objetivos y las actuaciones a desarrollar en el año 2025 para hacer frente a los incendios forestales. El plan integra 4 planes:- Plan de prevención.- Plan de detección, disuasión, investigación y medidas correctoras.- Plan de extinción.- Plan de formación. https://mediorural.xunta.gal/es/temas/defensa-monte/pladiga-2025"
